setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
yecl	Alchemy: Lorwyn Eclipsed	2026-02-03	1	Adaptive Armorer	2c4a0410-0dfc-461f-8dd5-2a91cf85ffef			combat_body, combat_threat				Creature — Giant Warrior	{2}{W}{W}	4	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/yecl/1/adaptive-armorer?utm_source=api	Vigilance When this creature enters, draft a card from Adaptive Armorer's spellbook and put it onto the battlefield. When an Equipment enters this way, attach it to target creature you control.
yecl	Alchemy: Lorwyn Eclipsed	2026-02-03	2	Current Curriculum	2b204c47-1d9e-413d-b963-683918b45d2f							Enchantment	{1}{W}	2	W	W	Conjure		has Scryfall tags/keywords but no analyzer role	https://scryfall.com/card/yecl/2/current-curriculum?utm_source=api	The first Merfolk spell you cast each turn has convoke. At the beginning of your end step, if you control two or more tapped creatures, conjure a card named Stonybrook Schoolmaster onto the battlefield tapped.
yecl	Alchemy: Lorwyn Eclipsed	2026-02-03	3	Thoughtweft's Call	8d26b34f-2416-465c-bef1-a2511dc311d0			combat_support				Sorcery	{W}	1	W	W	Seek		verify analyzer roles	https://scryfall.com/card/yecl/3/thoughtwefts-call?utm_source=api	Choose one — • Seek a Kithkin card. At the beginning of the next end step, if that card is in your hand, exile it. • Creature cards in your hand perpetually get +1/+1.
yecl	Alchemy: Lorwyn Eclipsed	2026-02-03	4	Aquatic Subtlety	1d6c031e-3693-482c-b9e3-f15cbc35897b			card_draw, direct_draw, draw				Sorcery	{U}{U}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/yecl/4/aquatic-subtlety?utm_source=api	Draw two cards, then put two cards from your hand on the bottom of your library in any order. Blue creature cards in your hand perpetually gain "Evoke—Exile a blue card from your hand."
yecl	Alchemy: Lorwyn Eclipsed	2026-02-03	5	Preponderant Pearl	a02ac6f9-7551-4f4b-b73e-fc5e9ffd90b0			combat_support, sacrifice_support				Kindred Artifact — Merfolk	{U}	1	U	U	Conjure		verify analyzer roles	https://scryfall.com/card/yecl/5/preponderant-pearl?utm_source=api	When this artifact enters, conjure a card named Ponder into your hand. Whenever one or more Merfolk you control deal combat damage to a player, sacrifice this artifact. If you do, conjure a card named Flooded Strand into your hand.
yecl	Alchemy: Lorwyn Eclipsed	2026-02-03	6	Reflective Rimekin	6e924ac1-c9f1-4fd1-8c44-a933b82151fd			combat_body				Creature — Elemental Wizard	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/yecl/6/reflective-rimekin?utm_source=api	When this creature enters, you get a one-time boon with "When you cast an instant or sorcery spell with mana value 3 or less, copy it. You may choose new targets for the copy."
yecl	Alchemy: Lorwyn Eclipsed	2026-02-03	7	Thoughtsteal Sprites	62d11a21-849c-46f4-9cdb-d92be00082a9			combat_body, combat_threat				Creature — Faerie Rogue	{1}{U}	2	U	U	Flying, Double team		verify analyzer roles	https://scryfall.com/card/yecl/7/thoughtsteal-sprites?utm_source=api	Flying Double team Whenever you cast a spell during an opponent's turn, draft a card from Thoughtsteal Sprites's spellbook, then discard a card. This ability triggers only once each turn.
yecl	Alchemy: Lorwyn Eclipsed	2026-02-03	8	Blighted Nightmare	00f06814-0419-4956-8003-c6a0b58ee330			battlefield_recursion, card_selection, combat_support, recursion, repeatable_advantage				Enchantment	{2}{B}	3	B	B			verify analyzer roles	https://scryfall.com/card/yecl/8/blighted-nightmare?utm_source=api	When this enchantment enters, creature cards in your graveyard perpetually get +1/+1. Blight X, Return this enchantment to its owner's hand: Return target creature card with mana value X or less from your graveyard to the battlefield. X can't be greater than the greatest toughness among creatures you control. Activate only as a sorcery.
yecl	Alchemy: Lorwyn Eclipsed	2026-02-03	9	Infestation	deacfee3-ced5-4b85-b680-d1619ac022c8			combat_body, counter_support				Creature — Elemental Incarnation	{3}{B}{B}	5	B	B	Evoke, Conjure, Wither		verify analyzer roles	https://scryfall.com/card/yecl/9/infestation?utm_source=api	Wither When this creature enters, conjure a card named Blowfly Infestation onto the battlefield. Then put a -1/-1 counter on each creature. Evoke—{1}{B}{B}, Pay 3 life.
yecl	Alchemy: Lorwyn Eclipsed	2026-02-03	10	Putrid Hexhag	17cd8d1b-0099-4f01-af2d-da5cd1faf116			combat_body, lifegain, sacrifice_support				Creature — Goblin Warlock	{1}{B}	2	B	B			verify analyzer roles	https://scryfall.com/card/yecl/10/putrid-hexhag?utm_source=api	Whenever one or more counters are put on this creature, target creature an opponent controls perpetually gains "When this creature dies, you lose 2 life."
yecl	Alchemy: Lorwyn Eclipsed	2026-02-03	11	Craterous Stomp	e0aa676e-2a3a-4ed5-93f9-65e53a8fcb96			combat_support, removal, targeted_removal				Kindred Instant — Giant	{1}{R}	2	R	R			verify analyzer roles	https://scryfall.com/card/yecl/11/craterous-stomp?utm_source=api	Craterous Stomp deals 3 damage to target creature an opponent controls. Each other creature that player controls becomes a Coward in addition to its other types and gains "This creature can't block Giants or Warriors."
yecl	Alchemy: Lorwyn Eclipsed	2026-02-03	12	Limitless Rekindling	85923c82-16c8-4291-b7c0-b8a4b9355804			card_selection, repeatable_advantage, repeatable_draw, selection				Kindred Sorcery — Elemental	{3}{R}{R}	5	R	R	Storm, Conjure		verify analyzer roles	https://scryfall.com/card/yecl/12/limitless-rekindling?utm_source=api	Conjure a random instant or sorcery card from the Lorwyn Eclipsed expansion into exile. Until end of turn, you may cast that card without paying its mana cost. Storm
yecl	Alchemy: Lorwyn Eclipsed	2026-02-03	13	Tend to the Kiln	324e1f46-8c1b-41a8-9b7b-7914487d1825			counter_support, sacrifice_support				Enchantment	{1}{R}	2	R	R	Conjure		verify analyzer roles	https://scryfall.com/card/yecl/13/tend-to-the-kiln?utm_source=api	When this enchantment enters, all non-Elemental instant and sorcery cards you own perpetually become Elemental kindreds in addition to their other types. Whenever you cast an Elemental spell, put a flame counter on this enchantment. Then if it has three or more flame counters on it, remove them, conjure a card named Flamebraider onto the battlefield, and it gains haste and "At the beginning of the end step, sacrifice this creature."
yecl	Alchemy: Lorwyn Eclipsed	2026-02-03	14	Gilt-Leaf Alchemist	c124bb23-5431-49f0-8217-7863856b3f4e			combat_body, combat_threat				Creature — Elf Druid	{G}	1	G	G	Conjure, Deathtouch		verify analyzer roles	https://scryfall.com/card/yecl/14/gilt-leaf-alchemist?utm_source=api	Deathtouch {T}: Conjure a card named Forest onto the battlefield. Activate only if two or more Elf cards are in your graveyard.
yecl	Alchemy: Lorwyn Eclipsed	2026-02-03	15	Opulent Clomper	625fd230-475c-4caf-b2a1-6baf66846d97			combat_body, combat_support				Creature — Ouphe	{1}{G}	2	G	G	Vivid		verify analyzer roles	https://scryfall.com/card/yecl/15/opulent-clomper?utm_source=api	Vivid — Opulent Clomper's power and toughness are each equal to the number of colors among permanents you control. At the beginning of your upkeep, if this creature isn't all colors, it becomes a random color that it isn't in addition to its other colors.
yecl	Alchemy: Lorwyn Eclipsed	2026-02-03	16	Topsoil Turner	b59d08c3-5606-4b43-ab26-e631ebf54af4			burst_ramp, combat_body, combat_threat, ramp, stable_ramp				Creature — Treefolk Druid	{2}{G}	3	G	G	Reach		verify analyzer roles	https://scryfall.com/card/yecl/16/topsoil-turner?utm_source=api	Reach When this creature enters, each Forest and Treefolk card in your hand perpetually gains "{T}: Add {G}{G}."
yecl	Alchemy: Lorwyn Eclipsed	2026-02-03	17	Wildgrove Summoner	4125f0ff-db61-4284-b133-4c0d7b5acc9f			combat_body, combat_support, sacrifice_support				Creature — Treefolk Druid	{2}{G}{G}{G}	5	G	G	Seek		verify analyzer roles	https://scryfall.com/card/yecl/17/wildgrove-summoner?utm_source=api	When this creature enters, Forest cards in your hand and library perpetually become 3/4 Treefolk creatures in addition to their other types and gain reach and haste. When this creature dies, seek two Forest cards and put them onto the battlefield.
yecl	Alchemy: Lorwyn Eclipsed	2026-02-03	18	Circadian Struggle	82cb6351-58db-462d-a49b-ad365f19f1ec			scalable_spell				Instant	{4}{G/U}{G/U}	6	GU	GU	Seek, Vivid		verify analyzer roles	https://scryfall.com/card/yecl/18/circadian-struggle?utm_source=api	Vivid — Seek X cards that each share a color with one or more permanents you control, where X is the number of colors among permanents you control. For each color among permanents you control, those cards perpetually gain "This spell costs {1} less to cast."
yecl	Alchemy: Lorwyn Eclipsed	2026-02-03	19	Elvish Elegy	fe815a34-6c47-4cb1-88b7-d9cb5480cfdd			card_selection, combat_support, draw, mill_support, restricted_tutor, selection, tutor				Kindred Sorcery — Elf	{B/G}	1	BG	BG	Mill		verify analyzer roles	https://scryfall.com/card/yecl/19/elvish-elegy?utm_source=api	Mill three cards, then each creature card in your graveyard perpetually gets +1/+1. You may put an Elf or land card from among the milled cards into your hand.
