setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ddd	Duel Decks: Garruk vs. Liliana	2009-10-30	1	Garruk Wildspeaker	186b4def-4fff-4a2b-bcbf-5318b0ac5fa9	covered		combat_finisher, combat_support, finisher, token_support	false		Covered by PRM role audit.	Legendary Planeswalker — Garruk	{2}{G}{G}	4	G	G			already reviewed	https://scryfall.com/card/ddd/1/garruk-wildspeaker?utm_source=api	+1: Untap two target lands. −1: Create a 3/3 green Beast creature token. −4: Creatures you control get +3/+3 and gain trample until end of turn.
ddd	Duel Decks: Garruk vs. Liliana	2009-10-30	2	Basking Rootwalla	b2ec080f-ad5d-4274-91e3-bc6ac89fc3e4	covered		combat_body, combat_support	false		Covered by TOR role audit.	Creature — Lizard	{G}	1	G	G	Madness		already reviewed	https://scryfall.com/card/ddd/2/basking-rootwalla?utm_source=api	{1}{G}: This creature gets +2/+2 until end of turn. Activate only once each turn. Madness {0} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)
ddd	Duel Decks: Garruk vs. Liliana	2009-10-30	3	Albino Troll	02079e18-ac14-4255-95c4-741eb76c4799	covered		combat_body, protection, regeneration_protection, sacrifice_support, targeted_protection	false		Covered by USG role audit.	Creature — Troll	{1}{G}	2	G	G	Regenerate, Echo		already reviewed	https://scryfall.com/card/ddd/3/albino-troll?utm_source=api	Echo {1}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.) {1}{G}: Regenerate this creature.
ddd	Duel Decks: Garruk vs. Liliana	2009-10-30	4	Vine Trellis	57de8fe7-3d1b-41cd-8354-38aff3d2d052	covered		combat_body, combat_support, ramp, stable_ramp	false		Covered by MMQ role audit.	Creature — Plant Wall	{1}{G}	2	G	G	Defender		already reviewed	https://scryfall.com/card/ddd/4/vine-trellis?utm_source=api	Defender (This creature can't attack.) {T}: Add {G}.
ddd	Duel Decks: Garruk vs. Liliana	2009-10-30	5	Wild Mongrel	e9441ab3-7a17-4f9b-a873-e5e82f6e9690	covered		combat_body, combat_support	false		Covered by ODY role audit.	Creature — Dog	{1}{G}	2	G	G			already reviewed	https://scryfall.com/card/ddd/5/wild-mongrel?utm_source=api	Discard a card: This creature gets +1/+1 and becomes the color of your choice until end of turn.
ddd	Duel Decks: Garruk vs. Liliana	2009-10-30	6	Wirewood Savage	45579312-499f-41de-b16e-a231d65a2053	covered		card_draw, combat_body, direct_draw, draw, repeatable_advantage, repeatable_draw	false		Covered by ONS role audit.	Creature — Elf	{2}{G}	3	G	G			already reviewed	https://scryfall.com/card/ddd/6/wirewood-savage?utm_source=api	Whenever a Beast enters, you may draw a card.
ddd	Duel Decks: Garruk vs. Liliana	2009-10-30	7	Blastoderm	d6ee8bd6-0207-46ee-9892-c1d1b23b934e	covered		combat_body, counter_support, sacrifice_support, self_protection	false		Covered by NEM role audit.	Creature — Beast	{2}{G}{G}	4	G	G	Shroud, Fading		already reviewed	https://scryfall.com/card/ddd/7/blastoderm?utm_source=api	Shroud (This creature can't be the target of spells or abilities.) Fading 3 (This creature enters with three fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)
ddd	Duel Decks: Garruk vs. Liliana	2009-10-30	8	Ravenous Baloth	ee771e66-72f8-480f-9920-92c68ab93c3b	covered		combat_body, lifegain, sacrifice_support	false		Covered by PRM role audit.	Creature — Beast	{2}{G}{G}	4	G	G			already reviewed	https://scryfall.com/card/ddd/8/ravenous-baloth?utm_source=api	Sacrifice a Beast: You gain 4 life.
ddd	Duel Decks: Garruk vs. Liliana	2009-10-30	9	Stampeding Wildebeests	c270c770-91ed-4540-b281-c4b60b943b34	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Covered by Visions role audit.	Creature — Antelope Beast	{2}{G}{G}	4	G	G	Trample		already reviewed	https://scryfall.com/card/ddd/9/stampeding-wildebeests?utm_source=api	Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.) At the beginning of your upkeep, return a green creature you control to its owner's hand.
ddd	Duel Decks: Garruk vs. Liliana	2009-10-30	10	Indrik Stomphowler	de47a1e8-9c69-4af6-9d72-1bdd41352b32	covered	combat_body, removal, targeted_removal	combat_body, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Beast	{4}{G}	5	G	G			verify analyzer roles	https://scryfall.com/card/ddd/10/indrik-stomphowler?utm_source=api	When this creature enters, destroy target artifact or enchantment.
