setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ori	Magic Origins	2015-07-17	1	Akroan Jailer	e3ad2c77-2a41-4a4a-a6bf-e542d0162b88	covered	combat_body, removal, tempo_removal	combat_body, removal, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ori/1/akroan-jailer?utm_source=api	{2}{W}, {T}: Tap target creature.
ori	Magic Origins	2015-07-17	2	Ampryn Tactician	4ae19803-23a7-4724-a4cd-dc6f3c16fb24	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/ori/2/ampryn-tactician?utm_source=api	When this creature enters, creatures you control get +1/+1 until end of turn.
ori	Magic Origins	2015-07-17	3	Anointer of Champions	f74ef5b0-9222-43d0-a919-aaf28dc21b59	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Cleric	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ori/3/anointer-of-champions?utm_source=api	{T}: Target attacking creature gets +1/+1 until end of turn.
ori	Magic Origins	2015-07-17	4	Archangel of Tithes	ff5caed4-0276-476d-8fae-edae2536df7f	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Angel	{1}{W}{W}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/ori/4/archangel-of-tithes?utm_source=api	Flying As long as this creature is untapped, creatures can't attack you or planeswalkers you control unless their controller pays {1} for each of those creatures. As long as this creature is attacking, creatures can't block unless their controller pays {1} for each of those creatures.
ori	Magic Origins	2015-07-17	5	Auramancer	bd5eb181-6a69-4dc2-93a0-fa000291bc3d	covered		card_selection, combat_body, hand_recursion, recursion	false		Covered by ODY role audit.	Creature — Human Wizard	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/ori/5/auramancer?utm_source=api	When this creature enters, you may return target enchantment card from your graveyard to your hand.
ori	Magic Origins	2015-07-17	6	Aven Battle Priest	696fb1fa-5535-4f73-8235-ad4416dcfdd0	covered	combat_body, combat_support, combat_threat, lifegain	combat_body, combat_support, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Bird Cleric	{5}{W}	6	W	W	Flying		verify analyzer roles	https://scryfall.com/card/ori/6/aven-battle-priest?utm_source=api	Flying (This creature can't be blocked except by creatures with flying or reach.) When this creature enters, you gain 3 life.
ori	Magic Origins	2015-07-17	7	Blessed Spirits	5fb899c1-3a2f-4b5e-a82d-fece51bdf786	covered	combat_body, combat_threat, counter_support	combat_body, combat_threat, counter_support	false		Analyzer roles accepted during batch clean pass.	Creature — Spirit	{2}{W}	3	W	W	Flying		verify analyzer roles	https://scryfall.com/card/ori/7/blessed-spirits?utm_source=api	Flying Whenever you cast an enchantment spell, put a +1/+1 counter on this creature.
ori	Magic Origins	2015-07-17	8	Celestial Flare	efdaa3eb-e5d1-4438-b21d-2ec0fff44721	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{W}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/ori/8/celestial-flare?utm_source=api	Target player sacrifices an attacking or blocking creature of their choice.
ori	Magic Origins	2015-07-17	9	Charging Griffin	1c99a5cc-d974-4a4b-a03b-a78bfe738ed7	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Griffin	{3}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/ori/9/charging-griffin?utm_source=api	Flying (This creature can't be blocked except by creatures with flying or reach.) Whenever this creature attacks, it gets +1/+1 until end of turn.
ori	Magic Origins	2015-07-17	10	Cleric of the Forward Order	84a2a592-0e31-434f-b3b4-f2013d86f29d	covered	combat_body, lifegain	combat_body, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Human Cleric	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/ori/10/cleric-of-the-forward-order?utm_source=api	When this creature enters, you gain 2 life for each creature you control named Cleric of the Forward Order.
ori	Magic Origins	2015-07-17	11	Consul's Lieutenant	a38b672f-4739-4b7e-8958-2a455510656e	covered	combat_body, combat_support, combat_threat, counter_support	combat_body, combat_support, combat_threat, counter_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{W}{W}	2	W	W	Renown, First strike		verify analyzer roles	https://scryfall.com/card/ori/11/consuls-lieutenant?utm_source=api	First strike Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.) Whenever this creature attacks, if it's renowned, other attacking creatures you control get +1/+1 until end of turn.
ori	Magic Origins	2015-07-17	12	Enlightened Ascetic	8fe257e5-b54a-4e56-8040-d2eaa0bb0a6a	covered	combat_body, removal, targeted_removal	combat_body, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Cat Monk	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/ori/12/enlightened-ascetic?utm_source=api	When this creature enters, you may destroy target enchantment.
ori	Magic Origins	2015-07-17	13	Enshrouding Mist	e513c05c-14c0-4d2e-a5b3-e4f29cb4c1a2	covered	broad_protection, combat_support, protection	broad_protection, combat_support, protection	false		Analyzer roles accepted during batch clean pass.	Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/ori/13/enshrouding-mist?utm_source=api	Target creature gets +1/+1 until end of turn. Prevent all damage that would be dealt to it this turn. If it's renowned, untap it.
ori	Magic Origins	2015-07-17	14	Gideon's Phalanx	f9489831-a9a2-47ab-abae-2f389c9fae2c	covered	broad_protection, combat_support, protection, self_protection, token_support	broad_protection, combat_support, protection, self_protection, token_support	false		Analyzer roles accepted during batch clean pass.	Instant	{5}{W}{W}	7	W	W	Spell mastery		verify analyzer roles	https://scryfall.com/card/ori/14/gideons-phalanx?utm_source=api	Create four 2/2 white Knight creature tokens with vigilance. Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, creatures you control gain indestructible until end of turn.
ori	Magic Origins	2015-07-17	15	Grasp of the Hieromancer	51310af7-796d-4cf0-871e-5055765ffcdd	covered	combat_support, removal, tempo_removal	combat_support, removal, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{1}{W}	2	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/ori/15/grasp-of-the-hieromancer?utm_source=api	Enchant creature Enchanted creature gets +1/+1 and has "Whenever this creature attacks, tap target creature defending player controls."
ori	Magic Origins	2015-07-17	16	Hallowed Moonlight	e9541db2-2874-4307-b896-c403f6d82e68	covered	card_draw, direct_draw, draw, replacement_engine, stax_piece	card_draw, direct_draw, draw, replacement_engine, stax_piece	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/ori/16/hallowed-moonlight?utm_source=api	Until end of turn, if a creature would enter and it wasn't cast, exile it instead. Draw a card.
ori	Magic Origins	2015-07-17	17	Healing Hands	3cc48835-3ac0-4774-b380-f9b21d2dc974	covered	card_draw, direct_draw, draw, lifegain	card_draw, direct_draw, draw, lifegain	false		Analyzer roles accepted during batch clean pass.	Sorcery	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ori/17/healing-hands?utm_source=api	Target player gains 4 life. Draw a card.
ori	Magic Origins	2015-07-17	18	Heavy Infantry	d07707ef-fa4e-423f-8a1f-095d19100321	covered	combat_body, removal, tempo_removal	combat_body, removal, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{4}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/ori/18/heavy-infantry?utm_source=api	When this creature enters, tap target creature an opponent controls.
ori	Magic Origins	2015-07-17	19	Hixus, Prison Warden	02bff648-fbad-4d61-ab09-93993a5fda58	covered		combat_body, combat_support, replacement_engine, tempo_support	false		Covered by PRM role audit.	Legendary Creature — Human Soldier	{3}{W}{W}	5	W	W	Flash		already reviewed	https://scryfall.com/card/ori/19/hixus-prison-warden?utm_source=api	Flash (You may cast this spell any time you could cast an instant.) Whenever a creature deals combat damage to you, if Hixus entered this turn, exile that creature until Hixus leaves the battlefield. (That creature returns under its owner's control.)
ori	Magic Origins	2015-07-17	20	Knight of the Pilgrim's Road	40999aa6-6424-42e4-9d47-33bee6bbb886	covered	combat_body, combat_support, counter_support	combat_body, combat_support, counter_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Knight	{2}{W}	3	W	W	Renown		verify analyzer roles	https://scryfall.com/card/ori/20/knight-of-the-pilgrims-road?utm_source=api	Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)
ori	Magic Origins	2015-07-17	21	Knight of the White Orchid	7d0efc64-151f-45b4-8c0b-c32609f9d862	covered	combat_body, combat_threat, land_acceleration, land_tutor, mana_fixing, ramp, tutor	combat_body, combat_threat, land_acceleration, land_tutor, mana_fixing, ramp, tutor	false		Analyzer roles accepted during batch clean pass.	Creature — Human Knight	{W}{W}	2	W	W	First strike		verify analyzer roles	https://scryfall.com/card/ori/21/knight-of-the-white-orchid?utm_source=api	First strike When this creature enters, if an opponent controls more lands than you, you may search your library for a Plains card, put it onto the battlefield, then shuffle.
ori	Magic Origins	2015-07-17	22	Knightly Valor	9ba6cec6-97bf-4a83-9ffa-77e187d0945b	covered	combat_support, token_support	combat_support, token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{4}{W}	5	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/ori/22/knightly-valor?utm_source=api	Enchant creature When this Aura enters, create a 2/2 white Knight creature token with vigilance. (Attacking doesn't cause it to tap.) Enchanted creature gets +2/+2 and has vigilance.
ori	Magic Origins	2015-07-17	23	Kytheon, Hero of Akros // Gideon, Battle-Forged	e49d745c-5130-4b54-bcbb-643b08528456	covered	broad_protection, combat_body, combat_support, protection, self_protection, targeted_protection	broad_protection, combat_body, combat_support, protection, self_protection, targeted_protection	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Soldier // Legendary Planeswalker — Gideon		1		W	Transform		verify analyzer roles	https://scryfall.com/card/ori/23/kytheon-hero-of-akros-gideon-battle-forged?utm_source=api	Kytheon, Hero of Akros: At end of combat, if Kytheon and at least two other creatures attacked this combat, exile Kytheon, then return him to the battlefield transformed under his owner's control. {2}{W}: Kytheon gains indestructible until end of turn. // Gideon, Battle-Forged: +2: Up to one target creature an opponent controls attacks Gideon during its controller's next turn if able. +1: Until your next turn, target creature gains indestructible. Untap that creature. 0: Until end of turn, Gideon becomes a 4/4 Human Soldier creature with indestructible that's still a planeswalker. Prevent all damage that would be dealt to him this turn.
ori	Magic Origins	2015-07-17	24	Kytheon's Irregulars	ccfddb1a-1b7f-44f9-89c4-1907e27e1c4a	covered	combat_body, combat_support, counter_support, removal, tempo_removal	combat_body, combat_support, counter_support, removal, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{2}{W}{W}	4	W	W	Renown		verify analyzer roles	https://scryfall.com/card/ori/24/kytheons-irregulars?utm_source=api	Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.) {W}{W}: Tap target creature.
ori	Magic Origins	2015-07-17	25	Kytheon's Tactics	8ecbbf14-68c3-4378-9fce-383f9d901bfa	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Sorcery	{1}{W}{W}	3	W	W	Spell mastery		verify analyzer roles	https://scryfall.com/card/ori/25/kytheons-tactics?utm_source=api	Creatures you control get +2/+1 until end of turn. Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, those creatures also gain vigilance until end of turn. (Attacking doesn't cause them to tap.)
ori	Magic Origins	2015-07-17	26	Mighty Leap	593caa15-e1d1-477f-bbb4-124d7a7b81f3	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/ori/26/mighty-leap?utm_source=api	Target creature gets +2/+2 and gains flying until end of turn.
ori	Magic Origins	2015-07-17	27	Murder Investigation	42ca56c5-a9c4-4a2c-ae05-bce47aa6e16c	covered	combat_support, sacrifice_support, scalable_spell, token_support	combat_support, sacrifice_support, scalable_spell, token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{1}{W}	2	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/ori/27/murder-investigation?utm_source=api	Enchant creature you control When enchanted creature dies, create X 1/1 white Soldier creature tokens, where X is its power.
ori	Magic Origins	2015-07-17	28	Patron of the Valiant	4d36ea21-e8cb-442d-ba3f-c399289ac208	covered	combat_body, combat_threat, counter_support	combat_body, combat_threat, counter_support	false		Analyzer roles accepted during batch clean pass.	Creature — Angel	{3}{W}{W}	5	W	W	Flying		verify analyzer roles	https://scryfall.com/card/ori/28/patron-of-the-valiant?utm_source=api	Flying When this creature enters, put a +1/+1 counter on each creature you control with a +1/+1 counter on it.
ori	Magic Origins	2015-07-17	29	Relic Seeker	1f101363-c7d1-405a-b3a9-e93b46928dbf	covered		combat_body, combat_support, counter_support, restricted_tutor, tutor	false		Covered by PRM role audit.	Creature — Human Soldier	{1}{W}	2	W	W	Renown		already reviewed	https://scryfall.com/card/ori/29/relic-seeker?utm_source=api	Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.) When this creature becomes renowned, you may search your library for an Equipment card, reveal it, put it into your hand, then shuffle.
ori	Magic Origins	2015-07-17	30	Sentinel of the Eternal Watch	572b1aeb-d2a0-433d-b167-86e683c2127d	covered	combat_body, combat_threat, removal, tempo_removal	combat_body, combat_threat, removal, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Giant Soldier	{5}{W}	6	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/ori/30/sentinel-of-the-eternal-watch?utm_source=api	Vigilance (Attacking doesn't cause this creature to tap.) At the beginning of combat on each opponent's turn, tap target creature that player controls.
ori	Magic Origins	2015-07-17	31	Sigil of the Empty Throne	3b9b5b22-5a7d-4e37-a870-ca0f0efa4f36	covered	token_support	token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/ori/31/sigil-of-the-empty-throne?utm_source=api	Whenever you cast an enchantment spell, create a 4/4 white Angel creature token with flying.
