setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
afc	Forgotten Realms Commander	2021-07-23	1	Galea, Kindler of Hope	30c0df75-9822-4016-a52b-d2e69dd58124	covered		card_selection, combat_body, combat_threat, direct_draw, draw, repeatable_advantage, selection	false		Covered by PRM role audit.	Legendary Creature — Elf Knight	{1}{G}{W}{U}	4	GUW	GUW	Vigilance		already reviewed	https://scryfall.com/card/afc/1/galea-kindler-of-hope?utm_source=api	Vigilance You may look at the top card of your library any time. You may cast Aura and Equipment spells from the top of your library. When you cast an Equipment spell this way, it gains "When this Equipment enters, attach it to target creature you control."
afc	Forgotten Realms Commander	2021-07-23	2	Prosper, Tome-Bound	1e9b0fd6-5aae-401a-8df5-d94ce6442696	covered		burst_ramp, card_selection, combat_body, combat_threat, direct_draw, draw, mana_fixing, ramp, repeatable_advantage, repeatable_draw, selection, token_support	false		Covered by PRM role audit.	Legendary Creature — Tiefling Warlock	{2}{B}{R}	4	BR	BR	Treasure, Deathtouch		already reviewed	https://scryfall.com/card/afc/2/prosper-tome-bound?utm_source=api	Deathtouch Mystic Arcanum — At the beginning of your end step, exile the top card of your library. Until the end of your next turn, you may play that card. Pact Boon — Whenever you play a card from exile, create a Treasure token.
afc	Forgotten Realms Commander	2021-07-23	3	Sefris of the Hidden Ways	9b21e056-57e7-4e39-b2b4-2fdf8719d0d2	covered	battlefield_recursion, card_selection, combat_body, dungeon_support, recursion, repeatable_advantage	battlefield_recursion, card_selection, combat_body, dungeon_support, recursion, repeatable_advantage	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Wizard	{W}{U}{B}	3	BUW	BUW	Venture into the dungeon		verify analyzer roles	https://scryfall.com/card/afc/3/sefris-of-the-hidden-ways?utm_source=api	Whenever one or more creature cards are put into your graveyard from anywhere, venture into the dungeon. This ability triggers only once each turn. (To venture into the dungeon, enter the first room or advance to the next room.) Create Undead — Whenever you complete a dungeon, return target creature card from your graveyard to the battlefield.
afc	Forgotten Realms Commander	2021-07-23	4	Vrondiss, Rage of Ancients	2160c837-342b-409f-a1db-0ec5ac023ccf	covered	combat_body, dice_support, sacrifice_support, token_support	combat_body, dice_support, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Dragon Barbarian	{3}{R}{G}	5	GR	GR	Enrage		verify analyzer roles	https://scryfall.com/card/afc/4/vrondiss-rage-of-ancients?utm_source=api	Enrage — Whenever Vrondiss is dealt damage, you may create a 5/4 red and green Dragon Spirit creature token with "When this token deals damage, sacrifice it." Whenever you roll one or more dice, you may have Vrondiss deal 1 damage to itself.
afc	Forgotten Realms Commander	2021-07-23	5	Fey Steed	18cced8b-9836-4e11-bb4e-69a971a33a50	covered	card_draw, combat_body, combat_support, direct_draw, draw, protection, repeatable_advantage, repeatable_draw, self_protection, targeted_protection	card_draw, combat_body, combat_support, direct_draw, draw, protection, repeatable_advantage, repeatable_draw, self_protection, targeted_protection	false		Analyzer roles accepted during batch clean pass.	Creature — Elk	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/afc/5/fey-steed?utm_source=api	Whenever this creature attacks, another target attacking creature you control gains indestructible until end of turn. Whenever a creature or planeswalker you control becomes the target of a spell or ability an opponent controls, you may draw a card.
afc	Forgotten Realms Commander	2021-07-23	6	Holy Avenger	86df1de7-967a-4420-847f-7a77d0217a15	covered	artifact_support, combat_support	artifact_support, combat_support	false		Analyzer roles accepted during batch clean pass.	Artifact — Equipment	{2}{W}	3	W	W	Equip		verify analyzer roles	https://scryfall.com/card/afc/6/holy-avenger?utm_source=api	Equipped creature has double strike. Whenever equipped creature deals combat damage, you may put an Aura card from your hand onto the battlefield attached to it. Equip {2}{W}
afc	Forgotten Realms Commander	2021-07-23	7	Immovable Rod	ec664e13-b7c4-4ca3-80d6-55a564d97937	covered	combat_support, dungeon_support, repeatable_advantage	combat_support, dungeon_support, repeatable_advantage	false		Analyzer roles accepted during batch clean pass.	Artifact	{W}	1	W	W	Venture into the dungeon		verify analyzer roles	https://scryfall.com/card/afc/7/immovable-rod?utm_source=api	You may choose not to untap this artifact during your untap step. Whenever this artifact becomes untapped, venture into the dungeon. {3}{W}, {T}: For as long as this artifact remains tapped, another target permanent loses all abilities and can't attack or block.
afc	Forgotten Realms Commander	2021-07-23	8	Mantle of the Ancients	7424560f-557f-4bc9-a3e7-eb890c73aaa3	covered	battlefield_recursion, card_selection, combat_support, mass_recursion, recursion	battlefield_recursion, card_selection, combat_support, mass_recursion, recursion	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{3}{W}{W}	5	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/afc/8/mantle-of-the-ancients?utm_source=api	Enchant creature you control When this Aura enters, return any number of target Aura and/or Equipment cards from your graveyard to the battlefield attached to enchanted creature. Enchanted creature gets +1/+1 for each Aura and Equipment attached to it.
afc	Forgotten Realms Commander	2021-07-23	9	Radiant Solar	21a86dcd-03e3-409b-b214-5feed07db584	covered		combat_body, combat_threat, dungeon_support, lifegain, repeatable_advantage	false		Covered by PRM role audit.	Creature — Angel	{5}{W}	6	W	W	Flying, Lifelink, Venture into the dungeon		already reviewed	https://scryfall.com/card/afc/9/radiant-solar?utm_source=api	Flying, lifelink Whenever this creature or another nontoken creature you control enters, venture into the dungeon. (Enter the first room or advance to the next room.) {W}, Discard this card: Venture into the dungeon and you gain 3 life.
afc	Forgotten Realms Commander	2021-07-23	10	Revivify	55eb3c21-6834-4c62-8ab9-54b901531fed	covered	card_selection, dice_support, hand_recursion, mass_recursion	card_selection, dice_support, hand_recursion, mass_recursion	false		Analyzer roles accepted during batch clean pass.	Instant	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/afc/10/revivify?utm_source=api	Roll a d20 and add the number of creature cards in your graveyard that were put there from the battlefield this turn. 1—14 | Return all creature cards in your graveyard that were put there from the battlefield this turn to your hand. 15+ | Return those cards from your graveyard to the battlefield.
