setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
con	Conflux	2009-02-06	1	Aerie Mystics	12134f7d-433a-416a-b668-c1a21984c94b	covered	broad_protection, combat_body, combat_threat, self_protection	broad_protection, combat_body, combat_threat, self_protection	false		Analyzer roles accepted during batch clean pass.	Creature — Bird Wizard	{4}{W}	5	W	GUW	Flying		verify analyzer roles	https://scryfall.com/card/con/1/aerie-mystics?utm_source=api	Flying {1}{G}{U}: Creatures you control gain shroud until end of turn. (They can't be the targets of spells or abilities.)
con	Conflux	2009-02-06	2	Asha's Favor	97e7ada6-dee1-4bb3-a42d-38a61d946bd4	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{2}{W}	3	W	W	First strike, Enchant		verify analyzer roles	https://scryfall.com/card/con/2/ashas-favor?utm_source=api	Enchant creature Enchanted creature has flying, first strike, and vigilance.
con	Conflux	2009-02-06	3	Aven Squire	01518a87-6b16-4b7b-805d-b652404c6356	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Bird Soldier	{1}{W}	2	W	W	Flying, Exalted		verify analyzer roles	https://scryfall.com/card/con/3/aven-squire?utm_source=api	Flying Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)
con	Conflux	2009-02-06	4	Aven Trailblazer	518115c9-0f0f-4249-81ff-e79b27dda1be	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Bird Soldier	{2}{W}	3	W	W	Flying, Domain		verify analyzer roles	https://scryfall.com/card/con/4/aven-trailblazer?utm_source=api	Flying Domain — Aven Trailblazer's toughness is equal to the number of basic land types among lands you control.
con	Conflux	2009-02-06	5	Celestial Purge	ec1f6188-2516-46ac-8a03-7b7285b23a62	covered		removal, targeted_removal	false		Covered by PRM role audit.	Instant	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/con/5/celestial-purge?utm_source=api	Exile target black or red permanent.
con	Conflux	2009-02-06	6	Court Homunculus	b597e801-2648-48b9-8a21-02baa13e37af	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Artifact Creature — Homunculus	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/con/6/court-homunculus?utm_source=api	This creature gets +1/+1 as long as you control another artifact.
con	Conflux	2009-02-06	7	Darklit Gargoyle	e48d9efa-c169-4587-86fc-0021f265d69b	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Artifact Creature — Gargoyle	{1}{W}	2	W	BW	Flying		verify analyzer roles	https://scryfall.com/card/con/7/darklit-gargoyle?utm_source=api	Flying {B}: This creature gets +2/-1 until end of turn.
con	Conflux	2009-02-06	8	Gleam of Resistance	c4c0a391-4549-4041-bc6d-09f8b756868e	covered	card_selection, combat_support, land_acceleration, land_tutor, mana_fixing, ramp, selection, tutor	card_selection, combat_support, land_acceleration, land_tutor, mana_fixing, ramp, selection, tutor	false		Analyzer roles accepted during batch clean pass.	Instant	{4}{W}	5	W	W	Landcycling, Basic landcycling, Typecycling, Cycling		verify analyzer roles	https://scryfall.com/card/con/8/gleam-of-resistance?utm_source=api	Creatures you control get +1/+2 until end of turn. Untap those creatures. Basic landcycling {1}{W} ({1}{W}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)
con	Conflux	2009-02-06	9	Lapse of Certainty	1b721ad3-d0f6-4eec-9bf0-f57ea9dfa392	covered	hard_stack, stack	hard_stack, stack	false		Analyzer roles accepted during batch clean pass.	Instant	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/con/9/lapse-of-certainty?utm_source=api	Counter target spell. If that spell is countered this way, put it on top of its owner's library instead of into that player's graveyard.
con	Conflux	2009-02-06	10	Mark of Asylum	d4327e06-ee89-459c-a43a-dc064e198fef	covered	broad_protection, protection	broad_protection, protection	false		Covered by batch analyzer expansion for remaining role audit cases.	Enchantment	{1}{W}	2	W	W			manual review	https://scryfall.com/card/con/10/mark-of-asylum?utm_source=api	Prevent all noncombat damage that would be dealt to creatures you control.
