setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pal04	Arena League 2004	2004-01-01	1	Plains	bc71ebf6-2056-41f7-be35-b2e5c34afa99	covered	basic_land, land_base, land_slot, mana_source	basic_land, land_base, land_slot, mana_source	false		Covered by Ice Age role audit.	Basic Land — Plains		0		W			already reviewed	https://scryfall.com/card/pal04/1/plains?utm_source=api	({T}: Add {W}.)
pal04	Arena League 2004	2004-01-01	2	Island	b2c6aa39-2d2a-459c-a555-fb48ba993373	covered	basic_land, land_base, land_slot, mana_source	basic_land, land_base, land_slot, mana_source	false		Covered by Ice Age role audit.	Basic Land — Island		0		U			already reviewed	https://scryfall.com/card/pal04/2/island?utm_source=api	({T}: Add {U}.)
pal04	Arena League 2004	2004-01-01	3	Swamp	56719f6a-1a6c-4c0a-8d21-18f7d7350b68	covered	basic_land, land_base, land_slot, mana_source	basic_land, land_base, land_slot, mana_source	false		Covered by Ice Age role audit.	Basic Land — Swamp		0		B			already reviewed	https://scryfall.com/card/pal04/3/swamp?utm_source=api	({T}: Add {B}.)
pal04	Arena League 2004	2004-01-01	4	Mountain	a3fb7228-e76b-4e96-a40e-20b5fed75685	covered	basic_land, land_base, land_slot, mana_source	basic_land, land_base, land_slot, mana_source	false		Covered by Arabian Nights role audit.	Basic Land — Mountain		0		R			already reviewed	https://scryfall.com/card/pal04/4/mountain?utm_source=api	({T}: Add {R}.)
pal04	Arena League 2004	2004-01-01	5	Forest	b34bb2dc-c1af-4d77-b0b3-a0fb342a5fc6	covered	basic_land, land_base, land_slot, mana_source	basic_land, land_base, land_slot, mana_source	false		Covered by Ice Age role audit.	Basic Land — Forest		0		G			already reviewed	https://scryfall.com/card/pal04/5/forest?utm_source=api	({T}: Add {G}.)
pal04	Arena League 2004	2004-01-01	6	Darksteel Ingot	a2529491-7389-4cfa-92d2-145eda779603	covered		mana_fixing, ramp, self_protection, stable_ramp	false		Covered by PRM role audit.	Artifact	{3}	3			Indestructible		already reviewed	https://scryfall.com/card/pal04/6/darksteel-ingot?utm_source=api	Indestructible (Effects that say "destroy" don't destroy this artifact.) {T}: Add one mana of any color.
pal04	Arena League 2004	2004-01-01	7	Serum Visions	56956afd-db53-4542-816b-490c8b0bbcf7	covered		card_draw, card_selection, direct_draw, draw, selection	false		Covered by PRM role audit.	Sorcery	{U}	1	U	U	Scry		already reviewed	https://scryfall.com/card/pal04/7/serum-visions?utm_source=api	Draw a card. Scry 2.
pal04	Arena League 2004	2004-01-01	8	Glacial Ray	e65a8ab8-84a7-4fe2-b009-ceb87bec6b4e	covered		burst_ramp, removal, targeted_removal	false		Covered by PRM role audit.	Instant — Arcane	{1}{R}	2	R	R	Splice		already reviewed	https://scryfall.com/card/pal04/8/glacial-ray?utm_source=api	Glacial Ray deals 2 damage to any target. Splice onto Arcane {1}{R} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)
pal04	Arena League 2004	2004-01-01	9	Circle of Protection: Art	d2b40c9a-e68a-415a-8112-b316b5be057b							Enchantment	{1}{W}	2	W	W			manual review	https://scryfall.com/card/pal04/9/circle-of-protection:-art?utm_source=api	As this enchantment enters, choose an artist. {1}{W}: The next time a source of your choice with art by the chosen artist would deal damage to you this turn, prevent that damage. {1}{W}: Return this enchantment to its owner's hand.
pal04	Arena League 2004	2004-01-01	10	Mise	ee8de564-9c46-437e-92e6-829f002e181d			card_draw, direct_draw, draw				Instant	{U}	1	U	U			verify analyzer roles	https://scryfall.com/card/pal04/10/mise?utm_source=api	Choose a nonland card name, then reveal the top card of your library. If that card has the chosen name, you draw three cards.
pal04	Arena League 2004	2004-01-01	11	Booster Tutor	a6eab631-77d8-4fc2-9305-a299ecf33e46							Instant	{B}	1	B	B			manual review	https://scryfall.com/card/pal04/11/booster-tutor?utm_source=api	Open a sealed Magic booster pack, reveal the cards, and put one of them into your hand. (Remove that card from your deck before beginning a new game.)
pal04	Arena League 2004	2004-01-01	12	Goblin Mime	ed7dca6c-35b4-4793-84d5-e041b3ae2a68			combat_body, sacrifice_support				Creature — Goblin Mime	{1}{R}	2	R	R			verify analyzer roles	https://scryfall.com/card/pal04/12/goblin-mime?utm_source=api	When you speak, sacrifice this creature.
pal04	Arena League 2004	2004-01-01	13	Granny's Payback	d43c4ecb-a113-4d4f-9d58-9264b3355495			lifegain				Sorcery	{7}{G}	8	G	G			verify analyzer roles	https://scryfall.com/card/pal04/13/grannys-payback?utm_source=api	You gain life equal to your age.
pal04	Arena League 2004	2004-01-01	14	Ashnod's Coupon	4d4b7108-5287-4d52-94a1-a0f99c14c969	covered		sacrifice_support	false			Artifact	{0}	0					already reviewed	https://scryfall.com/card/pal04/14/ashnods-coupon?utm_source=api	{T}, Sacrifice this artifact: Target player gets you target drink. You pay any costs for the drink.
