setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
mid	Innistrad: Midnight Hunt	2021-09-24	1	Adeline, Resplendent Cathar	38515f89-348b-4cf3-b7bd-1f6fe4ce2fba	covered	combat_body, combat_support, combat_threat, token_support	combat_body, combat_support, combat_threat, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Knight	{1}{W}{W}	3	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/mid/1/adeline-resplendent-cathar?utm_source=api	Vigilance Adeline's power is equal to the number of creatures you control. Whenever you attack, for each opponent, create a 1/1 white Human creature token that's tapped and attacking that player or a planeswalker they control.
mid	Innistrad: Midnight Hunt	2021-09-24	2	Ambitious Farmhand // Seasoned Cathar	b85e7ab2-6f57-4b65-8c16-034b342996f0	covered	combat_body, combat_threat, land_acceleration, land_tutor, lifegain, mana_fixing, ramp, tutor	combat_body, combat_threat, land_acceleration, land_tutor, lifegain, mana_fixing, ramp, tutor	false		Analyzer roles accepted during batch clean pass.	Creature — Human Peasant // Creature — Human Knight		2		W	Lifelink, Transform, Coven		verify analyzer roles	https://scryfall.com/card/mid/2/ambitious-farmhand-seasoned-cathar?utm_source=api	Ambitious Farmhand: When this creature enters, you may search your library for a basic Plains card, reveal it, put it into your hand, then shuffle. Coven — {1}{W}{W}: Transform this creature. Activate only if you control three or more creatures with different powers. // Seasoned Cathar: Lifelink
mid	Innistrad: Midnight Hunt	2021-09-24	3	Beloved Beggar // Generous Soul	74c9cc13-c03f-4322-82af-b7bce1f2a0d8	covered	combat_body, combat_threat, graveyard_support, replacement_engine	combat_body, combat_threat, graveyard_support, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Creature — Human Peasant // Creature — Spirit		2		W	Flying, Vigilance, Transform, Disturb		verify analyzer roles	https://scryfall.com/card/mid/3/beloved-beggar-generous-soul?utm_source=api	Beloved Beggar: Disturb {4}{W}{W} (You may cast this card from your graveyard transformed for its disturb cost.) // Generous Soul: Flying, vigilance If Generous Soul would be put into a graveyard from anywhere, exile it instead.
mid	Innistrad: Midnight Hunt	2021-09-24	4	Bereaved Survivor // Dauntless Avenger	bfa60dd1-fcc8-4126-ab7a-4695c74f5bce	covered	battlefield_recursion, card_selection, combat_body, combat_support, recursion, repeatable_advantage, sacrifice_support	battlefield_recursion, card_selection, combat_body, combat_support, recursion, repeatable_advantage, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Peasant // Creature — Human Soldier		3		W	Transform		verify analyzer roles	https://scryfall.com/card/mid/4/bereaved-survivor-dauntless-avenger?utm_source=api	Bereaved Survivor: When another creature you control dies, transform this creature. // Dauntless Avenger: Whenever this creature attacks, return target creature card with mana value 2 or less from your graveyard to the battlefield tapped and attacking.
mid	Innistrad: Midnight Hunt	2021-09-24	5	Blessed Defiance	04e3d36f-5dec-422c-a371-15e135fdface	covered	combat_support, lifegain, sacrifice_support, token_support	combat_support, lifegain, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/mid/5/blessed-defiance?utm_source=api	Target creature you control gets +2/+0 and gains lifelink until end of turn. When that creature dies this turn, create a 1/1 white Spirit creature token with flying.
mid	Innistrad: Midnight Hunt	2021-09-24	6	Borrowed Time	f1ac4e0e-5633-46e4-9a21-d3924e481d13	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Enchantment	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/mid/6/borrowed-time?utm_source=api	When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.
mid	Innistrad: Midnight Hunt	2021-09-24	7	Brutal Cathar // Moonrage Brute	1ed2d8e0-462b-468e-8fd3-1f3c6d99fb8a	covered	combat_body, combat_threat, removal, self_protection, targeted_removal	combat_body, combat_threat, removal, self_protection, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier Werewolf // Creature — Werewolf		3		RW	Daybound, First strike, Ward, Nightbound		verify analyzer roles	https://scryfall.com/card/mid/7/brutal-cathar-moonrage-brute?utm_source=api	Brutal Cathar: Whenever this creature enters or transforms into Brutal Cathar, exile target creature an opponent controls until this creature leaves the battlefield. Daybound (If a player casts no spells during their own turn, it becomes night next turn.) // Moonrage Brute: First strike Ward—Pay 3 life. Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)
mid	Innistrad: Midnight Hunt	2021-09-24	8	Candlegrove Witch	95f47e9b-0290-4ec4-a1ba-bc5a432ffab2	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Warlock	{1}{W}	2	W	W	Coven		verify analyzer roles	https://scryfall.com/card/mid/8/candlegrove-witch?utm_source=api	Coven — At the beginning of combat on your turn, if you control three or more creatures with different powers, this creature gains flying until end of turn.
mid	Innistrad: Midnight Hunt	2021-09-24	9	Candletrap	089788ce-d06c-4a85-915c-82e2cb5b0103	covered	combat_support, sacrifice_support	combat_support, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{W}	1	W	W	Enchant, Coven		verify analyzer roles	https://scryfall.com/card/mid/9/candletrap?utm_source=api	Enchant creature Enchanted creature has defender. Prevent all combat damage that would be dealt by enchanted creature. Coven — {2}{W}, Sacrifice this Aura: Exile enchanted creature. Activate only if you control three or more creatures with different powers.
mid	Innistrad: Midnight Hunt	2021-09-24	10	Cathar Commando	774dce79-67e0-4820-8013-c7a7347993ce	covered	combat_body, removal, sacrifice_support, targeted_removal	combat_body, removal, sacrifice_support, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{1}{W}	2	W	W	Flash		verify analyzer roles	https://scryfall.com/card/mid/10/cathar-commando?utm_source=api	Flash {1}, Sacrifice this creature: Destroy target artifact or enchantment.
mid	Innistrad: Midnight Hunt	2021-09-24	11	Cathar's Call	433e92d2-899a-4eed-98b9-80de5d25494b	covered	combat_support, token_support	combat_support, token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{2}{W}	3	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/mid/11/cathars-call?utm_source=api	Enchant creature Enchanted creature has vigilance and "At the beginning of your end step, create a 1/1 white Human creature token."
mid	Innistrad: Midnight Hunt	2021-09-24	12	Celestus Sanctifier	6885aa03-fbfe-4c2e-a785-0865788574b4	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Creature — Human Cleric	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/mid/12/celestus-sanctifier?utm_source=api	If it's neither day nor night, it becomes day as this creature enters. Whenever day becomes night or night becomes day, look at the top two cards of your library. Put one of them into your graveyard.
mid	Innistrad: Midnight Hunt	2021-09-24	13	Chaplain of Alms // Chapel Shieldgeist	c21d1ca3-3d19-4b4d-bbfa-07b5b7bcea4b	covered	broad_protection, combat_body, combat_support, combat_threat, graveyard_support, replacement_engine, self_protection	broad_protection, combat_body, combat_support, combat_threat, graveyard_support, replacement_engine, self_protection	false		Analyzer roles accepted during batch clean pass.	Creature — Human Cleric // Creature — Spirit Cleric		1		W	Flying, Transform, First strike, Ward, Disturb		verify analyzer roles	https://scryfall.com/card/mid/13/chaplain-of-alms-chapel-shieldgeist?utm_source=api	Chaplain of Alms: First strike Ward {1} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.) Disturb {3}{W} (You may cast this card from your graveyard transformed for its disturb cost.) // Chapel Shieldgeist: Flying, first strike Each creature you control has ward {1}. (Whenever it becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.) If Chapel Shieldgeist would be put into a graveyard from anywhere, exile it instead.
mid	Innistrad: Midnight Hunt	2021-09-24	14	Clarion Cathars	193f9b12-ee34-40c2-9315-6794416a4f62	covered	combat_body, token_support	combat_body, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Knight	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/mid/14/clarion-cathars?utm_source=api	When this creature enters, create a 1/1 white Human creature token.
mid	Innistrad: Midnight Hunt	2021-09-24	15	Curse of Silence	36e267c5-ea98-4e26-b2b4-3faa05493eb4	covered		card_draw, direct_draw, draw, repeatable_advantage, repeatable_draw, sacrifice_support	false		Covered by PRM role audit.	Enchantment — Aura Curse	{W}	1	W	W	Enchant		already reviewed	https://scryfall.com/card/mid/15/curse-of-silence?utm_source=api	Enchant player As this Aura enters, choose a card name. Spells with the chosen name enchanted player casts cost {2} more to cast. Whenever enchanted player casts a spell with the chosen name, you may sacrifice this Aura. If you do, draw a card.
mid	Innistrad: Midnight Hunt	2021-09-24	16	Duelcraft Trainer	81713b4d-85df-4b2c-9673-4f5162590149	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{3}{W}	4	W	W	First strike, Coven		verify analyzer roles	https://scryfall.com/card/mid/16/duelcraft-trainer?utm_source=api	First strike Coven — At the beginning of combat on your turn, if you control three or more creatures with different powers, target creature you control gains double strike until end of turn.
mid	Innistrad: Midnight Hunt	2021-09-24	17	Enduring Angel // Angelic Enforcer	93d1e21b-7326-4aad-9f6e-e0e391845a18	covered		broad_protection, combat_body, combat_support, combat_threat, life_total_protection, multiplier_support, protection, replacement_engine, self_protection	false		Covered by PRM role audit.	Creature — Angel // Creature — Angel		5		W	Flying, Transform, Double strike, Double		already reviewed	https://scryfall.com/card/mid/17/enduring-angel-angelic-enforcer?utm_source=api	Enduring Angel: Flying, double strike You have hexproof. If your life total would be reduced to 0 or less, instead transform this creature and your life total becomes 3. Then if this creature didn't transform this way, you lose the game. // Angelic Enforcer: Flying You have hexproof. Angelic Enforcer's power and toughness are each equal to your life total. Whenever this creature attacks, double your life total.
mid	Innistrad: Midnight Hunt	2021-09-24	18	Fateful Absence	35bba442-1aec-4d33-b502-4c580d61644b	covered		card_draw, direct_draw, draw, removal, sacrifice_support, selection, targeted_removal, token_support	false		Covered by PRM role audit.	Instant	{1}{W}	2	W	W	Investigate		already reviewed	https://scryfall.com/card/mid/18/fateful-absence?utm_source=api	Destroy target creature or planeswalker. Its controller investigates. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
mid	Innistrad: Midnight Hunt	2021-09-24	19	Flare of Faith	13ebe447-1f8f-4b12-9e35-9d334a863c19	covered	combat_support, self_protection	combat_support, self_protection	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/mid/19/flare-of-faith?utm_source=api	Target creature gets +2/+2 until end of turn. If it's a Human, instead it gets +3/+3 and gains indestructible until end of turn.
mid	Innistrad: Midnight Hunt	2021-09-24	20	Gavony Dawnguard	2788cc1e-18b6-4506-be4c-f4056600e33c	covered	card_selection, combat_body, selection, self_protection	card_selection, combat_body, selection, self_protection	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{1}{W}{W}	3	W	W	Ward		verify analyzer roles	https://scryfall.com/card/mid/20/gavony-dawnguard?utm_source=api	Ward {1} If it's neither day nor night, it becomes day as this creature enters. Whenever day becomes night or night becomes day, look at the top four cards of your library. You may reveal a creature card with mana value 3 or less from among them and put it into your hand. Put the rest on the bottom of your library in any order.
mid	Innistrad: Midnight Hunt	2021-09-24	21	Gavony Silversmith	a0ee4faa-1ab0-4b4f-a564-ee2358500daf	covered	combat_body, counter_support	combat_body, counter_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/mid/21/gavony-silversmith?utm_source=api	When this creature enters, put a +1/+1 counter on each of up to two target creatures.
mid	Innistrad: Midnight Hunt	2021-09-24	22	Gavony Trapper	d4da20c7-ae4a-44c6-8f03-9e719ccee8c9	covered	combat_body, removal, tempo_removal	combat_body, removal, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/mid/22/gavony-trapper?utm_source=api	{2}, {T}: Tap target creature.
mid	Innistrad: Midnight Hunt	2021-09-24	23	Hedgewitch's Mask	c74f6a83-a280-450e-969d-6b3fa28c8744	covered	artifact_support, combat_support	artifact_support, combat_support	false		Analyzer roles accepted during batch clean pass.	Artifact — Equipment	{W}	1	W	W	Equip		verify analyzer roles	https://scryfall.com/card/mid/23/hedgewitchs-mask?utm_source=api	Equipped creature gets +1/+1. Equipped creature can't be blocked by creatures with power 4 or greater. Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)
mid	Innistrad: Midnight Hunt	2021-09-24	24	Homestead Courage	203eb24c-f135-44e2-bdae-80b7b3d0fb15	covered	counter_support, graveyard_support	counter_support, graveyard_support	false		Analyzer roles accepted during batch clean pass.	Sorcery	{W}	1	W	W	Flashback		verify analyzer roles	https://scryfall.com/card/mid/24/homestead-courage?utm_source=api	Put a +1/+1 counter on target creature you control. It gains vigilance until end of turn. Flashback {W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
mid	Innistrad: Midnight Hunt	2021-09-24	25	Intrepid Adversary	b72fde5e-862a-45e8-9880-f2c16975a9ac	covered		combat_body, combat_support, combat_threat, counter_support, lifegain	false		Covered by PRM role audit.	Creature — Human Scout	{1}{W}	2	W	W	Lifelink		already reviewed	https://scryfall.com/card/mid/25/intrepid-adversary?utm_source=api	Lifelink When this creature enters, you may pay {1}{W} any number of times. When you pay this cost one or more times, put that many valor counters on this creature. Creatures you control get +1/+1 for each valor counter on this creature.
mid	Innistrad: Midnight Hunt	2021-09-24	26	Loyal Gryff	f5c07218-c8bf-4990-a366-f3c065d0b30c	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Hippogriff	{2}{W}	3	W	W	Flying, Flash		verify analyzer roles	https://scryfall.com/card/mid/26/loyal-gryff?utm_source=api	Flash Flying When this creature enters, you may return another creature you control to its owner's hand.
mid	Innistrad: Midnight Hunt	2021-09-24	27	Lunarch Veteran // Luminous Phantom	0761a0e7-d443-4bab-bb15-307c83d4a6a1	covered	combat_body, combat_threat, graveyard_support, lifegain, replacement_engine	combat_body, combat_threat, graveyard_support, lifegain, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Creature — Human Cleric // Creature — Spirit Cleric		1		W	Flying, Transform, Disturb		verify analyzer roles	https://scryfall.com/card/mid/27/lunarch-veteran-luminous-phantom?utm_source=api	Lunarch Veteran: Whenever another creature you control enters, you gain 1 life. Disturb {1}{W} (You may cast this card from your graveyard transformed for its disturb cost.) // Luminous Phantom: Flying Whenever another creature you control leaves the battlefield, you gain 1 life. If Luminous Phantom would be put into a graveyard from anywhere, exile it instead.
mid	Innistrad: Midnight Hunt	2021-09-24	28	Mourning Patrol // Morning Apparition	600db821-4210-4996-a3f7-e05a143e50c2	covered	combat_body, combat_threat, graveyard_support, replacement_engine	combat_body, combat_threat, graveyard_support, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier // Creature — Spirit Soldier		3		W	Flying, Vigilance, Transform, Disturb		verify analyzer roles	https://scryfall.com/card/mid/28/mourning-patrol-morning-apparition?utm_source=api	Mourning Patrol: Vigilance Disturb {3}{W} (You may cast this card from your graveyard transformed for its disturb cost.) // Morning Apparition: Flying, vigilance If Morning Apparition would be put into a graveyard from anywhere, exile it instead.
mid	Innistrad: Midnight Hunt	2021-09-24	29	Odric's Outrider	a5a9a314-81a0-4b11-9cf9-daeaea98b33c	covered	combat_body, counter_support, sacrifice_support	combat_body, counter_support, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Knight	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/mid/29/odrics-outrider?utm_source=api	Whenever this creature or another creature you control dies, put a +1/+1 counter on target creature you control.
mid	Innistrad: Midnight Hunt	2021-09-24	30	Ritual Guardian	9f4719f2-0eab-464b-9ae5-2b96717ae08d	covered	combat_body, combat_support, lifegain	combat_body, combat_support, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{2}{W}	3	W	W	Coven		verify analyzer roles	https://scryfall.com/card/mid/30/ritual-guardian?utm_source=api	Coven — At the beginning of combat on your turn, if you control three or more creatures with different powers, this creature gains lifelink until end of turn.
mid	Innistrad: Midnight Hunt	2021-09-24	31	Ritual of Hope	8afe3d28-be3e-416c-9457-8a2af85b2eec	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{W}	2	W	W	Coven		verify analyzer roles	https://scryfall.com/card/mid/31/ritual-of-hope?utm_source=api	Creatures you control get +1/+1 until end of turn. Coven — If you control three or more creatures with different powers, creatures you control get +2/+1 until end of turn instead.
mid	Innistrad: Midnight Hunt	2021-09-24	32	Search Party Captain	8721b0a6-52ff-4749-92db-82bb36f5a73e	covered	card_draw, combat_body, direct_draw, draw	card_draw, combat_body, direct_draw, draw	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/mid/32/search-party-captain?utm_source=api	This spell costs {1} less to cast for each creature you attacked with this turn. When this creature enters, draw a card.
mid	Innistrad: Midnight Hunt	2021-09-24	33	Sigarda's Splendor	71a3d0ce-052b-41eb-a70f-0c716149a55f	covered		card_draw, direct_draw, draw, lifegain, repeatable_advantage, repeatable_draw	false		Covered by PRM role audit.	Enchantment	{2}{W}{W}	4	W	W			already reviewed	https://scryfall.com/card/mid/33/sigardas-splendor?utm_source=api	As this enchantment enters, note your life total. At the beginning of your upkeep, draw a card if your life total is greater than or equal to the last noted life total for this enchantment. Then note your life total. Whenever you cast a white spell, you gain 1 life.
mid	Innistrad: Midnight Hunt	2021-09-24	34	Sigardian Savior	14bc9e20-a6ad-4eca-8c5c-5459ce078d9a	covered		battlefield_recursion, card_selection, combat_body, combat_threat, mass_recursion, recursion	false		Covered by PRM role audit.	Creature — Angel	{3}{W}{W}	5	W	W	Flying		already reviewed	https://scryfall.com/card/mid/34/sigardian-savior?utm_source=api	Flying When this creature enters, if you cast it, return up to two target creature cards with mana value 2 or less from your graveyard to the battlefield.
mid	Innistrad: Midnight Hunt	2021-09-24	35	Soul-Guide Gryff	e26a08de-6108-4051-9c42-b5ce9dd8b533	covered	combat_body, combat_threat, graveyard_hate	combat_body, combat_threat, graveyard_hate	false		Analyzer roles accepted during batch clean pass.	Creature — Hippogriff Spirit	{4}{W}	5	W	W	Flying		verify analyzer roles	https://scryfall.com/card/mid/35/soul-guide-gryff?utm_source=api	Flying When this creature enters, exile up to one target card from a graveyard.
mid	Innistrad: Midnight Hunt	2021-09-24	36	Sungold Barrage	2a33d0ea-9b19-4fde-8e7a-2a9d17f716ea	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/mid/36/sungold-barrage?utm_source=api	Destroy target creature with toughness 4 or greater.
mid	Innistrad: Midnight Hunt	2021-09-24	37	Sungold Sentinel	410f5067-3380-4afb-9881-4b3bf0268493	covered		combat_body, combat_support, graveyard_hate, self_protection	false		Covered by PRM role audit.	Creature — Human Soldier	{1}{W}	2	W	W	Coven		already reviewed	https://scryfall.com/card/mid/37/sungold-sentinel?utm_source=api	Whenever this creature enters or attacks, exile up to one target card from a graveyard. Coven — {1}{W}: Choose a color. This creature gains hexproof from that color until end of turn and can't be blocked by creatures of that color this turn. Activate only if you control three or more creatures with different powers.
mid	Innistrad: Midnight Hunt	2021-09-24	38	Sunset Revelry	65779f3b-7fc5-4847-99d7-78f697d34c3d	covered	card_draw, direct_draw, draw, lifegain, token_support	card_draw, direct_draw, draw, lifegain, token_support	false		Analyzer roles accepted during batch clean pass.	Sorcery	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/mid/38/sunset-revelry?utm_source=api	If an opponent has more life than you, you gain 4 life. If an opponent controls more creatures than you, create two 1/1 white Human creature tokens. If an opponent has more cards in hand than you, draw a card.
mid	Innistrad: Midnight Hunt	2021-09-24	39	Thraben Exorcism	b43e25d8-1c8b-4316-84f3-c4ec6f77092e	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/mid/39/thraben-exorcism?utm_source=api	Exile target Spirit, creature with disturb, or enchantment.
mid	Innistrad: Midnight Hunt	2021-09-24	40	Unruly Mob	05d0b904-a680-4f2f-aaa1-e227a7fe7e79	covered	combat_body, counter_support, sacrifice_support	combat_body, counter_support, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/mid/40/unruly-mob?utm_source=api	Whenever another creature you control dies, put a +1/+1 counter on this creature.
mid	Innistrad: Midnight Hunt	2021-09-24	41	Vanquish the Horde	a332e80a-dc51-4dc6-bc85-e114a1c6fdb8	covered		mass_removal, removal	false		Covered by PRM role audit.	Sorcery	{6}{W}{W}	8	W	W			already reviewed	https://scryfall.com/card/mid/41/vanquish-the-horde?utm_source=api	This spell costs {1} less to cast for each creature on the battlefield. Destroy all creatures.
mid	Innistrad: Midnight Hunt	2021-09-24	42	Baithook Angler // Hook-Haunt Drifter	c6bb4b41-8dae-429a-b928-ae9d39c74711	covered	combat_body, combat_threat, graveyard_support, replacement_engine	combat_body, combat_threat, graveyard_support, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Creature — Human Peasant // Creature — Spirit		2		U	Flying, Transform, Disturb		verify analyzer roles	https://scryfall.com/card/mid/42/baithook-angler-hook-haunt-drifter?utm_source=api	Baithook Angler: Disturb {1}{U} (You may cast this card from your graveyard transformed for its disturb cost.) // Hook-Haunt Drifter: Flying If Hook-Haunt Drifter would be put into a graveyard from anywhere, exile it instead.
mid	Innistrad: Midnight Hunt	2021-09-24	43	Component Collector	6950ab0f-f448-4ed1-9dd4-868cc79a5982	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Creature — Homunculus	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/mid/43/component-collector?utm_source=api	If it's neither day nor night, it becomes day as this creature enters. Whenever day becomes night or night becomes day, you may tap or untap target nonland permanent.
mid	Innistrad: Midnight Hunt	2021-09-24	44	Consider	4c9bcba6-87b5-4fb3-97ee-6fe5b739337d	covered	card_draw, card_selection, direct_draw, draw, selection	card_draw, card_selection, direct_draw, draw, selection	false		Analyzer roles accepted during batch clean pass.	Instant	{U}	1	U	U	Surveil		verify analyzer roles	https://scryfall.com/card/mid/44/consider?utm_source=api	Surveil 1. (Look at the top card of your library. You may put it into your graveyard.) Draw a card.
mid	Innistrad: Midnight Hunt	2021-09-24	45	Covetous Castaway // Ghostly Castigator	8f3e6554-eb8a-4096-81a3-2411186d9cb4	covered	combat_body, combat_threat, graveyard_support, library_recursion, mill_support, recursion, replacement_engine, sacrifice_support	combat_body, combat_threat, graveyard_support, library_recursion, mill_support, recursion, replacement_engine, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human // Creature — Spirit		2		U	Flying, Transform, Mill, Disturb		verify analyzer roles	https://scryfall.com/card/mid/45/covetous-castaway-ghostly-castigator?utm_source=api	Covetous Castaway: When this creature dies, mill three cards. (Put the top three cards of your library into your graveyard.) Disturb {3}{U}{U} (You may cast this card from your graveyard transformed for its disturb cost.) // Ghostly Castigator: Flying When this creature enters, you may shuffle up to three target cards from your graveyard into your library. If Ghostly Castigator would be put into a graveyard from anywhere, exile it instead.
mid	Innistrad: Midnight Hunt	2021-09-24	46	Curse of Surveillance	4fd061f2-7269-4eea-bc7c-95a123893efa	covered		card_draw, direct_draw, draw, repeatable_advantage	false		Covered by PRM role audit.	Enchantment — Aura Curse	{4}{U}	5	U	U	Enchant		already reviewed	https://scryfall.com/card/mid/46/curse-of-surveillance?utm_source=api	Enchant player At the beginning of enchanted player's upkeep, any number of target players other than that player each draw cards equal to the number of Curses attached to that player.
