setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
peld	Throne of Eldraine Promos	2019-10-04	1p	Acclaimed Contender	35df179a-c0e6-4ac1-a861-e6e9b4d1614d	covered	card_selection, combat_body, selection	card_selection, combat_body, selection	false		Analyzer roles accepted during batch clean pass.	Creature — Human Knight	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/peld/1p/acclaimed-contender?utm_source=api	When this creature enters, if you control another Knight, look at the top five cards of your library. You may reveal a Knight, Aura, Equipment, or legendary artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
peld	Throne of Eldraine Promos	2019-10-04	8p	Charming Prince	c48d844c-3976-4fa5-8e0d-3f0e535e7619	covered	card_selection, combat_body, lifegain, selection	card_selection, combat_body, lifegain, selection	false		Analyzer roles accepted during batch clean pass.	Creature — Human Noble	{1}{W}	2	W	W	Scry		verify analyzer roles	https://scryfall.com/card/peld/8p/charming-prince?utm_source=api	When this creature enters, choose one — • Scry 2. • You gain 3 life. • Exile another target creature you own. Return it to the battlefield under your control at the beginning of the next end step.
peld	Throne of Eldraine Promos	2019-10-04	9p	The Circle of Loyalty	fd1b4523-2399-4771-89bf-1d65f5d67056	covered	combat_support, token_support	combat_support, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Artifact	{4}{W}{W}	6	W	W	Affinity		verify analyzer roles	https://scryfall.com/card/peld/9p/the-circle-of-loyalty?utm_source=api	Affinity for Knights (This spell costs {1} less to cast for each Knight you control.) Creatures you control get +1/+1. Whenever you cast a legendary spell, create a 2/2 white Knight creature token with vigilance. {3}{W}, {T}: Create a 2/2 white Knight creature token with vigilance.
peld	Throne of Eldraine Promos	2019-10-04	14p	Giant Killer // Chop Down	91e71279-c9d2-4873-916a-59da03a65741	covered		card_selection, combat_body, removal, targeted_removal, tempo_removal	false		Covered by PRM role audit.	Creature — Human Peasant // Instant — Adventure	{W} // {2}{W}	1	W	W			already reviewed	https://scryfall.com/card/peld/14p/giant-killer-chop-down?utm_source=api	Giant Killer: {1}{W}, {T}: Tap target creature. // Chop Down: Destroy target creature with power 4 or greater. (Then exile this card. You may cast the creature later from exile.)
peld	Throne of Eldraine Promos	2019-10-04	16p	Happily Ever After	7a4cc57b-9f85-446c-9ca0-98c72b9bb732	covered	alternate_finisher, card_draw, finisher, lifegain, repeatable_finisher	alternate_finisher, card_draw, finisher, lifegain, repeatable_finisher	false		Analyzer roles accepted during batch clean pass.	Enchantment	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/peld/16p/happily-ever-after?utm_source=api	When this enchantment enters, each player gains 5 life and draws a card. At the beginning of your upkeep, if there are five colors among permanents you control, there are six or more card types among permanents you control and/or cards in your graveyard, and your life total is greater than or equal to your starting life total, you win the game.
peld	Throne of Eldraine Promos	2019-10-04	17p	Harmonious Archon	ed8392b8-71e9-4874-a5bd-3c9fa5605780	covered	combat_body, combat_threat, token_support	combat_body, combat_threat, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Archon	{4}{W}{W}	6	W	W	Flying		verify analyzer roles	https://scryfall.com/card/peld/17p/harmonious-archon?utm_source=api	Flying Non-Archon creatures have base power and toughness 3/3. When this creature enters, create two 1/1 white Human creature tokens.
peld	Throne of Eldraine Promos	2019-10-04	18p	Hushbringer	3d21f710-6bbc-41ae-a8e5-02debe3e02bd	covered	combat_body, combat_threat, lifegain, stax_piece	combat_body, combat_threat, lifegain, stax_piece	false		Analyzer roles accepted during batch clean pass.	Creature — Faerie	{1}{W}	2	W	W	Flying, Lifelink		verify analyzer roles	https://scryfall.com/card/peld/18p/hushbringer?utm_source=api	Flying, lifelink Creatures entering or dying don't cause abilities to trigger.
peld	Throne of Eldraine Promos	2019-10-04	20p	Linden, the Steadfast Queen	dbc56f3b-83b3-41c8-a8ae-d3774fe6ee01	covered	combat_body, combat_support, combat_threat, lifegain	combat_body, combat_support, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Noble	{W}{W}{W}	3	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/peld/20p/linden-the-steadfast-queen?utm_source=api	Vigilance (Attacking doesn't cause this creature to tap.) Whenever a white creature you control attacks, you gain 1 life.
peld	Throne of Eldraine Promos	2019-10-04	26p	Realm-Cloaked Giant // Cast Off	a1d17244-9c92-4094-9843-d7ee31c85ea4	covered		card_selection, combat_body, combat_threat, mass_removal, removal	false		Covered by PRM role audit.	Creature — Giant // Sorcery — Adventure	{5}{W}{W} // {3}{W}{W}	7	W	W	Vigilance		already reviewed	https://scryfall.com/card/peld/26p/realm-cloaked-giant-cast-off?utm_source=api	Realm-Cloaked Giant: Vigilance // Cast Off: Destroy all non-Giant creatures. (Then exile this card. You may cast the creature later from exile.)
peld	Throne of Eldraine Promos	2019-10-04	36p	Worthy Knight	37733e29-3ade-4bfd-89c9-efd13b548a53	covered	combat_body, token_support	combat_body, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Knight	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/peld/36p/worthy-knight?utm_source=api	Whenever you cast a Knight spell, create a 1/1 white Human creature token.
peld	Throne of Eldraine Promos	2019-10-04	39p	Brazen Borrower // Petty Theft	c7b044c3-3cfa-407e-bf20-2875e8e04b7b	covered		combat_body, combat_threat, removal, tempo_removal	false		Covered by PRM role audit.	Creature — Faerie Rogue // Instant — Adventure	{1}{U}{U} // {1}{U}	3	U	U	Flying, Flash		already reviewed	https://scryfall.com/card/peld/39p/brazen-borrower-petty-theft?utm_source=api	Brazen Borrower: Flash Flying This creature can block only creatures with flying. // Petty Theft: Return target nonland permanent an opponent controls to its owner's hand.
peld	Throne of Eldraine Promos	2019-10-04	43p	Emry, Lurker of the Loch	da3e7d3d-2ca0-40c3-9602-fca37c92f507	covered	artifact_support, card_selection, combat_body, mill_support	artifact_support, card_selection, combat_body, mill_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Merfolk Wizard	{2}{U}	3	U	U	Affinity, Mill		verify analyzer roles	https://scryfall.com/card/peld/43p/emry-lurker-of-the-loch?utm_source=api	Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.) When Emry enters, mill four cards. {T}: Choose target artifact card in your graveyard. You may cast that card this turn. (You still pay its costs. Timing rules still apply.)
peld	Throne of Eldraine Promos	2019-10-04	44p	Fae of Wishes // Granted	c0abbed2-d213-47ef-8d6c-4a21efb9a55f	covered		combat_body, combat_threat	false		Covered by PRM role audit.	Creature — Faerie Wizard // Sorcery — Adventure	{1}{U} // {3}{U}	2	U	U	Flying		already reviewed	https://scryfall.com/card/peld/44p/fae-of-wishes-granted?utm_source=api	Fae of Wishes: Flying {1}{U}, Discard two cards: Return this creature to its owner's hand. // Granted: You may reveal a noncreature card you own from outside the game and put it into your hand.
peld	Throne of Eldraine Promos	2019-10-04	46p	Folio of Fancies	9030d508-5cfe-46ed-954b-21d970bc3b5a	covered	card_draw, mill_support, repeatable_advantage	card_draw, mill_support, repeatable_advantage	false		Analyzer roles accepted during batch clean pass.	Artifact — Book	{1}{U}	2	U	U	Mill		verify analyzer roles	https://scryfall.com/card/peld/46p/folio-of-fancies?utm_source=api	Players have no maximum hand size. {X}{X}, {T}: Each player draws X cards. {2}{U}, {T}: Each opponent mills cards equal to the number of cards in their hand.
peld	Throne of Eldraine Promos	2019-10-04	48p	Gadwick, the Wizened	c7530ecd-e22f-41e7-a76b-de32809901c8	covered	card_draw, combat_body, direct_draw, draw, mana_sink, removal, scalable_spell, tempo_removal	card_draw, combat_body, direct_draw, draw, mana_sink, removal, scalable_spell, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Wizard	{X}{U}{U}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/peld/48p/gadwick-the-wizened?utm_source=api	When Gadwick enters, draw X cards. Whenever you cast a blue spell, tap target nonland permanent an opponent controls.
peld	Throne of Eldraine Promos	2019-10-04	51p	The Magic Mirror	9acf2701-2ba1-46fa-ad4a-b130a58181d3	covered	card_draw, counter_support, direct_draw, draw, hand_size, repeatable_advantage, repeatable_draw	card_draw, counter_support, direct_draw, draw, hand_size, repeatable_advantage, repeatable_draw	false		Analyzer roles accepted during batch clean pass.	Legendary Artifact	{6}{U}{U}{U}	9	U	U			verify analyzer roles	https://scryfall.com/card/peld/51p/the-magic-mirror?utm_source=api	This spell costs {1} less to cast for each instant and sorcery card in your graveyard. You have no maximum hand size. At the beginning of your upkeep, put a knowledge counter on The Magic Mirror, then draw a card for each knowledge counter on The Magic Mirror.
peld	Throne of Eldraine Promos	2019-10-04	54p	Midnight Clock	c68faebc-b2cd-461b-b93e-e1fcd4816810	covered	card_draw, counter_support, direct_draw, draw, ramp, repeatable_advantage, repeatable_draw, stable_ramp	card_draw, counter_support, direct_draw, draw, ramp, repeatable_advantage, repeatable_draw, stable_ramp	false		Analyzer roles accepted during batch clean pass.	Artifact	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/peld/54p/midnight-clock?utm_source=api	{T}: Add {U}. {2}{U}: Put an hour counter on this artifact. At the beginning of each upkeep, put an hour counter on this artifact. When the twelfth hour counter is put on this artifact, shuffle your hand and graveyard into your library, then draw seven cards. Exile this artifact.
peld	Throne of Eldraine Promos	2019-10-04	55p	Mirrormade	79a71fe5-38ce-4bb5-aea0-c9b9a856d397	covered	copy_support	copy_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{1}{U}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/peld/55p/mirrormade?utm_source=api	You may have this enchantment enter as a copy of any artifact or enchantment on the battlefield.
peld	Throne of Eldraine Promos	2019-10-04	66p	Stolen by the Fae	5bafd0e0-8bf8-4e06-a54a-81cc6cc4bdb7	covered	combat_support, mana_sink, removal, scalable_spell, tempo_removal, token_support	combat_support, mana_sink, removal, scalable_spell, tempo_removal, token_support	false		Analyzer roles accepted during batch clean pass.	Sorcery	{X}{U}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/peld/66p/stolen-by-the-fae?utm_source=api	Return target creature with mana value X to its owner's hand. You create X 1/1 blue Faerie creature tokens with flying.
peld	Throne of Eldraine Promos	2019-10-04	71p	Vantress Gargoyle	fc7c0197-bfa1-43b8-87c8-f134192b14c0	covered	combat_body, combat_support, combat_threat, mill_support	combat_body, combat_support, combat_threat, mill_support	false		Analyzer roles accepted during batch clean pass.	Artifact Creature — Gargoyle	{1}{U}	2	U	U	Flying, Mill		verify analyzer roles	https://scryfall.com/card/peld/71p/vantress-gargoyle?utm_source=api	Flying This creature can't attack unless defending player has seven or more cards in their graveyard. This creature can't block unless you have four or more cards in hand. {T}: Each player mills a card.
peld	Throne of Eldraine Promos	2019-10-04	75p	Ayara, First of Locthwain	388168b3-ec68-4af2-b88c-6a5ec88c15f6	covered	card_draw, combat_body, direct_draw, direct_finisher, draw, finisher, lifegain, repeatable_advantage, repeatable_draw, repeatable_finisher, sacrifice_support, targeted_removal	card_draw, combat_body, direct_draw, direct_finisher, draw, finisher, lifegain, repeatable_advantage, repeatable_draw, repeatable_finisher, sacrifice_support, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Elf Noble	{B}{B}{B}	3	B	B			verify analyzer roles	https://scryfall.com/card/peld/75p/ayara-first-of-locthwain?utm_source=api	Whenever Ayara or another black creature you control enters, each opponent loses 1 life and you gain 1 life. {T}, Sacrifice another black creature: Draw a card.
peld	Throne of Eldraine Promos	2019-10-04	79p	Blacklance Paragon	258a78cc-a9f3-459a-9837-93a9856f72db	covered	combat_body, combat_support, lifegain	combat_body, combat_support, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Human Knight	{1}{B}	2	B	B	Flash		verify analyzer roles	https://scryfall.com/card/peld/79p/blacklance-paragon?utm_source=api	Flash When this creature enters, target Knight gains deathtouch and lifelink until end of turn.
peld	Throne of Eldraine Promos	2019-10-04	82p	The Cauldron of Eternity	a7308a1f-ec46-478e-86ea-33b2ebbd995f	covered	battlefield_recursion, card_selection, recursion, repeatable_advantage, sacrifice_support	battlefield_recursion, card_selection, recursion, repeatable_advantage, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Legendary Artifact	{10}{B}{B}	12	B	B			verify analyzer roles	https://scryfall.com/card/peld/82p/the-cauldron-of-eternity?utm_source=api	This spell costs {2} less to cast for each creature card in your graveyard. Whenever a creature you control dies, put it on the bottom of its owner's library. {2}{B}, {T}, Pay 2 life: Return target creature card from your graveyard to the battlefield. Activate only as a sorcery.
