setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
eld	Throne of Eldraine	2019-10-04	1	Acclaimed Contender	35df179a-c0e6-4ac1-a861-e6e9b4d1614d	covered	card_selection, combat_body, selection	card_selection, combat_body, selection	false		Analyzer roles accepted during batch clean pass.	Creature — Human Knight	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/eld/1/acclaimed-contender?utm_source=api	When this creature enters, if you control another Knight, look at the top five cards of your library. You may reveal a Knight, Aura, Equipment, or legendary artifact card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
eld	Throne of Eldraine	2019-10-04	2	All That Glitters	a4d751e0-41c1-4e90-853d-512f385acd81	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{1}{W}	2	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/eld/2/all-that-glitters?utm_source=api	Enchant creature Enchanted creature gets +1/+1 for each artifact and/or enchantment you control.
eld	Throne of Eldraine	2019-10-04	3	Archon of Absolution	0e3ac581-3d78-4879-9afb-3db69c5c47a5	covered	combat_body, combat_support, combat_threat, self_protection	combat_body, combat_support, combat_threat, self_protection	false		Analyzer roles accepted during batch clean pass.	Creature — Archon	{3}{W}	4	W	W	Flying, Protection		verify analyzer roles	https://scryfall.com/card/eld/3/archon-of-absolution?utm_source=api	Flying Protection from white (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything white.) Creatures can't attack you or planeswalkers you control unless their controller pays {1} for each of those creatures.
eld	Throne of Eldraine	2019-10-04	4	Ardenvale Paladin	30393cb0-f461-4899-8aae-609bc8378f36	covered	combat_body, counter_support	combat_body, counter_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Knight	{3}{W}	4	W	W	Adamant		verify analyzer roles	https://scryfall.com/card/eld/4/ardenvale-paladin?utm_source=api	Adamant — If at least three white mana was spent to cast this spell, this creature enters with a +1/+1 counter on it.
eld	Throne of Eldraine	2019-10-04	5	Ardenvale Tactician // Dizzying Swoop	ea27c8bf-33c5-443f-b8b2-51235efc2491	covered		card_selection, combat_body, combat_threat, removal, tempo_removal	false		Covered by PRM role audit.	Creature — Human Knight // Instant — Adventure	{1}{W}{W} // {1}{W}	3	W	W	Flying		already reviewed	https://scryfall.com/card/eld/5/ardenvale-tactician-dizzying-swoop?utm_source=api	Ardenvale Tactician: Flying // Dizzying Swoop: Tap up to two target creatures. (Then exile this card. You may cast the creature later from exile.)
eld	Throne of Eldraine	2019-10-04	6	Bartered Cow	33d42811-686d-4aca-bb3b-086de453ddaf	covered	combat_body, lifegain, sacrifice_support, token_support	combat_body, lifegain, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Ox	{3}{W}	4	W	W	Food		verify analyzer roles	https://scryfall.com/card/eld/6/bartered-cow?utm_source=api	When this creature dies and when you discard this card, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.")
eld	Throne of Eldraine	2019-10-04	7	Beloved Princess	682cbf2a-2723-4590-ae52-7c5d8b2573cf	covered	combat_body, combat_support, combat_threat, lifegain	combat_body, combat_support, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Human Noble	{W}	1	W	W	Lifelink		verify analyzer roles	https://scryfall.com/card/eld/7/beloved-princess?utm_source=api	Lifelink This creature can't be blocked by creatures with power 3 or greater.
eld	Throne of Eldraine	2019-10-04	8	Charming Prince	c48d844c-3976-4fa5-8e0d-3f0e535e7619	covered	card_selection, combat_body, lifegain, selection	card_selection, combat_body, lifegain, selection	false		Analyzer roles accepted during batch clean pass.	Creature — Human Noble	{1}{W}	2	W	W	Scry		verify analyzer roles	https://scryfall.com/card/eld/8/charming-prince?utm_source=api	When this creature enters, choose one — • Scry 2. • You gain 3 life. • Exile another target creature you own. Return it to the battlefield under your control at the beginning of the next end step.
eld	Throne of Eldraine	2019-10-04	9	The Circle of Loyalty	fd1b4523-2399-4771-89bf-1d65f5d67056	covered	combat_support, token_support	combat_support, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Artifact	{4}{W}{W}	6	W	W	Affinity		verify analyzer roles	https://scryfall.com/card/eld/9/the-circle-of-loyalty?utm_source=api	Affinity for Knights (This spell costs {1} less to cast for each Knight you control.) Creatures you control get +1/+1. Whenever you cast a legendary spell, create a 2/2 white Knight creature token with vigilance. {3}{W}, {T}: Create a 2/2 white Knight creature token with vigilance.
eld	Throne of Eldraine	2019-10-04	10	Deafening Silence	6284ef01-d17d-4584-aecb-1b841ae638e5	covered	hate_piece, stax_piece	hate_piece, stax_piece	false		Analyzer roles accepted during batch clean pass.	Enchantment	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/eld/10/deafening-silence?utm_source=api	Each player can't cast more than one noncreature spell each turn.
eld	Throne of Eldraine	2019-10-04	11	Faerie Guidemother // Gift of the Fae	04fbb7aa-0dd4-4ac6-837d-822227fb6356	covered		card_selection, combat_body, combat_support, combat_threat	false		Covered by PRM role audit.	Creature — Faerie // Sorcery — Adventure	{W} // {1}{W}	1	W	W	Flying		already reviewed	https://scryfall.com/card/eld/11/faerie-guidemother-gift-of-the-fae?utm_source=api	Faerie Guidemother: Flying // Gift of the Fae: Target creature gets +2/+1 and gains flying until end of turn. (Then exile this card. You may cast the creature later from exile.)
eld	Throne of Eldraine	2019-10-04	12	Flutterfox	58805c22-29cc-4ab2-a95c-b1798eb7a90d	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Fox	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/eld/12/flutterfox?utm_source=api	As long as you control an artifact or enchantment, this creature has flying.
eld	Throne of Eldraine	2019-10-04	13	Fortifying Provisions	f00dc657-4695-497d-aad3-af7b6a3ccf94	covered	combat_support, lifegain, sacrifice_support, token_support	combat_support, lifegain, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{2}{W}	3	W	W	Food		verify analyzer roles	https://scryfall.com/card/eld/13/fortifying-provisions?utm_source=api	Creatures you control get +0/+1. When this enchantment enters, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.")
eld	Throne of Eldraine	2019-10-04	14	Giant Killer // Chop Down	91e71279-c9d2-4873-916a-59da03a65741	covered		card_selection, combat_body, removal, targeted_removal, tempo_removal	false		Covered by PRM role audit.	Creature — Human Peasant // Instant — Adventure	{W} // {2}{W}	1	W	W			already reviewed	https://scryfall.com/card/eld/14/giant-killer-chop-down?utm_source=api	Giant Killer: {1}{W}, {T}: Tap target creature. // Chop Down: Destroy target creature with power 4 or greater. (Then exile this card. You may cast the creature later from exile.)
eld	Throne of Eldraine	2019-10-04	15	Glass Casket	d9167046-7908-4d16-8cc1-3eb02d1ba547	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Artifact	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/eld/15/glass-casket?utm_source=api	When this artifact enters, exile target creature an opponent controls with mana value 3 or less until this artifact leaves the battlefield.
