setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ppro	Pro Tour Promos	2007-02-09	2007	Eternal Dragon	04d8615c-3883-4251-9790-1d8a4a40e142	covered		card_selection, combat_body, combat_threat, hand_recursion, land_acceleration, land_tutor, mana_fixing, ramp, repeatable_advantage, repeatable_tutor, selection, tutor	false		Covered by PRM role audit.	Creature — Dragon Spirit	{5}{W}{W}	7	W	W	Flying, Plainscycling, Landcycling, Typecycling, Cycling		already reviewed	https://scryfall.com/card/ppro/2007/eternal-dragon?utm_source=api	Flying {3}{W}{W}: Return this card from your graveyard to your hand. Activate only during your upkeep. Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)
ppro	Pro Tour Promos	2007-02-09	2008	Mirari's Wake	852657c0-18a4-4b28-b9ae-7728acdb5044	covered		combat_support, mana_fixing, stable_ramp	false		Covered by JUD role audit.	Enchantment	{3}{G}{W}	5	GW	GW			already reviewed	https://scryfall.com/card/ppro/2008/miraris-wake?utm_source=api	Creatures you control get +1/+1. Whenever you tap a land for mana, add one mana of any type that land produced.
ppro	Pro Tour Promos	2007-02-09	2009	Treva, the Renewer	72524f3c-674b-4ebf-9526-18737b354010	covered		combat_body, combat_support, combat_threat, lifegain	false		Covered by INV role audit.	Legendary Creature — Dragon	{3}{G}{W}{U}	6	GUW	GUW	Flying		already reviewed	https://scryfall.com/card/ppro/2009/treva-the-renewer?utm_source=api	Flying Whenever Treva deals combat damage to a player, you may pay {2}{W}. If you do, choose a color, then you gain 1 life for each permanent of that color.
ppro	Pro Tour Promos	2007-02-09	2010	Avatar of Woe	2da5aa33-3794-4f83-936c-9d8640833d86	covered		combat_body, combat_support, removal, targeted_removal	false		Covered by PCY role audit.	Creature — Avatar	{6}{B}{B}	8	B	B	Fear		already reviewed	https://scryfall.com/card/ppro/2010/avatar-of-woe?utm_source=api	If there are ten or more creature cards total in all graveyards, this spell costs {6} less to cast. Fear (This creature can't be blocked except by artifact creatures and/or black creatures.) {T}: Destroy target creature. It can't be regenerated.
ppro	Pro Tour Promos	2007-02-09	2011	Ajani Goldmane	dfb5f660-fd8b-4b7b-934c-6a71cd182f15	covered		combat_support, counter_support, lifegain, token_support	false		Covered by PRM role audit.	Legendary Planeswalker — Ajani	{2}{W}{W}	4	W	W			already reviewed	https://scryfall.com/card/ppro/2011/ajani-goldmane?utm_source=api	+1: You gain 2 life. −1: Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn. −6: Create a white Avatar creature token. It has "This token's power and toughness are each equal to your life total."
ppro	Pro Tour Promos	2007-02-09	2015	Liliana of the Veil	0ba134d8-ee7d-48ec-8dc6-57942b8e9261	covered		hand_attack, removal, targeted_removal	false		Covered by PRM role audit.	Legendary Planeswalker — Liliana	{1}{B}{B}	3	B	B			already reviewed	https://scryfall.com/card/ppro/2015/liliana-of-the-veil?utm_source=api	+1: Each player discards a card. −2: Target player sacrifices a creature. −6: Separate all permanents target player controls into two piles. That player sacrifices all permanents in the pile of their choice.
ppro	Pro Tour Promos	2007-02-09	2016	Snapcaster Mage	2bb2eda7-3b38-4c56-870f-c3218a1056f5	covered		card_selection, combat_body, recursion, replay_recursion, selection	false		Covered by PRM role audit.	Creature — Human Wizard	{1}{U}	2	U	U	Flash		already reviewed	https://scryfall.com/card/ppro/2016/snapcaster-mage?utm_source=api	Flash When this creature enters, target instant or sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to its mana cost. (You may cast that card from your graveyard for its flashback cost. Then exile it.)
ppro	Pro Tour Promos	2007-02-09	2017	Emrakul, the Aeons Torn	900ca697-ad38-4b2b-bc74-2ff7eb6ea951	covered		combat_body, combat_threat, extra_turn, finisher, self_protection	false		Covered by PRM role audit.	Legendary Creature — Eldrazi	{15}	15			Flying, Annihilator, Protection		already reviewed	https://scryfall.com/card/ppro/2017/emrakul-the-aeons-torn?utm_source=api	This spell can't be countered. When you cast this spell, take an extra turn after this one. Flying, protection from spells that are one or more colors, annihilator 6 When Emrakul is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.
ppro	Pro Tour Promos	2007-02-09	2018	Noble Hierarch	98aa9424-5912-4bd6-9300-b3972a31d8af	covered		burst_ramp, combat_body, combat_support, mana_fixing, ramp, stable_ramp	false		Covered by PRM role audit.	Creature — Human Druid	{G}	1	G	GUW	Exalted		already reviewed	https://scryfall.com/card/ppro/2018/noble-hierarch?utm_source=api	Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.) {T}: Add {G}, {W}, or {U}.
ppro	Pro Tour Promos	2007-02-09	2019	Arcbound Ravager	62e7e7b1-9887-4d15-b0e5-a8ddc711bd88	covered		combat_body, counter_support, sacrifice_support	false		Covered by PRM role audit.	Artifact Creature — Beast	{2}	2			Modular		already reviewed	https://scryfall.com/card/ppro/2019/arcbound-ravager?utm_source=api	Sacrifice an artifact: Put a +1/+1 counter on this creature. Modular 1 (This creature enters with a +1/+1 counter on it. When it dies, you may put its +1/+1 counters on target artifact creature.)
