setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
spm	Marvel's Spider-Man	2025-09-26	1	Anti-Venom, Horrifying Healer	3c7bafe9-80cd-48d0-bcae-e7910c9fb83b	covered	battlefield_recursion, card_selection, combat_body, counter_support, recursion	battlefield_recursion, card_selection, combat_body, counter_support, recursion	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Symbiote Hero	{W}{W}{W}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/spm/1/anti-venom-horrifying-healer?utm_source=api	When Anti-Venom enters, if he was cast, return target creature card from your graveyard to the battlefield. If damage would be dealt to Anti-Venom, prevent that damage and put that many +1/+1 counters on him.
spm	Marvel's Spider-Man	2025-09-26	2	Arachne, Psionic Weaver	28d500ea-720f-4332-891e-404fb03acb5c	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Spider Human Hero	{2}{W}	3	W	W	Web-slinging		verify analyzer roles	https://scryfall.com/card/spm/2/arachne-psionic-weaver?utm_source=api	Web-slinging {W} (You may cast this spell for {W} if you also return a tapped creature you control to its owner's hand.) As Arachne enters, look at an opponent's hand, then choose a card type other than creature. Spells of the chosen type cost {1} more to cast.
spm	Marvel's Spider-Man	2025-09-26	3	Aunt May	bdb769b5-c861-4ec1-ad6b-e2a56ca05fd1	covered	combat_body, counter_support, lifegain	combat_body, counter_support, lifegain	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Citizen	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/spm/3/aunt-may?utm_source=api	Whenever another creature you control enters, you gain 1 life. If it's a Spider, put a +1/+1 counter on it.
spm	Marvel's Spider-Man	2025-09-26	4	City Pigeon	ac8cae63-270c-4f73-b29b-50f8f2395fd9	covered	combat_body, combat_threat, lifegain, sacrifice_support, token_support	combat_body, combat_threat, lifegain, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Bird	{W}	1	W	W	Flying, Food		verify analyzer roles	https://scryfall.com/card/spm/4/city-pigeon?utm_source=api	Flying When this creature leaves the battlefield, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.")
spm	Marvel's Spider-Man	2025-09-26	5	Costume Closet	072d05c4-e0d7-47af-b2a9-16b90810fd30	covered	counter_support	counter_support	false		Analyzer roles accepted during batch clean pass.	Artifact	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/spm/5/costume-closet?utm_source=api	This artifact enters with two +1/+1 counters on it. {T}: Move a +1/+1 counter from this artifact onto target creature you control. Activate only as a sorcery. Whenever a modified creature you control leaves the battlefield, put a +1/+1 counter on this artifact. (Equipment, Auras you control, and counters are modifications.)
spm	Marvel's Spider-Man	2025-09-26	6	Daily Bugle Reporters	2e677ded-7af3-4af0-81df-b70d6ee616ec	covered	card_selection, combat_body, counter_support, hand_recursion, recursion, repeatable_advantage	card_selection, combat_body, counter_support, hand_recursion, recursion, repeatable_advantage	false		Analyzer roles accepted during batch clean pass.	Creature — Human Citizen	{3}{W}	4	W	W	Puff Piece, Investigative Journalism		verify analyzer roles	https://scryfall.com/card/spm/6/daily-bugle-reporters?utm_source=api	When this creature enters, choose one — • Puff Piece — Put a +1/+1 counter on each of up to two target creatures. • Investigative Journalism — Return target creature card with mana value 2 or less from your graveyard to your hand.
spm	Marvel's Spider-Man	2025-09-26	7	Flash Thompson, Spider-Fan	f536a518-160e-4267-89da-3d34accc6d2c	covered	combat_body, removal, tap_untap, tempo_removal, tempo_support	combat_body, removal, tap_untap, tempo_removal, tempo_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Citizen	{1}{W}	2	W	W	Hero Worship, Heckle, Flash		verify analyzer roles	https://scryfall.com/card/spm/7/flash-thompson-spider-fan?utm_source=api	Flash When Flash Thompson enters, choose one or both — • Heckle — Tap target creature. • Hero Worship — Untap target creature.
spm	Marvel's Spider-Man	2025-09-26	8	Friendly Neighborhood	10fe402e-8d6f-4058-9f42-86f229055359	covered	combat_support, token_support	combat_support, token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{3}{W}	4	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/spm/8/friendly-neighborhood?utm_source=api	Enchant land When this Aura enters, create three 1/1 green and white Human Citizen creature tokens. Enchanted land has "{1}, {T}: Target creature gets +1/+1 until end of turn for each creature you control. Activate only as a sorcery."
spm	Marvel's Spider-Man	2025-09-26	9	Origin of Spider-Man	7fbe9056-190f-40a1-bee9-59ebd6f981f5	covered	combat_support, counter_support, sacrifice_support, token_support	combat_support, counter_support, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment — Saga	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/spm/9/origin-of-spider-man?utm_source=api	(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Create a 2/1 green Spider creature token with reach. II — Put a +1/+1 counter on target creature you control. It becomes a legendary Spider Hero in addition to its other types. III — Target creature you control gains double strike until end of turn.
spm	Marvel's Spider-Man	2025-09-26	10	Peter Parker // Amazing Spider-Man	f1b7488c-c675-42e9-818a-24a50347ec2c	covered	combat_body, combat_threat, token_support	combat_body, combat_threat, token_support	false		Covered by Media and Collaboration Promos role audit.	Legendary Creature — Human Scientist Hero // Legendary Creature — Spider Human Hero		2		GUW	Reach, Vigilance, Transform		already reviewed	https://scryfall.com/card/spm/10/peter-parker-amazing-spider-man?utm_source=api	Peter Parker: When Peter Parker enters, create a 2/1 green Spider creature token with reach. {1}{G}{W}{U}: Transform Peter Parker. Activate only as a sorcery. // Amazing Spider-Man: Vigilance, reach Each legendary spell you cast that's one or more colors has web-slinging {G}{W}{U}. (You may cast a spell for its web-slinging cost if you also return a tapped creature you control to its owner's hand.)
