setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ylci	Alchemy: Ixalan	2023-12-05	1	Cogwork Progenitor	1defe44d-49bc-4207-a957-36a51da2d29b			artifact_support, combat_body				Artifact Creature — Gnome	{1}{W}	2	W	W	Seek		verify analyzer roles	https://scryfall.com/card/ylci/1/cogwork-progenitor?utm_source=api	At the beginning of your end step, you may exile another artifact you control or an artifact card in your graveyard. If you do, seek an artifact card. That card perpetually has base power and toughness 1/1 and becomes a Gnome creature in addition to its other types.
ylci	Alchemy: Ixalan	2023-12-05	2	Legion's Chant	92b44644-cd7b-4568-911c-8a0fdccf4882			card_selection, mass_recursion, recursion, scalable_spell				Sorcery — Chorus	{2}{W}	3	W	W	Intensity		verify analyzer roles	https://scryfall.com/card/ylci/2/legions-chant?utm_source=api	Starting intensity 3 Return any number of creature cards with total mana value X or less from your graveyard to the battlefield, where X is Legion's Chant's intensity. All Chorus cards you own intensify by 1.
ylci	Alchemy: Ixalan	2023-12-05	3	Radiant Smite	7c3bf598-070a-4f34-bcfb-7530aa58405a			card_selection, lifegain, removal, selection, targeted_removal				Instant	{1}{W}	2	W	W	Cycling		verify analyzer roles	https://scryfall.com/card/ylci/3/radiant-smite?utm_source=api	Destroy target creature with power 4 or greater. If you weren't the starting player, you gain 4 life. Cycling {W} When you cycle Radiant Smite, if you weren't the starting player, you gain 2 life.
ylci	Alchemy: Ixalan	2023-12-05	4	Valiant Batrider	22d7431e-0ae1-47e7-916e-f656880aec9c			card_draw, combat_body, combat_support, combat_threat, repeatable_advantage				Creature — Human Knight	{2}{W}	3	W	W	Flying		verify analyzer roles	https://scryfall.com/card/ylci/4/valiant-batrider?utm_source=api	Flying Whenever Valiant Batrider deals combat damage to a player, that player gets a one-time boon with "When you cast a noncreature spell, you may pay {1}. If you don't, each opponent draws a card."
ylci	Alchemy: Ixalan	2023-12-05	5	Herald's Reveille	d533b356-ffa6-44b5-a501-a06954b9345b			card_draw, direct_draw, draw				Sorcery	{U}	1	U	U	Seek		verify analyzer roles	https://scryfall.com/card/ylci/5/heralds-reveille?utm_source=api	Draw a card. If a permanent you controlled explored this turn, seek a Merfolk card instead.
ylci	Alchemy: Ixalan	2023-12-05	6	Hymn to the Ages	7c71821d-2ac2-4fcd-b672-d4ce4a83cdb8			card_draw, direct_draw, draw				Instant — Chorus	{1}{U}	2	U	U	Intensity		verify analyzer roles	https://scryfall.com/card/ylci/6/hymn-to-the-ages?utm_source=api	Starting intensity 1 Draw a number of cards equal to this spell's intensity. All Chorus cards you own intensify by 1.
ylci	Alchemy: Ixalan	2023-12-05	7	Landlore Navigator	488aa31f-c8fa-4f28-9412-7d31578d4533			combat_body, combat_support, token_support				Creature — Orc Pirate	{1}{U}	2	U	U	Conjure		verify analyzer roles	https://scryfall.com/card/ylci/7/landlore-navigator?utm_source=api	Whenever Landlore Navigator attacks, create a Map token. At the beginning of your end step, if two or more artifacts entered under your control this turn, conjure a card named Thieving Magpie onto the battlefield.
ylci	Alchemy: Ixalan	2023-12-05	8	Plunderer's Prize	8266de7b-1105-41ed-977d-576d6634bc58			mana_sink, scalable_spell				Sorcery	{X}{U}	1	U	U	Seek		verify analyzer roles	https://scryfall.com/card/ylci/8/plunderers-prize?utm_source=api	Seek a nonland artifact card with mana value X or less and put it onto the battlefield. If a card with mana value less than X is put onto the battlefield this way, this spell perpetually gains "This spell costs {1} more to cast," then return this spell to its owner's hand.
ylci	Alchemy: Ixalan	2023-12-05	9	Chitinous Crawler	aa1d3608-675b-459b-a21b-7dd66ca13beb			combat_body, removal, targeted_removal				Creature — Insect Horror	{2}{B}{B}	4	B	B	Descend, Conjure		verify analyzer roles	https://scryfall.com/card/ylci/9/chitinous-crawler?utm_source=api	At the beginning of combat on your turn, choose target creature card in your graveyard. Conjure a duplicate of it into your graveyard. Descend 8 — Exile a permanent card from your graveyard: You may play it. Activate only as a sorcery and only if there are eight or more permanent cards in your graveyard.
ylci	Alchemy: Ixalan	2023-12-05	10	Dusk's Landing	2bdb2495-cc67-4750-a300-7881b0346514			card_draw, direct_draw, draw				Sorcery	{B}	1	B	B	Seek		verify analyzer roles	https://scryfall.com/card/ylci/10/dusks-landing?utm_source=api	Draw a card. If an opponent lost life this turn and you gained life this turn, seek two Vampire cards instead.
