setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pip	Fallout	2024-03-08	1	Caesar, Legion's Emperor	8e62d05a-6efd-4764-bca8-97895e0cb613			card_draw, combat_body, combat_support, direct_draw, draw, removal, repeatable_advantage, repeatable_draw, sacrifice_support, targeted_removal, token_support				Legendary Creature — Human Soldier	{1}{R}{W}{B}	4	BRW	BRW			verify analyzer roles	https://scryfall.com/card/pip/1/caesar-legions-emperor?utm_source=api	Whenever you attack, you may sacrifice another creature. When you do, choose two — • Create two 1/1 red and white Soldier creature tokens with haste that are tapped and attacking. • You draw a card and you lose 1 life. • Caesar deals damage equal to the number of creature tokens you control to target opponent.
pip	Fallout	2024-03-08	2	Dogmeat, Ever Loyal	5232fcc0-5dba-4569-8e99-c0b2c230e9f0			card_selection, combat_body, combat_support, direct_draw, draw, mill_support, repeatable_advantage, repeatable_draw, sacrifice_support, selection, token_support				Legendary Creature — Dog	{R}{G}{W}	3	GRW	GRW	Mill		verify analyzer roles	https://scryfall.com/card/pip/2/dogmeat-ever-loyal?utm_source=api	When Dogmeat enters, mill five cards, then return an Aura or Equipment card from your graveyard to your hand. Whenever a creature you control that's enchanted or equipped attacks, create a Junk token. (It's an artifact with "{T}, Sacrifice this token: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.")
pip	Fallout	2024-03-08	3	Dr. Madison Li	9c4ff8fe-7d69-42b9-bad1-9e2c8a3e29f1			battlefield_recursion, card_draw, card_selection, combat_body, combat_support, direct_draw, draw, energy_support, recursion, repeatable_advantage, repeatable_draw				Legendary Creature — Human Scientist	{U}{R}{W}	3	RUW	RUW			verify analyzer roles	https://scryfall.com/card/pip/3/dr-madison-li?utm_source=api	Whenever you cast an artifact spell, you get {E} (an energy counter). {T}, Pay {E}: Target creature gets +1/+0 and gains trample and haste until end of turn. {T}, Pay {E}{E}{E}: Draw a card. {T}, Pay {E}{E}{E}{E}{E}: Return target artifact card from your graveyard to the battlefield tapped.
pip	Fallout	2024-03-08	4	The Wise Mothman	7656f93b-336f-49cb-b8fe-c2b5c014258f			combat_body, combat_support, combat_threat, counter_support, scalable_spell				Legendary Creature — Insect Mutant	{1}{B}{G}{U}	4	BGU	BGU	Flying		verify analyzer roles	https://scryfall.com/card/pip/4/the-wise-mothman?utm_source=api	Flying Whenever The Wise Mothman enters or attacks, each player gets a rad counter. Whenever one or more nonland cards are milled, put a +1/+1 counter on each of up to X target creatures, where X is the number of nonland cards milled this way.
pip	Fallout	2024-03-08	5	Liberty Prime, Recharged	b31026fe-faad-49b3-93b0-1324e32bb816			card_draw, combat_body, combat_support, combat_threat, direct_draw, draw, energy_support, repeatable_advantage, repeatable_draw, sacrifice_support				Legendary Artifact Creature — Robot	{2}{U}{R}{W}	5	RUW	RUW	Vigilance, Haste, Trample		verify analyzer roles	https://scryfall.com/card/pip/5/liberty-prime-recharged?utm_source=api	Vigilance, trample, haste Whenever Liberty Prime attacks or blocks, sacrifice it unless you pay {E}{E} (two energy counters). {2}, {T}, Sacrifice an artifact: You get {E}{E} and draw a card.
pip	Fallout	2024-03-08	6	The Master, Transcendent	40262ae5-1472-4777-b759-d1752c0b0148			battlefield_recursion, combat_body				Legendary Artifact Creature — Mutant	{1}{B}{G}{U}	4	BGU	BGU			verify analyzer roles	https://scryfall.com/card/pip/6/the-master-transcendent?utm_source=api	When The Master enters, target player gets two rad counters. {T}: Put target creature card in a graveyard that was milled this turn onto the battlefield under your control. It's a green Mutant with base power and toughness 3/3. (It loses its other colors and creature types.)
pip	Fallout	2024-03-08	7	Mr. House, President and CEO	d4e54b48-956f-4467-8485-a5fdb44779fd			burst_ramp, combat_body, dice_support, mana_fixing, ramp, token_support				Legendary Artifact Creature — Human	{R}{W}{B}	3	BRW	BRW	Treasure		verify analyzer roles	https://scryfall.com/card/pip/7/mr-house-president-and-ceo?utm_source=api	Whenever you roll a 4 or higher, create a 3/3 colorless Robot artifact creature token. If you rolled 6 or higher, instead create that token and a Treasure token. {4}, {T}: Roll a six-sided die plus an additional six-sided die for each mana from Treasures spent to activate this ability.
pip	Fallout	2024-03-08	8	Preston Garvey, Minuteman	08a0c661-5ed5-47a6-aa1d-3114bf5db3fb			combat_body, combat_support, mana_fixing, ramp, stable_ramp, token_support				Legendary Creature — Human Soldier	{2}{R}{G}{W}	5	GRW	GRW			verify analyzer roles	https://scryfall.com/card/pip/8/preston-garvey-minuteman?utm_source=api	At the beginning of combat on your turn, create a green Aura enchantment token named Settlement attached to up to one target land you control. It has enchant land and "Enchanted land has '{T}: Add one mana of any color.'" Whenever Preston Garvey attacks, untap each enchanted permanent you control.
pip	Fallout	2024-03-08	9	Aradesh, the Founder	32620b26-10b9-47a7-bfa7-ca590ab5fa50			card_draw, combat_body, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw				Legendary Creature — Human Soldier	{2}{W}	3	W	W	Enlist		verify analyzer roles	https://scryfall.com/card/pip/9/aradesh-the-founder?utm_source=api	Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature's until end of turn.) Whenever a creature you control attacks, if it enlisted a creature this combat, the creature that attacked gains double strike until end of turn. If that creature's power is 4 or greater, draw a card.
pip	Fallout	2024-03-08	10	Automated Assembly Line	6e24a5bd-0ce3-4dc1-98c6-60d527bfdcfd			combat_support, energy_support, token_support				Artifact	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/pip/10/automated-assembly-line?utm_source=api	Whenever one or more artifact creatures you control deal combat damage to a player, you get {E} (an energy counter). Pay {E}{E}{E}: Create a tapped 3/3 colorless Robot artifact creature token.
