setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
yneo	Alchemy: Kamigawa	2022-03-17	1	Dragonfly Pilot	1d5f2d48-621f-4104-90b6-41bf31606265			combat_body, replacement_engine				Creature — Fox Pilot	{W}	1	W	W	Conjure		verify analyzer roles	https://scryfall.com/card/yneo/1/dragonfly-pilot?utm_source=api	When this creature enters, conjure a card named Dragonfly Suit into your hand. This creature crews Vehicles as though its power were 2 greater.
yneo	Alchemy: Kamigawa	2022-03-17	2	Inchblade Companion	d0ba1cd8-f81f-47a5-bcdc-4af918bfabfa			artifact_support, combat_body, combat_support, copy_support, token_support				Artifact Creature — Equipment Insect	{W}	1	W	W	Reconfigure		verify analyzer roles	https://scryfall.com/card/yneo/2/inchblade-companion?utm_source=api	Equipped creature gets +1/+1. Whenever Inchblade Companion becomes attached to a creature, create a token that's a copy of Inchblade Companion, except it doesn't have this ability. This ability triggers only once each turn. Reconfigure {2} ({2}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)
yneo	Alchemy: Kamigawa	2022-03-17	3	Kami of Transmutation	165c15b2-16be-4bb5-a2d8-a46eaf570579			combat_body				Creature — Spirit	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/yneo/3/kami-of-transmutation?utm_source=api	When Kami of Transmutation enters or leaves the battlefield, choose one — • Each permanent card in your hand perpetually becomes an artifact in addition to its other types. • Each permanent card in your hand perpetually becomes an enchantment in addition to its other types.
yneo	Alchemy: Kamigawa	2022-03-17	4	Fragment Reality	b48f0a55-1110-49c9-bac2-678ca5ef61fb			removal, targeted_removal				Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/yneo/4/fragment-reality?utm_source=api	Exile target nontoken artifact, creature, or enchantment an opponent controls. Its controller puts a random creature card with lesser mana value from their library onto the battlefield tapped.
yneo	Alchemy: Kamigawa	2022-03-17	5	Mothrider Cavalry	7fd0fe87-81d6-48b8-8d04-a233ed446d0f			combat_body, combat_support, combat_threat				Creature — Human Samurai	{2}{W}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/yneo/5/mothrider-cavalry?utm_source=api	This spell costs {2} less to cast if you have no other creature cards in hand or if the only other creature cards in your hand are named Mothrider Cavalry. Flying Other creatures you control get +1/+1.
yneo	Alchemy: Kamigawa	2022-03-17	6	Experimental Pilot	2b7422a2-badf-4ef2-80ff-c28e20d5387b			combat_body, replacement_engine, self_protection				Creature — Human Pilot	{U}	1	U	U	Ward		verify analyzer roles	https://scryfall.com/card/yneo/6/experimental-pilot?utm_source=api	Ward {2} {U}, Discard two cards: Draft a card from Experimental Pilot's spellbook. Experimental Pilot crews Vehicles as though its power were 2 greater.
yneo	Alchemy: Kamigawa	2022-03-17	7	Holographic Double	bca4c3f2-f723-474a-94d8-c3aaa37518b9			combat_body				Creature — Illusion	{U}	1	U	U	Conjure		verify analyzer roles	https://scryfall.com/card/yneo/7/holographic-double?utm_source=api	{U}, Exile Holographic Double from your hand: Choose a creature card in your hand. Conjure a duplicate of it into your hand.
yneo	Alchemy: Kamigawa	2022-03-17	8	Futurist Spellthief	2858b91a-f1c4-4730-86d5-334b7dab4978			combat_body, replacement_engine				Creature — Moonfolk Wizard	{2}{U}	3	U	U	Flash, Conjure		verify analyzer roles	https://scryfall.com/card/yneo/8/futurist-spellthief?utm_source=api	Flash When Futurist Spellthief enters the battlefield, conjure a duplicate of target spell into your hand. That card perpetually gains "You may spend mana as though it were mana of any color to cast this spell."
yneo	Alchemy: Kamigawa	2022-03-17	9	Semblance Scanner	3840aac2-75bf-4e7b-bb8e-38073d7a2471			artifact_support, combat_body, combat_support				Artifact Creature — Equipment Shapeshifter	{2}{U}	3	U	U	Conjure, Reconfigure		verify analyzer roles	https://scryfall.com/card/yneo/9/semblance-scanner?utm_source=api	Whenever Semblance Scanner or equipped creature deals combat damage to a player, if it's not a token, conjure a duplicate of it into your hand. Reconfigure {1} ({1}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)
yneo	Alchemy: Kamigawa	2022-03-17	10	Better Offer	5e2c6c36-4bff-4479-b322-f13434b81ea3			combat_support, counter_support, mana_sink, scalable_spell, self_protection				Sorcery	{X}{U}	1	U	U			verify analyzer roles	https://scryfall.com/card/yneo/10/better-offer?utm_source=api	Put a random creature card with mana value X or less from target opponent's library onto the battlefield under your control. It perpetually has base power and toughness X/X and perpetually gains ward {1}.
yneo	Alchemy: Kamigawa	2022-03-17	11	Saiba Syphoner	d09aecc5-4f78-49f8-b503-677e84e36a6d			card_selection, combat_body, hand_recursion, recursion, replacement_engine				Creature — Human Ninja	{2}{U}{U}	4	U	U	Flash		verify analyzer roles	https://scryfall.com/card/yneo/11/saiba-syphoner?utm_source=api	Flash This spell costs {2} less to cast if there are no instant or sorcery cards in your hand. When Saiba Syphoner enters the battlefield, return target instant or sorcery card from your graveyard to your hand. If Saiba Syphoner would die, shuffle it into your library instead.
yneo	Alchemy: Kamigawa	2022-03-17	12	Painful Bond	99bf33b5-a980-4c26-a97c-93e920450e15			card_draw, direct_draw, draw, lifegain				Instant	{1}{B}	2	B	B			verify analyzer roles	https://scryfall.com/card/yneo/12/painful-bond?utm_source=api	Draw two cards, then cards in your hand with mana value 3 or greater perpetually gain "When you cast this spell, you lose 1 life."
yneo	Alchemy: Kamigawa	2022-03-17	13	Swarm Saboteur	4426edf7-5fbb-41a2-83b9-80bf9f04651b			combat_body, combat_support, combat_threat				Creature — Human Ninja	{1}{B}	2	B	B	Ninjutsu, Conjure, Deathtouch		verify analyzer roles	https://scryfall.com/card/yneo/13/swarm-saboteur?utm_source=api	Ninjutsu {B} Deathtouch Whenever this creature deals combat damage to a player, conjure a card named Virus Beetle into your hand.
yneo	Alchemy: Kamigawa	2022-03-17	14	Kami of Mourning	d6ad0500-2dae-4467-8ecb-194ad41b12b6			battlefield_recursion, card_selection, combat_body, repeatable_advantage, sacrifice_support				Creature — Spirit	{2}{B}	3	B	B			verify analyzer roles	https://scryfall.com/card/yneo/14/kami-of-mourning?utm_source=api	Whenever this creature enters, target creature you control or creature card in your graveyard perpetually gains "Whenever a creature you control with greater mana value than this card dies, return this card from your graveyard to the battlefield tapped."
yneo	Alchemy: Kamigawa	2022-03-17	15	Undercity Plunder	6c41f596-dde3-43d3-aca9-2ad0543d60cc			hand_attack, removal, replacement_engine				Sorcery	{1}{B}	2	B	B	Conjure		verify analyzer roles	https://scryfall.com/card/yneo/15/undercity-plunder?utm_source=api	Target opponent discards a card. Then they may discard an additional card. If they don't, conjure a duplicate of a random card from their library into your hand. It perpetually gains "You may spend mana as though it were mana of any color to cast this spell."
yneo	Alchemy: Kamigawa	2022-03-17	16	Soul Servitude	b8949341-7a8e-402c-a05e-cf26c270cf36			removal, replacement_engine, targeted_removal				Instant	{2}{B}	3	B	B	Conjure		verify analyzer roles	https://scryfall.com/card/yneo/16/soul-servitude?utm_source=api	Target player sacrifices a nontoken creature. When they do, you may discard a card. If you do, conjure a duplicate of the sacrificed creature into your hand. It perpetually gains "You may spend mana as though it were mana of any color to cast this spell."
yneo	Alchemy: Kamigawa	2022-03-17	17	Consuming Oni	af29d23a-4322-469b-bbf9-df97f0b57b67			combat_body, combat_threat, lifegain				Creature — Ogre Demon	{2}{B}{B}	4	B	B	Flying, Menace		verify analyzer roles	https://scryfall.com/card/yneo/17/consuming-oni?utm_source=api	Flying, menace At the beginning of your end step, a random nonland card in your hand perpetually gains "When you cast this spell, you lose 3 life."
yneo	Alchemy: Kamigawa	2022-03-17	18	Artillery Enthusiast	43e5050f-e94c-4df5-a4a7-19935724c63f			combat_body, combat_support				Creature — Goblin Artificer	{R}	1	R	R	Seek		verify analyzer roles	https://scryfall.com/card/yneo/18/artillery-enthusiast?utm_source=api	Modified creatures you control have menace. (Equipment, Auras you control, and counters are modifications.) When Artillery Enthusiast enters, you may discard a card. If you do, seek a card with mana value equal to that card's mana value. (To seek a card, put one at random from your library into your hand.)
yneo	Alchemy: Kamigawa	2022-03-17	19	Foundry Beetle	62b5090e-7899-492a-af63-5a5bd1e3068c			artifact_support, combat_body, combat_support, combat_threat				Artifact Creature — Equipment Insect	{1}{R}	2	R	R	First strike, Reconfigure		verify analyzer roles	https://scryfall.com/card/yneo/19/foundry-beetle?utm_source=api	First strike Equipped creature has first strike. At the beginning of your upkeep, a random artifact card in your hand perpetually gains "This spell costs {1} less to cast." Reconfigure {R} ({R}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)
yneo	Alchemy: Kamigawa	2022-03-17	20	Junkyard Scrapper	4e5b0a2a-8fe2-459a-a9c9-12f612679146			artifact_support, card_selection, combat_body				Creature — Goblin Artificer	{2}{R}	3	R	R			verify analyzer roles	https://scryfall.com/card/yneo/20/junkyard-scrapper?utm_source=api	Whenever a nontoken artifact you control enters, exile a random nonland artifact card with lesser mana value from your library. You may cast that card until the end of your next turn.
