setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
scd	Starter Commander Decks	2022-12-02	1	Atarka, World Render	c0b3bbce-977c-42a9-afcb-dabdfc717c97	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Dragon	{5}{R}{G}	7	GR	GR	Flying, Trample		verify analyzer roles	https://scryfall.com/card/scd/1/atarka-world-render?utm_source=api	Flying, trample Whenever a Dragon you control attacks, it gains double strike until end of turn.
scd	Starter Commander Decks	2022-12-02	2	Emmara, Soul of the Accord	c65ba242-3369-48a9-864f-1b1f85238f67	covered		combat_body, lifegain, token_support	false		Covered by PRM role audit.	Legendary Creature — Elf Cleric	{G}{W}	2	GW	GW			already reviewed	https://scryfall.com/card/scd/2/emmara-soul-of-the-accord?utm_source=api	Whenever Emmara becomes tapped, create a 1/1 white Soldier creature token with lifelink.
scd	Starter Commander Decks	2022-12-02	3	Gisa and Geralf	20e94d0f-6887-45f8-a137-877011d786c6	covered	card_selection, combat_body, mill_support, recursion, repeatable_advantage, repeatable_draw, replay_recursion, selection	card_selection, combat_body, mill_support, recursion, repeatable_advantage, repeatable_draw, replay_recursion, selection	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Wizard	{2}{U}{B}	4	BU	BU	Mill		verify analyzer roles	https://scryfall.com/card/scd/3/gisa-and-geralf?utm_source=api	When Gisa and Geralf enters, mill four cards. Once during each of your turns, you may cast a Zombie creature spell from your graveyard.
scd	Starter Commander Decks	2022-12-02	4	Isperia, Supreme Judge	c46718dc-24dc-4b77-b455-aa4c89570b8d	covered	card_draw, combat_body, combat_support, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw	card_draw, combat_body, combat_support, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Sphinx	{2}{W}{W}{U}{U}	6	UW	UW	Flying		verify analyzer roles	https://scryfall.com/card/scd/4/isperia-supreme-judge?utm_source=api	Flying Whenever a creature attacks you or a planeswalker you control, you may draw a card.
scd	Starter Commander Decks	2022-12-02	5	Kardur, Doomscourge	bc14356c-3a1a-47af-9a6e-2b449de0331f	covered		combat_body, combat_support, direct_finisher, finisher, lifegain, repeatable_finisher, sacrifice_support	false		Covered by PRM role audit.	Legendary Creature — Demon Berserker	{2}{B}{R}	4	BR	BR			already reviewed	https://scryfall.com/card/scd/5/kardur-doomscourge?utm_source=api	When Kardur enters, until your next turn, creatures your opponents control attack each combat if able and attack a player other than you if able. Whenever an attacking creature dies, each opponent loses 1 life and you gain 1 life.
scd	Starter Commander Decks	2022-12-02	6	Ajani, Caller of the Pride	1d5ff280-7f4d-4801-aefd-9b6e6b1f2818	covered	combat_support, counter_support, scalable_spell, token_support	combat_support, counter_support, scalable_spell, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Planeswalker — Ajani	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/scd/6/ajani-caller-of-the-pride?utm_source=api	+1: Put a +1/+1 counter on up to one target creature. −3: Target creature gains flying and double strike until end of turn. −8: Create X 2/2 white Cat creature tokens, where X is your life total.
scd	Starter Commander Decks	2022-12-02	7	Archon of Redemption	434e58f4-4237-454f-a2d0-61885c9aafaa	covered	combat_body, combat_threat, lifegain	combat_body, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Archon	{3}{W}{W}	5	W	W	Flying		verify analyzer roles	https://scryfall.com/card/scd/7/archon-of-redemption?utm_source=api	Flying Whenever this creature or another creature you control with flying enters, you may gain life equal to that creature's power.
scd	Starter Commander Decks	2022-12-02	8	Aven Gagglemaster	8c601628-b1ed-467b-ba92-8572343147f8	covered	combat_body, combat_support, combat_threat, lifegain	combat_body, combat_support, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Bird Warrior	{3}{W}{W}	5	W	W	Flying		verify analyzer roles	https://scryfall.com/card/scd/8/aven-gagglemaster?utm_source=api	Flying When this creature enters, you gain 2 life for each creature you control with flying.
scd	Starter Commander Decks	2022-12-02	9	Banishing Light	f28b21a6-f7ce-437a-8c5b-0423cb55cefb	covered		removal, targeted_removal	false		Covered by PRM role audit.	Enchantment	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/scd/9/banishing-light?utm_source=api	When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.
scd	Starter Commander Decks	2022-12-02	10	Cartographer's Hawk	ac8cf699-f67b-44da-bb79-eb95cfc0026d	covered	combat_body, combat_support, combat_threat, land_acceleration, land_tutor, mana_fixing, ramp, tutor	combat_body, combat_support, combat_threat, land_acceleration, land_tutor, mana_fixing, ramp, tutor	false		Analyzer roles accepted during batch clean pass.	Creature — Bird	{1}{W}	2	W	W	Flying		verify analyzer roles	https://scryfall.com/card/scd/10/cartographers-hawk?utm_source=api	Flying When this creature deals combat damage to a player who controls more lands than you, return it to its owner's hand. If you do, you may search your library for a Plains card, put it onto the battlefield tapped, then shuffle.
scd	Starter Commander Decks	2022-12-02	11	Citywide Bust	3ac01298-e45b-4ea0-8379-2074279716a4	covered	mass_removal, removal	mass_removal, removal	false		Analyzer roles accepted during batch clean pass.	Sorcery	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/scd/11/citywide-bust?utm_source=api	Destroy all creatures with toughness 4 or greater.
scd	Starter Commander Decks	2022-12-02	12	Cleansing Nova	aff34f28-f707-4458-8af3-1bd5b13a6b10	covered	mass_removal, removal	mass_removal, removal	false		Analyzer roles accepted during batch clean pass.	Sorcery	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/scd/12/cleansing-nova?utm_source=api	Choose one — • Destroy all creatures. • Destroy all artifacts and enchantments.
scd	Starter Commander Decks	2022-12-02	13	Commander's Insignia	979a5d92-1c67-4fa4-b932-638b0cc1adcd	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/scd/13/commanders-insignia?utm_source=api	Creatures you control get +1/+1 for each time you've cast your commander from the command zone this game.
scd	Starter Commander Decks	2022-12-02	14	Conclave Tribunal	e938ee4c-d5df-4d93-bd61-9e518fb1dc30	covered	cost_reduction, removal, targeted_removal	cost_reduction, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Enchantment	{3}{W}	4	W	W	Convoke		verify analyzer roles	https://scryfall.com/card/scd/14/conclave-tribunal?utm_source=api	Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.
scd	Starter Commander Decks	2022-12-02	15	Condemn	377d31b5-0a48-4d5b-91bd-b5a62d4f7899	covered		removal, tempo_removal	false		Covered by PRM role audit.	Instant	{W}	1	W	W			already reviewed	https://scryfall.com/card/scd/15/condemn?utm_source=api	Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.
scd	Starter Commander Decks	2022-12-02	16	Crush Contraband	ecbc234d-e1d3-4bcc-81d4-fffc2c7ea16a	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/scd/16/crush-contraband?utm_source=api	Choose one or both — • Exile target artifact. • Exile target enchantment.
scd	Starter Commander Decks	2022-12-02	17	Dawn of Hope	d7a38484-2acc-49a6-b32d-d54dddb14d31	covered	card_draw, direct_draw, draw, lifegain, repeatable_advantage, repeatable_draw, token_support	card_draw, direct_draw, draw, lifegain, repeatable_advantage, repeatable_draw, token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/scd/17/dawn-of-hope?utm_source=api	Whenever you gain life, you may pay {2}. If you do, draw a card. {3}{W}: Create a 1/1 white Soldier creature token with lifelink.
scd	Starter Commander Decks	2022-12-02	18	Devouring Light	5334dc24-040e-4094-80f4-8d1b9de01230	covered	cost_reduction, removal, targeted_removal	cost_reduction, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{W}{W}	3	W	W	Convoke		verify analyzer roles	https://scryfall.com/card/scd/18/devouring-light?utm_source=api	Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Exile target attacking or blocking creature.
scd	Starter Commander Decks	2022-12-02	19	Dictate of Heliod	b989279c-665d-4f15-afc1-adf3872a4851	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{3}{W}{W}	5	W	W	Flash		verify analyzer roles	https://scryfall.com/card/scd/19/dictate-of-heliod?utm_source=api	Flash Creatures you control get +2/+2.
scd	Starter Commander Decks	2022-12-02	20	Disenchant	a7e97fa9-4b72-4548-b854-5be5f18a6f1a	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by Ice Age role audit.	Instant	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/scd/20/disenchant?utm_source=api	Destroy target artifact or enchantment.
