setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ha6	Historic Anthology 6	2022-07-28	1	Avacyn, Angel of Hope	216cb26e-8da9-478b-bfbc-8030f7adee72	covered		broad_protection, combat_body, combat_threat, self_protection	false		Covered by PRM role audit.	Legendary Creature — Angel	{5}{W}{W}{W}	8	W	W	Flying, Indestructible, Vigilance		already reviewed	https://scryfall.com/card/ha6/1/avacyn-angel-of-hope?utm_source=api	Flying, vigilance, indestructible Other permanents you control have indestructible.
ha6	Historic Anthology 6	2022-07-28	2	Phyrexian Metamorph	340bbe8b-e987-4c3e-ab4e-9dee63e57d4f	covered		combat_body, copy_support	false		Covered by PRM role audit.	Artifact Creature — Phyrexian Shapeshifter	{3}{U/P}	4	U	U			already reviewed	https://scryfall.com/card/ha6/2/phyrexian-metamorph?utm_source=api	({U/P} can be paid with either {U} or 2 life.) You may have this creature enter as a copy of any artifact or creature on the battlefield, except it's an artifact in addition to its other types.
ha6	Historic Anthology 6	2022-07-28	3	Ophiomancer	55eca80c-dcd8-4c2f-aa0f-fb0aec7b80f7			combat_body, token_support				Creature — Human Shaman	{2}{B}	3	B	B			verify analyzer roles	https://scryfall.com/card/ha6/3/ophiomancer?utm_source=api	At the beginning of each upkeep, if you control no Snakes, create a 1/1 black Snake creature token with deathtouch.
ha6	Historic Anthology 6	2022-07-28	4	Night of Souls' Betrayal	916bd025-c44f-49c9-8d76-4b7b2f9a8ba3			mass_removal, removal				Legendary Enchantment	{2}{B}{B}	4	B	B			verify analyzer roles	https://scryfall.com/card/ha6/4/night-of-souls-betrayal?utm_source=api	All creatures get -1/-1.
ha6	Historic Anthology 6	2022-07-28	5	Laelia, the Blade Reforged	a0be9bb2-3234-4c6c-b8ce-0879b1f43003	covered		card_selection, combat_body, combat_support, combat_threat, counter_support, direct_draw, draw, repeatable_advantage, repeatable_draw, selection	false		Covered by PRM role audit.	Legendary Creature — Spirit Warrior	{2}{R}	3	R	R	Haste		already reviewed	https://scryfall.com/card/ha6/5/laelia-the-blade-reforged?utm_source=api	Haste Whenever Laelia attacks, exile the top card of your library. You may play that card this turn. Whenever one or more cards are put into exile from your library and/or your graveyard, put a +1/+1 counter on Laelia.
ha6	Historic Anthology 6	2022-07-28	6	Go-Shintai of Life's Origin	6dbcd542-ddb0-434e-b8ee-3e31e1a8b051	covered		battlefield_recursion, card_selection, combat_body, recursion, repeatable_advantage, token_support	false		Covered by PRM role audit.	Legendary Enchantment Creature — Shrine	{3}{G}	4	G	BGRUW			already reviewed	https://scryfall.com/card/ha6/6/go-shintai-of-lifes-origin?utm_source=api	{W}{U}{B}{R}{G}, {T}: Return target enchantment card from your graveyard to the battlefield. Whenever Go-Shintai of Life's Origin or another nontoken Shrine you control enters, create a 1/1 colorless Shrine enchantment creature token.
ha6	Historic Anthology 6	2022-07-28	7	Tarmogoyf	45900b2f-f6a9-4c42-9642-008f3c1cf6dd			combat_body				Creature — Lhurgoyf	{1}{G}	2	G	G			verify analyzer roles	https://scryfall.com/card/ha6/7/tarmogoyf?utm_source=api	Tarmogoyf's power is equal to the number of card types among cards in all graveyards and its toughness is equal to that number plus 1.
ha6	Historic Anthology 6	2022-07-28	8	Glimpse the Unthinkable	552f0163-a19d-4671-888f-044fc0354875	covered		mill_support	false		Covered by PRM role audit.	Sorcery	{U}{B}	2	BU	BU	Mill		already reviewed	https://scryfall.com/card/ha6/8/glimpse-the-unthinkable?utm_source=api	Target player mills ten cards.
ha6	Historic Anthology 6	2022-07-28	9	Chalice of the Void	74027ba4-a6ba-4696-baf1-60ef0b27ee0a	covered		counter_support, mana_sink, scalable_spell, stax_piece	false		Covered by PRM role audit.	Artifact	{X}{X}	0					already reviewed	https://scryfall.com/card/ha6/9/chalice-of-the-void?utm_source=api	This artifact enters with X charge counters on it. Whenever a player casts a spell with mana value equal to the number of charge counters on this artifact, counter that spell.
ha6	Historic Anthology 6	2022-07-28	10	Retrofitter Foundry	aaadfe41-b2be-4183-b45e-a70e53a59d2e			sacrifice_support, token_support				Artifact	{1}	1					verify analyzer roles	https://scryfall.com/card/ha6/10/retrofitter-foundry?utm_source=api	{3}: Untap this artifact. {2}, {T}: Create a 1/1 colorless Servo artifact creature token. {1}, {T}, Sacrifice a Servo: Create a 1/1 colorless Thopter artifact creature token with flying. {T}, Sacrifice a Thopter: Create a 4/4 colorless Construct artifact creature token.
ha6	Historic Anthology 6	2022-07-28	11	Darkmoss Bridge	2065cada-4078-41c4-9e06-2460d2a2e8ee			land_base, land_slot, mana_source, self_protection				Artifact Land		0		BG	Indestructible		verify analyzer roles	https://scryfall.com/card/ha6/11/darkmoss-bridge?utm_source=api	This land enters tapped. Indestructible {T}: Add {B} or {G}.
ha6	Historic Anthology 6	2022-07-28	12	Drossforge Bridge	44b83535-fdbf-4307-bf53-ca20470a768d			land_base, land_slot, mana_source, self_protection				Artifact Land		0		BR	Indestructible		verify analyzer roles	https://scryfall.com/card/ha6/12/drossforge-bridge?utm_source=api	This land enters tapped. Indestructible {T}: Add {B} or {R}.
ha6	Historic Anthology 6	2022-07-28	13	Goldmire Bridge	c9b7ea9c-3bcb-4538-aa25-cdb82a52037e			land_base, land_slot, mana_source, self_protection				Artifact Land		0		BW	Indestructible		verify analyzer roles	https://scryfall.com/card/ha6/13/goldmire-bridge?utm_source=api	This land enters tapped. Indestructible {T}: Add {W} or {B}.
ha6	Historic Anthology 6	2022-07-28	14	Mistvault Bridge	33ee23bc-6327-4a54-a704-dfd83be36bb5			land_base, land_slot, mana_source, self_protection				Artifact Land		0		BU	Indestructible		verify analyzer roles	https://scryfall.com/card/ha6/14/mistvault-bridge?utm_source=api	This land enters tapped. Indestructible {T}: Add {U} or {B}.
ha6	Historic Anthology 6	2022-07-28	15	Razortide Bridge	6cb37ac1-dd11-4a8c-bca5-ef44d828059f			land_base, land_slot, mana_source, self_protection				Artifact Land		0		UW	Indestructible		verify analyzer roles	https://scryfall.com/card/ha6/15/razortide-bridge?utm_source=api	This land enters tapped. Indestructible {T}: Add {W} or {U}.
ha6	Historic Anthology 6	2022-07-28	16	Rustvale Bridge	a3faf70d-c034-4692-9e92-1922029e3852			land_base, land_slot, mana_source, self_protection				Artifact Land		0		RW	Indestructible		verify analyzer roles	https://scryfall.com/card/ha6/16/rustvale-bridge?utm_source=api	This land enters tapped. Indestructible {T}: Add {R} or {W}.
ha6	Historic Anthology 6	2022-07-28	17	Silverbluff Bridge	081bfd50-a436-463b-9d2c-5bc8a32b387c			land_base, land_slot, mana_source, self_protection				Artifact Land		0		RU	Indestructible		verify analyzer roles	https://scryfall.com/card/ha6/17/silverbluff-bridge?utm_source=api	This land enters tapped. Indestructible {T}: Add {U} or {R}.
ha6	Historic Anthology 6	2022-07-28	18	Slagwoods Bridge	e040a8e6-b90c-42d1-a1b1-771d954c61ab			land_base, land_slot, mana_source, self_protection				Artifact Land		0		GR	Indestructible		verify analyzer roles	https://scryfall.com/card/ha6/18/slagwoods-bridge?utm_source=api	This land enters tapped. Indestructible {T}: Add {R} or {G}.
ha6	Historic Anthology 6	2022-07-28	19	Tanglepool Bridge	29cd8a7c-108a-43d1-af63-f603a27c24f2			land_base, land_slot, mana_source, self_protection				Artifact Land		0		GU	Indestructible		verify analyzer roles	https://scryfall.com/card/ha6/19/tanglepool-bridge?utm_source=api	This land enters tapped. Indestructible {T}: Add {G} or {U}.
