setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pw23	Wizards Play Network 2023	2023-01-01	1	Norn's Annex	9a1fbe72-4a17-42be-8e23-d7d30a5e59c1			combat_support				Artifact	{3}{W/P}{W/P}	5	W	W			verify analyzer roles	https://scryfall.com/card/pw23/1/norns-annex?utm_source=api	({W/P} can be paid with either {W} or 2 life.) Creatures can't attack you or planeswalkers you control unless their controller pays {W/P} for each of those creatures.
pw23	Wizards Play Network 2023	2023-01-01	2	Lifecrafter's Bestiary	5f2a3797-28aa-4c7a-ba2b-fd243a1747fd			card_draw, card_selection, direct_draw, draw, repeatable_advantage, repeatable_draw, selection				Artifact	{3}	3		G	Scry		verify analyzer roles	https://scryfall.com/card/pw23/2/lifecrafters-bestiary?utm_source=api	At the beginning of your upkeep, scry 1. Whenever you cast a creature spell, you may pay {G}. If you do, draw a card.
pw23	Wizards Play Network 2023	2023-01-01	3	Beast Within	7735eeba-693b-47e2-bd51-414379cf1016			removal, targeted_removal				Instant	{2}{G}	3	G	G			verify analyzer roles	https://scryfall.com/card/pw23/3/beast-within?utm_source=api	Destroy target permanent. Its controller creates a 3/3 green Beast creature token.
pw23	Wizards Play Network 2023	2023-01-01	4	Drown in the Loch	0f264e5b-264e-4e97-9a8d-8ae1d6a286ce			hard_stack, removal, stack, targeted_removal				Instant	{U}{B}	2	BU	BU			verify analyzer roles	https://scryfall.com/card/pw23/4/drown-in-the-loch?utm_source=api	Choose one — • Counter target spell with mana value less than or equal to the number of cards in its controller's graveyard. • Destroy target creature with mana value less than or equal to the number of cards in its controller's graveyard.
pw23	Wizards Play Network 2023	2023-01-01	5	Syr Konrad, the Grim	14c3ff84-1e82-4606-a433-869fc52cc382			combat_body, direct_finisher, finisher, mill_support, repeatable_finisher, sacrifice_support				Legendary Creature — Human Knight	{3}{B}{B}	5	B	B	Mill		verify analyzer roles	https://scryfall.com/card/pw23/5/syr-konrad-the-grim?utm_source=api	Whenever another creature dies, or a creature card is put into a graveyard from anywhere other than the battlefield, or a creature card leaves your graveyard, Syr Konrad deals 1 damage to each opponent. {1}{B}: Each player mills a card. (They each put the top card of their library into their graveyard.)
pw23	Wizards Play Network 2023	2023-01-01	6	Cultivate	8b755881-a72d-4e21-a369-d2924eb4585a	covered		land_acceleration, land_tutor, mana_fixing, ramp, tutor	false		Covered by PRM role audit.	Sorcery	{2}{G}	3	G	G			already reviewed	https://scryfall.com/card/pw23/6/cultivate?utm_source=api	Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.
pw23	Wizards Play Network 2023	2023-01-01	7	Ice Out	fed3bc35-4269-48f0-9133-a595ce49c2d1			hard_stack, sacrifice_support, stack				Instant	{1}{U}{U}	3	U	U	Bargain		verify analyzer roles	https://scryfall.com/card/pw23/7/ice-out?utm_source=api	Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.) This spell costs {1} less to cast if it's bargained. Counter target spell.
pw23	Wizards Play Network 2023	2023-01-01	8	Pyroblast	ecc435e2-deb1-420a-a79f-01dd08747314	covered	hard_stack, removal, soft_stack, stack, targeted_removal	hard_stack, removal, soft_stack, stack, targeted_removal	false		Covered by Ice Age role audit.	Instant	{R}	1	R	R			already reviewed	https://scryfall.com/card/pw23/8/pyroblast?utm_source=api	Choose one — • Counter target spell if it's blue. • Destroy target permanent if it's blue.
pw23	Wizards Play Network 2023	2023-01-01	9	Rampant Growth	8539f295-5d58-4436-a73a-b9277c4c7795	covered	land_acceleration, land_tutor, mana_fixing, ramp, tutor	land_acceleration, land_tutor, mana_fixing, ramp, tutor	false		Covered by Mirage role audit.	Sorcery	{1}{G}	2	G	G			already reviewed	https://scryfall.com/card/pw23/9/rampant-growth?utm_source=api	Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
pw23	Wizards Play Network 2023	2023-01-01	10	Ravenous Chupacabra	7b459306-149b-4f43-abc1-2dd70c748c0e			combat_body, removal, targeted_removal				Creature — Beast Horror	{2}{B}{B}	4	B	B			verify analyzer roles	https://scryfall.com/card/pw23/10/ravenous-chupacabra?utm_source=api	When this creature enters, destroy target creature an opponent controls.
pw23	Wizards Play Network 2023	2023-01-01	11	Unclaimed Territory	584b15f2-6ae9-413a-8b8d-9244dbea4878			land_base, land_slot, mana_source				Land		0					verify analyzer roles	https://scryfall.com/card/pw23/11/unclaimed-territory?utm_source=api	As this land enters, choose a creature type. {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type.
