setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
mb2	Mystery Booster 2	2024-08-02	1	Mardu Outrider	9bc5ed59-ae13-40df-94b9-c56c32673857	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Creature — Orc Warrior	{1}{B}{B}	3	B	B			verify analyzer roles	https://scryfall.com/card/mb2/1/mardu-outrider?utm_source=api	As an additional cost to cast this spell, discard a card.
mb2	Mystery Booster 2	2024-08-02	2	Environmental Sciences	2f889671-a1d6-4034-881b-58c93897d707	covered	land_acceleration, land_tutor, lifegain, mana_fixing, ramp, tutor	land_acceleration, land_tutor, lifegain, mana_fixing, ramp, tutor	false		Analyzer roles accepted during batch clean pass.	Sorcery — Lesson	{2}	2					verify analyzer roles	https://scryfall.com/card/mb2/2/environmental-sciences?utm_source=api	Search your library for a basic land card, reveal it, put it into your hand, then shuffle. You gain 2 life.
mb2	Mystery Booster 2	2024-08-02	3	Karn, the Great Creator	a20dd48d-d344-4db1-b0e9-a2b71c3cc9d1	covered		combat_support, face_down_support, stax_piece	false		Covered by PRM role audit.	Legendary Planeswalker — Karn	{4}	4					already reviewed	https://scryfall.com/card/mb2/3/karn-the-great-creator?utm_source=api	Activated abilities of artifacts your opponents control can't be activated. +1: Until your next turn, up to one target noncreature artifact becomes an artifact creature with power and toughness each equal to its mana value. −2: You may reveal an artifact card you own from outside the game or choose a face-up artifact card you own in exile. Put that card into your hand.
mb2	Mystery Booster 2	2024-08-02	4	Archon of Emeria	ceef2d5a-77ea-4e56-9806-fd1a2d5be400	covered		combat_body, combat_threat, hate_piece, stax_piece	false		Covered by PRM role audit.	Creature — Archon	{2}{W}	3	W	W	Flying		already reviewed	https://scryfall.com/card/mb2/4/archon-of-emeria?utm_source=api	Flying Each player can't cast more than one spell each turn. Nonbasic lands your opponents control enter tapped.
mb2	Mystery Booster 2	2024-08-02	5	Cathar Commando	774dce79-67e0-4820-8013-c7a7347993ce	covered	combat_body, removal, sacrifice_support, targeted_removal	combat_body, removal, sacrifice_support, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{1}{W}	2	W	W	Flash		verify analyzer roles	https://scryfall.com/card/mb2/5/cathar-commando?utm_source=api	Flash {1}, Sacrifice this creature: Destroy target artifact or enchantment.
mb2	Mystery Booster 2	2024-08-02	6	Cathars' Crusade	cc65ac73-5bef-4ecb-ad8e-39199084c027	covered	counter_support	counter_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/mb2/6/cathars-crusade?utm_source=api	Whenever a creature you control enters, put a +1/+1 counter on each creature you control.
mb2	Mystery Booster 2	2024-08-02	7	Containment Priest	8a76a9b9-3127-45fe-b20f-a8f643276281	covered		combat_body, replacement_engine, stax_piece	false		Covered by PRM role audit.	Creature — Human Cleric	{1}{W}	2	W	W	Flash		already reviewed	https://scryfall.com/card/mb2/7/containment-priest?utm_source=api	Flash If a nontoken creature would enter and it wasn't cast, exile it instead.
mb2	Mystery Booster 2	2024-08-02	8	Day of Judgment	d057289d-5e28-43d5-8ff3-4a1bc723477d	covered		mass_removal, removal	false		Covered by PRM role audit.	Sorcery	{2}{W}{W}	4	W	W			already reviewed	https://scryfall.com/card/mb2/8/day-of-judgment?utm_source=api	Destroy all creatures.
mb2	Mystery Booster 2	2024-08-02	9	Deafening Silence	6284ef01-d17d-4584-aecb-1b841ae638e5	covered	hate_piece, stax_piece	hate_piece, stax_piece	false		Analyzer roles accepted during batch clean pass.	Enchantment	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/mb2/9/deafening-silence?utm_source=api	Each player can't cast more than one noncreature spell each turn.
mb2	Mystery Booster 2	2024-08-02	10	Ethersworn Canonist	ec3471ad-b65c-4e35-a7d1-68da9555a9ec	covered	combat_body, hate_piece, stax_piece	combat_body, hate_piece, stax_piece	false		Analyzer roles accepted during batch clean pass.	Artifact Creature — Human Cleric	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/mb2/10/ethersworn-canonist?utm_source=api	Each player who has cast a nonartifact spell this turn can't cast additional nonartifact spells.
