setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
punk	Black Lotus Unknown Planechase	2024-02-24	PLA001	Artist Alley (Plane)	e72339e4-222e-44a2-89ad-bef9835fb1d7	covered	card_selection, direct_draw, draw, selection	card_selection, direct_draw, draw, selection	false		Analyzer roles accepted during batch clean pass.	Plane — MagicCon		0					verify analyzer roles	https://scryfall.com/card/punk/PLA001/artist-alley-(plane)?utm_source=api	Whenever you planeswalk here and at the beginning of your upkeep, exile the top card of your library. You may play that card this turn. Whenever Chaos ensues, exile the top six cards of your library. An opponent or player outside the game chooses a nonland card with their favorite art. Then you may cast that spell without paying its mana cost.
punk	Black Lotus Unknown Planechase	2024-02-24	PLA002	The Bean	b977ff66-6c52-4f33-8f25-e310d835be8b	covered	copy_support, token_support	copy_support, token_support	false		Analyzer roles accepted during batch clean pass.	Plane — Chicago		0					verify analyzer roles	https://scryfall.com/card/punk/PLA002/the-bean?utm_source=api	When you planeswalk here, each player chooses a creature they control and creates a token that's a copy of it, except it's a Reflection in addition to its other types. All Reflections have shadow. (They can block or be blocked only by creatures with shadow.) Whenever chaos ensues, create a token that's a copy of a creature you control, except it's a Reflection in addition to its other types.
punk	Black Lotus Unknown Planechase	2024-02-24	PLA003	Black Lotus Lounge	ddea0dcf-e8d1-44ea-9ce4-009fa8bbfb95	covered	burst_ramp, card_draw, mana_fixing, ramp, token_support	burst_ramp, card_draw, mana_fixing, ramp, token_support	false		Analyzer roles accepted during batch clean pass.	Plane — MagicCon		0					verify analyzer roles	https://scryfall.com/card/punk/PLA003/black-lotus-lounge?utm_source=api	When you planeswalk here and at the beginning of your upkeep, create a Black Lotus artifact token. Whenever Chaos ensues, each player draws a card for each artifact token they control.
punk	Black Lotus Unknown Planechase	2024-02-24	PLA004	City Hall	36aac8aa-d6f0-4e53-a280-73b01e040f35	covered	burst_ramp, combat_support, mana_fixing, ramp, token_support	burst_ramp, combat_support, mana_fixing, ramp, token_support	false		Analyzer roles accepted during batch clean pass.	Plane — Chicago		0			Treasure		verify analyzer roles	https://scryfall.com/card/punk/PLA004/city-hall?utm_source=api	When you planeswalk here, you become the Monarch. Whenever Chaos ensues, each player may create two tapped treasure tokens. Each player who does can't attack you during their next turn.
punk	Black Lotus Unknown Planechase	2024-02-24	PLA005	Pin Collector's Booth	93a2967d-b7e3-497f-af7e-56984d0f8386	covered	combat_support, direct_finisher, finisher, scalable_spell, token_support	combat_support, direct_finisher, finisher, scalable_spell, token_support	false		Analyzer roles accepted during batch clean pass.	Plane — MagicCon		0					verify analyzer roles	https://scryfall.com/card/punk/PLA005/pin-collectors-booth?utm_source=api	Whenever you attack, create a Pin token attached to target attacking creature you control. It's an Pin Aura enchantment with enchant creature and "Enchanted creature gets +1/+1." Whenever Chaos ensues, each opponent loses X life, where X is the total number of pins attached to you and creatures you control. (This includes pins on your backpack.)
punk	Black Lotus Unknown Planechase	2024-02-24	PLA006	Pin Trading	133d8c07-4de5-4142-b141-235e5255fb6d	covered	card_draw, direct_draw, draw	card_draw, direct_draw, draw	false		Analyzer roles accepted during batch clean pass.	Phenomenon		0					verify analyzer roles	https://scryfall.com/card/punk/PLA006/pin-trading?utm_source=api	When you encounter this, draw a card for each pin you are wearing and each Pin token attached to creatures you control. (This includes pins on your backpack.) (Then planeswalk away from this phenomenon.)
punk	Black Lotus Unknown Planechase	2024-02-24	PLA007	Shy Town	05226c5f-1f56-4608-b09a-614d0198ad1b	covered	counter_support, token_support	counter_support, token_support	false		Analyzer roles accepted during batch clean pass.	Plane — Chicago		0					verify analyzer roles	https://scryfall.com/card/punk/PLA007/shy-town?utm_source=api	Whenever you planeswalk here and whenever chaos ensues, for each opponent, put a shy counter on up to one target creature they control. That creature becomes a Coward in addition to its other types. At the beginning of your upkeep, create a 2/2 red Warrior creature token with haste and "Cowards can't block Warriors."
punk	Black Lotus Unknown Planechase	2024-02-24	PLA008	Sky Deck	8baa42cf-32bc-4d1f-b4bd-02a4fce376c4	covered	counter_support, mass_removal, removal	counter_support, mass_removal, removal	false		Analyzer roles accepted during batch clean pass.	Plane — Chicago		0					verify analyzer roles	https://scryfall.com/card/punk/PLA008/sky-deck?utm_source=api	Whenever you planeswalk here, at the beginning of your upkeep, or whenever chaos ensues, put a glass counter on up to one target nonland permanent. When you planeswalk away from here, destroy all permanents with glass counters on them.
punk	Black Lotus Unknown Planechase	2024-02-24	PLA009	The Windy City	04491781-0e6a-4a30-a69f-db226702adfc	covered	counter_support, targeted_removal	counter_support, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Plane — Chicago		0					verify analyzer roles	https://scryfall.com/card/punk/PLA009/the-windy-city?utm_source=api	When you planeswalk here and at the beginning of your upkeep, put a flying counter on target nontoken creature you control without flying. Whenever chaos ensues, exile target creature with flying. For as long as it remains exiled, its owner may cast it by paying {2} rather than paying its mana cost. When you planeswalk away from The Windy City, remove all flying counters from all creatures.
punk	Black Lotus Unknown Planechase	2024-02-24	PLA010	Unknown Event	87ff5801-1f16-463a-af2c-3223cef0a532	covered	face_down_support	face_down_support	false		Analyzer roles accepted during batch clean pass.	Phenomenon		0					verify analyzer roles	https://scryfall.com/card/punk/PLA010/unknown-event?utm_source=api	When you encounter this, Each player opens a Magic the Gathering booster pack. They may select up to two cards from that pack and exile them face down. For the rest of the game, players may look at and play cards exiled this way without paying their mana costs. (Then Planeswalk away from this phenomenon.)
