setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
fdn	Foundations	2024-11-15	1	Sire of Seven Deaths	a15547d0-bbcb-41ee-a9ae-8325a9e7fe1f	covered	combat_body, combat_threat, lifegain, self_protection	combat_body, combat_threat, lifegain, self_protection	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi	{7}	7			Lifelink, Reach, Vigilance, First strike, Trample, Menace, Ward		verify analyzer roles	https://scryfall.com/card/fdn/1/sire-of-seven-deaths?utm_source=api	First strike, vigilance Menace, trample Reach, lifelink Ward—Pay 7 life.
fdn	Foundations	2024-11-15	2	Arahbo, the First Fang	dfec65a0-6fb6-463d-aa62-e84a427db217	covered	combat_body, combat_support, token_support	combat_body, combat_support, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Cat Avatar	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/fdn/2/arahbo-the-first-fang?utm_source=api	Other Cats you control get +1/+1. Whenever Arahbo or another nontoken Cat you control enters, create a 1/1 white Cat creature token.
fdn	Foundations	2024-11-15	3	Armasaur Guide	1d4e7422-2e26-49ce-beef-08f61583089a	covered	combat_body, combat_support, combat_threat, counter_support	combat_body, combat_support, combat_threat, counter_support	false		Analyzer roles accepted during batch clean pass.	Creature — Dinosaur	{4}{W}	5	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/fdn/3/armasaur-guide?utm_source=api	Vigilance (Attacking doesn't cause this creature to tap.) Whenever you attack with three or more creatures, put a +1/+1 counter on target creature you control.
fdn	Foundations	2024-11-15	4	Cat Collector	52f1b5a4-62ff-44de-80da-503d4e52d312	covered	combat_body, lifegain, sacrifice_support, token_support	combat_body, lifegain, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Citizen	{2}{W}	3	W	W	Food		verify analyzer roles	https://scryfall.com/card/fdn/4/cat-collector?utm_source=api	When this creature enters, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.") Whenever you gain life for the first time during each of your turns, create a 1/1 white Cat creature token.
fdn	Foundations	2024-11-15	5	Celestial Armor	4f1b68d7-7d16-4bb1-af5f-f1708b23ca73	covered	artifact_support, combat_support, replacement_engine, self_protection, tempo_support	artifact_support, combat_support, replacement_engine, self_protection, tempo_support	false		Analyzer roles accepted during batch clean pass.	Artifact — Equipment	{2}{W}	3	W	W	Equip, Flash		verify analyzer roles	https://scryfall.com/card/fdn/5/celestial-armor?utm_source=api	Flash (You may cast this spell any time you could cast an instant.) When this Equipment enters, attach it to target creature you control. That creature gains hexproof and indestructible until end of turn. Equipped creature gets +2/+0 and has flying. Equip {3}{W} ({3}{W}: Attach to target creature you control. Equip only as a sorcery.)
fdn	Foundations	2024-11-15	6	Claws Out	499d76c1-97ff-4006-922c-be1684a7754c	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Instant	{3}{W}{W}	5	W	W	Affinity		verify analyzer roles	https://scryfall.com/card/fdn/6/claws-out?utm_source=api	Affinity for Cats (This spell costs {1} less to cast for each Cat you control.) Creatures you control get +2/+2 until end of turn.
fdn	Foundations	2024-11-15	7	Crystal Barricade	291c7abf-9d64-4ba0-ae21-e3459edc9a95	covered	broad_protection, combat_body, combat_support, protection, self_protection	broad_protection, combat_body, combat_support, protection, self_protection	false		Analyzer roles accepted during batch clean pass.	Artifact Creature — Wall	{1}{W}	2	W	W	Defender		verify analyzer roles	https://scryfall.com/card/fdn/7/crystal-barricade?utm_source=api	Defender (This creature can't attack.) You have hexproof. (You can't be the target of spells or abilities your opponents control.) Prevent all noncombat damage that would be dealt to other creatures you control.
fdn	Foundations	2024-11-15	8	Dauntless Veteran	97b2fb8b-0c69-4ed2-b2d0-8a780f9b5b97	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/fdn/8/dauntless-veteran?utm_source=api	Whenever this creature attacks, creatures you control get +1/+1 until end of turn.
fdn	Foundations	2024-11-15	9	Dazzling Angel	7de464e3-fae3-44cc-8233-776fc727c00a	covered	combat_body, combat_threat, lifegain	combat_body, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Angel	{2}{W}	3	W	W	Flying		verify analyzer roles	https://scryfall.com/card/fdn/9/dazzling-angel?utm_source=api	Flying Whenever another creature you control enters, you gain 1 life.
fdn	Foundations	2024-11-15	10	Divine Resilience	4f6e2e47-34df-4bf3-a546-e06b42840167	covered	broad_protection, combat_support, protection, self_protection, targeted_protection	broad_protection, combat_support, protection, self_protection, targeted_protection	false		Analyzer roles accepted during batch clean pass.	Instant	{W}	1	W	W	Kicker		verify analyzer roles	https://scryfall.com/card/fdn/10/divine-resilience?utm_source=api	Kicker {2}{W} (You may pay an additional {2}{W} as you cast this spell.) Target creature you control gains indestructible until end of turn. If this spell was kicked, instead any number of target creatures you control gain indestructible until end of turn. (Damage and effects that say "destroy" don't destroy them.)
