setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pemn	Eldritch Moon Promos	2016-07-22	1Z	Zombie // Zombie	37b9b92e-ab15-4721-a520-d3d9a8d4e69f	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Zombie // Token Creature — Zombie		0		B			verify analyzer roles	https://scryfall.com/card/pemn/1Z/zombie-zombie?utm_source=api	Zombie:  // Zombie:
pemn	Eldritch Moon Promos	2016-07-22	2s	Decimator of the Provinces	7f522ded-09fd-457e-9efe-0a6324925e4c	covered	combat_body, combat_finisher, combat_support, combat_threat, finisher	combat_body, combat_finisher, combat_support, combat_threat, finisher	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi Boar	{10}	10		G	Emerge, Haste, Trample		verify analyzer roles	https://scryfall.com/card/pemn/2s/decimator-of-the-provinces?utm_source=api	Emerge {6}{G}{G}{G} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.) When you cast this spell, creatures you control get +2/+2 and gain trample until end of turn. Trample, haste
pemn	Eldritch Moon Promos	2016-07-22	3s	Distended Mindbender	36d32194-d547-4e2d-894f-f4bf13cf7da6	covered	combat_body, hand_attack	combat_body, hand_attack	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi Insect	{8}	8		B	Emerge		verify analyzer roles	https://scryfall.com/card/pemn/3s/distended-mindbender?utm_source=api	Emerge {5}{B}{B} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.) When you cast this spell, target opponent reveals their hand. You choose from it a nonland card with mana value 3 or less and a card with mana value 4 or greater. That player discards those cards.
pemn	Eldritch Moon Promos	2016-07-22	5s	Elder Deep-Fiend	4eafe717-4ba4-4901-8c67-11757230eb54	covered	combat_body, removal, tempo_removal	combat_body, removal, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi Octopus	{8}	8		U	Emerge, Flash		verify analyzer roles	https://scryfall.com/card/pemn/5s/elder-deep-fiend?utm_source=api	Flash Emerge {5}{U}{U} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.) When you cast this spell, tap up to four target permanents.
pemn	Eldritch Moon Promos	2016-07-22	6s	Emrakul, the Promised End	4e7a8817-1a66-45c3-ade9-eac79b40b89f	covered	combat_body, combat_threat, extra_turn, finisher, self_protection, theft_support	combat_body, combat_threat, extra_turn, finisher, self_protection, theft_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Eldrazi	{13}	13			Flying, Protection, Trample		verify analyzer roles	https://scryfall.com/card/pemn/6s/emrakul-the-promised-end?utm_source=api	This spell costs {1} less to cast for each card type among cards in your graveyard. When you cast this spell, you gain control of target opponent during that player's next turn. After that turn, that player takes an extra turn. Flying, trample, protection from instants
pemn	Eldritch Moon Promos	2016-07-22	7s	Eternal Scourge	c8b0436e-16d2-4d48-a894-454d69a3743b	covered	card_selection, combat_body, repeatable_advantage	card_selection, combat_body, repeatable_advantage	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi Horror	{3}	3					verify analyzer roles	https://scryfall.com/card/pemn/7s/eternal-scourge?utm_source=api	You may cast this card from exile. When this creature becomes the target of a spell or ability an opponent controls, exile this creature.
pemn	Eldritch Moon Promos	2016-07-22	15bs	Brisela, Voice of Nightmares	b23587e0-9fb7-492e-8bb4-f218e8e4ce6c	covered	combat_body, combat_threat, hate_piece, lifegain, soft_stack, stack, stax_piece	combat_body, combat_threat, hate_piece, lifegain, soft_stack, stack, stax_piece	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Eldrazi Angel		11		W	Flying, Lifelink, Vigilance, First strike		verify analyzer roles	https://scryfall.com/card/pemn/15bs/brisela-voice-of-nightmares?utm_source=api	Flying, first strike, vigilance, lifelink Your opponents can't cast spells with mana value 3 or less.
pemn	Eldritch Moon Promos	2016-07-22	15s	Bruna, the Fading Light	bce7e45d-b2c5-43aa-91a6-3a3c24f30850	covered	battlefield_recursion, card_selection, combat_body, combat_threat, recursion, repeatable_advantage	battlefield_recursion, card_selection, combat_body, combat_threat, recursion, repeatable_advantage	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Angel Horror	{5}{W}{W}	7	W	W	Flying, Vigilance		verify analyzer roles	https://scryfall.com/card/pemn/15s/bruna-the-fading-light?utm_source=api	When you cast this spell, you may return target Angel or Human creature card from your graveyard to the battlefield. Flying, vigilance (Melds with Gisela, the Broken Blade.)
pemn	Eldritch Moon Promos	2016-07-22	17s	Collective Effort	a97e760a-99c8-47ea-a875-451aca913ee7	covered	counter_support, removal, targeted_removal	counter_support, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Sorcery	{1}{W}{W}	3	W	W	Escalate		verify analyzer roles	https://scryfall.com/card/pemn/17s/collective-effort?utm_source=api	Escalate—Tap an untapped creature you control. (Pay this cost for each mode chosen beyond the first.) Choose one or more — • Destroy target creature with power 4 or greater. • Destroy target enchantment. • Put a +1/+1 counter on each creature target player controls.
pemn	Eldritch Moon Promos	2016-07-22	20s	Deploy the Gatewatch	e17ea7eb-362e-4c61-97cd-537f3921bced	covered	card_selection, draw, restricted_tutor, selection, tutor	card_selection, draw, restricted_tutor, selection, tutor	false		Analyzer roles accepted during batch clean pass.	Sorcery	{4}{W}{W}	6	W	W			verify analyzer roles	https://scryfall.com/card/pemn/20s/deploy-the-gatewatch?utm_source=api	Look at the top seven cards of your library. Put up to two planeswalker cards from among them onto the battlefield. Put the rest on the bottom of your library in a random order.
