setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
p23	Judge Gift Cards 2023	2023-01-01	1	Painter's Servant	baf93873-35e6-4bf2-bdcc-78a5206422fb	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Artifact Creature — Scarecrow	{2}	2					verify analyzer roles	https://scryfall.com/card/p23/1/painters-servant?utm_source=api	As this creature enters, choose a color. All cards that aren't on the battlefield, spells, and permanents are the chosen color in addition to their other colors.
p23	Judge Gift Cards 2023	2023-01-01	2	Grindstone	97560adc-814e-450c-9ca7-f9364e910a0b	covered	mill_support	mill_support	false		Covered by Tempest role audit.	Artifact	{1}	1			Mill		already reviewed	https://scryfall.com/card/p23/2/grindstone?utm_source=api	{3}, {T}: Target player mills two cards. If two cards that share a color were milled this way, repeat this process.
p23	Judge Gift Cards 2023	2023-01-01	3	Mycosynth Lattice	ae1f2ab5-c6a5-4d49-a746-3cb4668bf805	covered	replacement_engine	replacement_engine	false		Analyzer roles accepted during batch clean pass.	Artifact	{6}	6					verify analyzer roles	https://scryfall.com/card/p23/3/mycosynth-lattice?utm_source=api	All permanents are artifacts in addition to their other types. All cards that aren't on the battlefield, spells, and permanents are colorless. Players may spend mana as though it were mana of any color.
p23	Judge Gift Cards 2023	2023-01-01	4	Retrofitter Foundry	aaadfe41-b2be-4183-b45e-a70e53a59d2e	covered	sacrifice_support, token_support	sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Artifact	{1}	1					verify analyzer roles	https://scryfall.com/card/p23/4/retrofitter-foundry?utm_source=api	{3}: Untap this artifact. {2}, {T}: Create a 1/1 colorless Servo artifact creature token. {1}, {T}, Sacrifice a Servo: Create a 1/1 colorless Thopter artifact creature token with flying. {T}, Sacrifice a Thopter: Create a 4/4 colorless Construct artifact creature token.
p23	Judge Gift Cards 2023	2023-01-01	5	Sword of War and Peace	b10ad415-0aae-4d70-82e6-a4055a40cbe4	covered		artifact_support, combat_support, equipment_protection, lifegain, protection, self_protection	false		Covered by PRM role audit.	Artifact — Equipment	{3}	3			Equip		already reviewed	https://scryfall.com/card/p23/5/sword-of-war-and-peace?utm_source=api	Equipped creature gets +2/+2 and has protection from red and from white. Whenever equipped creature deals combat damage to a player, this Equipment deals damage to that player equal to the number of cards in their hand and you gain 1 life for each card in your hand. Equip {2}
p23	Judge Gift Cards 2023	2023-01-01	6	Plains	bc71ebf6-2056-41f7-be35-b2e5c34afa99	covered	basic_land, land_base, land_slot, mana_source	basic_land, land_base, land_slot, mana_source	false		Covered by Ice Age role audit.	Basic Land — Plains		0		W			already reviewed	https://scryfall.com/card/p23/6/plains?utm_source=api	({T}: Add {W}.)
p23	Judge Gift Cards 2023	2023-01-01	7	Island	b2c6aa39-2d2a-459c-a555-fb48ba993373	covered	basic_land, land_base, land_slot, mana_source	basic_land, land_base, land_slot, mana_source	false		Covered by Ice Age role audit.	Basic Land — Island		0		U			already reviewed	https://scryfall.com/card/p23/7/island?utm_source=api	({T}: Add {U}.)
p23	Judge Gift Cards 2023	2023-01-01	8	Swamp	56719f6a-1a6c-4c0a-8d21-18f7d7350b68	covered	basic_land, land_base, land_slot, mana_source	basic_land, land_base, land_slot, mana_source	false		Covered by Ice Age role audit.	Basic Land — Swamp		0		B			already reviewed	https://scryfall.com/card/p23/8/swamp?utm_source=api	({T}: Add {B}.)
p23	Judge Gift Cards 2023	2023-01-01	9	Mountain	a3fb7228-e76b-4e96-a40e-20b5fed75685	covered	basic_land, land_base, land_slot, mana_source	basic_land, land_base, land_slot, mana_source	false		Covered by Arabian Nights role audit.	Basic Land — Mountain		0		R			already reviewed	https://scryfall.com/card/p23/9/mountain?utm_source=api	({T}: Add {R}.)
p23	Judge Gift Cards 2023	2023-01-01	10	Forest	b34bb2dc-c1af-4d77-b0b3-a0fb342a5fc6	covered	basic_land, land_base, land_slot, mana_source	basic_land, land_base, land_slot, mana_source	false		Covered by Ice Age role audit.	Basic Land — Forest		0		G			already reviewed	https://scryfall.com/card/p23/10/forest?utm_source=api	({T}: Add {G}.)
