setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
dsc	Duskmourn: House of Horror Commander	2024-09-27	1	Aminatou, Veil Piercer	bf45f5ee-4d5f-4920-b612-b5492c2f035d			card_selection, combat_body, selection				Legendary Creature — Human Wizard	{1}{W}{U}{B}	4	BUW	BUW	Surveil		verify analyzer roles	https://scryfall.com/card/dsc/1/aminatou-veil-piercer?utm_source=api	At the beginning of your upkeep, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.) Each enchantment card in your hand has miracle. Its miracle cost is equal to its mana cost reduced by {4}. (You may cast a card for its miracle cost when you draw it if it's the first card you drew this turn.)
dsc	Duskmourn: House of Horror Commander	2024-09-27	2	Kianne, Corrupted Memory	7fc9e800-da66-4dda-a56d-79daec9e943e			combat_body, counter_support, replacement_engine, tempo_support				Legendary Creature — Illusion	{2}{G}{U}	4	GU	GU			verify analyzer roles	https://scryfall.com/card/dsc/2/kianne-corrupted-memory?utm_source=api	As long as Kianne's power is even, you may cast noncreature spells as though they had flash. As long as Kianne's power is odd, you may cast creature spells as though they had flash. Whenever you draw a card, put a +1/+1 counter on Kianne.
dsc	Duskmourn: House of Horror Commander	2024-09-27	3	The Lord of Pain	b194f277-5045-4391-8b48-d555a6d657a7			combat_body, combat_threat, lifegain, stax_piece				Legendary Creature — Human Assassin	{3}{B}{R}	5	BR	BR	Menace		verify analyzer roles	https://scryfall.com/card/dsc/3/the-lord-of-pain?utm_source=api	Menace Your opponents can't gain life. Whenever a player casts their first spell each turn, choose another target player. The Lord of Pain deals damage equal to that spell's mana value to the chosen player.
dsc	Duskmourn: House of Horror Commander	2024-09-27	4	The Master of Keys	37dc566e-a91a-448c-9967-b178a93ffb62			card_selection, combat_body, combat_support, combat_threat, counter_support, mana_sink, mill_support, recursion, repeatable_advantage, replay_recursion, scalable_spell, selection				Legendary Enchantment Creature — Horror	{X}{W}{U}{B}	3	BUW	BUW	Flying, Mill		verify analyzer roles	https://scryfall.com/card/dsc/4/the-master-of-keys?utm_source=api	Flying When The Master of Keys enters, put X +1/+1 counters on it and mill twice X cards. Each enchantment card in your graveyard has escape. The escape cost is equal to the card's mana cost plus exile three other cards from your graveyard. (You may cast cards from your graveyard for their escape cost.)
dsc	Duskmourn: House of Horror Commander	2024-09-27	5	Rendmaw, Creaking Nest	2207fb3f-45a1-401b-99e9-f75723495c3f			combat_body, combat_support, combat_threat, token_support				Legendary Artifact Creature — Scarecrow	{3}{B}{G}	5	BG	BG	Reach, Goad, Menace		verify analyzer roles	https://scryfall.com/card/dsc/5/rendmaw-creaking-nest?utm_source=api	Menace, reach When Rendmaw enters and whenever you play a card with two or more card types, each player creates a tapped 2/2 black Bird creature token with flying. The tokens are goaded for the rest of the game. (They attack each combat if able and attack a player other than you if able.)
dsc	Duskmourn: House of Horror Commander	2024-09-27	6	Valgavoth, Harrower of Souls	5401439c-4068-4490-8d53-8ffd0026dd7d			card_draw, combat_body, combat_threat, counter_support, direct_draw, draw, repeatable_advantage, repeatable_draw, self_protection				Legendary Creature — Elder Demon	{2}{B}{R}	4	BR	BR	Flying, Ward		verify analyzer roles	https://scryfall.com/card/dsc/6/valgavoth-harrower-of-souls?utm_source=api	Flying Ward—Pay 2 life. Whenever an opponent loses life for the first time during each of their turns, put a +1/+1 counter on Valgavoth and draw a card.
dsc	Duskmourn: House of Horror Commander	2024-09-27	7	Winter, Cynical Opportunist	e70a01dd-4dbe-4811-ac93-1c6d0142e06e			card_selection, combat_body, combat_support, combat_threat, cost_reduction, counter_support, draw, mill_support, ramp, repeatable_advantage, repeatable_tutor, restricted_tutor, selection, tutor				Legendary Creature — Human Warlock	{2}{B}{G}	4	BG	BG	Deathtouch, Delirium, Mill		verify analyzer roles	https://scryfall.com/card/dsc/7/winter-cynical-opportunist?utm_source=api	Deathtouch Whenever Winter attacks, mill three cards. Delirium — At the beginning of your end step, you may exile any number of cards from your graveyard with four or more card types among them. If you do, put a permanent card from among them onto the battlefield with a finality counter on it.
dsc	Duskmourn: House of Horror Commander	2024-09-27	8	Zimone, Mystery Unraveler	75bf0f27-9df1-4ab4-97a8-94bb3223bdf9			combat_body, face_down_support				Legendary Creature — Human Wizard	{2}{G}{U}	4	GU	GU	Manifest, Manifest dread, Landfall		verify analyzer roles	https://scryfall.com/card/dsc/8/zimone-mystery-unraveler?utm_source=api	Landfall — Whenever a land you control enters, manifest dread if this is the first time this ability has resolved this turn. Otherwise, you may turn a permanent you control face up. (To manifest dread, look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)
dsc	Duskmourn: House of Horror Commander	2024-09-27	9	Redress Fate	e8ff6780-5f22-42fa-a7c1-7406e8203063			card_selection, mass_recursion, recursion				Sorcery	{6}{W}{W}	8	W	W	Miracle		verify analyzer roles	https://scryfall.com/card/dsc/9/redress-fate?utm_source=api	Return all artifact and enchantment cards from your graveyard to the battlefield. Miracle {3}{W} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)
dsc	Duskmourn: House of Horror Commander	2024-09-27	10	Secret Arcade // Dusty Parlor	c8abde48-a07a-42a0-a43b-c357e6d9cad4							Enchantment — Room // Enchantment — Room	{4}{W} // {2}{W}	8	W	W			manual review	https://scryfall.com/card/dsc/10/secret-arcade-dusty-parlor?utm_source=api	Secret Arcade: Nonland permanents you control and permanent spells you control are enchantments in addition to their other types. (You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.) // Dusty Parlor: Whenever you cast an enchantment spell, put a number of +1/+1 counters equal to that spell's mana value on up to one target creature. (You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)
dsc	Duskmourn: House of Horror Commander	2024-09-27	11	Soaring Lightbringer	65ea7eb1-751b-4ecd-83cb-e9b6015ec194			combat_body, combat_support, combat_threat, token_support				Enchantment Creature — Bird Glimmer	{4}{W}	5	W	W	Flying		verify analyzer roles	https://scryfall.com/card/dsc/11/soaring-lightbringer?utm_source=api	Flying Other enchantment creatures you control have flying. Whenever you attack a player, create a 1/1 white Glimmer enchantment creature token that's tapped and attacking that player.
dsc	Duskmourn: House of Horror Commander	2024-09-27	12	Fear of Sleep Paralysis	a3a1f149-febe-4ff6-9e34-8b82ef21c2ee			combat_body, combat_threat, counter_support, removal, tempo_removal				Enchantment Creature — Nightmare	{5}{U}	6	U	U	Flying, Eerie		verify analyzer roles	https://scryfall.com/card/dsc/12/fear-of-sleep-paralysis?utm_source=api	Flying Eerie — Whenever this creature or another enchantment you control enters and whenever you fully unlock a Room, tap up to one target creature and put a stun counter on it. Stun counters can't be removed from permanents your opponents control. (They won't untap if they have stun counters.)
dsc	Duskmourn: House of Horror Commander	2024-09-27	13	Glitch Interpreter	cf2c507a-41b4-457b-bbe8-edcdfcc681ac			card_draw, combat_body, combat_support, direct_draw, draw, face_down_support, repeatable_advantage, repeatable_draw				Creature — Human Wizard	{2}{U}	3	U	U	Manifest, Manifest dread		verify analyzer roles	https://scryfall.com/card/dsc/13/glitch-interpreter?utm_source=api	When this creature enters, if you control no face-down permanents, return this creature to its owner's hand and manifest dread. Whenever one or more colorless creatures you control deal combat damage to a player, draw a card.
dsc	Duskmourn: House of Horror Commander	2024-09-27	14	They Came from the Pipes	1b8870fd-2d8a-42af-8173-b747d8d4c04f			card_draw, direct_draw, draw, face_down_support, repeatable_advantage, repeatable_draw				Enchantment	{4}{U}	5	U	U	Manifest, Manifest dread		verify analyzer roles	https://scryfall.com/card/dsc/14/they-came-from-the-pipes?utm_source=api	When this enchantment enters, manifest dread twice. (To manifest dread, look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.) Whenever a face-down creature you control enters, draw a card.
dsc	Duskmourn: House of Horror Commander	2024-09-27	15	Zimone's Hypothesis	ae27fa09-ab73-44b4-8e86-44d626ec221d			counter_support, removal, tempo_removal				Instant	{3}{U}{U}	5	U	U			verify analyzer roles	https://scryfall.com/card/dsc/15/zimones-hypothesis?utm_source=api	You may put a +1/+1 counter on a creature. Then choose odd or even. Return each creature with power of the chosen quality to its owner's hand. (Zero is even.)
dsc	Duskmourn: House of Horror Commander	2024-09-27	16	Ancient Cellarspawn	b8510b34-0e5f-4639-9db1-1ba40d84b800			combat_body, cost_reduction, direct_finisher, finisher, ramp, repeatable_finisher				Enchantment Creature — Horror	{1}{B}{B}	3	B	B			verify analyzer roles	https://scryfall.com/card/dsc/16/ancient-cellarspawn?utm_source=api	Each spell you cast that's a Demon, Horror, or Nightmare costs {1} less to cast. Whenever you cast a spell, if the amount of mana spent to cast it was less than its mana value, target opponent loses life equal to the difference.
dsc	Duskmourn: House of Horror Commander	2024-09-27	17	Cramped Vents // Access Maze	1e847d69-e527-4bb9-a624-17c25ac4fed4			card_selection, lifegain, removal, repeatable_advantage, targeted_removal				Enchantment — Room // Enchantment — Room	{3}{B} // {5}{B}{B}	11	B	B			verify analyzer roles	https://scryfall.com/card/dsc/17/cramped-vents-access-maze?utm_source=api	Cramped Vents: When you unlock this door, this Room deals 6 damage to target creature an opponent controls. You gain life equal to the excess damage dealt this way. (You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.) // Access Maze: Once during each of your turns, you may cast a spell from your hand by paying life equal to its mana value rather than paying its mana cost. (You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)
dsc	Duskmourn: House of Horror Commander	2024-09-27	18	Deluge of Doom	a81fcdf8-59e7-471d-96ce-f87e656572b1			mass_removal, removal, scalable_spell				Sorcery	{2}{B}	3	B	B			verify analyzer roles	https://scryfall.com/card/dsc/18/deluge-of-doom?utm_source=api	All creatures get -X/-X until end of turn, where X is the number of card types among cards in your graveyard.
dsc	Duskmourn: House of Horror Commander	2024-09-27	19	Demonic Covenant	393b9d9e-9d71-43e7-aede-eac7f85d2365			card_draw, combat_support, direct_draw, draw, mill_support, repeatable_advantage, repeatable_draw, sacrifice_support, token_support				Kindred Enchantment — Demon	{4}{B}{B}	6	B	B	Mill		verify analyzer roles	https://scryfall.com/card/dsc/19/demonic-covenant?utm_source=api	Whenever one or more Demons you control attack a player, you draw a card and lose 1 life. At the beginning of your end step, create a 5/5 black Demon creature token with flying, then mill two cards. If two cards that share all their card types were milled this way, sacrifice this enchantment.
dsc	Duskmourn: House of Horror Commander	2024-09-27	20	Into the Pit	e330412f-46a1-4e7c-8766-f644606049e0			card_selection, direct_draw, draw, repeatable_advantage, selection				Enchantment	{2}{B}	3	B	B			verify analyzer roles	https://scryfall.com/card/dsc/20/into-the-pit?utm_source=api	You may look at the top card of your library any time. You may cast spells from the top of your library by sacrificing a nonland permanent in addition to paying their other costs.
dsc	Duskmourn: House of Horror Commander	2024-09-27	21	Metamorphosis Fanatic	017aa9b3-a8ea-4588-9c50-e914a7d8e4ee			battlefield_recursion, card_selection, combat_body, combat_threat, counter_support, lifegain, recursion				Creature — Human Cleric	{4}{B}{B}	6	B	B	Lifelink, Miracle		verify analyzer roles	https://scryfall.com/card/dsc/21/metamorphosis-fanatic?utm_source=api	Lifelink When this creature enters, return up to one target creature card from your graveyard to the battlefield with a lifelink counter on it. Miracle {1}{B} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.)
dsc	Duskmourn: House of Horror Commander	2024-09-27	22	Persistent Constrictor	bf0ee9da-6071-440c-9149-d441f730fcfb			combat_body, counter_support, sacrifice_support				Creature — Zombie Snake	{4}{B}	5	B	B	Persist		verify analyzer roles	https://scryfall.com/card/dsc/22/persistent-constrictor?utm_source=api	At the beginning of each opponent's upkeep, they lose 1 life and you put a -1/-1 counter on up to one target creature they control. Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)
dsc	Duskmourn: House of Horror Commander	2024-09-27	23	Polluted Cistern // Dim Oubliette	cfcf34ba-b412-447f-b200-d841371c0a1c			battlefield_recursion, card_selection, direct_finisher, finisher, mill_support, recursion, repeatable_advantage, repeatable_finisher				Enchantment — Room // Enchantment — Room	{1}{B} // {4}{B}	7	B	B	Mill		verify analyzer roles	https://scryfall.com/card/dsc/23/polluted-cistern-dim-oubliette?utm_source=api	Polluted Cistern: Whenever one or more cards are put into your graveyard from your library, each opponent loses 1 life for each card type among those cards. (You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.) // Dim Oubliette: When you unlock this door, mill three cards, then return a creature card from your graveyard to the battlefield. (You may cast either half. That door unlocks on the battlefield. As a sorcery, you may pay the mana cost of a locked door to unlock it.)
dsc	Duskmourn: House of Horror Commander	2024-09-27	24	Sadistic Shell Game	88c3fc46-f2f5-440c-80a6-fed5b42cd340			removal, targeted_removal				Sorcery	{4}{B}	5	B	B			verify analyzer roles	https://scryfall.com/card/dsc/24/sadistic-shell-game?utm_source=api	Starting with the next opponent in turn order, each player chooses a creature you don't control. Destroy the chosen creatures.
dsc	Duskmourn: House of Horror Commander	2024-09-27	25	Suspended Sentence	98641070-93bd-4088-90cb-956c2b21979e			card_selection, cost_reduction, counter_support, removal, repeatable_advantage, repeatable_draw, selection, targeted_removal				Instant	{3}{B}	4	B	B	Suspend		verify analyzer roles	https://scryfall.com/card/dsc/25/suspended-sentence?utm_source=api	Destroy target creature an opponent controls. That player loses 3 life. Exile Suspended Sentence with three time counters on it. Suspend 3—{1}{B} (Rather than cast this card from your hand, you may pay {1}{B} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, you may cast it without paying its mana cost.)
