setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
v10	From the Vault: Relics	2010-08-27	1	Aether Vial	fc148e1e-dff0-448e-9f16-625341754356	covered		cost_reduction, counter_support, ramp	false		Covered by PRM role audit.	Artifact	{1}	1					already reviewed	https://scryfall.com/card/v10/1/aether-vial?utm_source=api	At the beginning of your upkeep, you may put a charge counter on this artifact. {T}: You may put a creature card with mana value equal to the number of charge counters on this artifact from your hand onto the battlefield.
v10	From the Vault: Relics	2010-08-27	2	Black Vise	de7839fb-7040-48ab-a6d4-d1952972943d	covered	direct_finisher, finisher, scalable_spell	scalable_spell	false			Artifact	{1}	1					already reviewed	https://scryfall.com/card/v10/2/black-vise?utm_source=api	As this artifact enters, choose an opponent. At the beginning of the chosen player's upkeep, this artifact deals X damage to that player, where X is the number of cards in their hand minus 4.
v10	From the Vault: Relics	2010-08-27	3	Isochron Scepter	ddd649f4-dbaf-48ec-8ff7-95581257772d	covered		card_selection	false		Covered by PRM role audit.	Artifact	{2}	2			Imprint		already reviewed	https://scryfall.com/card/v10/3/isochron-scepter?utm_source=api	Imprint — When this artifact enters, you may exile an instant card with mana value 2 or less from your hand. {2}, {T}: You may copy the exiled card. If you do, you may cast the copy without paying its mana cost.
v10	From the Vault: Relics	2010-08-27	4	Ivory Tower	d416a4ed-9f16-4a8b-8aee-03c630e1eb6c	covered	lifegain, scalable_spell	lifegain, scalable_spell	false		Covered by Antiquities role audit.	Artifact	{1}	1					already reviewed	https://scryfall.com/card/v10/4/ivory-tower?utm_source=api	At the beginning of your upkeep, you gain X life, where X is the number of cards in your hand minus 4.
v10	From the Vault: Relics	2010-08-27	5	Jester's Cap	8783a94a-d0b2-4291-a550-dbcf8e16bf4b	covered	sacrifice_support	sacrifice_support	false		Covered by Ice Age role audit.	Artifact	{4}	4					already reviewed	https://scryfall.com/card/v10/5/jesters-cap?utm_source=api	{2}, {T}, Sacrifice this artifact: Search target player's library for three cards and exile them. Then that player shuffles.
v10	From the Vault: Relics	2010-08-27	6	Karn, Silver Golem	8a7c6391-020a-4d7a-8abb-702631bbee56	covered		combat_body, combat_support	false		Covered by USG role audit.	Legendary Artifact Creature — Golem	{5}	5					already reviewed	https://scryfall.com/card/v10/6/karn-silver-golem?utm_source=api	Whenever Karn blocks or becomes blocked, it gets -4/+4 until end of turn. {1}: Target noncreature artifact becomes an artifact creature with power and toughness each equal to its mana value until end of turn.
v10	From the Vault: Relics	2010-08-27	7	Masticore	621476a4-44bf-4f55-adb1-880cdd213f38	covered		combat_body, protection, regeneration_protection, removal, sacrifice_support, targeted_protection, targeted_removal	false		Covered by UDS role audit.	Artifact Creature — Masticore	{4}	4			Regenerate		already reviewed	https://scryfall.com/card/v10/7/masticore?utm_source=api	At the beginning of your upkeep, sacrifice this creature unless you discard a card. {2}: This creature deals 1 damage to target creature. {2}: Regenerate this creature.
v10	From the Vault: Relics	2010-08-27	8	Memory Jar	eb9c9a34-88a8-4afe-a053-806f6b29834f	covered		card_draw, face_down_support, hand_attack, repeatable_advantage, sacrifice_support	false		Covered by ULG role audit.	Artifact	{5}	5					already reviewed	https://scryfall.com/card/v10/8/memory-jar?utm_source=api	{T}, Sacrifice this artifact: Each player exiles all cards from their hand face down and draws seven cards. At the beginning of the next end step, each player discards their hand and returns to their hand each card they exiled this way.
v10	From the Vault: Relics	2010-08-27	9	Mirari	8f6a2fce-719e-4745-80d3-aabce5c9bafa	covered		copy_support, spellslinger	false		Covered by ODY role audit.	Legendary Artifact	{5}	5					already reviewed	https://scryfall.com/card/v10/9/mirari?utm_source=api	Whenever you cast an instant or sorcery spell, you may pay {3}. If you do, copy that spell. You may choose new targets for the copy.
v10	From the Vault: Relics	2010-08-27	10	Mox Diamond	f3c5978a-70fa-431f-933b-b954bd0db0ea	covered	mana_fixing, ramp, replacement_engine, stable_ramp	mana_fixing, ramp, replacement_engine, stable_ramp	false		Covered by Stronghold role audit.	Artifact	{0}	0					already reviewed	https://scryfall.com/card/v10/10/mox-diamond?utm_source=api	If this artifact would enter, you may discard a land card instead. If you do, put this artifact onto the battlefield. If you don't, put it into its owner's graveyard. {T}: Add one mana of any color.
v10	From the Vault: Relics	2010-08-27	11	Nevinyrral's Disk	96230edf-568a-47dd-b877-9d92aa58fac8	covered	mass_removal, removal	mass_removal, removal	false		Non-game insert or decklist card; no analyzer role needed.	Artifact	{4}	4					already reviewed	https://scryfall.com/card/v10/11/nevinyrrals-disk?utm_source=api	This artifact enters tapped. {1}, {T}: Destroy all artifacts, creatures, and enchantments.
v10	From the Vault: Relics	2010-08-27	12	Sol Ring	6ad8011d-3471-4369-9d68-b264cc027487	covered	ramp, stable_ramp	ramp, stable_ramp	false		Covered by PRM role audit.	Artifact	{1}	1					already reviewed	https://scryfall.com/card/v10/12/sol-ring?utm_source=api	{T}: Add {C}{C}.
v10	From the Vault: Relics	2010-08-27	13	Sundering Titan	d17d071d-dbee-4d65-8435-137f35cd89ca			combat_body				Artifact Creature — Golem	{8}	8					verify analyzer roles	https://scryfall.com/card/v10/13/sundering-titan?utm_source=api	When this creature enters or leaves the battlefield, choose a land of each basic land type, then destroy those lands.
v10	From the Vault: Relics	2010-08-27	14	Sword of Body and Mind	fac42229-4f5f-4d04-85dd-5031d4e435aa	covered		artifact_support, combat_support, equipment_protection, mill_support, protection, self_protection, token_support	false		Covered by PRM role audit.	Artifact — Equipment	{3}	3			Equip, Mill		already reviewed	https://scryfall.com/card/v10/14/sword-of-body-and-mind?utm_source=api	Equipped creature gets +2/+2 and has protection from green and from blue. Whenever equipped creature deals combat damage to a player, you create a 2/2 green Wolf creature token and that player mills ten cards. Equip {2}
v10	From the Vault: Relics	2010-08-27	15	Zuran Orb	08cb8a30-9cb4-4517-bee5-8848aa60d1a2	covered	lifegain, sacrifice_support	lifegain, sacrifice_support	false		Covered by Ice Age role audit.	Artifact	{0}	0					already reviewed	https://scryfall.com/card/v10/15/zuran-orb?utm_source=api	Sacrifice a land: You gain 2 life.
