setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
spe	Marvel's Spider-Man Eternal	2025-09-26	1	Amateur Hero	fc8ee6e1-a2e1-4033-a164-7968fc79dd27	covered	combat_body, lifegain	combat_body, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Human Hero	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/spe/1/amateur-hero?utm_source=api	When this creature enters, you gain 2 life.
spe	Marvel's Spider-Man Eternal	2025-09-26	2	Amazing Alliance	5a824aff-52fe-4402-b074-884afb5286d4	covered	combat_support, lifegain	combat_support, lifegain	false		Analyzer roles accepted during batch clean pass.	Enchantment	{1}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/spe/2/amazing-alliance?utm_source=api	Creatures you control get +1/+1. Whenever you attack with one or more legendary creatures, you gain that much life.
spe	Marvel's Spider-Man Eternal	2025-09-26	3	MJ, Rising Star	06f647a7-ee53-42bd-8c73-53a0c6ede34a	covered	combat_body, combat_threat, counter_support, lifegain	combat_body, combat_threat, counter_support, lifegain	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Performer	{2}{W}	3	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/spe/3/mj-rising-star?utm_source=api	Vigilance (Attacking doesn't cause this creature to tap.) Whenever you gain life, put a +1/+1 counter on MJ.
spe	Marvel's Spider-Man Eternal	2025-09-26	4	Spider-Man, Peter Parker	5be3243a-6840-4601-96c8-ffb756041d49	covered	combat_body, combat_support, combat_threat, counter_support, lifegain, self_protection	combat_body, combat_support, combat_threat, counter_support, lifegain, self_protection	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Spider Human Hero	{3}{W}{W}	5	W	W	Flying		verify analyzer roles	https://scryfall.com/card/spe/4/spider-man-peter-parker?utm_source=api	Flying (This creature can't be blocked except by creatures with flying or reach.) Whenever you gain life, put a +1/+1 counter on target creature you control. It gains indestructible until end of turn. (Damage and effects that say "destroy" don't destroy it.)
spe	Marvel's Spider-Man Eternal	2025-09-26	5	Alchemax Slayer-Bots	cdc7356c-9621-4420-9fda-c8b91df0ec7c	covered	combat_body, counter_support, removal, replacement_engine, tempo_removal	combat_body, counter_support, removal, replacement_engine, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Artifact Creature — Robot Villain	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/spe/5/alchemax-slayer-bots?utm_source=api	When this creature enters, tap target creature an opponent controls and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)
spe	Marvel's Spider-Man Eternal	2025-09-26	6	Future Flight	bfd5b48a-698e-4ade-afb0-954ba288f9a7	covered	card_draw, combat_support, direct_draw, draw	card_draw, combat_support, direct_draw, draw	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{2}{U}{U}	4	U	U	Enchant		verify analyzer roles	https://scryfall.com/card/spe/6/future-flight?utm_source=api	Enchant creature When this Aura enters, draw two cards. Enchanted creature gets +2/+0 and has flying. (It can't be blocked except by creatures with flying or reach.)
spe	Marvel's Spider-Man Eternal	2025-09-26	7	Lyla, Holographic Assistant	b7fb0141-4fbd-4269-a2e9-92f75ec95271	covered	combat_body, counter_support	combat_body, counter_support	false		Analyzer roles accepted during batch clean pass.	Legendary Artifact Creature — Illusion Advisor	{3}{U}	4	U	U			verify analyzer roles	https://scryfall.com/card/spe/7/lyla-holographic-assistant?utm_source=api	Whenever you draw a card, put a +1/+1 counter on target creature.
spe	Marvel's Spider-Man Eternal	2025-09-26	8	Spider-Man 2099, Miguel O'Hara	c0280d66-699f-4139-828b-a0f79ae2d20d	covered	card_draw, combat_body, combat_support, direct_draw, draw, removal, repeatable_advantage, repeatable_draw, tempo_removal	card_draw, combat_body, combat_support, direct_draw, draw, removal, repeatable_advantage, repeatable_draw, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Spider Human Hero	{4}{U}	5	U	U			verify analyzer roles	https://scryfall.com/card/spe/8/spider-man-2099-miguel-ohara?utm_source=api	When Spider-Man 2099 enters, return up to one target creature to its owner's hand. Whenever one or more creatures you control deal combat damage to a player, draw a card.
spe	Marvel's Spider-Man Eternal	2025-09-26	9	Grendel, Spawn of Knull	a93f0735-9854-487d-b646-d55e2bee00c0	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Symbiote Dragon Villain	{3}{B}	4	B	B	Deathtouch, Flying		verify analyzer roles	https://scryfall.com/card/spe/9/grendel-spawn-of-knull?utm_source=api	Flying (This creature can't be blocked except by creatures with flying or reach.) Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
spe	Marvel's Spider-Man Eternal	2025-09-26	10	Lethal Protection	49a7c053-81e9-47b7-af5c-c62cd0389ed4	covered	card_selection, hand_recursion, recursion, removal, targeted_removal	card_selection, hand_recursion, recursion, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Sorcery	{3}{B}	4	B	B			verify analyzer roles	https://scryfall.com/card/spe/10/lethal-protection?utm_source=api	Destroy target creature. Return up to one target creature card from your graveyard to your hand.
