setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
aa3	Arena Anthology 3	2025-09-23	1	Emrakul, the Aeons Torn	900ca697-ad38-4b2b-bc74-2ff7eb6ea951	covered		combat_body, combat_threat, extra_turn, finisher, self_protection	false		Covered by PRM role audit.	Legendary Creature — Eldrazi	{15}	15			Flying, Annihilator, Protection		already reviewed	https://scryfall.com/card/aa3/1/emrakul-the-aeons-torn?utm_source=api	This spell can't be countered. When you cast this spell, take an extra turn after this one. Flying, protection from spells that are one or more colors, annihilator 6 When Emrakul is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.
aa3	Arena Anthology 3	2025-09-23	2	Ulamog, the Infinite Gyre	b817bc56-9b4d-4c50-bafa-3c652b99578f	covered		combat_body, combat_support, removal, self_protection, targeted_removal	false		Covered by PRM role audit.	Legendary Creature — Eldrazi	{11}	11			Indestructible, Annihilator		already reviewed	https://scryfall.com/card/aa3/2/ulamog-the-infinite-gyre?utm_source=api	When you cast this spell, destroy target permanent. Indestructible Annihilator 4 (Whenever this creature attacks, defending player sacrifices four permanents of their choice.) When Ulamog is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.
aa3	Arena Anthology 3	2025-09-23	3	Flickerwisp	b23a3d30-6b8e-4aad-890f-db0c3af43ace	covered		combat_body, combat_threat, targeted_removal	false		Covered by PRM role audit.	Creature — Elemental	{1}{W}{W}	3	W	W	Flying		already reviewed	https://scryfall.com/card/aa3/3/flickerwisp?utm_source=api	Flying When this creature enters, exile another target permanent. Return that card to the battlefield under its owner's control at the beginning of the next end step.
aa3	Arena Anthology 3	2025-09-23	4	Staff of the Storyteller	0c4e2c90-c17b-42cc-b4d7-cf75970fbe90	covered	card_draw, counter_support, direct_draw, draw, repeatable_advantage, repeatable_draw, token_support	card_draw, counter_support, direct_draw, draw, repeatable_advantage, repeatable_draw, token_support	false		Analyzer roles accepted during batch clean pass.	Artifact	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/aa3/4/staff-of-the-storyteller?utm_source=api	When this artifact enters, create a 1/1 white Spirit creature token with flying. Whenever you create one or more creature tokens, put a story counter on this artifact. {W}, {T}, Remove a story counter from this artifact: Draw a card.
aa3	Arena Anthology 3	2025-09-23	5	Force Spike	896ea218-3019-47e4-b0a0-2487335872bb	covered	soft_stack, stack	soft_stack, stack	false		Covered by Legends role audit.	Instant	{U}	1	U	U			already reviewed	https://scryfall.com/card/aa3/5/force-spike?utm_source=api	Counter target spell unless its controller pays {1}.
aa3	Arena Anthology 3	2025-09-23	6	Miscalculation	9078db26-3a54-4a11-9aae-e45c38da7226	covered		card_draw, direct_draw, draw, selection, soft_stack, stack	false		Covered by ULG role audit.	Instant	{1}{U}	2	U	U	Cycling		already reviewed	https://scryfall.com/card/aa3/6/miscalculation?utm_source=api	Counter target spell unless its controller pays {2}. Cycling {2} ({2}, Discard this card: Draw a card.)
aa3	Arena Anthology 3	2025-09-23	7	Peek	873abbf4-c9b5-4b8f-8cd0-613cf3b9b1d5	covered		card_draw, direct_draw, draw, hand_info	false		Covered by ODY role audit.	Instant	{U}	1	U	U			already reviewed	https://scryfall.com/card/aa3/7/peek?utm_source=api	Look at target player's hand. Draw a card.
aa3	Arena Anthology 3	2025-09-23	8	Dauthi Voidwalker	f1c2dbe2-fbe0-4058-bdf1-91d1b1832786	covered		card_selection, combat_body, combat_threat, counter_support, graveyard_hate, replacement_engine, sacrifice_support	false		Covered by PRM role audit.	Creature — Dauthi Rogue	{B}{B}	2	B	B	Shadow		already reviewed	https://scryfall.com/card/aa3/8/dauthi-voidwalker?utm_source=api	Shadow (This creature can block or be blocked by only creatures with shadow.) If a card would be put into an opponent's graveyard from anywhere, instead exile it with a void counter on it. {T}, Sacrifice this creature: Choose an exiled card an opponent owns with a void counter on it. You may play it this turn without paying its mana cost.
aa3	Arena Anthology 3	2025-09-23	9	Necromancy	699b192c-f3f2-4ac5-9ca9-e35bcf08ad8a	covered	battlefield_recursion, replacement_engine, tempo_support	battlefield_recursion, replacement_engine, tempo_support	false		Covered by Visions role audit.	Enchantment	{2}{B}	3	B	B			already reviewed	https://scryfall.com/card/aa3/9/necromancy?utm_source=api	You may cast this spell as though it had flash. If you cast it any time a sorcery couldn't have been cast, the controller of the permanent it becomes sacrifices it at the beginning of the next cleanup step. When this enchantment enters, if it's on the battlefield, it becomes an Aura with "enchant creature put onto the battlefield with Necromancy." Put target creature card from a graveyard onto the battlefield under your control and attach this enchantment to it. When this enchantment leaves the battlefield, that creature's controller sacrifices it.
aa3	Arena Anthology 3	2025-09-23	10	Assault Strobe	9bf4ee0f-6e28-4793-b251-f81ee444a119	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Sorcery	{R}	1	R	R			verify analyzer roles	https://scryfall.com/card/aa3/10/assault-strobe?utm_source=api	Target creature gains double strike until end of turn. (It deals both first-strike and regular combat damage.)
aa3	Arena Anthology 3	2025-09-23	11	Broadside Bombardiers	e0c00a74-bdf8-4fee-8042-42c5878e9e3c	covered	combat_body, combat_threat, removal, sacrifice_support, targeted_removal	combat_body, combat_threat, removal, sacrifice_support, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Goblin Pirate	{2}{R}	3	R	R	Boast, Haste, Menace		verify analyzer roles	https://scryfall.com/card/aa3/11/broadside-bombardiers?utm_source=api	Menace, haste Boast — Sacrifice another creature or artifact: This creature deals damage equal to 2 plus the sacrificed permanent's mana value to any target. (Activate only if this creature attacked this turn and only once each turn.)
aa3	Arena Anthology 3	2025-09-23	12	Chain Lightning	8785f42f-87b9-4a0a-89ce-ea423649ba9c	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by Legends role audit.	Sorcery	{R}	1	R	R			already reviewed	https://scryfall.com/card/aa3/12/chain-lightning?utm_source=api	Chain Lightning deals 3 damage to any target. Then that player or that permanent's controller may pay {R}{R}. If the player does, they may copy this spell and may choose a new target for that copy.
aa3	Arena Anthology 3	2025-09-23	13	Gut, True Soul Zealot	60e7130a-d321-4e50-93a4-999013c76054	covered	combat_body, combat_support, sacrifice_support, token_support	combat_body, combat_support, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Goblin Shaman	{2}{R}	3	R	R	Choose a background		verify analyzer roles	https://scryfall.com/card/aa3/13/gut-true-soul-zealot?utm_source=api	Whenever you attack, you may sacrifice another creature or an artifact. If you do, create a 4/1 black Skeleton creature token with menace that's tapped and attacking. (It can't be blocked except by two or more creatures.) Choose a Background (You can have a Background as a second commander.)
aa3	Arena Anthology 3	2025-09-23	14	Oxidda Scrapmelter	cef64ec6-cdfb-42a4-9a4a-3ef5448e93fc	covered	combat_body, removal, targeted_removal	combat_body, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Beast	{3}{R}	4	R	R			verify analyzer roles	https://scryfall.com/card/aa3/14/oxidda-scrapmelter?utm_source=api	When this creature enters, destroy target artifact.
aa3	Arena Anthology 3	2025-09-23	15	Ambush Viper	8957f7c2-040c-4048-9f21-efa7c97682b7	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Snake	{1}{G}	2	G	G	Flash, Deathtouch		verify analyzer roles	https://scryfall.com/card/aa3/15/ambush-viper?utm_source=api	Flash Deathtouch
aa3	Arena Anthology 3	2025-09-23	16	Crop Rotation	28b46183-c62f-47b1-9fee-3ba148202cab	covered	land_acceleration, land_tutor, mana_fixing, ramp, sacrifice_support, tutor	land_acceleration, land_tutor, mana_fixing, ramp, sacrifice_support, tutor	false		Covered by Media and Collaboration Promos role audit.	Instant	{G}	1	G	G			already reviewed	https://scryfall.com/card/aa3/16/crop-rotation?utm_source=api	As an additional cost to cast this spell, sacrifice a land. Search your library for a land card, put that card onto the battlefield, then shuffle.
