setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ovnt	Vintage Championship	2003-01-01	2003	Black Lotus	5089ec1a-f881-4d55-af14-5d996171203b	covered	burst_ramp, sacrifice_support	burst_ramp, sacrifice_support	false		Covered by PRM role audit.	Artifact	{0}	0					already reviewed	https://scryfall.com/card/ovnt/2003/black-lotus?utm_source=api	{T}, Sacrifice this artifact: Add three mana of any one color.
ovnt	Vintage Championship	2003-01-01	2004	Timetwister	c823e687-6311-4c99-974b-fd77d204141a	covered	card_draw	card_draw	false		Covered by PRM role audit.	Sorcery	{2}{U}	3	U	U			already reviewed	https://scryfall.com/card/ovnt/2004/timetwister?utm_source=api	Each player shuffles their hand and graveyard into their library, then draws seven cards. (Then put Timetwister into its owner's graveyard.)
ovnt	Vintage Championship	2003-01-01	2005	Ancestral Recall	550c74d4-1fcb-406a-b02a-639a760a4380	covered	card_draw	card_draw	false		Covered by PRM role audit.	Instant	{U}	1	U	U			already reviewed	https://scryfall.com/card/ovnt/2005/ancestral-recall?utm_source=api	Target player draws three cards.
ovnt	Vintage Championship	2003-01-01	2006	Mox Pearl	824597b8-c89a-47ec-8526-7efc6e24ef0e	covered	ramp, stable_ramp	ramp, stable_ramp	false		Covered by PRM role audit.	Artifact	{0}	0		W			already reviewed	https://scryfall.com/card/ovnt/2006/mox-pearl?utm_source=api	{T}: Add {W}.
ovnt	Vintage Championship	2003-01-01	2007	Mox Jet	0677f49e-f8bf-4349-af52-2ccde9287c2e	covered	ramp, stable_ramp	ramp, stable_ramp	false		Covered by PRM role audit.	Artifact	{0}	0		B			already reviewed	https://scryfall.com/card/ovnt/2007/mox-jet?utm_source=api	{T}: Add {B}.
ovnt	Vintage Championship	2003-01-01	2008	Mox Ruby	ed85fa82-e4fa-434b-92a8-36b6075708d1	covered	ramp, stable_ramp	ramp, stable_ramp	false		Covered by PRM role audit.	Artifact	{0}	0		R			already reviewed	https://scryfall.com/card/ovnt/2008/mox-ruby?utm_source=api	{T}: Add {R}.
ovnt	Vintage Championship	2003-01-01	2009	Mox Emerald	376ee366-e082-402f-b4db-6592fcfcacd2	covered	ramp, stable_ramp	ramp, stable_ramp	false		Covered by PRM role audit.	Artifact	{0}	0		G			already reviewed	https://scryfall.com/card/ovnt/2009/mox-emerald?utm_source=api	{T}: Add {G}.
ovnt	Vintage Championship	2003-01-01	2010	Mox Sapphire	d5ed1233-df87-4b90-8918-13922ec95249	covered	ramp, stable_ramp	ramp, stable_ramp	false		Covered by PRM role audit.	Artifact	{0}	0		U			already reviewed	https://scryfall.com/card/ovnt/2010/mox-sapphire?utm_source=api	{T}: Add {U}.
ovnt	Vintage Championship	2003-01-01	2011	Time Walk	d0209d3f-3f7e-4fd5-bce5-10bce6f29c86	covered	extra_turn, finisher	extra_turn, finisher	false		Covered by Alpha role audit batch 1.	Sorcery	{1}{U}	2	U	U			already reviewed	https://scryfall.com/card/ovnt/2011/time-walk?utm_source=api	Take an extra turn after this one.
ovnt	Vintage Championship	2003-01-01	2020A	Tolarian Academy	dba4fd31-8931-42dd-bd86-45479c2abf74	covered		artifact_support, land_base, land_slot, mana_source, stable_ramp	false		Covered by USG role audit.	Legendary Land		0		U			already reviewed	https://scryfall.com/card/ovnt/2020A/tolarian-academy?utm_source=api	{T}: Add {U} for each artifact you control.
ovnt	Vintage Championship	2003-01-01	2020B	Library of Alexandria	2111588d-9af5-4a33-989e-b074d83f0463	covered	card_draw, direct_draw, draw, land_base, land_slot, mana_source, repeatable_advantage, repeatable_draw	card_draw, direct_draw, draw, land_base, land_slot, mana_source, repeatable_advantage, repeatable_draw	false		Covered by Arabian Nights role audit.	Land		0					already reviewed	https://scryfall.com/card/ovnt/2020B/library-of-alexandria?utm_source=api	{T}: Add {C}. {T}: Draw a card. Activate only if you have exactly seven cards in hand.
ovnt	Vintage Championship	2003-01-01	2020C	Mishra's Workshop	ba284fe6-bb29-455c-8321-9714a0cdc05e	covered	land_base, land_slot, mana_source, stable_ramp	land_base, land_slot, mana_source, stable_ramp	false		Covered by Antiquities role audit.	Land		0					already reviewed	https://scryfall.com/card/ovnt/2020C/mishras-workshop?utm_source=api	{T}: Add {C}{C}{C}. Spend this mana only to cast artifact spells.
ovnt	Vintage Championship	2003-01-01	2022A	Bazaar of Baghdad	54022a10-c9f0-458d-a0ed-228843cd9a40	covered	card_draw, card_selection, direct_draw, draw, land_base, land_slot, repeatable_advantage, repeatable_draw, selection	card_draw, card_selection, direct_draw, draw, land_base, land_slot, repeatable_advantage, repeatable_draw, selection	false		Covered by Arabian Nights role audit.	Land		0					already reviewed	https://scryfall.com/card/ovnt/2022A/bazaar-of-baghdad?utm_source=api	{T}: Draw two cards, then discard three cards.
