setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pio	Pioneer Masters	2024-12-10	1	Bane of Bala Ged	38839894-1706-4e11-8310-5ea8dd8866d9	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi	{7}	7					verify analyzer roles	https://scryfall.com/card/pio/1/bane-of-bala-ged?utm_source=api	Whenever this creature attacks, defending player exiles two permanents they control.
pio	Pioneer Masters	2024-12-10	2	Scion of Ugin	7422f43d-0c1e-42cb-864d-1c63f2ec533a	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Dragon Spirit	{6}	6			Flying		verify analyzer roles	https://scryfall.com/card/pio/2/scion-of-ugin?utm_source=api	Flying
pio	Pioneer Masters	2024-12-10	3	Void Winnower	70ac902e-1eb5-4f83-a5a6-00ac89cfe50f	covered	combat_body, hate_piece, soft_stack, stack, stax_piece	combat_body, hate_piece, soft_stack, stack, stax_piece	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi	{9}	9					verify analyzer roles	https://scryfall.com/card/pio/3/void-winnower?utm_source=api	Your opponents can't cast spells with even mana values. (Zero is even.) Your opponents can't block with creatures with even mana values.
pio	Pioneer Masters	2024-12-10	4	Archangel of Thune	4f2d4538-dc1d-4c09-964b-b0d7c240fb7d	covered	combat_body, combat_threat, counter_support, lifegain	combat_body, combat_threat, counter_support, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Angel	{3}{W}{W}	5	W	W	Flying, Lifelink		verify analyzer roles	https://scryfall.com/card/pio/4/archangel-of-thune?utm_source=api	Flying Lifelink (Damage dealt by this creature also causes you to gain that much life.) Whenever you gain life, put a +1/+1 counter on each creature you control.
pio	Pioneer Masters	2024-12-10	5	Archway Angel	f2cf087a-d89a-4145-9394-945ce41c8cca	covered	combat_body, combat_threat, lifegain	combat_body, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Angel	{5}{W}	6	W	W	Flying		verify analyzer roles	https://scryfall.com/card/pio/5/archway-angel?utm_source=api	Flying When this creature enters, you gain 2 life for each Gate you control.
pio	Pioneer Masters	2024-12-10	6	Ardenvale Tactician // Dizzying Swoop	ea27c8bf-33c5-443f-b8b2-51235efc2491	covered		card_selection, combat_body, combat_threat, removal, tempo_removal	false		Covered by PRM role audit.	Creature — Human Knight // Instant — Adventure	{1}{W}{W} // {1}{W}	3	W	W	Flying		already reviewed	https://scryfall.com/card/pio/6/ardenvale-tactician-dizzying-swoop?utm_source=api	Ardenvale Tactician: Flying // Dizzying Swoop: Tap up to two target creatures. (Then exile this card. You may cast the creature later from exile.)
pio	Pioneer Masters	2024-12-10	7	Artful Maneuver	7b58920e-3e90-44ed-a0e9-4cb1b7359a5b	covered	card_selection, combat_support, repeatable_advantage, repeatable_draw, selection	card_selection, combat_support, repeatable_advantage, repeatable_draw, selection	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{W}	2	W	W	Rebound		verify analyzer roles	https://scryfall.com/card/pio/7/artful-maneuver?utm_source=api	Target creature gets +2/+2 until end of turn. Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)
pio	Pioneer Masters	2024-12-10	8	Celestial Archon	d2b29bb0-9fb5-46cd-a546-fa6c4ff6113c	covered		combat_body, combat_support, combat_threat	false		Covered by PRM role audit.	Enchantment Creature — Archon	{3}{W}{W}	5	W	W	Flying, First strike, Bestow		already reviewed	https://scryfall.com/card/pio/8/celestial-archon?utm_source=api	Bestow {5}{W}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.) Flying, first strike Enchanted creature gets +4/+4 and has flying and first strike.
pio	Pioneer Masters	2024-12-10	9	Chained to the Rocks	afb0c14c-41ac-4536-bfce-f1c36066b278	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{W}	1	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/pio/9/chained-to-the-rocks?utm_source=api	Enchant Mountain you control When this Aura enters, exile target creature an opponent controls until this Aura leaves the battlefield. (That creature returns under its owner's control.)
pio	Pioneer Masters	2024-12-10	10	Compulsory Rest	020225db-5623-49c2-8cdf-1ec2a05b8b0a	covered	combat_support, lifegain, removal, sacrifice_support, targeted_removal	combat_support, lifegain, removal, sacrifice_support, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{1}{W}	2	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/pio/10/compulsory-rest?utm_source=api	Enchant creature Enchanted creature can't attack or block. Enchanted creature has "{2}, Sacrifice this creature: You gain 2 life."
pio	Pioneer Masters	2024-12-10	11	Dictate of Heliod	b989279c-665d-4f15-afc1-adf3872a4851	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{3}{W}{W}	5	W	W	Flash		verify analyzer roles	https://scryfall.com/card/pio/11/dictate-of-heliod?utm_source=api	Flash Creatures you control get +2/+2.
pio	Pioneer Masters	2024-12-10	12	Extricator of Sin // Extricator of Flesh	08b3328c-1d96-4a05-ae8b-f1b654084faa	covered	combat_body, combat_support, sacrifice_support, token_support	combat_body, combat_support, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Cleric // Creature — Eldrazi Horror		3		W	Delirium, Transform		verify analyzer roles	https://scryfall.com/card/pio/12/extricator-of-sin-extricator-of-flesh?utm_source=api	Extricator of Sin: When this creature enters, you may sacrifice another permanent. If you do, create a 3/2 colorless Eldrazi Horror creature token. Delirium — At the beginning of your upkeep, if there are four or more card types among cards in your graveyard, transform this creature. // Extricator of Flesh: Eldrazi you control have vigilance. {2}, {T}, Sacrifice a non-Eldrazi creature: Create a 3/2 colorless Eldrazi Horror creature token.
pio	Pioneer Masters	2024-12-10	13	Ghostblade Eidolon	78a1f291-22ed-41f1-87fd-0bdc97f9c065	covered	combat_body, combat_support, combat_threat, multiplier_support, replacement_engine	combat_body, combat_support, combat_threat, multiplier_support, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Enchantment Creature — Spirit	{2}{W}	3	W	W	Bestow, Double strike		verify analyzer roles	https://scryfall.com/card/pio/13/ghostblade-eidolon?utm_source=api	Bestow {5}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.) Double strike (This creature deals both first-strike and regular combat damage.) Enchanted creature gets +1/+1 and has double strike.
pio	Pioneer Masters	2024-12-10	14	Gideon, Ally of Zendikar	51eae7ff-fed9-4afe-8053-7690379449dd	covered	broad_protection, combat_support, protection, self_protection, token_support	broad_protection, combat_support, protection, self_protection, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Planeswalker — Gideon	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/pio/14/gideon-ally-of-zendikar?utm_source=api	+1: Until end of turn, Gideon becomes a 5/5 Human Soldier Ally creature with indestructible that's still a planeswalker. Prevent all damage that would be dealt to him this turn. 0: Create a 2/2 white Knight Ally creature token. −4: You get an emblem with "Creatures you control get +1/+1."
pio	Pioneer Masters	2024-12-10	15	Heliod's Pilgrim	0fe01c7d-f435-44c1-82f1-0ec2c47d4704	covered	combat_body, restricted_tutor, tutor	combat_body, restricted_tutor, tutor	false		Covered by Media and Collaboration Promos role audit.	Creature — Human Cleric	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/pio/15/heliods-pilgrim?utm_source=api	When this creature enters, you may search your library for an Aura card, reveal it, put it into your hand, then shuffle.
pio	Pioneer Masters	2024-12-10	16	Hero of Iroas	0d44bd43-77da-449e-b771-8a14da88b677	covered	combat_body, cost_reduction, counter_support, ramp	combat_body, cost_reduction, counter_support, ramp	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{1}{W}	2	W	W	Heroic		verify analyzer roles	https://scryfall.com/card/pio/16/hero-of-iroas?utm_source=api	Aura spells you cast cost {1} less to cast. Heroic — Whenever you cast a spell that targets this creature, put a +1/+1 counter on this creature.
pio	Pioneer Masters	2024-12-10	17	Hopeful Eidolon	13c1ca1e-cd17-49ef-bc31-97bff99ec1e3	covered	combat_body, combat_support, combat_threat, lifegain	combat_body, combat_support, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Enchantment Creature — Spirit	{W}	1	W	W	Lifelink, Bestow		verify analyzer roles	https://scryfall.com/card/pio/17/hopeful-eidolon?utm_source=api	Bestow {3}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.) Lifelink (Damage dealt by this creature also causes you to gain that much life.) Enchanted creature gets +1/+1 and has lifelink.
pio	Pioneer Masters	2024-12-10	18	Imposing Sovereign	4bba3663-7f3c-4589-88aa-cf0bfe36b171	covered	combat_body, stax_piece	combat_body, stax_piece	false		Analyzer roles accepted during batch clean pass.	Creature — Human Noble	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/pio/18/imposing-sovereign?utm_source=api	Creatures your opponents control enter tapped.
pio	Pioneer Masters	2024-12-10	19	Kabira Takedown // Kabira Plateau	0bb73c07-0220-4ba9-8d85-3c357c223833	covered	land_base, land_slot, mana_source, removal, targeted_removal	land_base, land_slot, mana_source, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant // Land		2		W			verify analyzer roles	https://scryfall.com/card/pio/19/kabira-takedown-kabira-plateau?utm_source=api	Kabira Takedown: Kabira Takedown deals damage equal to the number of creatures you control to target creature or planeswalker. // Kabira Plateau: This land enters tapped. {T}: Add {W}.
pio	Pioneer Masters	2024-12-10	20	Keening Apparition	b9212596-3f65-41c9-9ee8-1f4cec7f0ecf	covered	combat_body, removal, sacrifice_support, targeted_removal	combat_body, removal, sacrifice_support, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Spirit	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/pio/20/keening-apparition?utm_source=api	Sacrifice this creature: Destroy target enchantment.
pio	Pioneer Masters	2024-12-10	21	Knight of the White Orchid	7d0efc64-151f-45b4-8c0b-c32609f9d862	covered	combat_body, combat_threat, land_acceleration, land_tutor, mana_fixing, ramp, tutor	combat_body, combat_threat, land_acceleration, land_tutor, mana_fixing, ramp, tutor	false		Analyzer roles accepted during batch clean pass.	Creature — Human Knight	{W}{W}	2	W	W	First strike		verify analyzer roles	https://scryfall.com/card/pio/21/knight-of-the-white-orchid?utm_source=api	First strike When this creature enters, if an opponent controls more lands than you, you may search your library for a Plains card, put it onto the battlefield, then shuffle.
pio	Pioneer Masters	2024-12-10	22	Knightly Valor	9ba6cec6-97bf-4a83-9ffa-77e187d0945b	covered	combat_support, token_support	combat_support, token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{4}{W}	5	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/pio/22/knightly-valor?utm_source=api	Enchant creature When this Aura enters, create a 2/2 white Knight creature token with vigilance. (Attacking doesn't cause it to tap.) Enchanted creature gets +2/+2 and has vigilance.
pio	Pioneer Masters	2024-12-10	23	Kytheon, Hero of Akros // Gideon, Battle-Forged	e49d745c-5130-4b54-bcbb-643b08528456	covered	broad_protection, combat_body, combat_support, protection, self_protection, targeted_protection	broad_protection, combat_body, combat_support, protection, self_protection, targeted_protection	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Soldier // Legendary Planeswalker — Gideon		1		W	Transform		verify analyzer roles	https://scryfall.com/card/pio/23/kytheon-hero-of-akros-gideon-battle-forged?utm_source=api	Kytheon, Hero of Akros: At end of combat, if Kytheon and at least two other creatures attacked this combat, exile Kytheon, then return him to the battlefield transformed under his owner's control. {2}{W}: Kytheon gains indestructible until end of turn. // Gideon, Battle-Forged: +2: Up to one target creature an opponent controls attacks Gideon during its controller's next turn if able. +1: Until your next turn, target creature gains indestructible. Untap that creature. 0: Until end of turn, Gideon becomes a 4/4 Human Soldier creature with indestructible that's still a planeswalker. Prevent all damage that would be dealt to him this turn.
pio	Pioneer Masters	2024-12-10	24	Lagonna-Band Trailblazer	09cc0faa-71d7-428b-9fc4-5ba09e244e89	covered	combat_body, counter_support	combat_body, counter_support	false		Analyzer roles accepted during batch clean pass.	Creature — Centaur Scout	{W}	1	W	W	Heroic		verify analyzer roles	https://scryfall.com/card/pio/24/lagonna-band-trailblazer?utm_source=api	Heroic — Whenever you cast a spell that targets this creature, put a +1/+1 counter on it.
pio	Pioneer Masters	2024-12-10	25	Linvala, the Preserver	64f5689d-504d-40e9-bdb5-36dcefd257e2	covered	combat_body, combat_threat, lifegain, token_support	combat_body, combat_threat, lifegain, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Angel	{4}{W}{W}	6	W	W	Flying		verify analyzer roles	https://scryfall.com/card/pio/25/linvala-the-preserver?utm_source=api	Flying When Linvala enters, if an opponent has more life than you, you gain 5 life. When Linvala enters, if an opponent controls more creatures than you, create a 3/3 white Angel creature token with flying.
pio	Pioneer Masters	2024-12-10	26	Lotus-Eye Mystics	efb11270-4b5a-4c52-862f-1d24c6b95d73	covered	card_selection, combat_body, combat_support, hand_recursion, recursion	card_selection, combat_body, combat_support, hand_recursion, recursion	false		Analyzer roles accepted during batch clean pass.	Creature — Human Monk	{3}{W}	4	W	W	Prowess		verify analyzer roles	https://scryfall.com/card/pio/26/lotus-eye-mystics?utm_source=api	Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) When this creature enters, return target enchantment card from your graveyard to your hand.
