setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pbfz	Battle for Zendikar Promos	2015-10-02	2	Blight Herder	3159d289-b822-4657-919a-d712623e622e	covered		burst_ramp, combat_body, ramp, sacrifice_support, token_support	false		Covered by PRM role audit.	Creature — Eldrazi Processor	{5}	5					already reviewed	https://scryfall.com/card/pbfz/2/blight-herder?utm_source=api	When you cast this spell, you may put two cards your opponents own from exile into their owners' graveyards. If you do, create three 1/1 colorless Eldrazi Scion creature tokens. They have "Sacrifice this token: Add {C}."
pbfz	Battle for Zendikar Promos	2015-10-02	4s	Conduit of Ruin	cd3d79e9-c72e-4321-bca1-54505d51331a	covered	combat_body, cost_reduction, ramp, restricted_tutor, tutor	combat_body, cost_reduction, ramp, restricted_tutor, tutor	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi	{6}	6					verify analyzer roles	https://scryfall.com/card/pbfz/4s/conduit-of-ruin?utm_source=api	When you cast this spell, you may search your library for a colorless creature card with mana value 7 or greater, reveal it, then shuffle and put that card on top. The first creature spell you cast each turn costs {2} less to cast.
pbfz	Battle for Zendikar Promos	2015-10-02	6s	Desolation Twin	c0cb1f37-1679-42c7-a794-81e088157eeb	covered	combat_body, token_support	combat_body, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi	{10}	10					verify analyzer roles	https://scryfall.com/card/pbfz/6s/desolation-twin?utm_source=api	When you cast this spell, create a 10/10 colorless Eldrazi creature token.
pbfz	Battle for Zendikar Promos	2015-10-02	8s	Endless One	7a51780a-fa28-4ee0-94c7-4330800ca9cb	covered	combat_body, combat_support, counter_support, mana_sink, scalable_spell	combat_body, combat_support, counter_support, mana_sink, scalable_spell	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi	{X}	0					verify analyzer roles	https://scryfall.com/card/pbfz/8s/endless-one?utm_source=api	This creature enters with X +1/+1 counters on it.
pbfz	Battle for Zendikar Promos	2015-10-02	9s	Gruesome Slaughter	5f6fbb1d-63c9-4913-8e99-9e8c3b4e8d8c	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Sorcery	{6}	6					verify analyzer roles	https://scryfall.com/card/pbfz/9s/gruesome-slaughter?utm_source=api	Until end of turn, colorless creatures you control gain "{T}: This creature deals damage equal to its power to target creature."
pbfz	Battle for Zendikar Promos	2015-10-02	11s	Oblivion Sower	d39b9f64-dc9b-413f-8d05-e21ef46d6756	covered		combat_body, land_acceleration, ramp, theft_support	false		Covered by PRM role audit.	Creature — Eldrazi	{6}	6					already reviewed	https://scryfall.com/card/pbfz/11s/oblivion-sower?utm_source=api	When you cast this spell, target opponent exiles the top four cards of their library, then you may put any number of land cards that player owns from exile onto the battlefield under your control.
pbfz	Battle for Zendikar Promos	2015-10-02	15s	Ulamog, the Ceaseless Hunger	0bfa4512-e35a-4c93-b324-80ec659f5a97	covered	combat_body, combat_support, removal, self_protection, targeted_removal	combat_body, combat_support, removal, self_protection, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Eldrazi	{10}	10			Indestructible		verify analyzer roles	https://scryfall.com/card/pbfz/15s/ulamog-the-ceaseless-hunger?utm_source=api	When you cast this spell, exile two target permanents. Indestructible Whenever Ulamog attacks, defending player exiles the top twenty cards of their library.
pbfz	Battle for Zendikar Promos	2015-10-02	17p	Void Winnower	70ac902e-1eb5-4f83-a5a6-00ac89cfe50f	covered	combat_body, hate_piece, soft_stack, stack, stax_piece	combat_body, hate_piece, soft_stack, stack, stax_piece	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi	{9}	9					verify analyzer roles	https://scryfall.com/card/pbfz/17p/void-winnower?utm_source=api	Your opponents can't cast spells with even mana values. (Zero is even.) Your opponents can't block with creatures with even mana values.
pbfz	Battle for Zendikar Promos	2015-10-02	22s	Emeria Shepherd	473da1b6-232b-4428-a66d-30262246b47a	covered	card_selection, combat_body, combat_threat, hand_recursion, recursion, repeatable_advantage	card_selection, combat_body, combat_threat, hand_recursion, recursion, repeatable_advantage	false		Analyzer roles accepted during batch clean pass.	Creature — Angel	{5}{W}{W}	7	W	W	Landfall, Flying		verify analyzer roles	https://scryfall.com/card/pbfz/22s/emeria-shepherd?utm_source=api	Flying Landfall — Whenever a land you control enters, you may return target nonland permanent card from your graveyard to your hand. If that land is a Plains, you may return that nonland permanent card to the battlefield instead.
pbfz	Battle for Zendikar Promos	2015-10-02	26★	Felidar Sovereign	5ae3cbb9-9f0c-4077-ae7c-fba660d7fb4b	covered	alternate_finisher, combat_body, combat_threat, finisher, lifegain, repeatable_finisher	alternate_finisher, combat_body, combat_threat, finisher, lifegain, repeatable_finisher	false		Analyzer roles accepted during batch clean pass.	Creature — Cat Beast	{4}{W}{W}	6	W	W	Lifelink, Vigilance		verify analyzer roles	https://scryfall.com/card/pbfz/26%E2%98%85/felidar-sovereign?utm_source=api	Vigilance (Attacking doesn't cause this creature to tap.) Lifelink (Damage dealt by this creature also causes you to gain that much life.) At the beginning of your upkeep, if you have 40 or more life, you win the game.
pbfz	Battle for Zendikar Promos	2015-10-02	29s	Gideon, Ally of Zendikar	51eae7ff-fed9-4afe-8053-7690379449dd	covered	broad_protection, combat_support, protection, self_protection, token_support	broad_protection, combat_support, protection, self_protection, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Planeswalker — Gideon	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/pbfz/29s/gideon-ally-of-zendikar?utm_source=api	+1: Until end of turn, Gideon becomes a 5/5 Human Soldier Ally creature with indestructible that's still a planeswalker. Prevent all damage that would be dealt to him this turn. 0: Create a 2/2 white Knight Ally creature token. −4: You get an emblem with "Creatures you control get +1/+1."
pbfz	Battle for Zendikar Promos	2015-10-02	31	Hero of Goma Fada	f15908ea-2be0-4035-933d-4412fe032164	covered		broad_protection, combat_body, combat_support, protection, self_protection	false		Covered by PRM role audit.	Creature — Human Knight Ally	{4}{W}	5	W	W	Rally		already reviewed	https://scryfall.com/card/pbfz/31/hero-of-goma-fada?utm_source=api	Rally — Whenever this creature or another Ally you control enters, creatures you control gain indestructible until end of turn.
pbfz	Battle for Zendikar Promos	2015-10-02	37s	Lantern Scout	803f2f95-533e-4b5a-8ede-d00fad779430	covered	combat_body, combat_support, lifegain	combat_body, combat_support, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Human Scout Ally	{2}{W}	3	W	W	Rally		verify analyzer roles	https://scryfall.com/card/pbfz/37s/lantern-scout?utm_source=api	Rally — Whenever this creature or another Ally you control enters, creatures you control gain lifelink until end of turn.
pbfz	Battle for Zendikar Promos	2015-10-02	42s	Planar Outburst	ff0d05b9-0c9c-4217-abd2-7e7757a0c4c9	covered	counter_support, mass_removal, removal	counter_support, mass_removal, removal	false		Analyzer roles accepted during batch clean pass.	Sorcery	{3}{W}{W}	5	W	W	Awaken		verify analyzer roles	https://scryfall.com/card/pbfz/42s/planar-outburst?utm_source=api	Destroy all nonland creatures. Awaken 4—{5}{W}{W}{W} (If you cast this spell for {5}{W}{W}{W}, also put four +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.)
pbfz	Battle for Zendikar Promos	2015-10-02	43s	Quarantine Field	f8b07b1a-f9fb-427d-a5c8-b65a01f7b079	covered	counter_support, mana_sink, removal, scalable_spell, targeted_removal	counter_support, mana_sink, removal, scalable_spell, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Enchantment	{X}{X}{W}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/pbfz/43s/quarantine-field?utm_source=api	This enchantment enters with X isolation counters on it. When this enchantment enters, for each isolation counter on it, exile up to one target nonland permanent an opponent controls until this enchantment leaves the battlefield.
pbfz	Battle for Zendikar Promos	2015-10-02	50	Stasis Snare	6a83768e-672e-4fec-8931-853f5e96d43d	covered		removal, replacement_engine, targeted_removal, tempo_support	false		Covered by PRM role audit.	Enchantment	{1}{W}{W}	3	W	W	Flash		already reviewed	https://scryfall.com/card/pbfz/50/stasis-snare?utm_source=api	Flash (You may cast this spell any time you could cast an instant.) When this enchantment enters, exile target creature an opponent controls until this enchantment leaves the battlefield.
pbfz	Battle for Zendikar Promos	2015-10-02	57	Drowner of Hope	2b3f2e85-5ea4-44d6-86e8-e8ce6d4f98c0	covered		burst_ramp, combat_body, ramp, removal, sacrifice_support, tempo_removal, token_support	false		Covered by PRM role audit.	Creature — Eldrazi	{5}{U}	6		U	Devoid		already reviewed	https://scryfall.com/card/pbfz/57/drowner-of-hope?utm_source=api	Devoid (This card has no color.) When this creature enters, create two 1/1 colorless Eldrazi Scion creature tokens. They have "Sacrifice this token: Add {C}." Sacrifice an Eldrazi Scion: Tap target creature.
pbfz	Battle for Zendikar Promos	2015-10-02	77s	Exert Influence	feb9cce1-6c3c-4e04-93ee-d646a888bc29	covered	removal, tempo_removal, theft_support	removal, tempo_removal, theft_support	false		Analyzer roles accepted during batch clean pass.	Sorcery	{4}{U}	5	U	U	Converge		verify analyzer roles	https://scryfall.com/card/pbfz/77s/exert-influence?utm_source=api	Converge — Gain control of target creature if its power is less than or equal to the number of colors of mana spent to cast this spell.
pbfz	Battle for Zendikar Promos	2015-10-02	78s	Guardian of Tazeem	06432957-decc-4ba2-95b1-cc9536a576d4	covered	combat_body, combat_threat, removal, tempo_removal	combat_body, combat_threat, removal, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Sphinx	{3}{U}{U}	5	U	U	Landfall, Flying		verify analyzer roles	https://scryfall.com/card/pbfz/78s/guardian-of-tazeem?utm_source=api	Flying Landfall — Whenever a land you control enters, tap target creature an opponent controls. If that land is an Island, that creature doesn't untap during its controller's next untap step.
pbfz	Battle for Zendikar Promos	2015-10-02	80s	Part the Waterveil	54dd35ee-6f89-460d-9370-72bc3fa6840a	covered	counter_support, extra_turn, finisher	counter_support, extra_turn, finisher	false		Analyzer roles accepted during batch clean pass.	Sorcery	{4}{U}{U}	6	U	U	Awaken		verify analyzer roles	https://scryfall.com/card/pbfz/80s/part-the-waterveil?utm_source=api	Take an extra turn after this one. Exile Part the Waterveil. Awaken 6—{6}{U}{U}{U} (If you cast this spell for {6}{U}{U}{U}, also put six +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.)
pbfz	Battle for Zendikar Promos	2015-10-02	81s	Prism Array	8856d849-dad8-41b8-8212-bb839f2b359c	covered	card_selection, counter_support, removal, selection, tempo_removal	card_selection, counter_support, removal, selection, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Enchantment	{4}{U}	5	U	BGRUW	Converge, Scry		verify analyzer roles	https://scryfall.com/card/pbfz/81s/prism-array?utm_source=api	Converge — This enchantment enters with a crystal counter on it for each color of mana spent to cast it. Remove a crystal counter from this enchantment: Tap target creature. {W}{U}{B}{R}{G}: Scry 3.
pbfz	Battle for Zendikar Promos	2015-10-02	85s	Scatter to the Winds	13d600e6-86b4-4813-8f34-75f23717f433	covered	counter_support, hard_stack, stack	counter_support, hard_stack, stack	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{U}{U}	3	U	U	Awaken		verify analyzer roles	https://scryfall.com/card/pbfz/85s/scatter-to-the-winds?utm_source=api	Counter target spell. Awaken 3—{4}{U}{U} (If you cast this spell for {4}{U}{U}, also put three +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.)
pbfz	Battle for Zendikar Promos	2015-10-02	87s	Ugin's Insight	ad7b9db0-e061-4360-9b81-0408d18d971d	covered	card_draw, card_selection, direct_draw, draw, scalable_spell, selection	card_draw, card_selection, direct_draw, draw, scalable_spell, selection	false		Analyzer roles accepted during batch clean pass.	Sorcery	{3}{U}{U}	5	U	U	Scry		verify analyzer roles	https://scryfall.com/card/pbfz/87s/ugins-insight?utm_source=api	Scry X, where X is the greatest mana value among permanents you control, then draw three cards.
pbfz	Battle for Zendikar Promos	2015-10-02	99s	Smothering Abomination	c3db28e5-6162-4642-a1c9-a7ace0737950	covered	card_draw, combat_body, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw, sacrifice_support	card_draw, combat_body, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi	{2}{B}{B}	4		B	Flying, Devoid		verify analyzer roles	https://scryfall.com/card/pbfz/99s/smothering-abomination?utm_source=api	Devoid (This card has no color.) Flying At the beginning of your upkeep, sacrifice a creature. Whenever you sacrifice a creature, draw a card.
pbfz	Battle for Zendikar Promos	2015-10-02	102s	Wasteland Strangler	197f3b17-ce21-430e-8e41-f5d02d5e3637	covered	combat_body, targeted_removal	combat_body, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Eldrazi Processor	{2}{B}	3		B	Devoid		verify analyzer roles	https://scryfall.com/card/pbfz/102s/wasteland-strangler?utm_source=api	Devoid (This card has no color.) When this creature enters, you may put a card an opponent owns from exile into that player's graveyard. If you do, target creature gets -3/-3 until end of turn.
pbfz	Battle for Zendikar Promos	2015-10-02	107	Defiant Bloodlord	7bf5196d-a16c-418f-943c-2128e40c55da	covered		combat_body, combat_threat, lifegain	false		Covered by PRM role audit.	Creature — Vampire	{5}{B}{B}	7	B	B	Flying		already reviewed	https://scryfall.com/card/pbfz/107/defiant-bloodlord?utm_source=api	Flying Whenever you gain life, target opponent loses that much life.
pbfz	Battle for Zendikar Promos	2015-10-02	109s	Drana, Liberator of Malakir	89b24b5f-d837-4274-8877-8ff7dc2708ba	covered	combat_body, combat_support, combat_threat, counter_support	combat_body, combat_support, combat_threat, counter_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Vampire Ally	{1}{B}{B}	3	B	B	Flying, First strike		verify analyzer roles	https://scryfall.com/card/pbfz/109s/drana-liberator-of-malakir?utm_source=api	Flying, first strike Whenever Drana deals combat damage to a player, put a +1/+1 counter on each attacking creature you control.
pbfz	Battle for Zendikar Promos	2015-10-02	112s	Guul Draz Overseer	9eff1ce5-41e4-4ae6-9480-2b549c8546bd	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Vampire	{4}{B}{B}	6	B	B	Landfall, Flying		verify analyzer roles	https://scryfall.com/card/pbfz/112s/guul-draz-overseer?utm_source=api	Flying Landfall — Whenever a land you control enters, other creatures you control get +1/+0 until end of turn. If that land is a Swamp, those creatures get +2/+0 until end of turn instead.
