setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
uma	Ultimate Masters	2018-12-07	1	All Is Dust	14693689-d087-43b6-9c3f-63ab0648fc20			removal, targeted_removal				Kindred Sorcery — Eldrazi	{7}	7					verify analyzer roles	https://scryfall.com/card/uma/1/all-is-dust?utm_source=api	Each player sacrifices all permanents they control that are one or more colors.
uma	Ultimate Masters	2018-12-07	2	Artisan of Kozilek	19409704-09c4-4a4b-a5a7-f95120b425db	covered		battlefield_recursion, card_selection, combat_body, combat_support, recursion, repeatable_advantage	false		Covered by PRM role audit.	Creature — Eldrazi	{9}	9			Annihilator		already reviewed	https://scryfall.com/card/uma/2/artisan-of-kozilek?utm_source=api	When you cast this spell, you may return target creature card from your graveyard to the battlefield. Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents of their choice.)
uma	Ultimate Masters	2018-12-07	3	Eldrazi Conscription	3635e4e5-e655-45f4-a444-39756f55129a			combat_support				Kindred Enchantment — Eldrazi Aura	{8}	8			Enchant		verify analyzer roles	https://scryfall.com/card/uma/3/eldrazi-conscription?utm_source=api	Enchant creature Enchanted creature gets +10/+10 and has trample and annihilator 2. (Whenever it attacks, defending player sacrifices two permanents of their choice.)
uma	Ultimate Masters	2018-12-07	4	Emrakul, the Aeons Torn	900ca697-ad38-4b2b-bc74-2ff7eb6ea951	covered		combat_body, combat_threat, extra_turn, finisher, self_protection	false		Covered by PRM role audit.	Legendary Creature — Eldrazi	{15}	15			Flying, Annihilator, Protection		already reviewed	https://scryfall.com/card/uma/4/emrakul-the-aeons-torn?utm_source=api	This spell can't be countered. When you cast this spell, take an extra turn after this one. Flying, protection from spells that are one or more colors, annihilator 6 When Emrakul is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.
uma	Ultimate Masters	2018-12-07	5	Karn Liberated	0ca233f4-1b7f-4807-ab6e-2b1f5439b3db	covered		removal, targeted_removal	false		Covered by PRM role audit.	Legendary Planeswalker — Karn	{7}	7					already reviewed	https://scryfall.com/card/uma/5/karn-liberated?utm_source=api	+4: Target player exiles a card from their hand. −3: Exile target permanent. −14: Restart the game, leaving in exile all non-Aura permanent cards exiled with Karn. Then put those cards onto the battlefield under your control.
uma	Ultimate Masters	2018-12-07	6	Kozilek, Butcher of Truth	7b8528b0-71eb-4c9e-bed9-aa2d2e84038f	covered		card_draw, combat_body, combat_support, direct_draw, draw, repeatable_draw	false		Covered by PRM role audit.	Legendary Creature — Eldrazi	{10}	10			Annihilator		already reviewed	https://scryfall.com/card/uma/6/kozilek-butcher-of-truth?utm_source=api	When you cast this spell, draw four cards. Annihilator 4 (Whenever this creature attacks, defending player sacrifices four permanents of their choice.) When Kozilek is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.
uma	Ultimate Masters	2018-12-07	7	Ulamog, the Infinite Gyre	b817bc56-9b4d-4c50-bafa-3c652b99578f	covered		combat_body, combat_support, removal, self_protection, targeted_removal	false		Covered by PRM role audit.	Legendary Creature — Eldrazi	{11}	11			Indestructible, Annihilator		already reviewed	https://scryfall.com/card/uma/7/ulamog-the-infinite-gyre?utm_source=api	When you cast this spell, destroy target permanent. Indestructible Annihilator 4 (Whenever this creature attacks, defending player sacrifices four permanents of their choice.) When Ulamog is put into a graveyard from anywhere, its owner shuffles their graveyard into their library.
uma	Ultimate Masters	2018-12-07	8	Ulamog's Crusher	597bce51-af89-4d13-9a97-667b4f4f4694			combat_body, combat_support				Creature — Eldrazi	{8}	8			Annihilator		verify analyzer roles	https://scryfall.com/card/uma/8/ulamogs-crusher?utm_source=api	Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents of their choice.) This creature attacks each combat if able.
uma	Ultimate Masters	2018-12-07	9	Ancestor's Chosen	fc2ccab7-cab1-4463-b73d-898070136d74	covered		combat_body, combat_support, combat_threat, lifegain	false		Covered by JUD role audit.	Creature — Human Cleric	{5}{W}{W}	7	W	W	First strike		already reviewed	https://scryfall.com/card/uma/9/ancestors-chosen?utm_source=api	First strike (This creature deals combat damage before creatures without first strike.) When this creature enters, you gain 1 life for each card in your graveyard.
uma	Ultimate Masters	2018-12-07	10	Angelic Renewal	f86bcdde-8b1f-4efa-a01d-39e09dc826d0	covered	battlefield_recursion, recursion, sacrifice_support	battlefield_recursion, recursion, sacrifice_support	false		Covered by Weatherlight role audit.	Enchantment	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/uma/10/angelic-renewal?utm_source=api	Whenever a creature is put into your graveyard from the battlefield, you may sacrifice this enchantment. If you do, return that card to the battlefield.
uma	Ultimate Masters	2018-12-07	11	Containment Priest	8a76a9b9-3127-45fe-b20f-a8f643276281	covered		combat_body, replacement_engine, stax_piece	false		Covered by PRM role audit.	Creature — Human Cleric	{1}{W}	2	W	W	Flash		already reviewed	https://scryfall.com/card/uma/11/containment-priest?utm_source=api	Flash If a nontoken creature would enter and it wasn't cast, exile it instead.
uma	Ultimate Masters	2018-12-07	12	Conviction	4374b6b1-e691-4823-802d-8de8530aa461	covered	combat_support	combat_support, protection, rescue_protection, self_bounce	false		Covered by Stronghold role audit.	Enchantment — Aura	{1}{W}	2	W	W	Enchant		already reviewed	https://scryfall.com/card/uma/12/conviction?utm_source=api	Enchant creature Enchanted creature gets +1/+3. {W}: Return this Aura to its owner's hand.
