setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tor	Torment	2002-02-04	1	Angel of Retribution	248dcf69-b99e-4a71-b9b3-7fd865f873ab	covered		combat_body, combat_threat			Covered by TOR role audit.	Creature — Angel	{6}{W}	7	W	W	Flying, First strike		verify analyzer roles	https://scryfall.com/card/tor/1/angel-of-retribution?utm_source=api	Flying, first strike
tor	Torment	2002-02-04	2	Aven Trooper	258073aa-6500-46a2-a5e5-22378b14260b	covered		combat_body, combat_support, combat_threat			Covered by TOR role audit.	Creature — Bird Soldier	{3}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tor/2/aven-trooper?utm_source=api	Flying {2}{W}, Discard a card: This creature gets +1/+2 until end of turn.
tor	Torment	2002-02-04	3	Cleansing Meditation	658bccf8-fe73-4d6a-b37b-7a58034e5e5d	covered		mass_recursion, mass_removal, removal			Covered by TOR role audit.	Sorcery	{1}{W}{W}	3	W	W	Threshold		verify analyzer roles	https://scryfall.com/card/tor/3/cleansing-meditation?utm_source=api	Destroy all enchantments. Threshold — If there are seven or more cards in your graveyard, instead destroy all enchantments, then return all cards in your graveyard destroyed this way to the battlefield.
tor	Torment	2002-02-04	4	Equal Treatment	beef71f4-f607-4718-9fde-98e8d7871ce9	covered		card_draw, direct_draw, draw, replacement_engine			Covered by TOR role audit.	Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/tor/4/equal-treatment?utm_source=api	If any source would deal 1 or more damage to a permanent or player this turn, it deals 2 damage to that permanent or player instead. Draw a card.
tor	Torment	2002-02-04	5	Floating Shield	332716fb-cc1c-4a6f-b7d4-bd7f13cfa438	covered		protection, sacrifice_support, targeted_protection			Covered by TOR role audit.	Enchantment — Aura	{2}{W}	3	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/tor/5/floating-shield?utm_source=api	Enchant creature As this Aura enters, choose a color. Enchanted creature has protection from the chosen color. This effect doesn't remove this Aura. Sacrifice this Aura: Target creature gains protection from the chosen color until end of turn.
tor	Torment	2002-02-04	6	Frantic Purification	b4025136-3146-499a-8c17-ed9de548ab8d	covered		removal, targeted_removal			Covered by TOR role audit.	Instant	{2}{W}	3	W	W	Madness		verify analyzer roles	https://scryfall.com/card/tor/6/frantic-purification?utm_source=api	Destroy target enchantment. Madness {W} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)
tor	Torment	2002-02-04	7	Hypochondria	74c90ddc-4c6e-479d-ad68-b444d3109258	covered		protection, sacrifice_support, targeted_protection			Covered by TOR role audit.	Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/tor/7/hypochondria?utm_source=api	{W}, Discard a card: Prevent the next 3 damage that would be dealt to any target this turn. {W}, Sacrifice this enchantment: Prevent the next 3 damage that would be dealt to any target this turn.
tor	Torment	2002-02-04	8	Major Teroh	fb52dbf1-0cbc-4e1d-8ded-0498b529b4b8	covered		combat_body, combat_threat, mass_removal, removal, sacrifice_support			Covered by TOR role audit.	Legendary Creature — Bird Soldier	{3}{W}	4	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tor/8/major-teroh?utm_source=api	Flying {3}{W}{W}, Sacrifice Major Teroh: Exile all black creatures.
tor	Torment	2002-02-04	9	Militant Monk	29c0a904-43e3-44c3-8e00-deea523de8eb	covered		combat_body, combat_threat, protection, targeted_protection			Covered by TOR role audit.	Creature — Human Monk Cleric	{1}{W}{W}	3	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/tor/9/militant-monk?utm_source=api	Vigilance {T}: Prevent the next 1 damage that would be dealt to any target this turn.
tor	Torment	2002-02-04	10	Morningtide	a8432372-672b-4bf7-9000-17e43356f149	covered		graveyard_hate			Covered by TOR role audit.	Sorcery	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/tor/10/morningtide?utm_source=api	Exile all graveyards.
tor	Torment	2002-02-04	11	Mystic Familiar	9d3931a2-baba-4e6e-b923-44df00900e51	covered		combat_body, combat_support, combat_threat, self_protection			Covered by TOR role audit.	Creature — Bird	{1}{W}	2	W	W	Flying, Threshold		verify analyzer roles	https://scryfall.com/card/tor/11/mystic-familiar?utm_source=api	Flying Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1 and has protection from black.
tor	Torment	2002-02-04	12	Pay No Heed	71da5acb-78bc-453a-ae28-d22faa5a4e43	covered		broad_protection, protection			Covered by TOR role audit.	Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/tor/12/pay-no-heed?utm_source=api	Prevent all damage a source of your choice would deal this turn.
tor	Torment	2002-02-04	13	Possessed Nomad	9bf9870e-32a3-494c-bd42-f9f013463619	covered		combat_body, combat_support, combat_threat, removal, targeted_removal			Covered by TOR role audit.	Creature — Human Nomad Horror	{2}{W}{W}	4	W	BW	Vigilance, Threshold		verify analyzer roles	https://scryfall.com/card/tor/13/possessed-nomad?utm_source=api	Vigilance Threshold — As long as there are seven or more cards in your graveyard, this creature gets +1/+1, is black, and has "{2}{B}, {T}: Destroy target white creature."
tor	Torment	2002-02-04	14	Reborn Hero	5562b4bd-1485-47d4-a087-d93dafc37272	covered		combat_body, combat_threat, sacrifice_support			Covered by TOR role audit.	Creature — Human Soldier	{2}{W}	3	W	W	Vigilance, Threshold		verify analyzer roles	https://scryfall.com/card/tor/14/reborn-hero?utm_source=api	Vigilance Threshold — As long as there are seven or more cards in your graveyard, this creature has "When this creature dies, you may pay {W}{W}. If you do, return this card to the battlefield under your control."
tor	Torment	2002-02-04	15	Spirit Flare	d19a2c28-8d09-40bf-aeb1-e699672b009f	covered		graveyard_support, removal, targeted_removal, tempo_removal			Covered by TOR role audit.	Instant	{3}{W}	4	W	W	Flashback		verify analyzer roles	https://scryfall.com/card/tor/15/spirit-flare?utm_source=api	Tap target untapped creature you control. If you do, it deals damage equal to its power to target attacking or blocking creature an opponent controls. Flashback—{1}{W}, Pay 3 life. (You may cast this card from your graveyard for its flashback cost. Then exile it.)
tor	Torment	2002-02-04	16	Stern Judge	b4fbf91c-8eed-49d5-91fa-9ae1c03966b7	covered		combat_body			Covered by TOR role audit.	Creature — Human Cleric	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/tor/16/stern-judge?utm_source=api	{T}: Each player loses 1 life for each Swamp they control.
tor	Torment	2002-02-04	17	Strength of Isolation	87aad9fb-e234-4171-a4ae-c686f613d37e	covered		combat_support			Covered by TOR role audit.	Enchantment — Aura	{1}{W}	2	W	W	Madness, Enchant		verify analyzer roles	https://scryfall.com/card/tor/17/strength-of-isolation?utm_source=api	Enchant creature Enchanted creature gets +1/+2 and has protection from black. Madness {W} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)
tor	Torment	2002-02-04	18	Teroh's Faithful	875c96ce-f6e4-438b-929d-de53afdd99a1	covered		combat_body, lifegain			Covered by TOR role audit.	Creature — Human Cleric	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/tor/18/terohs-faithful?utm_source=api	When this creature enters, you gain 4 life.
tor	Torment	2002-02-04	19	Teroh's Vanguard	32b0fc43-b5ce-4869-a780-946289305e5a	covered		broad_protection, combat_body, protection, self_protection			Covered by TOR role audit.	Creature — Human Nomad	{3}{W}	4	W	W	Threshold, Flash		verify analyzer roles	https://scryfall.com/card/tor/19/terohs-vanguard?utm_source=api	Flash Threshold — As long as there are seven or more cards in your graveyard, this creature has "When this creature enters, creatures you control gain protection from black until end of turn."
tor	Torment	2002-02-04	20	Transcendence	f9279f8f-3d19-4f5b-b194-cb8c65313b7e	covered		lifegain			Covered by TOR role audit.	Enchantment	{3}{W}{W}{W}	6	W	W			verify analyzer roles	https://scryfall.com/card/tor/20/transcendence?utm_source=api	You don't lose the game for having 0 or less life. When you have 20 or more life, you lose the game. Whenever you lose life, you gain 2 life for each 1 life you lost. (Damage dealt to you causes you to lose life.)
tor	Torment	2002-02-04	21	Vengeful Dreams	55d01851-2669-4552-b580-088e445ac30c	covered		combat_support, targeted_removal			Covered by TOR role audit.	Instant	{W}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/tor/21/vengeful-dreams?utm_source=api	As an additional cost to cast this spell, discard X cards. Exile X target attacking creatures.
