setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
olgc	Legacy Championship	2011-01-01	2011	Force of Will	956381ba-6d37-4a8a-846c-bad79222dbee	covered	hard_stack, stack	hard_stack, stack	false		Covered by Alliances role audit.	Instant	{3}{U}{U}	5	U	U			already reviewed	https://scryfall.com/card/olgc/2011/force-of-will?utm_source=api	You may pay 1 life and exile a blue card from your hand rather than pay this spell's mana cost. Counter target spell.
olgc	Legacy Championship	2011-01-01	2012	Brainstorm	36cd2364-d113-47d1-b2c4-b088d9eb88dd	covered	card_draw, direct_draw, draw	card_draw, direct_draw, draw	false		Covered by Ice Age role audit.	Instant	{U}	1	U	U			already reviewed	https://scryfall.com/card/olgc/2012/brainstorm?utm_source=api	Draw three cards, then put two cards from your hand on top of your library in any order.
olgc	Legacy Championship	2011-01-01	2013	Wasteland	09a70ae8-3859-4a09-901d-dce063fa3b5f	covered	land_base, land_denial, land_slot, mana_source, removal, sacrifice_support, targeted_land_removal, targeted_removal	land_base, land_denial, land_slot, mana_source, removal, sacrifice_support, targeted_land_removal, targeted_removal	false		Covered by Tempest role audit.	Land		0					already reviewed	https://scryfall.com/card/olgc/2013/wasteland?utm_source=api	{T}: Add {C}. {T}, Sacrifice this land: Destroy target nonbasic land.
olgc	Legacy Championship	2011-01-01	2014	Gaea's Cradle	7c427c3d-ecd8-45ef-bebd-8f10f4a311db	covered	land_base, land_slot, mana_source, stable_ramp	land_base, land_slot, mana_source, stable_ramp	false		Covered by Judge Gift Cards 1998 role audit.	Legendary Land		0		G			already reviewed	https://scryfall.com/card/olgc/2014/gaeas-cradle?utm_source=api	{T}: Add {G} for each creature you control.
olgc	Legacy Championship	2011-01-01	2015	Tundra	02418479-9455-417f-a6a1-004356faff37	covered	land_base, land_slot, mana_source, typed_land	land_base, land_slot, mana_source, typed_land	false		Covered by PRM role audit.	Land — Plains Island		0		UW			already reviewed	https://scryfall.com/card/olgc/2015/tundra?utm_source=api	({T}: Add {W} or {U}.)
olgc	Legacy Championship	2011-01-01	2016EU	Underground Sea	4b22be3a-8ce1-47d1-b82e-6c3ccfb0548b	covered	land_base, land_slot, mana_source, typed_land	land_base, land_slot, mana_source, typed_land	false		Covered by PRM role audit.	Land — Island Swamp		0		BU			already reviewed	https://scryfall.com/card/olgc/2016EU/underground-sea?utm_source=api	({T}: Add {U} or {B}.)
olgc	Legacy Championship	2011-01-01	2016NA	Badlands	13ff3222-91cb-4796-a34e-899ed817694c	covered	land_base, land_slot, mana_source, typed_land	land_base, land_slot, mana_source, typed_land	false		Covered by PRM role audit.	Land — Swamp Mountain		0		BR			already reviewed	https://scryfall.com/card/olgc/2016NA/badlands?utm_source=api	({T}: Add {B} or {R}.)
olgc	Legacy Championship	2011-01-01	2017EU	Taiga	22e3cf1d-3559-4ce1-954c-8dc815342979	covered	land_base, land_slot, mana_source, typed_land	land_base, land_slot, mana_source, typed_land	false		Covered by PRM role audit.	Land — Mountain Forest		0		GR			already reviewed	https://scryfall.com/card/olgc/2017EU/taiga?utm_source=api	({T}: Add {R} or {G}.)
olgc	Legacy Championship	2011-01-01	2017NA	Savannah	703243f0-8cb3-420f-958f-5fd4bde30293	covered	land_base, land_slot, mana_source, typed_land	land_base, land_slot, mana_source, typed_land	false		Covered by PRM role audit.	Land — Forest Plains		0		GW			already reviewed	https://scryfall.com/card/olgc/2017NA/savannah?utm_source=api	({T}: Add {G} or {W}.)
olgc	Legacy Championship	2011-01-01	2018	Scrubland	c8d95ca8-7d12-4072-aeaf-e20f248c7e39	covered	land_base, land_slot, mana_source, typed_land	land_base, land_slot, mana_source, typed_land	false		Covered by PRM role audit.	Land — Plains Swamp		0		BW			already reviewed	https://scryfall.com/card/olgc/2018/scrubland?utm_source=api	({T}: Add {W} or {B}.)
olgc	Legacy Championship	2011-01-01	2018A	Plateau	c7a15ca4-085f-4d92-8387-c3711c04c8fa	covered	land_base, land_slot, mana_source, typed_land	land_base, land_slot, mana_source, typed_land	false		Covered by PRM role audit.	Land — Mountain Plains		0		RW			already reviewed	https://scryfall.com/card/olgc/2018A/plateau?utm_source=api	({T}: Add {R} or {W}.)
olgc	Legacy Championship	2011-01-01	2018NA	Volcanic Island	c718911c-c955-4eb9-9e16-be4bd49a4e4e	covered	land_base, land_slot, mana_source, typed_land	land_base, land_slot, mana_source, typed_land	false		Covered by Beta role audit; typed dual land is recognized as land base and mana source.	Land — Island Mountain		0		RU			already reviewed	https://scryfall.com/card/olgc/2018NA/volcanic-island?utm_source=api	({T}: Add {U} or {R}.)
olgc	Legacy Championship	2011-01-01	2019	Tropical Island	74b7fe23-5d3a-4092-8d78-7c0eba8f6f73	covered	land_base, land_slot, mana_source, typed_land	land_base, land_slot, mana_source, typed_land	false		Covered by PRM role audit.	Land — Forest Island		0		GU			already reviewed	https://scryfall.com/card/olgc/2019/tropical-island?utm_source=api	({T}: Add {G} or {U}.)
olgc	Legacy Championship	2011-01-01	2019A	Bayou	b76d1ae6-ad1d-4bac-b4c3-2e03e0e84d9b	covered	land_base, land_slot, mana_source, typed_land	land_base, land_slot, mana_source, typed_land	false		Covered by PRM role audit.	Land — Swamp Forest		0		BG			already reviewed	https://scryfall.com/card/olgc/2019A/bayou?utm_source=api	({T}: Add {B} or {G}.)
