setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
cmr	Commander Legends	2020-11-20	1	The Prismatic Piper	b2aeee90-7b8d-47a6-9167-cc21f7fbfd43			combat_body				Legendary Creature — Shapeshifter	{5}	5			Partner		verify analyzer roles	https://scryfall.com/card/cmr/1/the-prismatic-piper?utm_source=api	If The Prismatic Piper is your commander, choose a color before the game begins. The Prismatic Piper is the chosen color. Partner (You can have two commanders if both have partner.)
cmr	Commander Legends	2020-11-20	2	Akroma, Vision of Ixidor	b9be5ce9-08bb-4361-940c-9031e429ba86	covered		broad_protection, combat_body, combat_support, combat_threat, lifegain, self_protection	false		Covered by PRM role audit.	Legendary Creature — Angel	{5}{W}{W}	7	W	W	Flying, Vigilance, First strike, Partner, Trample		already reviewed	https://scryfall.com/card/cmr/2/akroma-vision-of-ixidor?utm_source=api	Flying, first strike, vigilance, trample At the beginning of each combat, until end of turn, each other creature you control gets +1/+1 if it has flying, +1/+1 if it has first strike, and so on for double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, protection, reach, trample, vigilance, and partner. Partner
cmr	Commander Legends	2020-11-20	3	Akroma's Will	fd949f82-fc10-4e37-8aa9-6c7569fe3c55	covered		broad_protection, combat_support, lifegain, protection, self_protection	false		Covered by PRM role audit.	Instant	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/cmr/3/akromas-will?utm_source=api	Choose one. If you control a commander as you cast this spell, you may choose both instead. • Creatures you control gain flying, vigilance, and double strike until end of turn. • Creatures you control gain lifelink, indestructible, and protection from each color until end of turn.
cmr	Commander Legends	2020-11-20	4	Alharu, Solemn Ritualist	c8deef08-fcf2-41e1-8aeb-aa4e0af147ca	covered		combat_body, counter_support, sacrifice_support, token_support	false		Covered by PRM role audit.	Legendary Creature — Human Monk	{4}{W}	5	W	W	Partner		already reviewed	https://scryfall.com/card/cmr/4/alharu-solemn-ritualist?utm_source=api	When Alharu enters, put a +1/+1 counter on each of up to two other target creatures. Whenever a nontoken creature you control with a +1/+1 counter on it dies, create a 1/1 white Spirit creature token with flying. Partner (You can have two commanders if both have partner.)
cmr	Commander Legends	2020-11-20	5	Ancestral Blade	ab28a801-6ab1-4db2-8ae2-c24bb4c10ebb			artifact_support, combat_support, token_support				Artifact — Equipment	{1}{W}	2	W	W	Equip		verify analyzer roles	https://scryfall.com/card/cmr/5/ancestral-blade?utm_source=api	When this Equipment enters, create a 1/1 white Soldier creature token, then attach this Equipment to it. Equipped creature gets +1/+1. Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)
cmr	Commander Legends	2020-11-20	6	Angel of the Dawn	f63ea0e5-7769-4a22-bbb3-658281141d8c			combat_body, combat_support, combat_threat				Creature — Angel	{4}{W}	5	W	W	Flying		verify analyzer roles	https://scryfall.com/card/cmr/6/angel-of-the-dawn?utm_source=api	Flying When this creature enters, creatures you control get +1/+1 and gain vigilance until end of turn.
cmr	Commander Legends	2020-11-20	7	Angelic Gift	e5e04968-d9b7-4bd5-b826-be9502360cd3			card_draw, combat_support, direct_draw, draw				Enchantment — Aura	{1}{W}	2	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/cmr/7/angelic-gift?utm_source=api	Enchant creature When this Aura enters, draw a card. Enchanted creature has flying.
cmr	Commander Legends	2020-11-20	8	Anointer of Valor	e4f880f5-0639-4acb-a099-e48f5707f0db			combat_body, combat_support, combat_threat, counter_support				Creature — Angel	{5}{W}	6	W	W	Flying		verify analyzer roles	https://scryfall.com/card/cmr/8/anointer-of-valor?utm_source=api	Flying Whenever a creature attacks, you may pay {3}. When you do, put a +1/+1 counter on that creature.
cmr	Commander Legends	2020-11-20	9	Archon of Coronation	61f55e39-4028-4c91-910e-16b88c73beb5	covered		combat_body, combat_support, combat_threat	false		Covered by PRM role audit.	Creature — Archon	{4}{W}{W}	6	W	W	Flying		already reviewed	https://scryfall.com/card/cmr/9/archon-of-coronation?utm_source=api	Flying When this creature enters, you become the monarch. As long as you're the monarch, damage doesn't cause you to lose life. (When a creature deals combat damage to you, its controller still becomes the monarch.)
cmr	Commander Legends	2020-11-20	10	Ardenn, Intrepid Archaeologist	7c521612-21c6-4c4b-b10e-66e70928609b	covered		combat_body	false		Covered by PRM role audit.	Legendary Creature — Kor Scout	{2}{W}	3	W	W	Partner		already reviewed	https://scryfall.com/card/cmr/10/ardenn-intrepid-archaeologist?utm_source=api	At the beginning of combat on your turn, you may attach any number of Auras and Equipment you control to target permanent or player. Partner (You can have two commanders if both have partner.)
cmr	Commander Legends	2020-11-20	11	Armored Skyhunter	b4dbbf56-d7df-4183-bb48-cfc6b4d0468f	covered		card_selection, combat_body, combat_support, combat_threat, draw, repeatable_advantage, repeatable_tutor, restricted_tutor, selection, tutor	false		Covered by PRM role audit.	Creature — Cat Knight	{3}{W}	4	W	W	Flying		already reviewed	https://scryfall.com/card/cmr/11/armored-skyhunter?utm_source=api	Flying Whenever this creature attacks, look at the top six cards of your library. You may put an Aura or Equipment card from among them onto the battlefield. If an Equipment is put onto the battlefield this way, you may attach it to a creature you control. Put the rest of those cards on the bottom of your library in a random order.
cmr	Commander Legends	2020-11-20	12	Austere Command	09cc8709-fe10-472a-b05c-e89f3523018d	covered		mass_removal, removal	false		Covered by PRM role audit.	Sorcery	{4}{W}{W}	6	W	W			already reviewed	https://scryfall.com/card/cmr/12/austere-command?utm_source=api	Choose two — • Destroy all artifacts. • Destroy all enchantments. • Destroy all creatures with mana value 3 or less. • Destroy all creatures with mana value 4 or greater.
cmr	Commander Legends	2020-11-20	13	Benevolent Blessing	9472c96a-2827-4af6-a6a1-b6749a5e9069			targeted_protection				Enchantment — Aura	{1}{W}	2	W	W	Enchant, Flash		verify analyzer roles	https://scryfall.com/card/cmr/13/benevolent-blessing?utm_source=api	Flash Enchant creature As this Aura enters, choose a color. Enchanted creature has protection from the chosen color. This effect doesn't remove Auras and Equipment you control that are already attached to it.
cmr	Commander Legends	2020-11-20	14	Cage of Hands	18ffd8ad-1556-450d-8bc1-8103a3d0404e			combat_support, protection, removal, rescue_protection, self_bounce, targeted_removal				Enchantment — Aura	{2}{W}	3	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/cmr/14/cage-of-hands?utm_source=api	Enchant creature Enchanted creature can't attack or block. {1}{W}: Return this Aura to its owner's hand.
cmr	Commander Legends	2020-11-20	15	Captain's Call	46418fe4-065c-4dfa-b796-eee02c14f351			token_support				Sorcery	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/cmr/15/captains-call?utm_source=api	Create three 1/1 white Soldier creature tokens.
cmr	Commander Legends	2020-11-20	16	Court of Grace	f63c2438-27d4-449a-828f-f0a2ea86ff16	covered		token_support	false		Covered by PRM role audit.	Enchantment	{2}{W}{W}	4	W	W			already reviewed	https://scryfall.com/card/cmr/16/court-of-grace?utm_source=api	When this enchantment enters, you become the monarch. At the beginning of your upkeep, create a 1/1 white Spirit creature token with flying. If you're the monarch, create a 4/4 white Angel creature token with flying instead.
cmr	Commander Legends	2020-11-20	17	Court Street Denizen	34312179-f3f9-47ca-bdf4-5abbd493876e			combat_body, removal, tempo_removal				Creature — Human Soldier	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/cmr/17/court-street-denizen?utm_source=api	Whenever another white creature you control enters, tap target creature an opponent controls.
cmr	Commander Legends	2020-11-20	18	Dispeller's Capsule	91fc862d-fdde-45ea-a05d-30d38e7a735c			removal, sacrifice_support, targeted_removal				Artifact	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/cmr/18/dispellers-capsule?utm_source=api	{2}{W}, {T}, Sacrifice this artifact: Destroy target artifact or enchantment.
cmr	Commander Legends	2020-11-20	19	Doomed Traveler	a30907c0-fbde-4fd3-a8c7-f304305fcea7			combat_body, sacrifice_support, token_support				Creature — Human Soldier	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/cmr/19/doomed-traveler?utm_source=api	When this creature dies, create a 1/1 white Spirit creature token with flying.
cmr	Commander Legends	2020-11-20	20	Faith's Fetters	2b2d76f5-4c9b-49dc-b202-68095e2d9b29			combat_support, lifegain, removal, targeted_removal				Enchantment — Aura	{3}{W}	4	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/cmr/20/faiths-fetters?utm_source=api	Enchant permanent When this Aura enters, you gain 4 life. Enchanted permanent can't attack or block, and its activated abilities can't be activated unless they're mana abilities.
cmr	Commander Legends	2020-11-20	21	Fencing Ace	2f810936-2ba6-4c2b-84a0-ff4c1deb026b			combat_body, combat_support, combat_threat, multiplier_support, replacement_engine				Creature — Human Soldier	{1}{W}	2	W	W	Double strike		verify analyzer roles	https://scryfall.com/card/cmr/21/fencing-ace?utm_source=api	Double strike (This creature deals both first-strike and regular combat damage.)
cmr	Commander Legends	2020-11-20	22	First Response	0fe66bc0-8eda-4625-a068-6a5de826466f			token_support				Enchantment	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/cmr/22/first-response?utm_source=api	At the beginning of each upkeep, if you lost life last turn, create a 1/1 white Soldier creature token.
cmr	Commander Legends	2020-11-20	23	Inspiring Roar	96cf2810-35b8-437e-b609-f9765604b8cf			counter_support				Sorcery	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/cmr/23/inspiring-roar?utm_source=api	Put a +1/+1 counter on each creature you control.
cmr	Commander Legends	2020-11-20	24	Intangible Virtue	d21c3c8f-d105-4ba9-bf69-e5f26f0f8ec5			combat_support, token_support				Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/cmr/24/intangible-virtue?utm_source=api	Creature tokens you control get +1/+1 and have vigilance.
cmr	Commander Legends	2020-11-20	25	Iona's Judgment	abbfbe50-4caf-48d0-b8f1-f2c9212bcd2f			removal, targeted_removal				Sorcery	{4}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/cmr/25/ionas-judgment?utm_source=api	Exile target creature or enchantment.
cmr	Commander Legends	2020-11-20	26	Kangee's Lieutenant	5a040363-dba5-49d2-9756-e14af61cf818			combat_body, combat_support, combat_threat, sacrifice_support, token_support				Creature — Bird Soldier	{2}{W}	3	W	W	Flying, Encore		verify analyzer roles	https://scryfall.com/card/cmr/26/kangees-lieutenant?utm_source=api	Flying Whenever this creature attacks, attacking creatures with flying get +1/+1 until end of turn. Encore {5}{W} ({5}{W}, Exile this card from your graveyard: For each opponent, create a token copy that attacks that opponent this turn if able. They gain haste. Sacrifice them at the beginning of the next end step. Activate only as a sorcery.)
cmr	Commander Legends	2020-11-20	27	Keeper of the Accord	49b9a3ac-d245-431a-bf40-64d1b8dc2b91	covered		combat_body, land_acceleration, land_tutor, mana_fixing, ramp, repeatable_tutor, token_support, tutor	false		Covered by PRM role audit.	Creature — Human Soldier	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/cmr/27/keeper-of-the-accord?utm_source=api	At the beginning of each opponent's end step, if that player controls more creatures than you, create a 1/1 white Soldier creature token. At the beginning of each opponent's end step, if that player controls more lands than you, you may search your library for a basic Plains card, put it onto the battlefield tapped, then shuffle.
cmr	Commander Legends	2020-11-20	28	Keleth, Sunmane Familiar	6df7f4b4-a3a8-44d0-845f-84304bf6a3f8	covered		combat_body, combat_support, counter_support	false		Covered by PRM role audit.	Legendary Creature — Horse	{1}{W}	2	W	W	Partner		already reviewed	https://scryfall.com/card/cmr/28/keleth-sunmane-familiar?utm_source=api	Whenever a commander you control attacks, put a +1/+1 counter on it. Partner (You can have two commanders if both have partner.)
