setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pori	Magic Origins Promos	2015-07-17	14s	Gideon's Phalanx	f9489831-a9a2-47ab-abae-2f389c9fae2c			broad_protection, combat_support, protection, self_protection, token_support				Instant	{5}{W}{W}	7	W	W	Spell mastery		verify analyzer roles	https://scryfall.com/card/pori/14s/gideons-phalanx?utm_source=api	Create four 2/2 white Knight creature tokens with vigilance. Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, creatures you control gain indestructible until end of turn.
pori	Magic Origins Promos	2015-07-17	19	Hixus, Prison Warden	02bff648-fbad-4d61-ab09-93993a5fda58	covered		combat_body, combat_support, replacement_engine, tempo_support	false		Covered by PRM role audit.	Legendary Creature — Human Soldier	{3}{W}{W}	5	W	W	Flash		already reviewed	https://scryfall.com/card/pori/19/hixus-prison-warden?utm_source=api	Flash (You may cast this spell any time you could cast an instant.) Whenever a creature deals combat damage to you, if Hixus entered this turn, exile that creature until Hixus leaves the battlefield. (That creature returns under its owner's control.)
pori	Magic Origins Promos	2015-07-17	21s	Knight of the White Orchid	7d0efc64-151f-45b4-8c0b-c32609f9d862			combat_body, combat_threat, land_acceleration, land_tutor, mana_fixing, ramp, tutor				Creature — Human Knight	{W}{W}	2	W	W	First strike		verify analyzer roles	https://scryfall.com/card/pori/21s/knight-of-the-white-orchid?utm_source=api	First strike When this creature enters, if an opponent controls more lands than you, you may search your library for a Plains card, put it onto the battlefield, then shuffle.
pori	Magic Origins Promos	2015-07-17	23s	Kytheon, Hero of Akros // Gideon, Battle-Forged	e49d745c-5130-4b54-bcbb-643b08528456			broad_protection, combat_body, combat_support, protection, self_protection, targeted_protection				Legendary Creature — Human Soldier // Legendary Planeswalker — Gideon		1		W	Transform		verify analyzer roles	https://scryfall.com/card/pori/23s/kytheon-hero-of-akros-gideon-battle-forged?utm_source=api	Kytheon, Hero of Akros: At end of combat, if Kytheon and at least two other creatures attacked this combat, exile Kytheon, then return him to the battlefield transformed under his owner's control. {2}{W}: Kytheon gains indestructible until end of turn. // Gideon, Battle-Forged: +2: Up to one target creature an opponent controls attacks Gideon during its controller's next turn if able. +1: Until your next turn, target creature gains indestructible. Untap that creature. 0: Until end of turn, Gideon becomes a 4/4 Human Soldier creature with indestructible that's still a planeswalker. Prevent all damage that would be dealt to him this turn.
pori	Magic Origins Promos	2015-07-17	24s	Kytheon's Irregulars	ccfddb1a-1b7f-44f9-89c4-1907e27e1c4a			combat_body, combat_support, counter_support, removal, tempo_removal				Creature — Human Soldier	{2}{W}{W}	4	W	W	Renown		verify analyzer roles	https://scryfall.com/card/pori/24s/kytheons-irregulars?utm_source=api	Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.) {W}{W}: Tap target creature.
pori	Magic Origins Promos	2015-07-17	29	Relic Seeker	1f101363-c7d1-405a-b3a9-e93b46928dbf	covered		combat_body, combat_support, counter_support, restricted_tutor, tutor	false		Covered by PRM role audit.	Creature — Human Soldier	{1}{W}	2	W	W	Renown		already reviewed	https://scryfall.com/card/pori/29/relic-seeker?utm_source=api	Renown 1 (When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.) When this creature becomes renowned, you may search your library for an Equipment card, reveal it, put it into your hand, then shuffle.
pori	Magic Origins Promos	2015-07-17	38s	Tragic Arrogance	8a29bd35-33ef-4317-9fe5-8aaff5d7d64d			removal, targeted_removal				Sorcery	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/pori/38s/tragic-arrogance?utm_source=api	For each player, you choose from among the permanents that player controls an artifact, a creature, an enchantment, and a planeswalker. Then each player sacrifices all other nonland permanents they control.
pori	Magic Origins Promos	2015-07-17	40s	Vryn Wingmare	c7c241f2-d3cc-4032-a9da-149de73c2539			combat_body, combat_threat, hate_piece, stax_piece				Creature — Pegasus	{2}{W}	3	W	W	Flying		verify analyzer roles	https://scryfall.com/card/pori/40s/vryn-wingmare?utm_source=api	Flying Noncreature spells cost {1} more to cast.
pori	Magic Origins Promos	2015-07-17	43	Alhammarret, High Arbiter	c2531360-61f8-4edc-886b-408811a0639d	covered		combat_body, combat_threat, hate_piece, soft_stack, stack, stax_piece	false		Covered by PRM role audit.	Legendary Creature — Sphinx	{5}{U}{U}	7	U	U	Flying		already reviewed	https://scryfall.com/card/pori/43/alhammarret-high-arbiter?utm_source=api	Flying As Alhammarret enters, each opponent reveals their hand. You choose the name of a nonland card revealed this way. Your opponents can't cast spells with the chosen name (as long as this creature is on the battlefield).
pori	Magic Origins Promos	2015-07-17	58s	Harbinger of the Tides	9f5277e8-1cbe-478c-a8bc-ac028f13305e			combat_body, removal, replacement_engine, tempo_removal, tempo_support				Creature — Merfolk Wizard	{U}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/pori/58s/harbinger-of-the-tides?utm_source=api	You may cast this spell as though it had flash if you pay {2} more to cast it. (You may cast it any time you could cast an instant.) When this creature enters, you may return target tapped creature an opponent controls to its owner's hand.
