setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
soc	Secrets of Strixhaven Commander	2026-04-24	1	Dina, Essence Brewer	f61c1dc4-2f09-4b50-957f-ee656c659072	covered	card_draw, combat_body, combat_support, counter_support, direct_draw, draw, lifegain, repeatable_advantage, repeatable_draw, sacrifice_support, scalable_spell	card_draw, combat_body, combat_support, counter_support, direct_draw, draw, lifegain, repeatable_advantage, repeatable_draw, sacrifice_support, scalable_spell	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Dryad Druid	{1}{B}{G}	3	BG	BG			verify analyzer roles	https://scryfall.com/card/soc/1/dina-essence-brewer?utm_source=api	Whenever you sacrifice a creature, draw a card. This ability triggers only once each turn. {2}, {T}, Sacrifice another creature: You gain X life and put X +1/+1 counters on target creature you control, where X is the sacrificed creature's power.
soc	Secrets of Strixhaven Commander	2026-04-24	2	Excava, the Risen Past	77216636-f76d-4c5e-b1ac-ab1844753f05	covered	battlefield_recursion, card_selection, combat_body, combat_support, combat_threat, counter_support, recursion, repeatable_advantage, replacement_engine	battlefield_recursion, card_selection, combat_body, combat_support, combat_threat, counter_support, recursion, repeatable_advantage, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Spirit Horse	{2}{R}{W}	4	RW	RW	Flying, Haste		verify analyzer roles	https://scryfall.com/card/soc/2/excava-the-risen-past?utm_source=api	Flying, haste Whenever Excava attacks, return up to one target artifact, creature, or non-Aura enchantment card with mana value 3 or less from your graveyard to the battlefield with a finality counter on it. It's a 1/1 Spirit creature with flying in addition to its other types. (If a creature with a finality counter on it would die, exile it instead.)
soc	Secrets of Strixhaven Commander	2026-04-24	3	Gorma, the Gullet	ae5f30cc-a22e-4fbb-9510-e9429de3623c	covered	combat_body, combat_threat, counter_support, lifegain, sacrifice_support	combat_body, combat_threat, counter_support, lifegain, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Pest Frog	{1}{B}{G}	3	BG	BG	Lifelink		verify analyzer roles	https://scryfall.com/card/soc/3/gorma-the-gullet?utm_source=api	Lifelink Whenever another creature you control dies, put a +1/+1 counter on Gorma. Nontoken creatures you control enter with an additional +1/+1 counter on them for each creature that died under your control this turn.
soc	Secrets of Strixhaven Commander	2026-04-24	4	Killian, Decisive Mentor	9c54bd34-667d-415c-ad26-82e0eb0ff409	covered	card_draw, combat_body, combat_support, direct_draw, draw, removal, repeatable_advantage, repeatable_draw, tempo_removal	card_draw, combat_body, combat_support, direct_draw, draw, removal, repeatable_advantage, repeatable_draw, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Warlock	{1}{W}{B}	3	BW	BW	Goad		verify analyzer roles	https://scryfall.com/card/soc/4/killian-decisive-mentor?utm_source=api	Whenever an enchantment you control enters, tap up to one target creature and goad it. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.) Whenever one or more creatures that are enchanted by an Aura you control attack, draw a card.
soc	Secrets of Strixhaven Commander	2026-04-24	5	Muddle, the Ever-Changing	9a8f6e5e-6cde-49df-861c-a26cb09c9b12	covered	combat_body, combat_support, copy_support, spellslinger, token_support	combat_body, combat_support, copy_support, spellslinger, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Elemental Otter Shapeshifter	{2}{U}{R}	4	RU	RU			verify analyzer roles	https://scryfall.com/card/soc/5/muddle-the-ever-changing?utm_source=api	Whenever you cast an instant or sorcery spell, Muddle becomes a copy of up to one target nonlegendary creature you control until end of turn, except it has myriad. (Whenever it attacks, for each opponent other than defending player, you may create a token copy that's tapped and attacking that player or a planeswalker they control. Exile the tokens at end of combat.)
soc	Secrets of Strixhaven Commander	2026-04-24	6	Primo, the Unbounded	65fb0e20-61f8-4c61-bc08-7f6f718ee9ee	covered	combat_body, combat_support, combat_threat, counter_support, mana_sink, scalable_spell, token_support	combat_body, combat_support, combat_threat, counter_support, mana_sink, scalable_spell, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Fractal Wolf	{X}{G}{G}{U}	3	GU	GU	Trample		verify analyzer roles	https://scryfall.com/card/soc/6/primo-the-unbounded?utm_source=api	Trample Primo enters with twice X +1/+1 counters on it. Whenever one or more creatures you control with base power 0 deal combat damage to a player, create a 0/0 green and blue Fractal creature token. Put a number of +1/+1 counters on it equal to the damage dealt.
soc	Secrets of Strixhaven Commander	2026-04-24	7	Quintorius, History Chaser	5c40a8d4-6969-4d71-aba5-5c7e4109b7d5	covered	card_draw, direct_draw, draw, mill_support, repeatable_advantage, repeatable_draw, token_support	card_draw, direct_draw, draw, mill_support, repeatable_advantage, repeatable_draw, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Planeswalker — Quintorius	{2}{R}{W}	4	RW	RW	Mill		verify analyzer roles	https://scryfall.com/card/soc/7/quintorius-history-chaser?utm_source=api	Whenever one or more cards leave your graveyard, create a 3/2 red and white Spirit creature token. +1: You may discard a card. If you do, draw two cards, then mill a card. −4: Spirits you control gain double strike and vigilance until end of turn. Quintorius, History Chaser can be your commander.
soc	Secrets of Strixhaven Commander	2026-04-24	8	Rootha, Mastering the Moment	348c67ef-9ccc-4651-9038-efdf1ad1b36a	covered	combat_body, combat_support, scalable_spell, token_support	combat_body, combat_support, scalable_spell, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Orc Sorcerer	{2}{U}{R}	4	RU	RU			verify analyzer roles	https://scryfall.com/card/soc/8/rootha-mastering-the-moment?utm_source=api	At the beginning of combat on your turn, if you've cast an instant or sorcery spell this turn, create an X/X blue and red Elemental creature token with flying and haste, where X is the greatest mana value among instant and sorcery spells you've cast this turn.
soc	Secrets of Strixhaven Commander	2026-04-24	9	Scriv, the Obligator	64c986f0-e786-419c-9b51-8c316c8fae0e	covered	combat_body, combat_support, combat_threat, token_support	combat_body, combat_support, combat_threat, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Inkling Bird	{2}{W}{B}	4	BW	BW	Deathtouch, Flying		verify analyzer roles	https://scryfall.com/card/soc/9/scriv-the-obligator?utm_source=api	Flying, deathtouch Whenever Scriv enters or attacks, create a white Aura enchantment token named Contract attached to target creature an opponent controls. The token has enchant creature and "Whenever enchanted creature attacks, it gets +2/+0 until end of turn if it's attacking one of your opponents. Otherwise, its controller loses 2 life."
soc	Secrets of Strixhaven Commander	2026-04-24	10	Zimone, Infinite Analyst	977f9390-e01d-4e9d-8e9c-e543b1266972	covered	combat_body, cost_reduction, counter_support, ramp	combat_body, cost_reduction, counter_support, ramp	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Wizard	{1}{G}{U}	3	GU	GU			verify analyzer roles	https://scryfall.com/card/soc/10/zimone-infinite-analyst?utm_source=api	The first spell you cast with {X} in its mana cost each turn costs {1} less to cast for each +1/+1 counter on Zimone. Whenever you cast your first spell with {X} in its mana cost each turn, put two +1/+1 counters on Zimone.
