setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
nec	Neon Dynasty Commander	2022-02-18	1	Chishiro, the Shattered Blade	c98a4af3-3e58-4927-9a60-d2664cf0b139	covered		combat_body, counter_support, token_support	false		Covered by PRM role audit.	Legendary Creature — Snake Samurai	{2}{R}{G}	4	GR	GR			already reviewed	https://scryfall.com/card/nec/1/chishiro-the-shattered-blade?utm_source=api	Whenever an Aura or Equipment you control enters, create a 2/2 red Spirit creature token with menace. At the beginning of your end step, put a +1/+1 counter on each modified creature you control. (Equipment, Auras you control, and counters are modifications.)
nec	Neon Dynasty Commander	2022-02-18	2	Kotori, Pilot Prodigy	0659a5b0-9807-4e4c-8af3-b6e233051ad6	covered		combat_body, combat_support, lifegain	false		Covered by PRM role audit.	Legendary Creature — Moonfolk Pilot	{1}{W}{U}	3	UW	UW			already reviewed	https://scryfall.com/card/nec/2/kotori-pilot-prodigy?utm_source=api	Vehicles you control have crew 2. At the beginning of combat on your turn, target artifact creature you control gains lifelink and vigilance until end of turn.
nec	Neon Dynasty Commander	2022-02-18	3	Kaima, the Fractured Calm	3d8f9b58-d011-4ed2-99ae-c626243fab26	covered	combat_body, combat_support, counter_support	combat_body, combat_support, counter_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Spirit	{2}{R}{G}	4	GR	GR	Goad		verify analyzer roles	https://scryfall.com/card/nec/3/kaima-the-fractured-calm?utm_source=api	At the beginning of your end step, goad each creature your opponents control that's enchanted by an Aura you control. Put a +1/+1 counter on Kaima for each creature goaded this way. (Until your next turn, the goaded creatures attack each combat if able and attack a player other than you if able.)
nec	Neon Dynasty Commander	2022-02-18	4	Shorikai, Genesis Engine	e2962883-6daf-4a84-af73-917afc73092c	covered		card_draw, card_selection, direct_draw, draw, repeatable_advantage, repeatable_draw, replacement_engine, selection, token_support	false		Covered by PRM role audit.	Legendary Artifact — Vehicle	{2}{W}{U}	4	UW	UW	Crew		already reviewed	https://scryfall.com/card/nec/4/shorikai-genesis-engine?utm_source=api	{1}, {T}: Draw two cards, then discard a card. Create a 1/1 colorless Pilot creature token with "This token crews Vehicles as though its power were 2 greater." Crew 8 (Tap any number of creatures you control with total power 8 or more: This Vehicle becomes an artifact creature until end of turn.)
nec	Neon Dynasty Commander	2022-02-18	5	Aerial Surveyor	92c9b2fd-95d6-4937-aee2-67b4bb8ca29d	covered	combat_support, land_acceleration, land_tutor, mana_fixing, ramp, repeatable_tutor, tutor	combat_support, land_acceleration, land_tutor, mana_fixing, ramp, repeatable_tutor, tutor	false		Analyzer roles accepted during batch clean pass.	Artifact — Vehicle	{2}{W}	3	W	W	Flying, Crew		verify analyzer roles	https://scryfall.com/card/nec/5/aerial-surveyor?utm_source=api	Flying Whenever this Vehicle attacks, if defending player controls more lands than you, search your library for a basic Plains card, put it onto the battlefield tapped, then shuffle. Crew 2
nec	Neon Dynasty Commander	2022-02-18	6	Drumbellower	03dee43b-6377-4f7b-956b-a384160322e4	covered	combat_body, combat_threat, tap_untap, tempo_support	combat_body, combat_threat, tap_untap, tempo_support	false		Analyzer roles accepted during batch clean pass.	Creature — Spirit	{2}{W}	3	W	W	Flying		verify analyzer roles	https://scryfall.com/card/nec/6/drumbellower?utm_source=api	Flying Untap all creatures you control during each other player's untap step.
nec	Neon Dynasty Commander	2022-02-18	7	Ironsoul Enforcer	a613b00e-d6e8-4470-a7dc-5eab5e48dce0	covered	battlefield_recursion, card_selection, combat_body, combat_support, recursion, repeatable_advantage	battlefield_recursion, card_selection, combat_body, combat_support, recursion, repeatable_advantage	false		Analyzer roles accepted during batch clean pass.	Artifact Creature — Human Samurai	{4}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/nec/7/ironsoul-enforcer?utm_source=api	Whenever this creature or a commander you control attacks alone, return target artifact card from your graveyard to the battlefield.
nec	Neon Dynasty Commander	2022-02-18	8	Organic Extinction	d9e24d7c-0907-45c1-b5d3-9fb16a929868	covered		cost_reduction, mass_removal, removal	false		Covered by PRM role audit.	Sorcery	{8}{W}{W}	10	W	W	Improvise		already reviewed	https://scryfall.com/card/nec/8/organic-extinction?utm_source=api	Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.) Destroy all nonartifact creatures.
nec	Neon Dynasty Commander	2022-02-18	9	Release to Memory	3ae456e4-cb35-47be-b654-051e288622fe	covered		token_support	false		Covered by PRM role audit.	Instant	{3}{W}	4	W	W			already reviewed	https://scryfall.com/card/nec/9/release-to-memory?utm_source=api	Exile target opponent's graveyard. For each creature card exiled this way, create a 1/1 colorless Spirit creature token.
nec	Neon Dynasty Commander	2022-02-18	10	Swift Reconfiguration	5d47e820-913f-441a-a6cc-37ab3181d79a	covered		removal, tempo_removal	false		Covered by PRM role audit.	Enchantment — Aura	{W}	1	W	W	Enchant, Flash		already reviewed	https://scryfall.com/card/nec/10/swift-reconfiguration?utm_source=api	Flash Enchant creature or Vehicle Enchanted permanent is a Vehicle artifact with crew 5 and it loses all other card types. (It's not a creature unless it's crewed.)
