setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
m3c	Modern Horizons 3 Commander	2024-06-14	1	Disa the Restless	283bfc53-afd3-4d21-b7d5-5baba4232422	covered	combat_body, combat_support, token_support	combat_body, combat_support, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Scout	{2}{B}{R}{G}	5	BGR	BGR			verify analyzer roles	https://scryfall.com/card/m3c/1/disa-the-restless?utm_source=api	Whenever a Lhurgoyf permanent card is put into your graveyard from anywhere other than the battlefield, put it onto the battlefield. Whenever one or more creatures you control deal combat damage to a player, create a Tarmogoyf token.
m3c	Modern Horizons 3 Commander	2024-06-14	2	Omo, Queen of Vesuva	021b91ea-18d8-4b50-97da-dd003380cd68	covered	combat_body, combat_support, counter_support	combat_body, combat_support, counter_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Shapeshifter Noble	{2}{G/U}	3	GU	GU			verify analyzer roles	https://scryfall.com/card/m3c/2/omo-queen-of-vesuva?utm_source=api	Whenever Omo enters or attacks, put an everything counter on each of up to one target land and up to one target creature. Each land with an everything counter on it is every land type in addition to its other types. Each nonland creature with an everything counter on it is every creature type.
m3c	Modern Horizons 3 Commander	2024-06-14	3	Satya, Aetherflux Genius	ce8af7dd-49df-4419-9776-4157efc60b0f	covered	combat_body, combat_support, combat_threat, copy_support, energy_support, sacrifice_support, token_support	combat_body, combat_support, combat_threat, copy_support, energy_support, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Artificer	{1}{U}{R}{W}	4	RUW	RUW	Haste, Menace		verify analyzer roles	https://scryfall.com/card/m3c/3/satya-aetherflux-genius?utm_source=api	Menace, haste Whenever Satya attacks, create a tapped and attacking token that's a copy of up to one other target nontoken creature you control. You get {E}{E} (two energy counters). At the beginning of the next end step, sacrifice that token unless you pay an amount of {E} equal to its mana value.
m3c	Modern Horizons 3 Commander	2024-06-14	4	Ulalek, Fused Atrocity	9f6828e3-39d9-45d9-9bf1-0e3737a0321e	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Eldrazi	{C/W}{C/U}{C/B}{C/R}{C/G}	5		BGRUW	Devoid		verify analyzer roles	https://scryfall.com/card/m3c/4/ulalek-fused-atrocity?utm_source=api	Devoid (This card has no color.) Whenever you cast an Eldrazi spell, you may pay {C}{C}. If you do, copy all spells you control, then copy all other activated and triggered abilities you control. You may choose new targets for the copies. (Mana abilities can't be copied.)
m3c	Modern Horizons 3 Commander	2024-06-14	5	Azlask, the Swelling Scourge	55bc7f55-f73b-40b5-8912-9bf76c129ccc	covered	combat_body, combat_support, sacrifice_support, scalable_spell, self_protection	combat_body, combat_support, sacrifice_support, scalable_spell, self_protection	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Eldrazi	{3}	3		BGRUW			verify analyzer roles	https://scryfall.com/card/m3c/5/azlask-the-swelling-scourge?utm_source=api	Whenever Azlask or another colorless creature you control dies, you get an experience counter. {W}{U}{B}{R}{G}: Creatures you control get +X/+X until end of turn, where X is the number of experience counters you have. Scions and Spawns you control gain indestructible and annihilator 1 until end of turn.
m3c	Modern Horizons 3 Commander	2024-06-14	6	Cayth, Famed Mechanist	d18a014e-16a0-4641-9546-ff3729437eed	covered	combat_body, counter_support, token_support	combat_body, counter_support, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Dwarf Artificer	{1}{U}{R}{W}	4	RUW	RUW	Proliferate, Fabricate, Populate		verify analyzer roles	https://scryfall.com/card/m3c/6/cayth-famed-mechanist?utm_source=api	Fabricate 1 (When this creature enters, put a +1/+1 counter on it or create a 1/1 colorless Servo artifact creature token.) Other nontoken creatures you control have fabricate 1. {2}, {T}: Choose one — • Populate. • Proliferate.
m3c	Modern Horizons 3 Commander	2024-06-14	7	Coram, the Undertaker	51c511c0-783a-456d-a7e2-959f6e8ddfc8	covered	card_selection, combat_body, combat_support, mill_support, repeatable_advantage, scalable_spell	card_selection, combat_body, combat_support, mill_support, repeatable_advantage, scalable_spell	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Warrior	{1}{B}{R}{G}	4	BGR	BGR	Mill		verify analyzer roles	https://scryfall.com/card/m3c/7/coram-the-undertaker?utm_source=api	Coram gets +X/+0, where X is the greatest power among creature cards in all graveyards. Whenever Coram attacks, each player mills a card. During each of your turns, you may play a land and cast a spell from among cards in graveyards that were put there from libraries this turn.
m3c	Modern Horizons 3 Commander	2024-06-14	8	Jyoti, Moag Ancient	67f0cef6-8ef4-4c39-b306-2b580036894e	covered	combat_body, combat_support, scalable_spell, token_support	combat_body, combat_support, scalable_spell, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Elemental	{2}{G}{U}	4	GU	GU			verify analyzer roles	https://scryfall.com/card/m3c/8/jyoti-moag-ancient?utm_source=api	When Jyoti enters, create a 1/1 green Forest Dryad land creature token for each time you've cast your commander from the command zone this game. (They're affected by summoning sickness.) At the beginning of each combat, land creatures you control get +X/+X until end of turn, where X is Jyoti's power.
m3c	Modern Horizons 3 Commander	2024-06-14	32	Eldrazi Confluence	01160cb5-6d83-4317-9522-74083b3a83bb	covered	burst_ramp, combat_support, flicker, ramp, sacrifice_support, token_support	burst_ramp, combat_support, flicker, ramp, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Instant	{2}{C}{C}	4					verify analyzer roles	https://scryfall.com/card/m3c/32/eldrazi-confluence?utm_source=api	Choose three. You may choose the same mode more than once. • Target creature gets +3/-3 until end of turn. • Exile target nonland permanent, then return it to the battlefield tapped under its owner's control. • Create a 1/1 colorless Eldrazi Scion creature token with "Sacrifice this token: Add {C}."
m3c	Modern Horizons 3 Commander	2024-06-14	33	Eldritch Immunity	7dce1e8c-5cfd-4626-9f23-7bb3f1b10c1e	covered	protection, targeted_protection	protection, targeted_protection	false		Analyzer roles accepted during batch clean pass.	Kindred Instant — Eldrazi	{C}	1			Overload		verify analyzer roles	https://scryfall.com/card/m3c/33/eldritch-immunity?utm_source=api	Target creature you control gains protection from each color until end of turn. Overload {4}{C} (You may cast this spell for its overload cost. If you do, change "target" in its text to "each.")
