setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
woc	Wilds of Eldraine Commander	2023-09-08	1	Tegwyll, Duke of Splendor	868f0a0a-ca9e-4baf-8295-6b228aa834e5	covered	card_draw, combat_body, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw, sacrifice_support	card_draw, combat_body, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Faerie Noble	{1}{U}{B}	3	BU	BU	Deathtouch, Flying		verify analyzer roles	https://scryfall.com/card/woc/1/tegwyll-duke-of-splendor?utm_source=api	Flying, deathtouch Other Faeries you control get +1/+1. Whenever another Faerie you control dies, you draw a card and you lose 1 life.
woc	Wilds of Eldraine Commander	2023-09-08	2	Ellivere of the Wild Court	97f9b82f-b3cf-44ff-9abc-2d92d7cbaa27	covered	card_draw, combat_body, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw, token_support	card_draw, combat_body, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Knight	{2}{G}{W}	4	GW	GW	Role token		verify analyzer roles	https://scryfall.com/card/woc/2/ellivere-of-the-wild-court?utm_source=api	Whenever Ellivere enters or attacks, create a Virtuous Role token attached to another target creature you control. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 for each enchantment you control.) Whenever an enchanted creature you control deals combat damage to a player, draw a card.
woc	Wilds of Eldraine Commander	2023-09-08	3	Alela, Cunning Conqueror	1cae5752-b4af-4a8f-8c8c-2493e163083b	covered	combat_body, combat_support, combat_threat, token_support	combat_body, combat_support, combat_threat, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Faerie Warlock	{2}{U}{B}	4	BU	BU	Flying, Goad		verify analyzer roles	https://scryfall.com/card/woc/3/alela-cunning-conqueror?utm_source=api	Flying Whenever you cast your first spell during each opponent's turn, create a 1/1 black Faerie Rogue creature token with flying. Whenever one or more Faeries you control deal combat damage to a player, goad target creature that player controls.
woc	Wilds of Eldraine Commander	2023-09-08	4	Gylwain, Casting Director	e7dfe47f-41fc-4071-9ad3-96cd8d9be52e	covered	combat_body, token_support	combat_body, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Bard	{1}{G}{W}	3	GW	GW	Role token		verify analyzer roles	https://scryfall.com/card/woc/4/gylwain-casting-director?utm_source=api	Whenever Gylwain or another nontoken creature you control enters, choose one — • Create a Royal Role token attached to that creature. • Create a Sorcerer Role token attached to that creature. • Create a Monster Role token attached to that creature.
woc	Wilds of Eldraine Commander	2023-09-08	5	Liberated Livestock	d080cb03-b3e5-42e8-b289-2ce2151b4cb8	covered	combat_body, lifegain, sacrifice_support, token_support	combat_body, lifegain, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Cat Bird Ox	{5}{W}	6	W	W			verify analyzer roles	https://scryfall.com/card/woc/5/liberated-livestock?utm_source=api	When this creature dies, create a 1/1 white Cat creature token with lifelink, a 1/1 white Bird creature token with flying, and a 2/4 white Ox creature token. For each of those tokens, you may put an Aura card from your hand and/or graveyard onto the battlefield attached to it.
woc	Wilds of Eldraine Commander	2023-09-08	6	Ox Drover	70f26726-0373-4e50-a1de-37392ca94890	covered	card_draw, combat_body, combat_support, combat_threat, direct_draw, donation_support, draw, repeatable_advantage, repeatable_draw	card_draw, combat_body, combat_support, combat_threat, direct_draw, donation_support, draw, repeatable_advantage, repeatable_draw	false		Analyzer roles accepted during batch clean pass.	Creature — Human Peasant	{3}{W}	4	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/woc/6/ox-drover?utm_source=api	Vigilance This creature can't be blocked by Oxen. Whenever this creature enters or attacks, target opponent creates a 2/4 white Ox creature token and you draw a card.
woc	Wilds of Eldraine Commander	2023-09-08	7	Songbirds' Blessing	2598294c-a9a7-4bef-a562-23f297a80536	covered	card_draw, card_selection, combat_support, draw, repeatable_advantage, repeatable_tutor, restricted_tutor, selection, tutor	card_draw, card_selection, combat_support, draw, repeatable_advantage, repeatable_tutor, restricted_tutor, selection, tutor	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{3}{W}	4	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/woc/7/songbirds-blessing?utm_source=api	Enchant creature Whenever enchanted creature attacks, reveal cards from the top of your library until you reveal an Aura card. You may put that card onto the battlefield. If you don't, put it into your hand. Put the rest on the bottom of your library in a random order.
woc	Wilds of Eldraine Commander	2023-09-08	8	Unfinished Business	800cfd70-6a97-40eb-8dc0-40b762e4db76	covered	battlefield_recursion, card_selection, mass_recursion, recursion	battlefield_recursion, card_selection, mass_recursion, recursion	false		Analyzer roles accepted during batch clean pass.	Sorcery	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/woc/8/unfinished-business?utm_source=api	Return target creature card from your graveyard to the battlefield, then return up to two target Aura and/or Equipment cards from your graveyard to the battlefield attached to that creature. (If the Auras can't enchant that creature, they remain in your graveyard.)
woc	Wilds of Eldraine Commander	2023-09-08	9	Archmage of Echoes	f1ecb3d7-5ea0-45b2-b1b0-d7ae304db2a1	covered	combat_body, combat_threat, self_protection	combat_body, combat_threat, self_protection	false		Analyzer roles accepted during batch clean pass.	Creature — Faerie Wizard	{4}{U}	5	U	U	Flying, Ward		verify analyzer roles	https://scryfall.com/card/woc/9/archmage-of-echoes?utm_source=api	Flying, ward {2} Whenever you cast a Faerie or Wizard permanent spell, copy it. (The copy becomes a token.)
woc	Wilds of Eldraine Commander	2023-09-08	10	Malleable Impostor	acd209d1-37e9-4713-b320-ee52854790bb	covered	combat_body, combat_support, combat_threat, copy_support	combat_body, combat_support, combat_threat, copy_support	false		Analyzer roles accepted during batch clean pass.	Creature — Faerie Shapeshifter	{3}{U}	4	U	U	Flying, Flash		verify analyzer roles	https://scryfall.com/card/woc/10/malleable-impostor?utm_source=api	Flash Flying You may have this creature enter as a copy of a creature an opponent controls, except it's a Faerie Shapeshifter in addition to its other types and it has flying.
woc	Wilds of Eldraine Commander	2023-09-08	11	Misleading Signpost	eaffdf95-8e20-408d-99fa-3adc9e19523d	covered	combat_support, ramp, stable_ramp	combat_support, ramp, stable_ramp	false		Analyzer roles accepted during batch clean pass.	Artifact	{2}{U}	3	U	U	Flash		verify analyzer roles	https://scryfall.com/card/woc/11/misleading-signpost?utm_source=api	Flash When this artifact enters during the declare attackers step, you may reselect which player or permanent target attacking creature is attacking. (It can't attack its controller or their permanents.) {T}: Add {U}.
woc	Wilds of Eldraine Commander	2023-09-08	12	Shadow Puppeteers	0a570fdb-2104-4592-b158-5b5d88f1d087	covered	combat_body, combat_support, combat_threat, self_protection, token_support	combat_body, combat_support, combat_threat, self_protection, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Faerie Wizard	{6}{U}	7	U	U	Flying, Ward		verify analyzer roles	https://scryfall.com/card/woc/12/shadow-puppeteers?utm_source=api	Flying, ward {2} When this creature enters, create two 1/1 black Faerie Rogue creature tokens with flying. Whenever a creature you control with flying attacks, you may have it become a red Dragon with base power and toughness 4/4 in addition to its other colors and types until end of turn.
woc	Wilds of Eldraine Commander	2023-09-08	13	Blightwing Bandit	770894c0-01e7-4c1e-bcfb-989eee221dd2	covered	card_selection, combat_body, combat_threat, direct_draw, draw, face_down_support, repeatable_advantage, repeatable_draw, selection	card_selection, combat_body, combat_threat, direct_draw, draw, face_down_support, repeatable_advantage, repeatable_draw, selection	false		Analyzer roles accepted during batch clean pass.	Creature — Faerie Rogue	{3}{B}	4	B	B	Deathtouch, Flying		verify analyzer roles	https://scryfall.com/card/woc/13/blightwing-bandit?utm_source=api	Flying, deathtouch Whenever you cast your first spell during each opponent's turn, look at the top card of that player's library, then exile it face down. You may play that card for as long as it remains exiled, and mana of any type can be spent to cast it.
woc	Wilds of Eldraine Commander	2023-09-08	14	Faerie Bladecrafter	164b064e-de50-468a-b874-b054897a5be9	covered	combat_body, combat_support, combat_threat, counter_support, direct_finisher, finisher, lifegain, repeatable_finisher, sacrifice_support, scalable_spell	combat_body, combat_support, combat_threat, counter_support, direct_finisher, finisher, lifegain, repeatable_finisher, sacrifice_support, scalable_spell	false		Analyzer roles accepted during batch clean pass.	Creature — Faerie Rogue	{2}{B}	3	B	B	Flying		verify analyzer roles	https://scryfall.com/card/woc/14/faerie-bladecrafter?utm_source=api	Flying Whenever one or more Faeries you control deal combat damage to a player, put a +1/+1 counter on this creature. When this creature dies, each opponent loses X life and you gain X life, where X is its power.
woc	Wilds of Eldraine Commander	2023-09-08	15	Nettling Nuisance	9662c579-f414-4c2d-b133-0f5f21d5c28a	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Faerie Rogue	{2}{B}	3	B	B	Flying, Goad		verify analyzer roles	https://scryfall.com/card/woc/15/nettling-nuisance?utm_source=api	Flying Whenever one or more Faeries you control deal combat damage to a player, that player creates a 4/2 red Pirate creature token with "This token can't block." The token is goaded for the rest of the game. (It attacks each combat if able and attacks a player other than you if able.)
woc	Wilds of Eldraine Commander	2023-09-08	16	Tegwyll's Scouring	58ebaaba-7e35-4588-9679-23b22e39789b	covered	mass_removal, removal, replacement_engine, tempo_support, token_support	mass_removal, removal, replacement_engine, tempo_support, token_support	false		Analyzer roles accepted during batch clean pass.	Sorcery	{4}{B}{B}	6	B	B			verify analyzer roles	https://scryfall.com/card/woc/16/tegwylls-scouring?utm_source=api	You may cast this spell as though it had flash by tapping three untapped creatures you control with flying in addition to paying its other costs. Destroy all creatures. Create three 1/1 black Faerie Rogue creature tokens with flying.
woc	Wilds of Eldraine Commander	2023-09-08	17	Giant Inheritance	6be21185-f85c-49e8-988a-a76b6613fdaa	covered	combat_support, token_support	combat_support, token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{4}{G}	5	G	G	Role token, Enchant		verify analyzer roles	https://scryfall.com/card/woc/17/giant-inheritance?utm_source=api	Enchant creature Enchanted creature gets +5/+5 and has "Whenever this creature attacks, create a Monster Role token attached to up to one target attacking creature." (Enchanted creature gets +1/+1 and has trample.) When this Aura is put into a graveyard from the battlefield, return it to its owner's hand.
woc	Wilds of Eldraine Commander	2023-09-08	18	Knickknack Ouphe	55adf2f0-f023-4f41-ae9d-3c002e9e6e8d	covered	card_selection, combat_body, combat_support, counter_support, draw, mana_sink, restricted_tutor, scalable_spell, selection, tutor	card_selection, combat_body, combat_support, counter_support, draw, mana_sink, restricted_tutor, scalable_spell, selection, tutor	false		Analyzer roles accepted during batch clean pass.	Creature — Ouphe	{X}{G}	1	G	G			verify analyzer roles	https://scryfall.com/card/woc/18/knickknack-ouphe?utm_source=api	This creature enters with X +1/+1 counters on it. When this creature enters, reveal the top X cards of your library. You may put any number of Aura cards with mana value X or less from among them onto the battlefield. Then put all cards revealed this way that weren't put onto the battlefield on the bottom of your library in a random order.
woc	Wilds of Eldraine Commander	2023-09-08	19	Loamcrafter Faun	2fbfdbcc-5f89-47b2-bd8d-49c797e0624f	covered	card_selection, combat_body, hand_recursion, recursion, repeatable_advantage	card_selection, combat_body, hand_recursion, recursion, repeatable_advantage	false		Analyzer roles accepted during batch clean pass.	Creature — Satyr Druid	{2}{G}	3	G	G			verify analyzer roles	https://scryfall.com/card/woc/19/loamcrafter-faun?utm_source=api	When this creature enters, you may discard one or more land cards. When you do, return up to that many target nonland permanent cards from your graveyard to your hand.
woc	Wilds of Eldraine Commander	2023-09-08	20	Timber Paladin	0be44c76-9e3f-45c2-9b2c-6a5f00678780	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Artifact Creature — Knight	{1}{G}	2	G	G			verify analyzer roles	https://scryfall.com/card/woc/20/timber-paladin?utm_source=api	As long as this creature is enchanted by exactly one Aura, it has base power and toughness 3/3. As long as this creature is enchanted by exactly two Auras, it has base power and toughness 5/5 and vigilance. As long as this creature is enchanted by three or more Auras, it has base power and toughness 10/10, vigilance, and trample.
