setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
dft	Aetherdrift	2025-02-14	1	Air Response Unit	18a22d9f-81bc-4ed5-bd83-e3f8ec5e38c8							Artifact — Vehicle	{2}{W}	3	W	W	Flying, Vigilance, Crew		has Scryfall tags/keywords but no analyzer role	https://scryfall.com/card/dft/1/air-response-unit?utm_source=api	Flying, vigilance Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)
dft	Aetherdrift	2025-02-14	2	Alacrian Armory	3fa2d51c-d549-4287-ac3b-76bc72bcd8bc	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Artifact	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/dft/2/alacrian-armory?utm_source=api	Creatures you control get +0/+1 and have vigilance. At the beginning of combat on your turn, choose up to one target Mount or Vehicle you control. Until end of turn, that permanent becomes saddled if it's a Mount and becomes an artifact creature if it's a Vehicle.
dft	Aetherdrift	2025-02-14	3	Basri, Tomorrow's Champion	d8e1e9ba-708c-4f54-abc3-817004a2f2ac	covered	card_draw, combat_body, combat_support, direct_draw, draw, lifegain, repeatable_advantage, selection, self_protection, token_support	card_draw, combat_body, combat_support, direct_draw, draw, lifegain, repeatable_advantage, selection, self_protection, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Knight	{W}	1	W	W	Exert, Cycling		verify analyzer roles	https://scryfall.com/card/dft/3/basri-tomorrows-champion?utm_source=api	{W}, {T}, Exert Basri: Create a 1/1 white Cat creature token with lifelink. (An exerted creature won't untap during your next untap step.) Cycling {2}{W} ({2}{W}, Discard this card: Draw a card.) When you cycle this card, Cats you control gain hexproof and indestructible until end of turn.
dft	Aetherdrift	2025-02-14	4	Brightfield Glider	acff6e5c-7f25-4ae1-8672-8672450ad844	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Possum Mount	{W}	1	W	W	Saddle, Vigilance		verify analyzer roles	https://scryfall.com/card/dft/4/brightfield-glider?utm_source=api	Vigilance Whenever this creature attacks while saddled, it gets +1/+2 and gains flying until end of turn. Saddle 3 (Tap any number of other creatures you control with total power 3 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)
dft	Aetherdrift	2025-02-14	5	Brightfield Mustang	1b05e355-38a5-4307-9d8b-e99ec30f8ed3	covered	combat_body, combat_support, counter_support	combat_body, combat_support, counter_support	false		Analyzer roles accepted during batch clean pass.	Creature — Horse Mount	{3}{W}	4	W	W	Saddle		verify analyzer roles	https://scryfall.com/card/dft/5/brightfield-mustang?utm_source=api	Whenever this creature attacks while saddled, untap it and put a +1/+1 counter on it. Saddle 1 (Tap any number of other creatures you control with total power 1 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)
dft	Aetherdrift	2025-02-14	6	Broadcast Rambler	21aaecc7-b9ec-4068-8e47-4dffaa12f102	covered	token_support	token_support	false		Analyzer roles accepted during batch clean pass.	Artifact — Vehicle	{4}{W}	5	W	W	Crew		verify analyzer roles	https://scryfall.com/card/dft/6/broadcast-rambler?utm_source=api	When this Vehicle enters, create a 1/1 colorless Thopter artifact creature token with flying. Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)
dft	Aetherdrift	2025-02-14	7	Bulwark Ox	bcd56fbf-fde3-41c2-83f5-9636e92d2893	covered	broad_protection, combat_body, combat_support, counter_support, protection, sacrifice_support, self_protection	broad_protection, combat_body, combat_support, counter_support, protection, sacrifice_support, self_protection	false		Analyzer roles accepted during batch clean pass.	Creature — Ox Mount	{1}{W}	2	W	W	Saddle		verify analyzer roles	https://scryfall.com/card/dft/7/bulwark-ox?utm_source=api	Whenever this creature attacks while saddled, put a +1/+1 counter on target creature. Sacrifice this creature: Creatures you control with counters on them gain hexproof and indestructible until end of turn. Saddle 1 (Tap any number of other creatures you control with total power 1 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)
dft	Aetherdrift	2025-02-14	8	Canyon Vaulter	829e121f-d2fa-40ef-afc7-9b2072a949d7	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Kor Pilot	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/dft/8/canyon-vaulter?utm_source=api	Whenever this creature saddles a Mount or crews a Vehicle during your main phase, that Mount or Vehicle gains flying until end of turn.
dft	Aetherdrift	2025-02-14	9	Cloudspire Captain	c86bac69-96d6-4b9f-87e4-2d7faecaa112	covered	combat_body, replacement_engine	combat_body, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Creature — Human Pilot	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/dft/9/cloudspire-captain?utm_source=api	Mounts and Vehicles you control get +1/+1. This creature saddles Mounts and crews Vehicles as though its power were 2 greater.
dft	Aetherdrift	2025-02-14	10	Collision Course	49ca0ca8-0733-4aa9-bd0c-1c661725b81b	covered	mass_removal, removal, scalable_spell, targeted_removal	mass_removal, removal, scalable_spell, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Sorcery	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/dft/10/collision-course?utm_source=api	Choose one — • Collision Course deals X damage to target creature, where X is the number of permanents you control that are creatures and/or Vehicles. • Destroy target artifact.
