setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
c16	Commander 2016	2016-11-11	1	Duelist's Heritage	5cdc4654-b8c5-4599-a1d2-9e9d5f6509cb			combat_support				Enchantment	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/c16/1/duelists-heritage?utm_source=api	Whenever one or more creatures attack, you may have target attacking creature gain double strike until end of turn.
c16	Commander 2016	2016-11-11	2	Entrapment Maneuver	2244bef9-1e4e-44ed-9b27-810f04f9e611			combat_support, removal, scalable_spell, targeted_removal, token_support				Instant	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/c16/2/entrapment-maneuver?utm_source=api	Target player sacrifices an attacking creature of their choice. You create X 1/1 white Soldier creature tokens, where X is that creature's toughness.
c16	Commander 2016	2016-11-11	3	Orzhov Advokist	d5e9942e-096f-433f-8668-4b594f3c1b02			combat_body, combat_support, counter_support				Creature — Human Advisor	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/c16/3/orzhov-advokist?utm_source=api	At the beginning of your upkeep, each player may put two +1/+1 counters on a creature they control. If a player does, creatures that player controls can't attack you or planeswalkers you control until your next turn.
c16	Commander 2016	2016-11-11	4	Selfless Squire	7d079c78-b2a9-444f-ab54-c61c041baa6d			broad_protection, combat_body, counter_support, protection				Creature — Human Soldier	{3}{W}	4	W	W	Flash		verify analyzer roles	https://scryfall.com/card/c16/4/selfless-squire?utm_source=api	Flash When this creature enters, prevent all damage that would be dealt to you this turn. Whenever damage that would be dealt to you is prevented, put that many +1/+1 counters on this creature.
c16	Commander 2016	2016-11-11	5	Sublime Exhalation	9e0c66e9-7d2b-46bd-890e-886d0c029d1d			mass_removal, removal				Sorcery	{6}{W}	7	W	W	Undaunted		verify analyzer roles	https://scryfall.com/card/c16/5/sublime-exhalation?utm_source=api	Undaunted (This spell costs {1} less to cast for each opponent.) Destroy all creatures.
c16	Commander 2016	2016-11-11	6	Coastal Breach	e42b6bd7-8fdf-4452-85cc-9aed790ff682			mass_removal, removal				Sorcery	{6}{U}	7	U	U	Undaunted		verify analyzer roles	https://scryfall.com/card/c16/6/coastal-breach?utm_source=api	Undaunted (This spell costs {1} less to cast for each opponent.) Return all nonland permanents to their owners' hands.
c16	Commander 2016	2016-11-11	7	Deepglow Skate	debce64a-18bd-42f5-9e85-158c2242e9e9			combat_body, counter_support, multiplier_support, replacement_engine				Creature — Fish	{4}{U}	5	U	U	Double		verify analyzer roles	https://scryfall.com/card/c16/7/deepglow-skate?utm_source=api	When this creature enters, double the number of each kind of counter on any number of target permanents.
c16	Commander 2016	2016-11-11	8	Faerie Artisans	7dda40f2-7b5f-479c-86b6-8bc11fff9f4a			combat_body, combat_threat, copy_support, token_support				Creature — Faerie Artificer	{3}{U}	4	U	U	Flying		verify analyzer roles	https://scryfall.com/card/c16/8/faerie-artisans?utm_source=api	Flying Whenever a nontoken creature an opponent controls enters, create a token that's a copy of that creature except it's an artifact in addition to its other types. Then exile all other tokens created with this creature.
c16	Commander 2016	2016-11-11	9	Grip of Phyresis	4c95b2fe-d107-44f9-b877-8bd4799f5a65			removal, tempo_removal, theft_support, token_support				Instant	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/c16/9/grip-of-phyresis?utm_source=api	Gain control of target Equipment, then create a 0/0 black Phyrexian Germ creature token and attach that Equipment to it.
c16	Commander 2016	2016-11-11	10	Manifold Insights	9c793037-6ba8-400a-b24d-6032141e8dae			card_selection				Sorcery	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/c16/10/manifold-insights?utm_source=api	Reveal the top ten cards of your library. Starting with the next opponent in turn order, each opponent chooses a different nonland card from among them. Put the chosen cards into your hand and the rest on the bottom of your library in a random order.
c16	Commander 2016	2016-11-11	11	Cruel Entertainment	7747804f-ca49-4a68-b508-b94b27c52b0f							Sorcery	{6}{B}	7	B	B			manual review	https://scryfall.com/card/c16/11/cruel-entertainment?utm_source=api	Choose target player and another target player. The first player controls the second player during the second player's next turn, and the second player controls the first player during the first player's next turn.
c16	Commander 2016	2016-11-11	12	Curse of Vengeance	b9b1c644-041a-4b61-9d6d-bc73a3a95bb8			card_draw, counter_support, direct_draw, draw, lifegain, repeatable_advantage, repeatable_draw, scalable_spell				Enchantment — Aura Curse	{B}	1	B	B	Enchant		verify analyzer roles	https://scryfall.com/card/c16/12/curse-of-vengeance?utm_source=api	Enchant player Whenever enchanted player casts a spell, put a spite counter on this Aura. When enchanted player loses the game, you gain X life and draw X cards, where X is the number of spite counters on this Aura.
c16	Commander 2016	2016-11-11	13	Curtains' Call	cfb1b64b-bf78-4015-ac29-cdcdf2adaa02			removal, targeted_removal				Instant	{5}{B}	6	B	B	Undaunted		verify analyzer roles	https://scryfall.com/card/c16/13/curtains-call?utm_source=api	Undaunted (This spell costs {1} less to cast for each opponent.) Destroy two target creatures.
c16	Commander 2016	2016-11-11	14	Magus of the Will	f32c5530-6692-4d47-8789-c73da23fd5b7			card_selection, combat_body, recursion, repeatable_advantage, replacement_engine, replay_recursion, selection				Creature — Human Wizard	{2}{B}	3	B	B			verify analyzer roles	https://scryfall.com/card/c16/14/magus-of-the-will?utm_source=api	{2}{B}, {T}, Exile this creature: Until end of turn, you may play lands and cast spells from your graveyard. If a card would be put into your graveyard from anywhere this turn, exile that card instead.
c16	Commander 2016	2016-11-11	15	Parting Thoughts	57fd34d3-3e30-4467-bace-3f4dc2a85c80			card_draw, counter_support, direct_draw, draw, removal, scalable_spell, targeted_removal				Sorcery	{2}{B}	3	B	B			verify analyzer roles	https://scryfall.com/card/c16/15/parting-thoughts?utm_source=api	Destroy target creature. You draw X cards and you lose X life, where X is the number of counters on that creature.
