setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pmkm	Murders at Karlov Manor Promos	2024-02-09	3p	Assemble the Players	180ba940-2b11-4953-b7ce-74847e1aebfd	covered	card_selection, direct_draw, draw, repeatable_advantage, selection	card_selection, direct_draw, draw, repeatable_advantage, selection	false		Analyzer roles accepted during batch clean pass.	Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/pmkm/3p/assemble-the-players?utm_source=api	You may look at the top card of your library any time. Once each turn, you may cast a creature spell with power 2 or less from the top of your library.
pmkm	Murders at Karlov Manor Promos	2024-02-09	4p	Aurelia's Vindicator	4f452ce7-1166-4810-afed-ea5e156a6f52	covered	combat_body, combat_threat, face_down_support, lifegain, removal, self_protection, targeted_removal	combat_body, combat_threat, face_down_support, lifegain, removal, self_protection, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Angel	{2}{W}{W}	4	W	W	Flying, Lifelink, Disguise, Ward		verify analyzer roles	https://scryfall.com/card/pmkm/4p/aurelias-vindicator?utm_source=api	Flying, lifelink, ward {2} Disguise {X}{3}{W} When this creature is turned face up, exile up to X other target creatures from the battlefield and/or creature cards from graveyards. When this creature leaves the battlefield, return the exiled cards to their owners' hands.
pmkm	Murders at Karlov Manor Promos	2024-02-09	10p	Case of the Uneaten Feast	0d8730b5-f7ba-48b0-928d-d8b7685347d3	covered	lifegain, sacrifice_support	lifegain, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Enchantment — Case	{W}	1	W	W	Solved		verify analyzer roles	https://scryfall.com/card/pmkm/10p/case-of-the-uneaten-feast?utm_source=api	Whenever a creature you control enters, you gain 1 life. To solve — You've gained 5 or more life this turn. (If unsolved, solve at the beginning of your end step.) Solved — Sacrifice this Case: Creature cards in your graveyard gain "You may cast this card from your graveyard" until end of turn.
pmkm	Murders at Karlov Manor Promos	2024-02-09	12p	Delney, Streetwise Lookout	245d0ccf-87b6-460a-8b99-9e2079f2d375	covered	combat_body, combat_support, copy_support, multiplier_support, replacement_engine	combat_body, combat_support, copy_support, multiplier_support, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Scout	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/pmkm/12p/delney-streetwise-lookout?utm_source=api	Creatures you control with power 2 or less can't be blocked by creatures with power 3 or greater. If a triggered ability of a creature you control with power 2 or less triggers, that ability triggers an additional time.
pmkm	Murders at Karlov Manor Promos	2024-02-09	13p	Doorkeeper Thrull	0eaea4fd-a377-4541-9bdd-14921034a975	covered	combat_body, combat_threat, stax_piece	combat_body, combat_threat, stax_piece	false		Analyzer roles accepted during batch clean pass.	Creature — Thrull	{1}{W}	2	W	W	Flying, Flash		verify analyzer roles	https://scryfall.com/card/pmkm/13p/doorkeeper-thrull?utm_source=api	Flash Flying Artifacts and creatures entering don't cause abilities to trigger.
pmkm	Murders at Karlov Manor Promos	2024-02-09	27p	No Witnesses	0639bd82-084f-47d5-b158-05dfc29efa40	covered	card_draw, direct_draw, draw, mass_removal, removal, sacrifice_support, selection, targeted_removal, token_support	card_draw, direct_draw, draw, mass_removal, removal, sacrifice_support, selection, targeted_removal, token_support	false		Analyzer roles accepted during batch clean pass.	Sorcery	{2}{W}{W}	4	W	W	Investigate		verify analyzer roles	https://scryfall.com/card/pmkm/27p/no-witnesses?utm_source=api	Each player who controls the most creatures investigates. Then destroy all creatures. (To investigate, create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
pmkm	Murders at Karlov Manor Promos	2024-02-09	34p	Tenth District Hero	0953772c-9374-4616-9c04-5838aaf626c9	covered	broad_protection, combat_body, combat_support, self_protection	broad_protection, combat_body, combat_support, self_protection	false		Analyzer roles accepted during batch clean pass.	Creature — Human	{1}{W}	2	W	W	Collect evidence		verify analyzer roles	https://scryfall.com/card/pmkm/34p/tenth-district-hero?utm_source=api	{1}{W}, Collect evidence 2: This creature becomes a Human Detective with base power and toughness 4/4 and gains vigilance. {2}{W}, Collect evidence 4: If this creature is a Detective, it becomes a legendary creature named Mileva, the Stalwart, it has base power and toughness 5/5, and it gains "Other creatures you control have indestructible."
pmkm	Murders at Karlov Manor Promos	2024-02-09	35p	Unyielding Gatekeeper	3c8fa799-7f30-4532-8317-f37a7ab787de	covered	combat_body, face_down_support, self_protection, targeted_removal	combat_body, face_down_support, self_protection, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Elephant Cleric	{1}{W}	2	W	W	Disguise		verify analyzer roles	https://scryfall.com/card/pmkm/35p/unyielding-gatekeeper?utm_source=api	Disguise {1}{W} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.) When this creature is turned face up, exile another target nonland permanent. If you controlled it, return it to the battlefield tapped. Otherwise, its controller creates a 2/2 white and blue Detective creature token.
pmkm	Murders at Karlov Manor Promos	2024-02-09	36p	Wojek Investigator	ab41243d-b178-4ebe-a7ac-bea37427be99	covered	card_draw, combat_body, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw, sacrifice_support, selection, targeted_removal, token_support	card_draw, combat_body, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw, sacrifice_support, selection, targeted_removal, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Angel Detective	{2}{W}	3	W	W	Flying, Investigate, Vigilance		verify analyzer roles	https://scryfall.com/card/pmkm/36p/wojek-investigator?utm_source=api	Flying, vigilance At the beginning of your upkeep, investigate once for each opponent who has more cards in hand than you. (To investigate, create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
pmkm	Murders at Karlov Manor Promos	2024-02-09	45p	Case of the Ransacked Lab	f85eea8f-5887-4921-a943-d15e0ad1e028	covered	card_draw, copy_support, cost_reduction, direct_draw, draw, ramp, repeatable_advantage, repeatable_draw, spellslinger	card_draw, copy_support, cost_reduction, direct_draw, draw, ramp, repeatable_advantage, repeatable_draw, spellslinger	false		Analyzer roles accepted during batch clean pass.	Enchantment — Case	{2}{U}	3	U	U	Solved		verify analyzer roles	https://scryfall.com/card/pmkm/45p/case-of-the-ransacked-lab?utm_source=api	Instant and sorcery spells you cast cost {1} less to cast. To solve — You've cast four or more instant and sorcery spells this turn. (If unsolved, solve at the beginning of your end step.) Solved — Whenever you cast an instant or sorcery spell, draw a card.
pmkm	Murders at Karlov Manor Promos	2024-02-09	47p	Conspiracy Unraveler	e4541d02-2860-46ef-b630-1d6307b60766	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Sphinx Detective	{5}{U}{U}	7	U	U	Flying, Collect evidence		verify analyzer roles	https://scryfall.com/card/pmkm/47p/conspiracy-unraveler?utm_source=api	Flying You may collect evidence 10 rather than pay the mana cost for spells you cast. (To collect evidence 10, exile cards with total mana value 10 or greater from your graveyard.)
pmkm	Murders at Karlov Manor Promos	2024-02-09	48p	Coveted Falcon	4c495e94-3194-47c7-8129-dd0a0f915daa	covered	card_draw, combat_body, combat_support, combat_threat, direct_draw, donation_support, draw, face_down_support, removal, repeatable_draw, tempo_removal, theft_support	card_draw, combat_body, combat_support, combat_threat, direct_draw, donation_support, draw, face_down_support, removal, repeatable_draw, tempo_removal, theft_support	false		Analyzer roles accepted during batch clean pass.	Artifact Creature — Bird	{1}{U}{U}	3	U	U	Flying, Disguise		verify analyzer roles	https://scryfall.com/card/pmkm/48p/coveted-falcon?utm_source=api	Flying Whenever this creature attacks, gain control of target permanent you own but don't control. Disguise {1}{U} When this creature is turned face up, target opponent gains control of any number of target permanents you control. Draw a card for each one they gained control of this way.
pmkm	Murders at Karlov Manor Promos	2024-02-09	50p	Cryptic Coat	73b8adea-1786-44fc-b190-bf240b07f5b6	covered	artifact_support, combat_support, face_down_support, self_protection	artifact_support, combat_support, face_down_support, self_protection	false		Analyzer roles accepted during batch clean pass.	Artifact — Equipment	{2}{U}	3	U	U	Cloak		verify analyzer roles	https://scryfall.com/card/pmkm/50p/cryptic-coat?utm_source=api	When this Equipment enters, cloak the top card of your library, then attach this Equipment to it. (To cloak a card, put it onto the battlefield face down as a 2/2 creature with ward {2}. Turn it face up any time for its mana cost if it's a creature card.) Equipped creature gets +1/+0 and can't be blocked. {1}{U}: Return this Equipment to its owner's hand.
