setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
dkm	Deckmasters	2001-12-01	1	Abyssal Specter	51833cff-6519-4806-8d91-0040e9a02189	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by Ice Age role audit.	Creature — Specter	{2}{B}{B}	4	B	B	Flying		already reviewed	https://scryfall.com/card/dkm/1/abyssal-specter?utm_source=api	Flying Whenever this creature deals damage to a player, that player discards a card.
dkm	Deckmasters	2001-12-01	2	Contagion	433e86ce-df04-4182-bb63-ad2607d67dbd	covered	counter_support, removal, targeted_removal	counter_support, removal, targeted_removal	false		Covered by Alliances role audit.	Instant	{3}{B}{B}	5	B	B			already reviewed	https://scryfall.com/card/dkm/2/contagion?utm_source=api	You may pay 1 life and exile a black card from your hand rather than pay this spell's mana cost. Distribute two -2/-1 counters among one or two target creatures.
dkm	Deckmasters	2001-12-01	3	Dark Banishing	0df450be-9bd2-45be-ae59-fa8d19f6a391	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by Ice Age role audit.	Instant	{2}{B}	3	B	B			already reviewed	https://scryfall.com/card/dkm/3/dark-banishing?utm_source=api	Destroy target nonblack creature. It can't be regenerated.
dkm	Deckmasters	2001-12-01	4	Dark Ritual	53f7c868-b03e-4fc2-8dcf-a75bbfa3272b	covered	burst_ramp, ramp	burst_ramp, ramp	false		Covered by Ice Age role audit.	Instant	{B}	1	B	B			already reviewed	https://scryfall.com/card/dkm/4/dark-ritual?utm_source=api	Add {B}{B}{B}.
dkm	Deckmasters	2001-12-01	5	Foul Familiar	90767f52-fa6d-4ef3-ae54-d8e3881971c1	covered	combat_body, combat_support	combat_body, combat_support	false		Covered by Ice Age role audit.	Creature — Spirit	{2}{B}	3	B	B			already reviewed	https://scryfall.com/card/dkm/5/foul-familiar?utm_source=api	This creature can't block. {B}, Pay 1 life: Return this creature to its owner's hand.
dkm	Deckmasters	2001-12-01	6a	Lim-Dûl's High Guard	b0873be6-0b77-4ca4-8c45-a1207b184771	covered	combat_body, combat_threat, protection, regeneration_protection, targeted_protection	combat_body, combat_threat, protection, regeneration_protection, targeted_protection	false		Covered by Alliances role audit.	Creature — Skeleton	{1}{B}{B}	3	B	B	First strike, Regenerate		already reviewed	https://scryfall.com/card/dkm/6a/lim-d%C3%BBls-high-guard?utm_source=api	First strike {1}{B}: Regenerate this creature.
dkm	Deckmasters	2001-12-01	7	Necropotence	94a844d2-0574-45a7-b347-e0e329767c42	covered	face_down_support, hate_piece, stax_piece	face_down_support, hate_piece, stax_piece	false		Covered by Ice Age role audit.	Enchantment	{B}{B}{B}	3	B	B			already reviewed	https://scryfall.com/card/dkm/7/necropotence?utm_source=api	Skip your draw step. Whenever you discard a card, exile that card from your graveyard. Pay 1 life: Exile the top card of your library face down. Put that card into your hand at the beginning of your next end step.
dkm	Deckmasters	2001-12-01	8a	Phantasmal Fiend	821ce349-5379-4415-89e2-224e21dda24b	covered	combat_body	combat_body	false		Covered by Alliances role audit.	Creature — Illusion	{3}{B}	4	B	BU			already reviewed	https://scryfall.com/card/dkm/8a/phantasmal-fiend?utm_source=api	{B}: This creature gets +1/-1 until end of turn. {1}{U}: Switch this creature's power and toughness until end of turn.
dkm	Deckmasters	2001-12-01	9	Soul Burn	063b0f5d-af27-4681-87b9-b553f6887061	covered	direct_finisher, finisher, lifegain, mana_sink, removal, scalable_spell, targeted_removal	direct_finisher, finisher, lifegain, mana_sink, removal, scalable_spell, targeted_removal	false		Covered by Ice Age role audit.	Sorcery	{X}{2}{B}	3	B	B			already reviewed	https://scryfall.com/card/dkm/9/soul-burn?utm_source=api	Spend only black and/or red mana on X. Soul Burn deals X damage to any target. You gain life equal to the damage dealt, but not more than the amount of {B} spent on X, the player's life total before the damage was dealt, the planeswalker's loyalty before the damage was dealt, or the creature's toughness.
dkm	Deckmasters	2001-12-01	10	Balduvian Horde	fd2a94d3-901d-4b46-aa9b-a30ed6dea6bd	covered	combat_body, sacrifice_support	combat_body	false		Covered by Alliances role audit.	Creature — Human Barbarian	{2}{R}{R}	4	R	R			already reviewed	https://scryfall.com/card/dkm/10/balduvian-horde?utm_source=api	When this creature enters, sacrifice it unless you discard a card at random.
dkm	Deckmasters	2001-12-01	11	Death Spark	4b23a89c-89ba-41ad-b894-ec02221689eb	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by Alliances role audit.	Instant	{R}	1	R	R			already reviewed	https://scryfall.com/card/dkm/11/death-spark?utm_source=api	Death Spark deals 1 damage to any target. At the beginning of your upkeep, if this card is in your graveyard with a creature card directly above it, you may pay {1}. If you do, return this card to your hand.
dkm	Deckmasters	2001-12-01	12	Goblin Mutant	540e1371-baa9-412f-a17a-22ea833ea3e8	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Covered by Ice Age role audit.	Creature — Goblin Mutant	{2}{R}{R}	4	R	R	Trample		already reviewed	https://scryfall.com/card/dkm/12/goblin-mutant?utm_source=api	Trample This creature can't attack if defending player controls an untapped creature with power 3 or greater. This creature can't block creatures with power 3 or greater.
dkm	Deckmasters	2001-12-01	13a	Guerrilla Tactics	65ad90f5-4dae-494b-83fb-8052e77e0b12	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by Alliances role audit.	Instant	{1}{R}	2	R	R			already reviewed	https://scryfall.com/card/dkm/13a/guerrilla-tactics?utm_source=api	Guerrilla Tactics deals 2 damage to any target. When a spell or ability an opponent controls causes you to discard this card, it deals 4 damage to any target.
dkm	Deckmasters	2001-12-01	14	Incinerate	d8fd7a34-8418-4e98-b79b-119c4348c667	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by Ice Age role audit.	Instant	{1}{R}	2	R	R			already reviewed	https://scryfall.com/card/dkm/14/incinerate?utm_source=api	Incinerate deals 3 damage to any target. A creature dealt damage this way can't be regenerated this turn.
dkm	Deckmasters	2001-12-01	15	Jokulhaups	7bdfe368-353c-4f8d-851f-05b7ea9f905d	covered	mass_removal, removal	mass_removal, removal	false		Covered by Ice Age role audit.	Sorcery	{4}{R}{R}	6	R	R			already reviewed	https://scryfall.com/card/dkm/15/jokulhaups?utm_source=api	Destroy all artifacts, creatures, and lands. They can't be regenerated.
dkm	Deckmasters	2001-12-01	16	Lava Burst	f7be3da5-55b2-46f2-a5aa-277dee242b94	covered	direct_finisher, finisher, mana_sink, removal, replacement_engine, scalable_spell, targeted_removal	direct_finisher, finisher, mana_sink, removal, replacement_engine, scalable_spell, targeted_removal	false		Covered by Ice Age role audit.	Sorcery	{X}{R}	1	R	R			already reviewed	https://scryfall.com/card/dkm/16/lava-burst?utm_source=api	Lava Burst deals X damage to any target. If Lava Burst would deal damage to a creature, that damage can't be prevented or dealt instead to another permanent or player.
dkm	Deckmasters	2001-12-01	17	Orcish Cannoneers	9ebf3eeb-1a1b-4b88-a760-887c2188d287	covered	combat_body, removal, targeted_removal	combat_body, removal, targeted_removal	false		Covered by Ice Age role audit.	Creature — Orc Warrior	{1}{R}{R}	3	R	R			already reviewed	https://scryfall.com/card/dkm/17/orcish-cannoneers?utm_source=api	{T}: This creature deals 2 damage to any target and 3 damage to you.
dkm	Deckmasters	2001-12-01	18	Pillage	0b137853-7cb9-424b-8285-12938991eafb	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by Alliances role audit.	Sorcery	{1}{R}{R}	3	R	R			already reviewed	https://scryfall.com/card/dkm/18/pillage?utm_source=api	Destroy target artifact or land. It can't be regenerated.
dkm	Deckmasters	2001-12-01	19	Pyroclasm	e4bcd4ea-e7cd-4471-8f3b-18bb51d3d70c	covered	mass_removal, removal	mass_removal, removal	false		Covered by Ice Age role audit.	Sorcery	{1}{R}	2	R	R			already reviewed	https://scryfall.com/card/dkm/19/pyroclasm?utm_source=api	Pyroclasm deals 2 damage to each creature.
dkm	Deckmasters	2001-12-01	20	Shatter	84d32e68-72b9-432d-a023-7bc6a26b8ad0	covered	removal, targeted_removal	removal, targeted_removal	false		Covered by Ice Age role audit.	Instant	{1}{R}	2	R	R			already reviewed	https://scryfall.com/card/dkm/20/shatter?utm_source=api	Destroy target artifact.
dkm	Deckmasters	2001-12-01	21a	Storm Shaman	65e07c0f-4eff-4b38-9785-63684d67c0d8	covered	combat_body, combat_support	combat_body, combat_support	false		Covered by Alliances role audit.	Creature — Human Cleric Shaman	{2}{R}	3	R	R			already reviewed	https://scryfall.com/card/dkm/21a/storm-shaman?utm_source=api	{R}: This creature gets +1/+0 until end of turn.
dkm	Deckmasters	2001-12-01	22	Balduvian Bears	32c10a3e-85b0-49af-9b23-81d0b7e407df	covered	combat_body	combat_body	false		Covered by Ice Age role audit.	Creature — Bear	{1}{G}	2	G	G			already reviewed	https://scryfall.com/card/dkm/22/balduvian-bears?utm_source=api	
dkm	Deckmasters	2001-12-01	23	Bounty of the Hunt	77a43c24-398f-42c6-a0d3-b28b33a0ce12	covered	counter_support	counter_support	false		Covered by Alliances role audit.	Instant	{3}{G}{G}	5	G	G			already reviewed	https://scryfall.com/card/dkm/23/bounty-of-the-hunt?utm_source=api	You may exile a green card from your hand rather than pay this spell's mana cost. Distribute three +1/+1 counters among one, two, or three target creatures. For each +1/+1 counter you put on a creature this way, remove a +1/+1 counter from that creature at the beginning of the next cleanup step.
dkm	Deckmasters	2001-12-01	24	Elvish Bard	094b778f-95a0-436f-a9d0-20a46a674486	covered	combat_body	combat_body	false		Covered by Alliances role audit.	Creature — Elf Shaman Bard	{3}{G}{G}	5	G	G			already reviewed	https://scryfall.com/card/dkm/24/elvish-bard?utm_source=api	All creatures able to block this creature do so.
dkm	Deckmasters	2001-12-01	25	Folk of the Pines	6cd8cf2a-972f-41b7-ab0c-b4953accc2fe	covered	combat_body, combat_support	combat_body, combat_support	false		Covered by Ice Age role audit.	Creature — Dryad	{4}{G}	5	G	G			already reviewed	https://scryfall.com/card/dkm/25/folk-of-the-pines?utm_source=api	{1}{G}: This creature gets +1/+0 until end of turn.
dkm	Deckmasters	2001-12-01	26	Fyndhorn Elves	df317532-7d36-40fd-938f-e972749c8792	covered	combat_body, ramp, stable_ramp	combat_body, ramp, stable_ramp	false		Covered by Ice Age role audit.	Creature — Elf Druid	{G}	1	G	G			already reviewed	https://scryfall.com/card/dkm/26/fyndhorn-elves?utm_source=api	{T}: Add {G}.
dkm	Deckmasters	2001-12-01	27	Giant Growth	5748ebf1-24e3-499d-ab7c-c2cebd462a24	covered	combat_support	combat_support	false		Covered by Ice Age role audit.	Instant	{G}	1	G	G			already reviewed	https://scryfall.com/card/dkm/27/giant-growth?utm_source=api	Target creature gets +3/+3 until end of turn.
