setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
cns	Conspiracy	2014-06-06	1	Advantageous Proclamation	86373537-7424-416a-8d89-cc38f6538458	covered	face_down_support	face_down_support	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0					verify analyzer roles	https://scryfall.com/card/cns/1/advantageous-proclamation?utm_source=api	(Start the game with this conspiracy face up in the command zone.) Your minimum deck size is reduced by five.
cns	Conspiracy	2014-06-06	2	Backup Plan	6f14f61f-e533-4541-b861-4dbaf0d88833	covered	card_draw, direct_draw, draw, face_down_support	card_draw, direct_draw, draw, face_down_support	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0					verify analyzer roles	https://scryfall.com/card/cns/2/backup-plan?utm_source=api	(Start the game with this conspiracy face up in the command zone.) Draw an additional hand of seven cards as the game begins. Before taking mulligans, shuffle all but one of your hands into your library.
cns	Conspiracy	2014-06-06	3	Brago's Favor	395b312b-8fe6-4c28-b91d-620b5fcb9e6d	covered	cost_reduction, face_down_support	cost_reduction, face_down_support	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0			Hidden agenda		verify analyzer roles	https://scryfall.com/card/cns/3/bragos-favor?utm_source=api	Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.) Spells with the chosen name you cast cost {1} less to cast.
cns	Conspiracy	2014-06-06	4	Double Stroke	e25ab152-e166-44df-8f92-668bab0e9619	covered	copy_support, face_down_support, spellslinger	copy_support, face_down_support, spellslinger	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0			Hidden agenda		verify analyzer roles	https://scryfall.com/card/cns/4/double-stroke?utm_source=api	Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.) Whenever you cast an instant or sorcery spell with the chosen name, you may copy it. You may choose new targets for the copy.
cns	Conspiracy	2014-06-06	5	Immediate Action	5a9c1c2d-d4d7-4df3-a853-f1b81c67b3e3	covered	combat_support, face_down_support	combat_support, face_down_support	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0			Hidden agenda		verify analyzer roles	https://scryfall.com/card/cns/5/immediate-action?utm_source=api	Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.) Creatures you control with the chosen name have haste.
cns	Conspiracy	2014-06-06	6	Iterative Analysis	79172853-240c-4924-8b20-edf469946df4	covered	card_draw, copy_support, direct_draw, draw, face_down_support, spellslinger	card_draw, copy_support, direct_draw, draw, face_down_support, spellslinger	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0			Hidden agenda		verify analyzer roles	https://scryfall.com/card/cns/6/iterative-analysis?utm_source=api	Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.) Whenever you cast an instant or sorcery spell with the chosen name, you may draw a card.
cns	Conspiracy	2014-06-06	7	Muzzio's Preparations	0e505699-8388-4862-93e0-059cef91cdd4	covered	counter_support, face_down_support	counter_support, face_down_support	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0			Hidden agenda		verify analyzer roles	https://scryfall.com/card/cns/7/muzzios-preparations?utm_source=api	Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.) Each creature you control with the chosen name enters with an additional +1/+1 counter on it.
cns	Conspiracy	2014-06-06	8	Power Play	15710c57-369a-442b-b7ea-175f3d9d164d	covered	face_down_support	face_down_support	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0					verify analyzer roles	https://scryfall.com/card/cns/8/power-play?utm_source=api	(Start the game with this conspiracy face up in the command zone.) You are the starting player. If multiple players would be the starting player, one of those players is chosen at random.
cns	Conspiracy	2014-06-06	9	Secret Summoning	1342ee23-c3a0-4578-833a-e30a9fc9141c	covered	direct_tutor, face_down_support, tutor	direct_tutor, face_down_support, tutor	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0			Hidden agenda		verify analyzer roles	https://scryfall.com/card/cns/9/secret-summoning?utm_source=api	Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.) Whenever a creature you control with the chosen name enters, you may search your library for any number of cards with that name, reveal them, put them into your hand, then shuffle.
cns	Conspiracy	2014-06-06	10	Secrets of Paradise	f309fe9f-0732-4b81-a342-a394225cbbb1	covered	face_down_support, mana_fixing	face_down_support, mana_fixing	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0			Hidden agenda		verify analyzer roles	https://scryfall.com/card/cns/10/secrets-of-paradise?utm_source=api	Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.) Creatures you control with the chosen name have "{T}: Add one mana of any color."
cns	Conspiracy	2014-06-06	11	Sentinel Dispatch	7df49476-7b6c-4b5d-bede-463a7d2e0a58	covered	face_down_support, token_support	face_down_support, token_support	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0					verify analyzer roles	https://scryfall.com/card/cns/11/sentinel-dispatch?utm_source=api	(Start the game with this conspiracy face up in the command zone.) At the beginning of the first upkeep, create a 1/1 colorless Construct artifact creature token with defender.
cns	Conspiracy	2014-06-06	12	Unexpected Potential	1acbbf61-edf7-4f67-968b-6832c2dd54d1	covered	face_down_support, replacement_engine	face_down_support, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0			Hidden agenda		verify analyzer roles	https://scryfall.com/card/cns/12/unexpected-potential?utm_source=api	Hidden agenda (Start the game with this conspiracy face down in the command zone and secretly choose a card name. You may turn this conspiracy face up any time and reveal that name.) You may spend mana as though it were mana of any color to cast spells with the chosen name.
cns	Conspiracy	2014-06-06	13	Worldknit	652f6d90-b158-4f9b-a15e-3e677905331d	covered	face_down_support, mana_fixing	face_down_support, mana_fixing	false		Analyzer roles accepted during batch clean pass.	Conspiracy		0					verify analyzer roles	https://scryfall.com/card/cns/13/worldknit?utm_source=api	(Start the game with this conspiracy face up in the command zone.) As long as every card in your card pool started the game in your library or in the command zone, lands you control have "{T}: Add one mana of any color."
cns	Conspiracy	2014-06-06	14	Brago's Representative	8877b896-8458-4828-9ff6-9e0ecc180cf7	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Creature — Human Advisor	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/cns/14/bragos-representative?utm_source=api	While voting, you get an additional vote. (The votes can be for different choices or for the same choice.)
cns	Conspiracy	2014-06-06	15	Council Guardian	4f212675-e34d-4387-a125-e17b25757083	covered	combat_body, self_protection	combat_body, self_protection	false		Analyzer roles accepted during batch clean pass.	Creature — Giant Soldier	{5}{W}	6	W	W	Will of the council		verify analyzer roles	https://scryfall.com/card/cns/15/council-guardian?utm_source=api	Will of the council — When this creature enters, starting with you, each player votes for blue, black, red, or green. This creature gains protection from each color with the most votes or tied for most votes.
cns	Conspiracy	2014-06-06	16	Council's Judgment	acf4d685-a718-42f7-9a7a-dee069ae8db2	covered		mass_removal, removal	false		Covered by PRM role audit.	Sorcery	{1}{W}{W}	3	W	W	Will of the council		already reviewed	https://scryfall.com/card/cns/16/councils-judgment?utm_source=api	Will of the council — Starting with you, each player votes for a nonland permanent you don't control. Exile each permanent with the most votes or tied for most votes.
cns	Conspiracy	2014-06-06	17	Custodi Soulbinders	c7a8daff-9913-4970-8765-52ba9d9d01db	covered	combat_body, combat_support, counter_support, scalable_spell, token_support	combat_body, combat_support, counter_support, scalable_spell, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Cleric	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/cns/17/custodi-soulbinders?utm_source=api	This creature enters with X +1/+1 counters on it, where X is the number of other creatures on the battlefield. {2}{W}, Remove a +1/+1 counter from this creature: Create a 1/1 white Spirit creature token with flying.
cns	Conspiracy	2014-06-06	18	Custodi Squire	07c7193e-f591-4aee-a3cc-3a2c52a38f9b	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Spirit Cleric	{4}{W}	5	W	W	Flying, Will of the council		verify analyzer roles	https://scryfall.com/card/cns/18/custodi-squire?utm_source=api	Flying Will of the council — When this creature enters, starting with you, each player votes for an artifact, creature, or enchantment card in your graveyard. Return each card with the most votes or tied for most votes to your hand.
cns	Conspiracy	2014-06-06	19	Rousing of Souls	e5e42293-ce01-4872-be2a-a79ff4312992	covered	card_draw, token_support	card_draw, token_support	false		Analyzer roles accepted during batch clean pass.	Sorcery	{2}{W}	3	W	W	Parley		verify analyzer roles	https://scryfall.com/card/cns/19/rousing-of-souls?utm_source=api	Parley — Each player reveals the top card of their library. For each nonland card revealed this way, you create a 1/1 white Spirit creature token with flying. Then each player draws a card.
cns	Conspiracy	2014-06-06	20	Academy Elite	ba6c3c72-c014-45c6-a0b4-59eb9a65303e	covered	card_draw, card_selection, combat_body, combat_support, counter_support, direct_draw, draw, repeatable_advantage, scalable_spell, selection	card_draw, card_selection, combat_body, combat_support, counter_support, direct_draw, draw, repeatable_advantage, scalable_spell, selection	false		Analyzer roles accepted during batch clean pass.	Creature — Human Wizard	{3}{U}	4	U	U			verify analyzer roles	https://scryfall.com/card/cns/20/academy-elite?utm_source=api	This creature enters with X +1/+1 counters on it, where X is the number of instant and sorcery cards in all graveyards. {2}{U}, Remove a +1/+1 counter from this creature: Draw a card, then discard a card.
