setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tdc	Tarkir: Dragonstorm Commander	2025-04-11	1	Betor, Ancestor's Voice	990b5e12-6e04-4832-9d64-87278f12cbda			battlefield_recursion, card_selection, combat_body, combat_threat, counter_support, lifegain, recursion, repeatable_advantage				Legendary Creature — Spirit Dragon	{2}{W}{B}{G}	5	BGW	BGW	Flying, Lifelink		verify analyzer roles	https://scryfall.com/card/tdc/1/betor-ancestors-voice?utm_source=api	Flying, lifelink At the beginning of your end step, put a number of +1/+1 counters on up to one other target creature you control equal to the amount of life you gained this turn. Return up to one target creature card with mana value less than or equal to the amount of life you lost this turn from your graveyard to the battlefield.
tdc	Tarkir: Dragonstorm Commander	2025-04-11	2	Elsha, Threefold Master	d8ccbd72-6429-43cb-a0a9-ab56e97a2d53			combat_body, combat_support, combat_threat, token_support				Legendary Creature — Djinn Monk	{U}{R}{W}	3	RUW	RUW	Prowess, Trample		verify analyzer roles	https://scryfall.com/card/tdc/2/elsha-threefold-master?utm_source=api	Trample Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) Whenever Elsha deals combat damage to a player, create that many 1/1 white Monk creature tokens with prowess.
tdc	Tarkir: Dragonstorm Commander	2025-04-11	3	Eshki, Temur's Roar	1b162dd3-3be6-406d-bf86-f7cc9eff098d			card_draw, combat_body, counter_support, direct_draw, draw, repeatable_advantage, repeatable_draw				Legendary Creature — Human Warrior	{G}{U}{R}	3	GRU	GRU			verify analyzer roles	https://scryfall.com/card/tdc/3/eshki-temurs-roar?utm_source=api	Whenever you cast a creature spell, put a +1/+1 counter on Eshki. If that spell's power is 4 or greater, draw a card. If that spell's power is 6 or greater, Eshki deals damage equal to Eshki's power to each opponent.
tdc	Tarkir: Dragonstorm Commander	2025-04-11	4	Felothar the Steadfast	2b3f791a-d672-46fb-a03a-96e19f2c3121			card_draw, combat_body, combat_support, direct_draw, draw, repeatable_advantage, replacement_engine, sacrifice_support, selection				Legendary Creature — Human Warrior	{1}{W}{B}{G}	4	BGW	BGW			verify analyzer roles	https://scryfall.com/card/tdc/4/felothar-the-steadfast?utm_source=api	Each creature you control assigns combat damage equal to its toughness rather than its power. Creatures you control can attack as though they didn't have defender. {3}, {T}, Sacrifice another creature: Draw cards equal to the sacrificed creature's toughness, then discard cards equal to its power.
tdc	Tarkir: Dragonstorm Commander	2025-04-11	5	Kotis, Sibsig Champion	0177b410-b559-491f-b393-ac3ed774653c			card_selection, combat_body, counter_support, recursion, repeatable_advantage, repeatable_draw, replay_recursion, selection				Legendary Creature — Zombie Warrior	{B}{G}{U}	3	BGU	BGU			verify analyzer roles	https://scryfall.com/card/tdc/5/kotis-sibsig-champion?utm_source=api	Once during each of your turns, you may cast a creature spell from your graveyard by exiling three other cards from your graveyard in addition to paying its other costs. Whenever one or more creatures you control enter, if one or more of them entered from a graveyard or was cast from a graveyard, put two +1/+1 counters on Kotis.
tdc	Tarkir: Dragonstorm Commander	2025-04-11	6	Neriv, Crackling Vanguard	c8f827d7-4740-43c8-b494-c9e0479e0bf7			combat_body, combat_support, combat_threat, token_support				Legendary Creature — Spirit Dragon	{2}{R}{W}{B}	5	BRW	BRW	Deathtouch, Flying		verify analyzer roles	https://scryfall.com/card/tdc/6/neriv-crackling-vanguard?utm_source=api	Flying, deathtouch When Neriv enters, create two 1/1 red Goblin creature tokens. Whenever Neriv attacks, exile a number of cards from the top of your library equal to the number of differently named tokens you control. During any turn you attacked with a commander, you may play those cards.
tdc	Tarkir: Dragonstorm Commander	2025-04-11	7	Shiko and Narset, Unified	40ed32a6-ad56-48c7-aecf-b4238c34c212			card_draw, combat_body, combat_threat, copy_support, direct_draw, draw, repeatable_advantage, repeatable_draw				Legendary Creature — Human Spirit Dragon	{1}{U}{R}{W}	4	RUW	RUW	Flying, Flurry, Vigilance		verify analyzer roles	https://scryfall.com/card/tdc/7/shiko-and-narset-unified?utm_source=api	Flying, vigilance Flurry — Whenever you cast your second spell each turn, copy that spell if it targets a permanent or player, and you may choose new targets for the copy. If you don't copy a spell this way, draw a card.
tdc	Tarkir: Dragonstorm Commander	2025-04-11	8	Teval, the Balanced Scale	c8cbf0ec-ec98-4cb3-8068-60e92bbd740d			battlefield_recursion, card_selection, combat_body, combat_support, combat_threat, mill_support, repeatable_advantage, token_support				Legendary Creature — Spirit Dragon	{1}{B}{G}{U}	4	BGU	BGU	Flying, Mill		verify analyzer roles	https://scryfall.com/card/tdc/8/teval-the-balanced-scale?utm_source=api	Flying Whenever Teval attacks, mill three cards. Then you may return a land card from your graveyard to the battlefield tapped. Whenever one or more cards leave your graveyard, create a 2/2 black Zombie Druid creature token.
tdc	Tarkir: Dragonstorm Commander	2025-04-11	9	Ureni of the Unwritten	99c2d3ef-e5b4-48cd-b3f5-de9b02c7c36a			card_selection, combat_body, combat_support, combat_threat, cost_reduction, draw, ramp, repeatable_advantage, repeatable_tutor, restricted_tutor, selection, tutor				Legendary Creature — Spirit Dragon	{4}{G}{U}{R}	7	GRU	GRU	Flying, Trample		verify analyzer roles	https://scryfall.com/card/tdc/9/ureni-of-the-unwritten?utm_source=api	Flying, trample Whenever Ureni enters or attacks, look at the top eight cards of your library. You may put a Dragon creature card from among them onto the battlefield. Put the rest on the bottom of your library in a random order.
tdc	Tarkir: Dragonstorm Commander	2025-04-11	10	Zurgo Stormrender	0f93d88c-9d2e-416d-a10b-99483360b1fb			card_draw, combat_body, combat_support, direct_draw, direct_finisher, draw, finisher, repeatable_advantage, repeatable_draw, repeatable_finisher, sacrifice_support, token_support				Legendary Creature — Orc Warrior	{R}{W}{B}	3	BRW	BRW	Mobilize		verify analyzer roles	https://scryfall.com/card/tdc/10/zurgo-stormrender?utm_source=api	Mobilize 1 (Whenever this creature attacks, create a tapped and attacking 1/1 red Warrior creature token. Sacrifice it at the beginning of the next end step.) Whenever a creature token you control leaves the battlefield, draw a card if it was attacking. Otherwise, each opponent loses 1 life.
