setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
slx	Universes Within	2022-03-03	1	Arvinox, the Mind Flail	9abecd23-a2d9-43c7-8d01-f8afdc53026e	covered	card_selection, combat_body, face_down_support, replacement_engine	card_selection, combat_body, face_down_support, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Legendary Enchantment Creature — Horror	{4}{B}{B}{B}	7	B	B			verify analyzer roles	https://scryfall.com/card/slx/1/arvinox-the-mind-flail?utm_source=api	Arvinox isn't a creature unless you control three or more permanents you don't own. At the beginning of your end step, exile the bottom card of each opponent's library face down. For as long as those cards remain exiled, you may look at them, you may cast permanent spells from among them, and you may spend mana as though it were mana of any color to cast those spells.
slx	Universes Within	2022-03-03	2	Bjorna, Nightfall Alchemist	c880fbdc-bdd9-4f80-81d4-e3e1124f76ca	covered	combat_body, combat_support, removal, sacrifice_support, targeted_removal	combat_body, combat_support, removal, sacrifice_support, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human	{U}{R}	2	RU	RU	Goad, Partner		verify analyzer roles	https://scryfall.com/card/slx/2/bjorna-nightfall-alchemist?utm_source=api	{T}, Sacrifice an artifact: Bjorna, Nightfall Alchemist deals 1 damage to target creature. Goad that creature. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.) Partner—Friends forever (You can have two commanders if both have this ability.)
slx	Universes Within	2022-03-03	3	Cecily, Haunted Mage	a726c27d-2955-4d41-b8a6-fca654c020a2	covered	card_draw, combat_body, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw	card_draw, combat_body, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Wizard	{1}{U}{B}{R}	4	BRU	BRU	Partner		verify analyzer roles	https://scryfall.com/card/slx/3/cecily-haunted-mage?utm_source=api	Your maximum hand size is eleven. Whenever Cecily, Haunted Mage attacks, you draw a card and you lose 1 life. Then if you have eleven or more cards in your hand, you may cast an instant or sorcery spell from your hand without paying its mana cost. Partner—Friends forever (You can have two commanders if both have this ability.)
slx	Universes Within	2022-03-03	4	Elmar, Ulvenwald Informant	5a35201d-e9b1-433a-bb70-3280ceedbcd6	covered	card_draw, combat_body, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw, sacrifice_support, selection, tap_untap, tempo_support, token_support	card_draw, combat_body, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw, sacrifice_support, selection, tap_untap, tempo_support, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human	{1}{R}{G}	3	GR	GR	Investigate, Haste, Partner		verify analyzer roles	https://scryfall.com/card/slx/4/elmar-ulvenwald-informant?utm_source=api	Haste Whenever you cast your second spell each turn, untap target creature, then investigate. (Create a colorless Clue artifact token with "{2}, Sacrifice this artifact: Draw a card.") Partner—Friends forever (You can have two commanders if both have this ability.)
slx	Universes Within	2022-03-03	5	Hargilde, Kindly Runechanter	747009e7-da07-48c7-b838-687f19b884ea	covered	combat_body, ramp, stable_ramp	combat_body, ramp, stable_ramp	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human	{2}{W}{U}	4	UW	UW	Partner		verify analyzer roles	https://scryfall.com/card/slx/5/hargilde-kindly-runechanter?utm_source=api	{T}: Add {C}{C}. Spend this mana only to cast artifact spells or activate abilities of artifacts. Partner—Friends forever (You can have two commanders if both have this ability.)
slx	Universes Within	2022-03-03	6	Othelm, Sigardian Outcast	4ee401bf-dc86-41a9-84f9-57aa0a314d08	covered	card_selection, combat_body	card_selection, combat_body	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human	{1}{G}{W}	3	GW	GW	Partner		verify analyzer roles	https://scryfall.com/card/slx/6/othelm-sigardian-outcast?utm_source=api	{2}, {T}: Choose target creature card in your graveyard that was put there from the battlefield this turn. Return it to the battlefield tapped. Partner—Friends forever (You can have two commanders if both have this ability.)
slx	Universes Within	2022-03-03	7	Sophina, Spearsage Deserter	095dabda-4570-4764-8d62-4a29eb19d3e6	covered	card_draw, combat_body, combat_support, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw, sacrifice_support, selection, token_support	card_draw, combat_body, combat_support, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw, sacrifice_support, selection, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Soldier	{2}{R}{W}	4	RW	RW	Investigate, Partner, Menace		verify analyzer roles	https://scryfall.com/card/slx/7/sophina-spearsage-deserter?utm_source=api	Menace Whenever Sophina, Spearsage Deserter attacks, investigate once for each nontoken attacking creature. (To investigate, create a Clue token. It's an artifact with "{2}, Sacrifice this artifact: Draw a card.") Partner—Friends forever (You can have two commanders if both have this ability.)
slx	Universes Within	2022-03-03	8	Wernog, Rider's Chaplain	6cd03270-54cc-43e1-9b86-70c76960c841	covered	card_draw, combat_body, draw, scalable_spell, selection	card_draw, combat_body, draw, scalable_spell, selection	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human	{W}{B}	2	BW	BW	Investigate, Partner		verify analyzer roles	https://scryfall.com/card/slx/8/wernog-riders-chaplain?utm_source=api	When Wernog, Rider's Chaplain enters or leaves the battlefield, each opponent may investigate. Each opponent who doesn't loses 1 life. You investigate X times, where X is one plus the number of opponents who investigated this way. Partner—Friends forever (You can have two commanders if both have this ability.)
slx	Universes Within	2022-03-03	9	Havengul Laboratory // Havengul Mystery	e71ac446-02a4-4468-8d29-f28b21617665	covered	battlefield_recursion, card_draw, card_selection, direct_draw, draw, land_base, land_slot, mana_source, recursion, repeatable_advantage, repeatable_draw, sacrifice_support, selection, token_support	battlefield_recursion, card_draw, card_selection, direct_draw, draw, land_base, land_slot, mana_source, recursion, repeatable_advantage, repeatable_draw, sacrifice_support, selection, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Land // Legendary Land		0		B	Investigate, Transform		verify analyzer roles	https://scryfall.com/card/slx/9/havengul-laboratory-havengul-mystery?utm_source=api	Havengul Laboratory: {T}: Add {C}. {4}, {T}: Investigate. (Create a colorless Clue artifact token with "{2}, Sacrifice this artifact: Draw a card.") At the beginning of your end step, if you sacrificed three or more Clues this turn, transform Havengul Laboratory. // Havengul Mystery: When this land transforms into Havengul Mystery, return target creature card from your graveyard to the battlefield. When the creature put onto the battlefield with Havengul Mystery leaves the battlefield, transform Havengul Mystery. {T}, Pay 1 life: Add {B}.
slx	Universes Within	2022-03-03	10	Baldin, Century Herdmaster	14493624-fdc7-4630-9b1e-f35668651108	covered	combat_body, combat_support, scalable_spell	combat_body, combat_support, scalable_spell	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Warrior	{4}{W}{W}	6	W	W			verify analyzer roles	https://scryfall.com/card/slx/10/baldin-century-herdmaster?utm_source=api	During your turn, each creature assigns combat damage equal to its toughness rather than its power. Whenever Baldin attacks, up to one hundred target creatures each get +0/+X until end of turn, where X is the number of cards in your hand.
slx	Universes Within	2022-03-03	11	Vikya, Scorching Stalwart	ad43ccce-3052-4817-8c46-f5c23cb49300	covered	card_draw, combat_body, combat_support, counter_support, direct_draw, direct_finisher, draw, finisher, removal, repeatable_draw, targeted_removal	card_draw, combat_body, combat_support, counter_support, direct_draw, direct_finisher, draw, finisher, removal, repeatable_draw, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Warrior	{2}{W}	3	W	RW	Training		verify analyzer roles	https://scryfall.com/card/slx/11/vikya-scorching-stalwart?utm_source=api	Training (Whenever this creature attacks with another creature with greater power, put a +1/+1 counter on this creature.) {4}{R}, {Q}, Discard a card: Vikya, Scorching Stalwart deals damage equal to its power to any target. If excess damage was dealt to a creature this way, draw a card. ({Q} is the untap symbol.)
slx	Universes Within	2022-03-03	12	Aisha of Sparks and Smoke	eae3e762-dacd-4bd2-923c-3abb5ceb729a	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Warrior	{1}{R}{R}	3	R	RW	Prowess		verify analyzer roles	https://scryfall.com/card/slx/12/aisha-of-sparks-and-smoke?utm_source=api	Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.) {R/W}: Aisha of Sparks and Smoke gains first strike until end of turn. Whenever Aisha deals combat damage, you may cast a sorcery spell from your hand with mana value less than or equal to that damage without paying its mana cost.
slx	Universes Within	2022-03-03	13	The Howling Abomination	4a67946e-8903-4994-9641-d31fbb62082c	covered	combat_body, combat_support, combat_threat, direct_finisher, finisher, repeatable_finisher	combat_body, combat_support, combat_threat, direct_finisher, finisher, repeatable_finisher	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Beast Warrior	{3}{R}{G}	5	GR	GR	Haste		verify analyzer roles	https://scryfall.com/card/slx/13/the-howling-abomination?utm_source=api	Haste The Howling Abomination has trample as long as you've cast three or more spells this turn. Whenever The Howling Abomination becomes the target of a spell, it gets +2/+2 until end of turn and deals 2 damage to each opponent.
slx	Universes Within	2022-03-03	14	Immard, the Stormcleaver	104f65d3-bedb-4dc5-a5dd-8ab9fe796af4	covered	combat_body, combat_support, counter_support, lifegain, removal, self_protection, targeted_removal	combat_body, combat_support, counter_support, lifegain, removal, self_protection, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Soldier	{1}{U}{R}{W}	4	RUW	RUW			verify analyzer roles	https://scryfall.com/card/slx/14/immard-the-stormcleaver?utm_source=api	Whenever Immard, the Stormcleaver enters or attacks, put a charge counter on it or remove one from it. When you remove a counter this way, choose one — • Immard deals 4 damage to any target. • Immard gains lifelink and indestructible until end of turn.
slx	Universes Within	2022-03-03	15	Maarika, Brutal Gladiator	a46f9f5c-775c-470d-8935-9556e1bbb23d	covered	combat_body, self_protection	combat_body, self_protection	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Warrior	{2}{B}{R}{G}	5	BGR	BGR			verify analyzer roles	https://scryfall.com/card/slx/15/maarika-brutal-gladiator?utm_source=api	Maarika, Brutal Gladiator must be blocked if able. As long as it's your turn, Maarika has indestructible. Whenever Maarika deals damage to a creature, if that creature was dealt excess damage this turn, that creature's controller sacrifices a noncreature, nonland permanent.
slx	Universes Within	2022-03-03	16	Tadeas, Juniper Ascendant	b4b5b928-8b98-4f65-9f15-212859874fe4	covered	card_draw, combat_body, combat_support, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw, self_protection	card_draw, combat_body, combat_support, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw, self_protection	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Monk	{2}{G}{W}	4	GW	GW	Reach		verify analyzer roles	https://scryfall.com/card/slx/16/tadeas-juniper-ascendant?utm_source=api	Reach Tadeas has hexproof unless it's attacking. Whenever a creature you control with reach attacks, untap it and it can't be blocked by creatures with greater power this combat. Whenever one or more creatures you control deal combat damage to a player, draw a card.
slx	Universes Within	2022-03-03	17	Zethi, Arcane Blademaster	ac136d46-32b7-4222-a840-b8be011c1872	covered	card_selection, combat_body, combat_support, counter_support, scalable_spell	card_selection, combat_body, combat_support, counter_support, scalable_spell	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Soldier	{1}{W}{U}	3	UW	UW	Multikicker		verify analyzer roles	https://scryfall.com/card/slx/17/zethi-arcane-blademaster?utm_source=api	Multikicker {W/U} When Zethi, Arcane Blademaster enters, exile up to X target instant cards from your graveyard, where X is the number of times Zethi was kicked. Put a kick counter on each of them. Whenever Zethi attacks, copy each exiled card you own with a kick counter on it. You may cast the copies.
slx	Universes Within	2022-03-03	18	Greymond, Avacyn's Stalwart	739a5220-50cd-4148-be58-1bbdeef2954e	covered	combat_body, combat_support, lifegain	combat_body, combat_support, lifegain	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Soldier	{2}{W}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/slx/18/greymond-avacyns-stalwart?utm_source=api	As Greymond, Avacyn's Stalwart enters, choose two abilities from among first strike, vigilance, and lifelink. Humans you control have each of the chosen abilities. As long as you control four or more Humans, Humans you control get +2/+2.
slx	Universes Within	2022-03-03	19	Gisa's Favorite Shovel	9c298c7b-9c63-4a66-a0fc-977491b623c7	covered	artifact_support, combat_support, token_support	artifact_support, combat_support, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Artifact — Equipment	{1}{B}	2	B	B	Equip		verify analyzer roles	https://scryfall.com/card/slx/19/gisas-favorite-shovel?utm_source=api	Equipped creature gets +2/+0 and has menace. Whenever equipped creature attacks, defending player sacrifices a creature of their choice. If they do, you create a Walker token. Equip {4}
slx	Universes Within	2022-03-03	20	Enkira, Hostile Scavenger	558fd7a9-9b39-4c82-b909-5febf55dc010	covered	combat_body, combat_support, self_protection, token_support	combat_body, combat_support, self_protection, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Warrior	{3}{B}{G}	5	BG	BG			verify analyzer roles	https://scryfall.com/card/slx/20/enkira-hostile-scavenger?utm_source=api	When Enkira, Hostile Scavenger enters, create two Walker tokens. (They're 2/2 black Zombie creatures.) As long as Enkira is equipped, it must be blocked if able. Whenever Enkira and at least two Zombies attack, Enkira gains indestructible until end of turn.
slx	Universes Within	2022-03-03	21	Gregor, Shrewd Magistrate	0b64da77-ca1c-427b-b48b-b919f0fe08e9	covered	card_draw, combat_body, combat_support, combat_threat, direct_draw, draw, repeatable_advantage	card_draw, combat_body, combat_support, combat_threat, direct_draw, draw, repeatable_advantage	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Advisor	{1}{W}{U}	3	UW	UW	Skulk		verify analyzer roles	https://scryfall.com/card/slx/21/gregor-shrewd-magistrate?utm_source=api	Skulk (This creature can't be blocked by creatures with greater power.) Whenever Gregor, Shrewd Magistrate deals combat damage to a player, draw cards equal to its power.
slx	Universes Within	2022-03-03	22	Hansk, Slayer Zealot	d818f863-17ee-4387-94bf-d7e6e8ab590c	covered	card_draw, combat_body, direct_draw, donation_support, draw, removal, repeatable_advantage, repeatable_draw, sacrifice_support, targeted_removal	card_draw, combat_body, direct_draw, donation_support, draw, removal, repeatable_advantage, repeatable_draw, sacrifice_support, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Archer	{2}{R}{G}	4	GR	GR			verify analyzer roles	https://scryfall.com/card/slx/22/hansk-slayer-zealot?utm_source=api	At the beginning of your upkeep, target opponent creates three Walker tokens. (They're 2/2 black Zombie creatures.) {T}: Hansk, Slayer Zealot deals 2 damage to target creature. Whenever a Zombie an opponent controls dies, draw a card.
slx	Universes Within	2022-03-03	23	Malik, Grim Manipulator	416608a1-89a4-44ce-8fd0-fab6b023d3d4	covered	burst_ramp, combat_body, mana_fixing, ramp, targeted_removal, token_support	burst_ramp, combat_body, mana_fixing, ramp, targeted_removal, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Rogue	{2}{R}{W}{B}	5	BRW	BRW	Treasure		verify analyzer roles	https://scryfall.com/card/slx/23/malik-grim-manipulator?utm_source=api	When Malik, Grim Manipulator enters, you and target opponent each secretly choose a creature that player controls. Then those choices are revealed, and that player sacrifices those creatures. Whenever an opponent sacrifices a creature, you create a Treasure token.
slx	Universes Within	2022-03-03	24	Rashel, Fist of Torm	c0c39f80-cf12-482e-a7c4-757db85125b0	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Knight	{2}{W}{W}	4	W	W	Double strike		verify analyzer roles	https://scryfall.com/card/slx/24/rashel-fist-of-torm?utm_source=api	Double strike Auras you control have exalted. (Whenever a creature you control attacks alone, it gets +1/+1 until end of turn for each instance of exalted among permanents you control.)
