setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ysnc	Alchemy: New Capenna	2022-06-02	1	Celestial Vault	2ec81b8c-5b9b-4fa6-8bcb-122624b444a3	covered	face_down_support, sacrifice_support	face_down_support, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Artifact	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/ysnc/1/celestial-vault?utm_source=api	{W}, {T}: Draft a card from Celestial Vault's spellbook and exile it face down. {1}, Sacrifice Celestial Vault: Put each card exiled with Celestial Vault into your hand.
ysnc	Alchemy: New Capenna	2022-06-02	2	Herald of Vengeance	c1b840a4-4774-45ab-9aab-13bdfb461e07	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Angel	{3}{W}{W}	5	W	W	Flying		verify analyzer roles	https://scryfall.com/card/ysnc/2/herald-of-vengeance?utm_source=api	Flying When Herald of Vengeance enters the battlefield, destroy each permanent you don't control that has the same name as a permanent that dealt damage to you last turn.
ysnc	Alchemy: New Capenna	2022-06-02	3	Skyline Savior	7a10f50a-69dc-48a6-96c0-da4172eb8b81	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Angel	{1}{W}{W}	3	W	W	Flying		verify analyzer roles	https://scryfall.com/card/ysnc/3/skyline-savior?utm_source=api	Flying When this creature enters, return a permanent you control to its owner's hand. If it's a non-Angel creature card, it perpetually gets +1/+1, gains flying, and becomes an Angel in addition to its other types.
ysnc	Alchemy: New Capenna	2022-06-02	4	Agent of Raffine	0fc93bc8-b3d4-4161-b6a8-385fac1525b4	covered	combat_body, face_down_support, replacement_engine	combat_body, face_down_support, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Creature — Human Rogue	{U}	1	U	U	Conjure		verify analyzer roles	https://scryfall.com/card/ysnc/4/agent-of-raffine?utm_source=api	{2}, {T}: Choose target opponent. Conjure a duplicate of the top card of their library into your hand. It perpetually gains "You may spend mana as though it were mana of any color to cast this spell." Then they exile the top card of their library face down.
ysnc	Alchemy: New Capenna	2022-06-02	5	Choice of Fortunes	467bb850-d9c1-40d7-8a2a-40b62f8fde34	covered	hand_size	hand_size	false		Analyzer roles accepted during batch clean pass.	Sorcery	{2}{U}	3	U	U	Seek		verify analyzer roles	https://scryfall.com/card/ysnc/5/choice-of-fortunes?utm_source=api	Seek two cards. You may shuffle them into your library. If you do, seek two cards. You have no maximum hand size for the rest of the game.
ysnc	Alchemy: New Capenna	2022-06-02	6	Nightclub Bouncer	652634e0-69d1-4e2f-88c7-d1a3dd2c4a2e	covered	combat_body, removal, tempo_removal	combat_body, removal, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Human Rogue	{2}{U}{U}	4	U	U	Flash		verify analyzer roles	https://scryfall.com/card/ysnc/6/nightclub-bouncer?utm_source=api	Flash When this creature enters, return target nonland permanent an opponent controls to its owner's hand. It perpetually gains "This spell costs {2} more to cast."
ysnc	Alchemy: New Capenna	2022-06-02	7	Graven Archfiend	ba3f0051-ccd9-4b45-a1de-76c982935cbd	covered	combat_body, combat_threat, sacrifice_support	combat_body, combat_threat, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Artifact Creature — Gargoyle Demon	{3}{B}{B}	5	B	B	Flying, Conjure		verify analyzer roles	https://scryfall.com/card/ysnc/7/graven-archfiend?utm_source=api	As an additional cost to cast this spell, you may sacrifice a non-Demon creature. Flying When Graven Archfiend enters the battlefield, if its additional cost was paid, conjure a card named Demonic Pact onto the battlefield.
ysnc	Alchemy: New Capenna	2022-06-02	8	Shattering Finale	08509a74-a356-4fe0-95c7-2b0d8884bc0d	covered	sacrifice_support, targeted_removal	sacrifice_support, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Sorcery	{1}{B}	2	B	B	Casualty		verify analyzer roles	https://scryfall.com/card/ysnc/8/shattering-finale?utm_source=api	Casualty 1 (As you cast this spell, you may sacrifice a creature with power 1 or greater. When you do, copy this spell and you may choose a new target for the copy.) Target creature an opponent controls perpetually gets -0/-3.
ysnc	Alchemy: New Capenna	2022-06-02	9	Xander's Wake	a085fea3-ea32-4c84-9276-eab164c03cc5	unsupported			false		Excluded from EDH role audit: digital-only Alchemy card.	Enchantment	{1}{B}	2	B	B			manual review	https://scryfall.com/card/ysnc/9/xanders-wake?utm_source=api	Whenever one or more creatures you control die, draft a card from Xander's Wake's spellbook. This ability triggers only once each turn.
ysnc	Alchemy: New Capenna	2022-06-02	10	Big Spender	86a9954a-ff82-4194-a192-e13cb88b93d0	covered	burst_ramp, combat_body, combat_threat, mana_fixing, ramp, sacrifice_support, token_support	burst_ramp, combat_body, combat_threat, mana_fixing, ramp, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Devil Citizen	{1}{R}	2	R	R	Treasure, Haste		verify analyzer roles	https://scryfall.com/card/ysnc/10/big-spender?utm_source=api	Haste Whenever one or more creatures you control become blocked, create a Treasure token. Sacrifice two artifacts: Draft a card from Big Spender's spellbook.
ysnc	Alchemy: New Capenna	2022-06-02	11	Pass the Torch	378fa12a-f3cd-4d28-9c27-8f2bf826a4f1	covered	card_selection, combat_support, recursion, removal, repeatable_advantage, repeatable_draw, replay_recursion, selection, targeted_removal	card_selection, combat_support, recursion, removal, repeatable_advantage, repeatable_draw, replay_recursion, selection, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{R}	2	R	R			verify analyzer roles	https://scryfall.com/card/ysnc/11/pass-the-torch?utm_source=api	Pass the Torch deals 2 damage to any target. Choose a creature card in your hand. It perpetually gains "Whenever this creature deals combat damage to a player, you may cast target card named Pass the Torch from your graveyard without paying its mana cost. If you do, this creature perpetually loses this ability".
ysnc	Alchemy: New Capenna	2022-06-02	12	Traumatic Prank	a7b28e04-7a82-43cc-b14e-6f1bc1cf0adb	covered	combat_support, removal, tempo_removal, theft_support	combat_support, removal, tempo_removal, theft_support	false		Analyzer roles accepted during batch clean pass.	Sorcery	{2}{R}	3	R	R			verify analyzer roles	https://scryfall.com/card/ysnc/12/traumatic-prank?utm_source=api	Gain control of target creature until end of turn. Untap that creature. It perpetually gains haste, "This creature can't block," and "At the beginning of your upkeep, this creature deals 1 damage to you."
