setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tdm	Tarkir: Dragonstorm	2025-04-11	1	Ugin, Eye of the Storms	5c58353a-fd60-4528-bf0d-669626cda0b2	covered	burst_ramp, card_draw, card_selection, direct_draw, direct_tutor, draw, lifegain, ramp, removal, repeatable_advantage, repeatable_draw, targeted_removal, tutor	burst_ramp, card_draw, card_selection, direct_draw, direct_tutor, draw, lifegain, ramp, removal, repeatable_advantage, repeatable_draw, targeted_removal, tutor	false		Analyzer roles accepted during batch clean pass.	Legendary Planeswalker — Ugin	{7}	7					verify analyzer roles	https://scryfall.com/card/tdm/1/ugin-eye-of-the-storms?utm_source=api	When you cast this spell, exile up to one target permanent that's one or more colors. Whenever you cast a colorless spell, exile up to one target permanent that's one or more colors. +2: You gain 3 life and draw a card. 0: Add {C}{C}{C}. −11: Search your library for any number of colorless nonland cards, exile them, then shuffle. Until end of turn, you may cast those cards without paying their mana costs.
tdm	Tarkir: Dragonstorm	2025-04-11	2	Anafenza, Unyielding Lineage	659bc01c-fa60-4d00-bdad-5bca1d2a978f	covered	combat_body, combat_threat, counter_support, sacrifice_support, token_support	combat_body, combat_threat, counter_support, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Spirit Soldier	{2}{W}	3	W	W	First strike, Flash, Endure		verify analyzer roles	https://scryfall.com/card/tdm/2/anafenza-unyielding-lineage?utm_source=api	Flash First strike Whenever another nontoken creature you control dies, Anafenza endures 2. (Put two +1/+1 counters on it or create a 2/2 white Spirit creature token.)
tdm	Tarkir: Dragonstorm	2025-04-11	3	Arashin Sunshield	1175d482-d8a2-467f-bc50-2f4b241966bb	covered	combat_body, graveyard_hate, hate_piece, removal, stax_piece, tempo_removal	combat_body, graveyard_hate, hate_piece, removal, stax_piece, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Human Warrior	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/tdm/3/arashin-sunshield?utm_source=api	When this creature enters, exile up to two target cards from a single graveyard. {W}, {T}: Tap target creature.
tdm	Tarkir: Dragonstorm	2025-04-11	4	Bearer of Glory	963947d5-5fe4-49cd-be0c-0bdb5f7bcbb6	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/tdm/4/bearer-of-glory?utm_source=api	During your turn, this creature has first strike. {4}{W}: Creatures you control get +1/+1 until end of turn.
tdm	Tarkir: Dragonstorm	2025-04-11	5	Clarion Conqueror	f1266a1b-bae6-4ded-b4d5-7586a5b6c5d0	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Dragon	{2}{W}	3	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tdm/5/clarion-conqueror?utm_source=api	Flying Activated abilities of artifacts, creatures, and planeswalkers can't be activated.
tdm	Tarkir: Dragonstorm	2025-04-11	6	Coordinated Maneuver	6ff39311-565e-4414-b32b-eb24c70b3090	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/tdm/6/coordinated-maneuver?utm_source=api	Choose one — • Coordinated Maneuver deals damage equal to the number of creatures you control to target creature or planeswalker. • Destroy target enchantment.
tdm	Tarkir: Dragonstorm	2025-04-11	7	Dalkovan Packbeasts	cdd1a043-bd47-4197-be26-e2f7d3f1d209	covered	combat_body, combat_support, combat_threat, sacrifice_support, token_support	combat_body, combat_support, combat_threat, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Ox	{2}{W}	3	W	W	Vigilance, Mobilize		verify analyzer roles	https://scryfall.com/card/tdm/7/dalkovan-packbeasts?utm_source=api	Vigilance Mobilize 3 (Whenever this creature attacks, create three tapped and attacking 1/1 red Warrior creature tokens. Sacrifice them at the beginning of the next end step.)
tdm	Tarkir: Dragonstorm	2025-04-11	8	Descendant of Storms	ca773c52-ca64-463c-99cf-e71b59d2cff7	covered	combat_body, combat_support, counter_support, token_support	combat_body, combat_support, counter_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{W}	1	W	W	Endure		verify analyzer roles	https://scryfall.com/card/tdm/8/descendant-of-storms?utm_source=api	Whenever this creature attacks, you may pay {1}{W}. If you do, it endures 1. (Put a +1/+1 counter on it or create a 1/1 white Spirit creature token.)
tdm	Tarkir: Dragonstorm	2025-04-11	9	Dragonback Lancer	7875c063-19c3-4e6e-81d8-1a378a4e16e5	covered	combat_body, combat_support, combat_threat, sacrifice_support, token_support	combat_body, combat_support, combat_threat, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{3}{W}	4	W	W	Flying, Mobilize		verify analyzer roles	https://scryfall.com/card/tdm/9/dragonback-lancer?utm_source=api	Flying Mobilize 1 (Whenever this creature attacks, create a tapped and attacking 1/1 red Warrior creature token. Sacrifice it at the beginning of the next end step.)
tdm	Tarkir: Dragonstorm	2025-04-11	10	Duty Beyond Death	67e6ce99-4883-4713-9822-cb2334765b5b	covered	broad_protection, combat_support, counter_support, protection, sacrifice_support, self_protection	broad_protection, combat_support, counter_support, protection, sacrifice_support, self_protection	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/tdm/10/duty-beyond-death?utm_source=api	As an additional cost to cast this spell, sacrifice a creature. Creatures you control gain indestructible until end of turn. Put a +1/+1 counter on each creature you control. (Damage and effects that say "destroy" don't destroy those creatures.)
tdm	Tarkir: Dragonstorm	2025-04-11	11	Elspeth, Storm Slayer	f78af825-023a-42e9-8374-5c52303a1417	covered	combat_support, counter_support, multiplier_support, removal, replacement_engine, targeted_removal, token_support	combat_support, counter_support, multiplier_support, removal, replacement_engine, targeted_removal, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Planeswalker — Elspeth	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/tdm/11/elspeth-storm-slayer?utm_source=api	If one or more tokens would be created under your control, twice that many of those tokens are created instead. +1: Create a 1/1 white Soldier creature token. 0: Put a +1/+1 counter on each creature you control. Those creatures gain flying until your next turn. −3: Destroy target creature an opponent controls with mana value 3 or greater.
tdm	Tarkir: Dragonstorm	2025-04-11	12	Fortress Kin-Guard	fa3ed0f6-e44e-433d-80d3-824de5e6135a	covered	combat_body, counter_support, token_support	combat_body, counter_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Dog Soldier	{1}{W}	2	W	W	Endure		verify analyzer roles	https://scryfall.com/card/tdm/12/fortress-kin-guard?utm_source=api	When this creature enters, it endures 1. (Put a +1/+1 counter on it or create a 1/1 white Spirit creature token.)
tdm	Tarkir: Dragonstorm	2025-04-11	13	Furious Forebear	4fb1d33f-a87d-46cf-a73e-882c3dbcb26f	covered	card_selection, combat_body, hand_recursion, repeatable_advantage, sacrifice_support	card_selection, combat_body, hand_recursion, repeatable_advantage, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Creature — Spirit Warrior	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/tdm/13/furious-forebear?utm_source=api	Whenever a creature you control dies while this card is in your graveyard, you may pay {1}{W}. If you do, return this card from your graveyard to your hand.
tdm	Tarkir: Dragonstorm	2025-04-11	14	Lightfoot Technique	601b7481-19fc-4779-950e-883a9a22aec3	covered	counter_support, self_protection	counter_support, self_protection	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/tdm/14/lightfoot-technique?utm_source=api	Put a +1/+1 counter on target creature. It gains flying and indestructible until end of turn. (Damage and effects that say "destroy" don't destroy it.)
tdm	Tarkir: Dragonstorm	2025-04-11	15	Loxodon Battle Priest	8cf4ddb0-2a83-4d8f-b636-7ba3c81ea4ca	covered	combat_body, counter_support	combat_body, counter_support	false		Analyzer roles accepted during batch clean pass.	Creature — Elephant Cleric	{4}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/tdm/15/loxodon-battle-priest?utm_source=api	At the beginning of combat on your turn, put a +1/+1 counter on another target creature you control.
tdm	Tarkir: Dragonstorm	2025-04-11	16	Mardu Devotee	24ee57b5-a505-4264-97ca-8b8dfb12298e	covered	card_selection, combat_body, ramp, selection, stable_ramp	card_selection, combat_body, ramp, selection, stable_ramp	false		Analyzer roles accepted during batch clean pass.	Creature — Human Scout	{W}	1	W	BRW	Scry		verify analyzer roles	https://scryfall.com/card/tdm/16/mardu-devotee?utm_source=api	When this creature enters, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.) {1}: Add {R}, {W}, or {B}. Activate only once each turn.
tdm	Tarkir: Dragonstorm	2025-04-11	17	Osseous Exhale	8d84a706-080c-4fb2-b1b9-3dbb3294fb7b	covered	lifegain, removal, targeted_removal	lifegain, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{W}	2	W	W	Behold		verify analyzer roles	https://scryfall.com/card/tdm/17/osseous-exhale?utm_source=api	As an additional cost to cast this spell, you may behold a Dragon. (You may choose a Dragon you control or reveal a Dragon card from your hand.) Osseous Exhale deals 5 damage to target attacking or blocking creature. If a Dragon was beheld, you gain 2 life.
tdm	Tarkir: Dragonstorm	2025-04-11	18	Poised Practitioner	e08debdc-2db5-4562-8a02-4158bfc0db88	covered	card_selection, combat_body, counter_support, selection	card_selection, combat_body, counter_support, selection	false		Analyzer roles accepted during batch clean pass.	Creature — Human Monk	{2}{W}	3	W	W	Flurry, Scry		verify analyzer roles	https://scryfall.com/card/tdm/18/poised-practitioner?utm_source=api	Flurry — Whenever you cast your second spell each turn, put a +1/+1 counter on this creature. Scry 1. (Look at the top card of your library. You may put that card on the bottom.)
tdm	Tarkir: Dragonstorm	2025-04-11	19	Rally the Monastery	3f6101a5-3038-45b0-8302-b2e4127b9510	covered	combat_support, removal, targeted_removal, token_support	combat_support, removal, targeted_removal, token_support	false		Analyzer roles accepted during batch clean pass.	Instant	{3}{W}	4	W	W			verify analyzer roles	https://scryfall.com/card/tdm/19/rally-the-monastery?utm_source=api	This spell costs {2} less to cast if you've cast another spell this turn. Choose one — • Create two 1/1 white Monk creature tokens with prowess. • Up to two target creatures you control each get +2/+2 until end of turn. • Destroy target creature with power 4 or greater.
tdm	Tarkir: Dragonstorm	2025-04-11	20	Rebellious Strike	4f3d7102-f8ce-42d4-94eb-f69b695773d1	covered	card_draw, combat_support, direct_draw, draw	card_draw, combat_support, direct_draw, draw	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/tdm/20/rebellious-strike?utm_source=api	Target creature gets +3/+0 until end of turn. Draw a card.
tdm	Tarkir: Dragonstorm	2025-04-11	21	Riling Dawnbreaker // Signaling Roar	1fc31651-70fe-4a58-9b7e-7359510bba51	covered	combat_body, combat_support, combat_threat, token_support	combat_body, combat_support, combat_threat, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Dragon // Sorcery — Omen	{4}{W} // {1}{W}	5	W	W	Flying, Vigilance		verify analyzer roles	https://scryfall.com/card/tdm/21/riling-dawnbreaker-signaling-roar?utm_source=api	Riling Dawnbreaker: Flying, vigilance At the beginning of combat on your turn, another target creature you control gets +1/+0 until end of turn. // Signaling Roar: Create a 2/2 white Soldier creature token. (Then shuffle this card into its owner's library.)
tdm	Tarkir: Dragonstorm	2025-04-11	22	Sage of the Skies	cfc7cef7-0a95-49f8-970f-abff2cacd82d	covered	combat_body, combat_threat, lifegain	combat_body, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Human Monk	{2}{W}	3	W	W	Flying, Lifelink		verify analyzer roles	https://scryfall.com/card/tdm/22/sage-of-the-skies?utm_source=api	When you cast this spell, if you've cast another spell this turn, copy this spell. (The copy becomes a token.) Flying, lifelink
