setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ysos	Alchemy: Secrets of Strixhaven	2026-05-19	1	Honor the Past	43dc0473-4b80-4844-9ce5-dc29754756a3	covered	battlefield_recursion, card_selection, recursion	battlefield_recursion, card_selection, recursion	false		Analyzer roles accepted during batch clean pass.	Sorcery	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/ysos/1/honor-the-past?utm_source=api	Return target creature card with mana value 6 or less from your graveyard to the battlefield. It's an artifact. (It's no longer a creature.)
ysos	Alchemy: Secrets of Strixhaven	2026-05-19	2	Unbreakable Remnant	ac055429-ae9f-474a-816c-264572992431	covered	combat_body, graveyard_support	combat_body, graveyard_support	false		Analyzer roles accepted during batch clean pass.	Creature — Spirit Soldier	{W}	1	W	W	Escape		verify analyzer roles	https://scryfall.com/card/ysos/2/unbreakable-remnant?utm_source=api	Escape—{1}{W}, Exile two other cards from your graveyard. When you cast this spell from your graveyard, all cards you own named Unbreakable Remnant perpetually get +1/+1.
ysos	Alchemy: Secrets of Strixhaven	2026-05-19	3	Galathul Galecaller // Corvid Squall	903bb1dc-09cc-4dc2-8400-5a36ce9c8d6e	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Bird Wizard // Sorcery	{1}{U} // {1}{U}	2	U	U	Flying, Storm, Prepared, Flash, Conjure		verify analyzer roles	https://scryfall.com/card/ysos/3/galathul-galecaller-corvid-squall?utm_source=api	Galathul Galecaller: Flash Flying Whenever this creature attacks, it becomes prepared. // Corvid Squall: Conjure a card named Storm Crow onto the battlefield. Storm
ysos	Alchemy: Secrets of Strixhaven	2026-05-19	4	Interdisciplinary Studies	1d84cdfc-7d7a-44e6-868e-2c3e73d2dc8f	covered	card_selection, selection	card_selection, selection	false		Analyzer roles accepted during batch clean pass.	Instant	{2}{U}	3	U	U	Seek, Learn		verify analyzer roles	https://scryfall.com/card/ysos/4/interdisciplinary-studies?utm_source=api	Seek a multicolored card. Learn.
ysos	Alchemy: Secrets of Strixhaven	2026-05-19	5	Corpseweaver Prodigy	077885dc-3a88-4ad4-bd5d-bf709aa71e8d	covered	combat_body, combat_threat, replacement_engine	combat_body, combat_threat, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Creature — Treefolk Warlock	{2}{B}	3	B	B	Deathtouch, Infusion, Conjure		verify analyzer roles	https://scryfall.com/card/ysos/5/corpseweaver-prodigy?utm_source=api	Deathtouch If a creature an opponent controls would die, exile it instead. Infusion — At the beginning of your second main phase, if you gained life this turn, conjure a card named Bridge from Below into your graveyard.
ysos	Alchemy: Secrets of Strixhaven	2026-05-19	6	Feed the Bog	a7a50b0a-94d5-4e51-bbc7-d8b5a22a65fc	covered	battlefield_recursion, card_selection, combat_support, recursion	battlefield_recursion, card_selection, combat_support, recursion	false		Analyzer roles accepted during batch clean pass.	Sorcery	{1}{B}	2	B	B	Replicate		verify analyzer roles	https://scryfall.com/card/ysos/6/feed-the-bog?utm_source=api	Replicate {1}{B} Creature cards in your graveyard perpetually get +1/+1. Then return target creature card with mana value 3 or less from your graveyard to the battlefield.
ysos	Alchemy: Secrets of Strixhaven	2026-05-19	7	Impose Hierarchy	36215513-1c21-415f-b3bd-fb2eac14895b	covered	lifegain, removal, targeted_removal	lifegain, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{B}	2	B	B			verify analyzer roles	https://scryfall.com/card/ysos/7/impose-hierarchy?utm_source=api	Destroy target creature with mana value 4 or less. You gain 1 life for each creature card in its controller's hand.
ysos	Alchemy: Secrets of Strixhaven	2026-05-19	8	Consumed by History	57fb51a2-9702-4d49-9fd7-ac59319607dd	covered	mass_removal, removal, sacrifice_support	mass_removal, removal, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Sorcery	{1}{R}	2	R	R			verify analyzer roles	https://scryfall.com/card/ysos/8/consumed-by-history?utm_source=api	Until end of turn, whenever a nontoken creature dies, it perpetually gains unearth {5}. Consumed by History deals 3 damage to each creature.
ysos	Alchemy: Secrets of Strixhaven	2026-05-19	9	Crescendo Conductor // Boltwave	5c478d7d-87ce-4601-bb7e-963f70d74fa0	covered	combat_body, combat_threat, direct_finisher, finisher, repeatable_finisher	combat_body, combat_threat, direct_finisher, finisher, repeatable_finisher	false		Analyzer roles accepted during batch clean pass.	Creature — Orc Sorcerer // Sorcery	{1}{R} // {R}	2	R	R	Reach, Prepared, Conjure		verify analyzer roles	https://scryfall.com/card/ysos/9/crescendo-conductor-boltwave?utm_source=api	Crescendo Conductor: Reach Whenever you conjure one or more cards, this creature becomes prepared. // Boltwave: Boltwave deals 3 damage to each opponent.
ysos	Alchemy: Secrets of Strixhaven	2026-05-19	10	Algorithmic Ferocity	e373097a-4456-44a5-bcb9-1d2235c73bb6	covered	combat_support, protection, self_protection, targeted_protection	combat_support, protection, self_protection, targeted_protection	false		Analyzer roles accepted during batch clean pass.	Sorcery	{G}	1	G	G	Fight		verify analyzer roles	https://scryfall.com/card/ysos/10/algorithmic-ferocity?utm_source=api	Until end of turn, target creature you control gains indestructible and gets +1/+0 for each card in your hand with mana value 4 or greater. Then it fights target creature an opponent controls.
