setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
j21	Jumpstart: Historic Horizons	2021-08-26	1	Faceless Agent	21bafaa9-2b0d-489d-927a-595b7a4ae6fd	covered	combat_body, kindred_support	combat_body, kindred_support	false		Analyzer roles accepted during batch clean pass.	Creature — Shapeshifter	{3}	3			Seek, Changeling		verify analyzer roles	https://scryfall.com/card/j21/1/faceless-agent?utm_source=api	Changeling When Faceless Agent enters the battlefield, seek a creature card of the most prevalent creature type in your library. (To seek a card, put one at random from your library into your hand.)
j21	Jumpstart: Historic Horizons	2021-08-26	2	Baffling Defenses	108c6fc6-6a6a-4f73-ba2b-ac8803f9801c							Instant	{1}{W}	2	W	W			manual review	https://scryfall.com/card/j21/2/baffling-defenses?utm_source=api	Target creature's base power perpetually becomes 0.
j21	Jumpstart: Historic Horizons	2021-08-26	3	Benalish Partisan	c355180d-fa8f-452c-bca9-ab576d54fd47	covered	card_selection, combat_body, combat_threat, lifegain, repeatable_advantage, selection	card_selection, combat_body, combat_threat, lifegain, repeatable_advantage, selection	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{1}{W}	2	W	W	Lifelink, Cycling		verify analyzer roles	https://scryfall.com/card/j21/3/benalish-partisan?utm_source=api	Lifelink Whenever you cycle another card, you may pay {1}{W}. If you do, return Benalish Partisan from your graveyard to the battlefield tapped and it perpetually gets +1/+0. Cycling {1}{W}
j21	Jumpstart: Historic Horizons	2021-08-26	4	Leonin Sanctifier	4387b6b4-661f-4a4b-adc9-8493b7c2a4e7	covered	combat_body, combat_threat, lifegain	combat_body, combat_threat, lifegain	false		Analyzer roles accepted during batch clean pass.	Creature — Cat Cleric	{1}{W}	2	W	W	Lifelink		verify analyzer roles	https://scryfall.com/card/j21/4/leonin-sanctifier?utm_source=api	Lifelink When Leonin Sanctifier enters the battlefield, choose a creature card in your hand. It perpetually gains lifelink.
j21	Jumpstart: Historic Horizons	2021-08-26	5	Lumbering Lightshield	5230d0fc-2688-495d-9fd0-0d71ac27c811	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Creature — Illusion	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/j21/5/lumbering-lightshield?utm_source=api	When Lumbering Lightshield enters, target opponent reveals a nonland card at random from their hand. It perpetually gains "This spell costs {1} more to cast."
j21	Jumpstart: Historic Horizons	2021-08-26	6	Teyo, Aegis Adept	9febfc66-2c2d-4a53-89eb-9650026abeed	covered	battlefield_recursion, card_selection, combat_support, lifegain, recursion, repeatable_advantage, replacement_engine	battlefield_recursion, card_selection, combat_support, lifegain, recursion, repeatable_advantage, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Legendary Planeswalker — Teyo	{2}{W}{W}	4	W	W	Conjure		verify analyzer roles	https://scryfall.com/card/j21/6/teyo-aegis-adept?utm_source=api	+1: Up to one target creature's base power perpetually becomes equal to its toughness. It perpetually gains "This creature can attack as though it didn't have defender." −2: Conjure a card named Lumbering Lightshield onto the battlefield. −6: You get an emblem with "At the beginning of your end step, return target white creature card from your graveyard to the battlefield. You gain life equal to its toughness."
j21	Jumpstart: Historic Horizons	2021-08-26	7	Wingsteed Trainer	adc18cdb-fe35-4ca3-82c1-a723b17f8c6f	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human	{3}{W}	4	W	W	Conjure		verify analyzer roles	https://scryfall.com/card/j21/7/wingsteed-trainer?utm_source=api	When Wingsteed Trainer enters the battlefield or attacks, conjure a card named Stormfront Pegasus into your hand.
j21	Jumpstart: Historic Horizons	2021-08-26	8	Bounty of the Deep	b13c23f2-ef59-4ea8-b3e9-e462868e46d6							Sorcery	{2}{U}	3	U	U	Seek		has Scryfall tags/keywords but no analyzer role	https://scryfall.com/card/j21/8/bounty-of-the-deep?utm_source=api	If you have no land cards in your hand, seek a land card and a nonland card. Otherwise, seek two nonland cards. (To seek a card, put one at random from your library into your hand.)
j21	Jumpstart: Historic Horizons	2021-08-26	9	Ethereal Grasp	010b22f5-ea2f-4de2-b8b9-0439347a61d0	covered	removal, tempo_removal	removal, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/j21/9/ethereal-grasp?utm_source=api	Tap target creature. That creature perpetually gains "This creature doesn't untap during your untap step" and "{8}: Untap this creature."
j21	Jumpstart: Historic Horizons	2021-08-26	10	Kiora, the Tide's Fury	6918a8b7-ced8-4f32-8780-69dfc8b9d11b	covered	ramp, sacrifice_support, tap_untap, tempo_support, token_support	ramp, sacrifice_support, tap_untap, tempo_support, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Planeswalker — Kiora	{3}{U}	4	U	U	Conjure		verify analyzer roles	https://scryfall.com/card/j21/10/kiora-the-tides-fury?utm_source=api	+1: Conjure a card named Kraken Hatchling into your hand. +1: Untap target creature or land. Prevent all damage that would be dealt to and dealt by that permanent until your next turn. −3: You may sacrifice a Kraken. If you do, create an 8/8 blue Kraken creature token.
