setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ajmp	Jumpstart Arena Exclusives	2020-07-17	3	Archon of Sun's Grace	48a99dce-0aa9-4aac-81df-cec5f94c639d	covered		combat_body, combat_support, combat_threat, lifegain, token_support	false		Covered by PRM role audit.	Creature — Archon	{2}{W}{W}	4	W	W	Flying, Lifelink, Constellation		already reviewed	https://scryfall.com/card/ajmp/3/archon-of-suns-grace?utm_source=api	Flying Lifelink (Damage dealt by this creature also causes you to gain that much life.) Pegasus creatures you control have lifelink. Constellation — Whenever an enchantment you control enters, create a 2/2 white Pegasus creature token with flying.
ajmp	Jumpstart Arena Exclusives	2020-07-17	4	Banishing Light	f28b21a6-f7ce-437a-8c5b-0423cb55cefb	covered		removal, targeted_removal	false		Covered by PRM role audit.	Enchantment	{2}{W}	3	W	W			already reviewed	https://scryfall.com/card/ajmp/4/banishing-light?utm_source=api	When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.
ajmp	Jumpstart Arena Exclusives	2020-07-17	48	Gadwick, the Wizened	c7530ecd-e22f-41e7-a76b-de32809901c8	covered	card_draw, combat_body, direct_draw, draw, mana_sink, removal, scalable_spell, tempo_removal	card_draw, combat_body, direct_draw, draw, mana_sink, removal, scalable_spell, tempo_removal	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Wizard	{X}{U}{U}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/ajmp/48/gadwick-the-wizened?utm_source=api	When Gadwick enters, draw X cards. Whenever you cast a blue spell, tap target nonland permanent an opponent controls.
ajmp	Jumpstart Arena Exclusives	2020-07-17	57	Carnifex Demon	527e4eec-0983-46a9-a4f7-451080200aea	covered	combat_body, combat_threat, counter_support	combat_body, combat_threat, counter_support	false		Analyzer roles accepted during batch clean pass.	Creature — Phyrexian Demon	{4}{B}{B}	6	B	B	Flying		verify analyzer roles	https://scryfall.com/card/ajmp/57/carnifex-demon?utm_source=api	Flying This creature enters with two -1/-1 counters on it. {B}, Remove a -1/-1 counter from this creature: Put a -1/-1 counter on each other creature.
ajmp	Jumpstart Arena Exclusives	2020-07-17	74	Weight of Memory	826c5feb-9e82-49e0-bc6f-6c29004f8151	covered	card_draw, direct_draw, draw, mill_support	card_draw, direct_draw, draw, mill_support	false		Analyzer roles accepted during batch clean pass.	Sorcery	{3}{U}{U}	5	U	U	Mill		verify analyzer roles	https://scryfall.com/card/ajmp/74/weight-of-memory?utm_source=api	Draw three cards. Target player mills three cards.
ajmp	Jumpstart Arena Exclusives	2020-07-17	80	Bond of Revival	62cca25f-3bf7-4b67-97d5-280bf2544722	covered	battlefield_recursion, card_selection, recursion	battlefield_recursion, card_selection, recursion	false		Analyzer roles accepted during batch clean pass.	Sorcery	{4}{B}	5	B	B			verify analyzer roles	https://scryfall.com/card/ajmp/80/bond-of-revival?utm_source=api	Return target creature card from your graveyard to the battlefield. It gains haste until your next turn.
ajmp	Jumpstart Arena Exclusives	2020-07-17	84	Audacious Thief	5905c55a-f1d1-4021-a9af-f85b02ae21f3	covered	card_draw, combat_body, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw	card_draw, combat_body, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw	false		Analyzer roles accepted during batch clean pass.	Creature — Human Rogue	{2}{B}	3	B	B			verify analyzer roles	https://scryfall.com/card/ajmp/84/audacious-thief?utm_source=api	Whenever this creature attacks, you draw a card and you lose 1 life.
ajmp	Jumpstart Arena Exclusives	2020-07-17	88	Lightning Serpent	d07b4bb6-0c8d-44ea-a5b3-eeb6e36f3631	covered	combat_body, combat_support, combat_threat, counter_support, mana_sink, sacrifice_support, scalable_spell	combat_body, combat_support, combat_threat, counter_support, mana_sink, sacrifice_support, scalable_spell	false		Analyzer roles accepted during batch clean pass.	Creature — Elemental Serpent	{X}{R}	1	R	R	Haste, Trample		verify analyzer roles	https://scryfall.com/card/ajmp/88/lightning-serpent?utm_source=api	Trample, haste This creature enters with X +1/+0 counters on it. At the beginning of the end step, sacrifice this creature.
ajmp	Jumpstart Arena Exclusives	2020-07-17	121	Fanatic of Mogis	f19d06af-6caf-41d8-8d0a-d5d50bd67900	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Creature — Minotaur Shaman	{3}{R}	4	R	R			verify analyzer roles	https://scryfall.com/card/ajmp/121/fanatic-of-mogis?utm_source=api	When this creature enters, it deals damage to each opponent equal to your devotion to red. (Each {R} in the mana costs of permanents you control counts toward your devotion to red.)
ajmp	Jumpstart Arena Exclusives	2020-07-17	123	Woe Strider	3adbd963-e85d-4569-963a-4472594f06f9	covered		card_selection, combat_body, counter_support, graveyard_support, sacrifice_support, selection, token_support	false		Covered by PRM role audit.	Creature — Horror	{2}{B}	3	B	B	Escape, Scry		already reviewed	https://scryfall.com/card/ajmp/123/woe-strider?utm_source=api	When this creature enters, create a 0/1 white Goat creature token. Sacrifice another creature: Scry 1. Escape—{3}{B}{B}, Exile four other cards from your graveyard. (You may cast this card from your graveyard for its escape cost.) This creature escapes with two +1/+1 counters on it.
