setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
md1	Modern Event Deck 2014	2014-05-30	1	Soul Warden	f3fad295-1af2-4ecc-8546-b121ad6be27b	covered		combat_body, lifegain	false		Non-game insert or decklist card; no analyzer role needed.	Creature — Human Cleric	{W}	1	W	W			already reviewed	https://scryfall.com/card/md1/1/soul-warden?utm_source=api	Whenever another creature enters, you gain 1 life.
md1	Modern Event Deck 2014	2014-05-30	2	Tidehollow Sculler	51b55057-8b14-4277-894b-4813b4f7eb39	covered		combat_body	false		Covered by PRM role audit.	Artifact Creature — Zombie	{W}{B}	2	BW	BW			already reviewed	https://scryfall.com/card/md1/2/tidehollow-sculler?utm_source=api	When this creature enters, target opponent reveals their hand and you choose a nonland card from it. Exile that card. When this creature leaves the battlefield, return the exiled card to its owner's hand.
md1	Modern Event Deck 2014	2014-05-30	3	Path to Exile	d683d985-9888-4d21-8b5f-69e69ce4a03b	covered		land_acceleration, land_tutor, mana_fixing, ramp, removal, targeted_removal, tutor	false		Covered by PRM role audit.	Instant	{W}	1	W	W			already reviewed	https://scryfall.com/card/md1/3/path-to-exile?utm_source=api	Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle.
md1	Modern Event Deck 2014	2014-05-30	4	Inquisition of Kozilek	395611fa-aec2-4c9e-92c3-70cf95cc00f4	covered		hand_attack, hand_info	false		Covered by PRM role audit.	Sorcery	{B}	1	B	B			already reviewed	https://scryfall.com/card/md1/4/inquisition-of-kozilek?utm_source=api	Target player reveals their hand. You choose a nonland card from it with mana value 3 or less. That player discards that card.
md1	Modern Event Deck 2014	2014-05-30	5	Shrine of Loyal Legions	9696ad3d-2e17-4ab7-88ee-3c56a632b7a8	covered	counter_support, sacrifice_support, token_support	counter_support, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Artifact	{2}	2					verify analyzer roles	https://scryfall.com/card/md1/5/shrine-of-loyal-legions?utm_source=api	At the beginning of your upkeep and whenever you cast a white spell, put a charge counter on this artifact. {3}, {T}, Sacrifice this artifact: Create a 1/1 colorless Phyrexian Myr artifact creature token for each charge counter on this artifact.
md1	Modern Event Deck 2014	2014-05-30	6	Honor of the Pure	eb4188bb-62df-4309-bde1-f66318fe2f05	covered		combat_support	false		Covered by PRM role audit.	Enchantment	{1}{W}	2	W	W			already reviewed	https://scryfall.com/card/md1/6/honor-of-the-pure?utm_source=api	White creatures you control get +1/+1.
md1	Modern Event Deck 2014	2014-05-30	7	Intangible Virtue	d21c3c8f-d105-4ba9-bf69-e5f26f0f8ec5	covered	combat_support, token_support	combat_support, token_support	false		Analyzer roles accepted during batch clean pass.	Enchantment	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/md1/7/intangible-virtue?utm_source=api	Creature tokens you control get +1/+1 and have vigilance.
md1	Modern Event Deck 2014	2014-05-30	8	Raise the Alarm	5b2364d7-a811-4595-a1b4-224c70555ffa	covered	token_support	token_support	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/md1/8/raise-the-alarm?utm_source=api	Create two 1/1 white Soldier creature tokens.
md1	Modern Event Deck 2014	2014-05-30	9	Zealous Persecution	ccf8d919-1399-4bef-94ac-04c67f122828	covered	combat_support, mass_removal, removal	combat_support, mass_removal, removal	false		Analyzer roles accepted during batch clean pass.	Instant	{W}{B}	2	BW	BW			verify analyzer roles	https://scryfall.com/card/md1/9/zealous-persecution?utm_source=api	Until end of turn, creatures you control get +1/+1 and creatures your opponents control get -1/-1.
md1	Modern Event Deck 2014	2014-05-30	10	Sword of Feast and Famine	d0901053-6de0-46d0-9ee3-8d40510236c1	covered		artifact_support, combat_support, equipment_protection, protection, ramp, self_protection, stable_ramp	false		Covered by PRM role audit.	Artifact — Equipment	{3}	3			Equip		already reviewed	https://scryfall.com/card/md1/10/sword-of-feast-and-famine?utm_source=api	Equipped creature gets +2/+2 and has protection from black and from green. Whenever equipped creature deals combat damage to a player, that player discards a card and you untap all lands you control. Equip {2}
