setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
clb	Commander Legends: Battle for Baldur's Gate	2022-06-10	1	Faceless One	ef220170-c01a-4ca5-b887-f248c50227ee	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Legendary Enchantment Creature — Background	{5}	5			Choose a background		verify analyzer roles	https://scryfall.com/card/clb/1/faceless-one?utm_source=api	If Faceless One is your commander, choose a color before the game begins. Faceless One is the chosen color. Choose a Background (You can have a Background as a second commander.)
clb	Commander Legends: Battle for Baldur's Gate	2022-06-10	2	Abdel Adrian, Gorion's Ward	cab092f9-b7ff-43b9-935f-310869a4daf8	covered	combat_body, token_support	combat_body, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Warrior	{4}{W}	5	W	W	Choose a background		verify analyzer roles	https://scryfall.com/card/clb/2/abdel-adrian-gorions-ward?utm_source=api	When Abdel Adrian enters, exile any number of other nonland permanents you control until Abdel Adrian leaves the battlefield. Create a 1/1 white Soldier creature token for each permanent exiled this way. Choose a Background (You can have a Background as a second commander.)
clb	Commander Legends: Battle for Baldur's Gate	2022-06-10	3	Ancient Gold Dragon	44cb725a-72fc-4e0d-b966-f0b6d33f6b79	covered	combat_body, combat_support, combat_threat, dice_support, token_support	combat_body, combat_support, combat_threat, dice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Elder Dragon	{5}{W}{W}	7	W	W	Flying		verify analyzer roles	https://scryfall.com/card/clb/3/ancient-gold-dragon?utm_source=api	Flying Whenever this creature deals combat damage to a player, roll a d20. You create a number of 1/1 blue Faerie Dragon creature tokens with flying equal to the result.
clb	Commander Legends: Battle for Baldur's Gate	2022-06-10	4	Archivist of Oghma	08b13e1f-27ca-40a8-b5ed-88ac933d24bf	covered	card_draw, combat_body, direct_draw, direct_tutor, draw, lifegain, repeatable_advantage, repeatable_draw, tutor	card_draw, combat_body, direct_draw, direct_tutor, draw, lifegain, repeatable_advantage, repeatable_draw, tutor	false		Analyzer roles accepted during batch clean pass.	Creature — Halfling Cleric	{1}{W}	2	W	W	Flash		verify analyzer roles	https://scryfall.com/card/clb/4/archivist-of-oghma?utm_source=api	Flash Whenever an opponent searches their library, you gain 1 life and draw a card.
clb	Commander Legends: Battle for Baldur's Gate	2022-06-10	5	Ascend from Avernus	451e8ece-7389-4d52-8bc9-450cb5e53e6a	covered	card_selection, mana_sink, mass_recursion, recursion, scalable_spell	card_selection, mana_sink, mass_recursion, recursion, scalable_spell	false		Analyzer roles accepted during batch clean pass.	Sorcery	{X}{W}{W}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/clb/5/ascend-from-avernus?utm_source=api	Return all creature and planeswalker cards with mana value X or less from your graveyard to the battlefield. Exile Ascend from Avernus.
clb	Commander Legends: Battle for Baldur's Gate	2022-06-10	6	Astral Confrontation	80788ac7-19d6-42d2-9f6e-676d7b5c912e	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{4}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/clb/6/astral-confrontation?utm_source=api	This spell costs {1} less to cast for each opponent you're attacking. Exile target creature.
clb	Commander Legends: Battle for Baldur's Gate	2022-06-10	7	Bane's Invoker	daa47749-7a20-4e64-b476-a44eaeb4d844	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Cleric	{1}{W}	2	W	W	Wind Walk		verify analyzer roles	https://scryfall.com/card/clb/7/banes-invoker?utm_source=api	Wind Walk — {8}: Up to two target creatures each get +2/+2 and gain flying until end of turn.
clb	Commander Legends: Battle for Baldur's Gate	2022-06-10	8	Banishment	9c9b3bf7-afb7-4e9b-bdbc-e2b4d5ba477f	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Enchantment	{3}{W}	4	W	W	Flash		verify analyzer roles	https://scryfall.com/card/clb/8/banishment?utm_source=api	Flash When this enchantment enters, exile target nonland permanent an opponent controls and all other nonland permanents your opponents control with the same name as that permanent until this enchantment leaves the battlefield.
clb	Commander Legends: Battle for Baldur's Gate	2022-06-10	9	Battle Angels of Tyr	c2bd0c24-3973-48bc-a591-3779e3640c5d	covered	burst_ramp, card_draw, combat_body, combat_support, combat_threat, direct_draw, draw, lifegain, mana_fixing, ramp, repeatable_advantage, repeatable_draw, token_support	burst_ramp, card_draw, combat_body, combat_support, combat_threat, direct_draw, draw, lifegain, mana_fixing, ramp, repeatable_advantage, repeatable_draw, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Angel Knight	{2}{W}{W}	4	W	W	Myriad, Flying, Treasure		verify analyzer roles	https://scryfall.com/card/clb/9/battle-angels-of-tyr?utm_source=api	Flying, myriad Whenever this creature deals combat damage to a player, draw a card if that player has more cards in hand than each other player. Then you create a Treasure token if that player controls more lands than each other player. Then you gain 3 life if that player has more life than each other player.
clb	Commander Legends: Battle for Baldur's Gate	2022-06-10	10	Beckoning Will-o'-Wisp	d39df714-bd0b-4de8-b9df-55713bab7f35	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Spirit	{2}{W}	3	W	W	Flying, Lure the Unwary		verify analyzer roles	https://scryfall.com/card/clb/10/beckoning-will-o-wisp?utm_source=api	Flying Lure the Unwary — At the beginning of combat on your turn, choose an opponent. Creatures attacking the last chosen player get +1/+0.
