setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tmh3	Modern Horizons 3 Tokens	2024-06-14	1	Copy	88c78601-87f0-45e7-b2e0-e7ffcfb1cb70	covered	copy_support	copy_support	false		Analyzer roles accepted during batch clean pass.	Token		0					verify analyzer roles	https://scryfall.com/card/tmh3/1/copy?utm_source=api	(This token can be used to represent a token that's a copy of a permanent.)
tmh3	Modern Horizons 3 Tokens	2024-06-14	2	Eldrazi Spawn	3aaf906a-e749-4e86-ac79-97650b92f271	covered	burst_ramp, combat_body, ramp, sacrifice_support	burst_ramp, combat_body, ramp, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Token Creature — Eldrazi Spawn		0					verify analyzer roles	https://scryfall.com/card/tmh3/2/eldrazi-spawn?utm_source=api	Sacrifice this creature: Add {C}.
tmh3	Modern Horizons 3 Tokens	2024-06-14	3	Angel	40c64f08-ab2f-4933-8e0e-d1a1c729008f	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Angel		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tmh3/3/angel?utm_source=api	Flying
tmh3	Modern Horizons 3 Tokens	2024-06-14	4	Cat	5ae6251d-cef9-4fb7-bdcd-e870a062f042	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Cat		0	W	W			verify analyzer roles	https://scryfall.com/card/tmh3/4/cat?utm_source=api	
tmh3	Modern Horizons 3 Tokens	2024-06-14	5	Cat Warrior	a4dafac0-69cd-4e80-a6b9-ed334eee8afc	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Cat Warrior		0	W	W			verify analyzer roles	https://scryfall.com/card/tmh3/5/cat-warrior?utm_source=api	
tmh3	Modern Horizons 3 Tokens	2024-06-14	6	Fox	e84b278c-5844-4245-a4ce-0766e971a3e3	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Fox		0	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/tmh3/6/fox?utm_source=api	Vigilance
tmh3	Modern Horizons 3 Tokens	2024-06-14	7	Soldier	eac25f12-6459-438c-a09e-93e23d2cf80d	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Soldier		0	W	W			already reviewed	https://scryfall.com/card/tmh3/7/soldier?utm_source=api	
tmh3	Modern Horizons 3 Tokens	2024-06-14	8	Spirit	dc4e2134-f0c2-49aa-9ea3-ebf83af1445c	covered		combat_body, combat_threat	false		Covered by MPR role audit.	Token Creature — Spirit		0	W	W	Flying		already reviewed	https://scryfall.com/card/tmh3/8/spirit?utm_source=api	Flying
tmh3	Modern Horizons 3 Tokens	2024-06-14	9	Bird	ee6f463c-5dd3-4a1d-8543-7f7cf7f27f48	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Bird		0	U	U	Flying		verify analyzer roles	https://scryfall.com/card/tmh3/9/bird?utm_source=api	Flying
tmh3	Modern Horizons 3 Tokens	2024-06-14	10	Fish	9c035738-c8a9-4418-9aaa-7d7d494226e1	covered	combat_body, sacrifice_support, token_support	combat_body, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Token Creature — Fish		0	U	U			verify analyzer roles	https://scryfall.com/card/tmh3/10/fish?utm_source=api	When this creature dies, create a 6/6 blue Whale creature token with "When this creature dies, create a 9/9 blue Kraken creature token."
tmh3	Modern Horizons 3 Tokens	2024-06-14	11	Kraken	cd0f813b-1f9f-484d-adab-bc8d16d2b867	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Kraken		0	U	U			verify analyzer roles	https://scryfall.com/card/tmh3/11/kraken?utm_source=api	
tmh3	Modern Horizons 3 Tokens	2024-06-14	12	Moonfolk	fdbd24ef-7d3f-4af7-a273-cc58de7cfb97	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Moonfolk		0	U	U	Flying		verify analyzer roles	https://scryfall.com/card/tmh3/12/moonfolk?utm_source=api	Flying
tmh3	Modern Horizons 3 Tokens	2024-06-14	13	Thopter	e3c8482e-ce21-43f8-ac07-c26c01941a4d	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Artifact Creature — Thopter		0	U	U	Flying		verify analyzer roles	https://scryfall.com/card/tmh3/13/thopter?utm_source=api	Flying
tmh3	Modern Horizons 3 Tokens	2024-06-14	14	Whale	55ba83ae-9158-4c92-8bca-6dd96b517836	covered	combat_body, sacrifice_support, token_support	combat_body, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Token Creature — Whale		0	U	U			verify analyzer roles	https://scryfall.com/card/tmh3/14/whale?utm_source=api	When this creature dies, create a 9/9 blue Kraken creature token.
