setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
t40k	Warhammer 40,000 Tokens	2022-10-07	1	Astartes Warrior	35e27ced-1151-4559-b552-0d90325092c4	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Astartes Warrior		0	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/t40k/1/astartes-warrior?utm_source=api	Vigilance
t40k	Warhammer 40,000 Tokens	2022-10-07	2	Soldier	eac25f12-6459-438c-a09e-93e23d2cf80d	covered		combat_body	false		Covered by PR2 role audit.	Token Creature — Soldier		0	W	W			already reviewed	https://scryfall.com/card/t40k/2/soldier?utm_source=api	
t40k	Warhammer 40,000 Tokens	2022-10-07	5	Space Marine Devastator	d74a5638-83cc-480b-bb02-caecc6a8ff2e	covered	combat_body, removal, targeted_removal	combat_body, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Token Creature — Astartes Warrior		0	W	W			verify analyzer roles	https://scryfall.com/card/t40k/5/space-marine-devastator?utm_source=api	When Space Marine Devastator enters the battlefield, destroy up to one target artifact or enchantment.
t40k	Warhammer 40,000 Tokens	2022-10-07	6	Ultramarines Honour Guard	00bc99d9-2cc4-4dd5-a37b-4918fff8160a	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Token Creature — Astartes Warrior		0	W	W			verify analyzer roles	https://scryfall.com/card/t40k/6/ultramarines-honour-guard?utm_source=api	Other creatures you control get +1/+1.
t40k	Warhammer 40,000 Tokens	2022-10-07	7	Zephyrim	c3630417-398d-42f1-82cb-4b02f181f977	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Human Warrior		0	W	W	Flying, Vigilance		verify analyzer roles	https://scryfall.com/card/t40k/7/zephyrim?utm_source=api	Flying, vigilance
t40k	Warhammer 40,000 Tokens	2022-10-07	8	Sicarian Infiltrator	23eaef1b-1e34-4081-9b4f-ac33524e5b32	covered	card_draw, combat_body, direct_draw, draw	card_draw, combat_body, direct_draw, draw	false		Analyzer roles accepted during batch clean pass.	Token Artifact Creature — Human Soldier		0	U	U			verify analyzer roles	https://scryfall.com/card/t40k/8/sicarian-infiltrator?utm_source=api	When Sicarian Infiltrator enters the battlefield, draw a card.
t40k	Warhammer 40,000 Tokens	2022-10-07	9	Tyranid Gargoyle	5fe924f8-880c-425c-9dae-d2f5455a5f2c	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Tyranid Gargoyle		0	U	U	Flying		verify analyzer roles	https://scryfall.com/card/t40k/9/tyranid-gargoyle?utm_source=api	Flying
t40k	Warhammer 40,000 Tokens	2022-10-07	10	Vanguard Suppressor	65b81c5d-2731-421d-accd-1a2c5750b76a	covered	card_draw, combat_body, combat_support, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw	card_draw, combat_body, combat_support, combat_threat, direct_draw, draw, repeatable_advantage, repeatable_draw	false		Analyzer roles accepted during batch clean pass.	Token Creature — Astartes Warrior		0	U	U	Flying		verify analyzer roles	https://scryfall.com/card/t40k/10/vanguard-suppressor?utm_source=api	Flying Whenever Vanguard Suppressor deals combat damage to a player, draw a card.
t40k	Warhammer 40,000 Tokens	2022-10-07	11	Arco-Flagellant	52700e58-8201-47e1-bf2c-b28f8bdb5845	covered	combat_body, self_protection	combat_body, self_protection	false		Analyzer roles accepted during batch clean pass.	Token Creature — Human		0	B	B			verify analyzer roles	https://scryfall.com/card/t40k/11/arco-flagellant?utm_source=api	Arco-Flagellant can't block. Pay 3 life: Arco-Flagellant gains indestructible until end of turn.
t40k	Warhammer 40,000 Tokens	2022-10-07	12	Astartes Warrior	97013cc5-5a6b-454a-8b33-65e212f7c9b5	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Astartes Warrior		0	B	B	Menace		verify analyzer roles	https://scryfall.com/card/t40k/12/astartes-warrior?utm_source=api	Menace
t40k	Warhammer 40,000 Tokens	2022-10-07	13	Cherubael	e08ce37a-69ad-4612-b24f-8c67c2f133ba	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Legendary Creature — Demon		0	B	B	Flying		verify analyzer roles	https://scryfall.com/card/t40k/13/cherubael?utm_source=api	Flying
t40k	Warhammer 40,000 Tokens	2022-10-07	14	Necron Warrior	4578c638-0438-457d-b167-8d7667ecdedd	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Artifact Creature — Necron Warrior		0	B	B			verify analyzer roles	https://scryfall.com/card/t40k/14/necron-warrior?utm_source=api	
t40k	Warhammer 40,000 Tokens	2022-10-07	15	Plaguebearer of Nurgle	b29268ce-f1c5-40f6-8c9d-5a1db3356e96	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Demon		0	B	B			verify analyzer roles	https://scryfall.com/card/t40k/15/plaguebearer-of-nurgle?utm_source=api	
t40k	Warhammer 40,000 Tokens	2022-10-07	16	Spawn	a4afacc1-014e-4c66-97c6-605359c0cd6a	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Spawn		0	R	R			verify analyzer roles	https://scryfall.com/card/t40k/16/spawn?utm_source=api	
t40k	Warhammer 40,000 Tokens	2022-10-07	17	Tyranid	a8a1ad2a-614d-4592-bbba-529fbaf4ebb3	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Tyranid		0	G	G			verify analyzer roles	https://scryfall.com/card/t40k/17/tyranid?utm_source=api	
t40k	Warhammer 40,000 Tokens	2022-10-07	18	Tyranid	0042a526-8828-40eb-bd32-4f57b230625a	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Tyranid		0	G	G			verify analyzer roles	https://scryfall.com/card/t40k/18/tyranid?utm_source=api	
t40k	Warhammer 40,000 Tokens	2022-10-07	19	Tyranid Warrior	68112b65-0817-4b5a-a8f7-df6dd23177b0	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Tyranid Warrior		0	G	G	Trample		verify analyzer roles	https://scryfall.com/card/t40k/19/tyranid-warrior?utm_source=api	Trample
t40k	Warhammer 40,000 Tokens	2022-10-07	20	Blue Horror	e1150a05-142a-49f8-a6c5-08002667f939	covered	combat_body, copy_support, removal, spellslinger, targeted_removal	combat_body, copy_support, removal, spellslinger, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Token Creature — Demon Horror		0	RU	RU			verify analyzer roles	https://scryfall.com/card/t40k/20/blue-horror?utm_source=api	Whenever you cast an instant or sorcery spell, this creature deals 1 damage to any target.
t40k	Warhammer 40,000 Tokens	2022-10-07	21	Clue	496e1083-c792-40a4-adf4-fec1d559cd5e	covered	card_draw, direct_draw, draw, repeatable_advantage, sacrifice_support	card_draw, direct_draw, draw, repeatable_advantage, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Token Artifact — Clue		0					verify analyzer roles	https://scryfall.com/card/t40k/21/clue?utm_source=api	{2}, Sacrifice this token: Draw a card.
t40k	Warhammer 40,000 Tokens	2022-10-07	22	Insect	5a083e51-d23c-4670-b046-60771a9b518e	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Artifact Creature — Insect		0			Flying		verify analyzer roles	https://scryfall.com/card/t40k/22/insect?utm_source=api	Flying
t40k	Warhammer 40,000 Tokens	2022-10-07	23	Robot	c17a988c-2de6-4169-b00a-b837fcb37bf7	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Token Artifact Creature — Robot		0					verify analyzer roles	https://scryfall.com/card/t40k/23/robot?utm_source=api	This creature can't block.
