setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
slc	Secret Lair Countdown	2022-11-01	1	Altar of the Brood	c3aafcdd-c890-4971-b8a9-5bfcad794c0b	covered		mill_support	false		Covered by PRM role audit.	Artifact	{1}	1			Mill		already reviewed	https://scryfall.com/card/slc/1/altar-of-the-brood?utm_source=api	Whenever another permanent you control enters, each opponent mills a card.
slc	Secret Lair Countdown	2022-11-01	2	Brain Freeze	464c0150-3dbc-403b-9ada-fef25ab1f29d	covered		mill_support	false		Covered by SCG role audit.	Instant	{1}{U}	2	U	U	Storm, Mill		already reviewed	https://scryfall.com/card/slc/2/brain-freeze?utm_source=api	Target player mills three cards. Storm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)
slc	Secret Lair Countdown	2022-11-01	3	Crop Rotation	28b46183-c62f-47b1-9fee-3ba148202cab	covered	land_acceleration, land_tutor, mana_fixing, ramp, sacrifice_support, tutor	land_acceleration, land_tutor, mana_fixing, ramp, sacrifice_support, tutor	false		Covered by Media and Collaboration Promos role audit.	Instant	{G}	1	G	G			already reviewed	https://scryfall.com/card/slc/3/crop-rotation?utm_source=api	As an additional cost to cast this spell, sacrifice a land. Search your library for a land card, put that card onto the battlefield, then shuffle.
slc	Secret Lair Countdown	2022-11-01	4	Demonic Consultation	9a1412db-45ad-46ea-8f12-a85d203113d8	covered	card_draw, card_selection, draw, restricted_tutor, selection, tutor	card_draw, card_selection, draw, restricted_tutor, selection, tutor	false		Covered by Ice Age role audit.	Instant	{B}	1	B	B			already reviewed	https://scryfall.com/card/slc/4/demonic-consultation?utm_source=api	Choose a card name. Exile the top six cards of your library, then reveal cards from the top of your library until you reveal a card with the chosen name. Put that card into your hand and exile all other cards revealed this way.
slc	Secret Lair Countdown	2022-11-01	5	Eerie Ultimatum	5674f6ae-ed5d-441e-a534-b5dd415165fd	covered		card_selection, mass_recursion, recursion	false		Covered by PRM role audit.	Sorcery	{W}{W}{B}{B}{B}{G}{G}	7	BGW	BGW			already reviewed	https://scryfall.com/card/slc/5/eerie-ultimatum?utm_source=api	Return any number of permanent cards with different names from your graveyard to the battlefield.
slc	Secret Lair Countdown	2022-11-01	6	Field of the Dead	aa959340-c869-4caa-92c7-572bd8d23eef			land_base, land_slot, mana_source, token_support				Land		0					verify analyzer roles	https://scryfall.com/card/slc/6/field-of-the-dead?utm_source=api	This land enters tapped. {T}: Add {C}. Whenever this land or another land you control enters, if you control seven or more lands with different names, create a 2/2 black Zombie creature token.
slc	Secret Lair Countdown	2022-11-01	7	Gray Merchant of Asphodel	38f3b157-0df4-409b-89cc-086e1531cd5b			combat_body, direct_finisher, finisher, lifegain, scalable_spell				Creature — Zombie	{3}{B}{B}	5	B	B			verify analyzer roles	https://scryfall.com/card/slc/7/gray-merchant-of-asphodel?utm_source=api	When this creature enters, each opponent loses X life, where X is your devotion to black. You gain life equal to the life lost this way. (Each {B} in the mana costs of permanents you control counts toward your devotion to black.)
slc	Secret Lair Countdown	2022-11-01	8	Hymn to Tourach	992d9a72-d34d-47d7-96fb-37f0efb515ef	covered	hand_attack, removal	hand_attack, removal	false		Covered by Fallen Empires role audit.	Sorcery	{B}{B}	2	B	B			already reviewed	https://scryfall.com/card/slc/8/hymn-to-tourach?utm_source=api	Target player discards two cards at random.
slc	Secret Lair Countdown	2022-11-01	9	Isochron Scepter	ddd649f4-dbaf-48ec-8ff7-95581257772d	covered		card_selection	false		Covered by PRM role audit.	Artifact	{2}	2			Imprint		already reviewed	https://scryfall.com/card/slc/9/isochron-scepter?utm_source=api	Imprint — When this artifact enters, you may exile an instant card with mana value 2 or less from your hand. {2}, {T}: You may copy the exiled card. If you do, you may cast the copy without paying its mana cost.
slc	Secret Lair Countdown	2022-11-01	10	Junji, the Midnight Sky	78a48f4e-ba4c-4d8d-938a-9ddb342a885b	covered		battlefield_recursion, combat_body, combat_threat, hand_attack, removal, sacrifice_support	false		Covered by PRM role audit.	Legendary Creature — Dragon Spirit	{3}{B}{B}	5	B	B	Flying, Menace		already reviewed	https://scryfall.com/card/slc/10/junji-the-midnight-sky?utm_source=api	Flying, menace When Junji dies, choose one — • Each opponent discards two cards and loses 2 life. • Put target non-Dragon creature card from a graveyard onto the battlefield under your control. You lose 2 life.
