setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ddt	Duel Decks: Merfolk vs. Goblins	2017-10-24	1	Master of Waves	07d40173-53e7-4328-a3b0-6214d93855b6			combat_body, combat_support, self_protection, token_support				Creature — Merfolk Wizard	{3}{U}	4	U	U	Protection		verify analyzer roles	https://scryfall.com/card/ddt/1/master-of-waves?utm_source=api	Protection from red Elemental creatures you control get +1/+1. When this creature enters, create a number of 1/0 blue Elemental creature tokens equal to your devotion to blue. (Each {U} in the mana costs of permanents you control counts toward your devotion to blue.)
ddt	Duel Decks: Merfolk vs. Goblins	2017-10-24	2	Aquitect's Will	d02befcb-3e2c-4cfe-a913-9bb648e5bb2c			card_draw, counter_support, direct_draw, draw				Kindred Sorcery — Merfolk	{U}	1	U	U			verify analyzer roles	https://scryfall.com/card/ddt/2/aquitects-will?utm_source=api	Put a flood counter on target land. That land is an Island in addition to its other types for as long as it has a flood counter on it. If you control a Merfolk, draw a card.
ddt	Duel Decks: Merfolk vs. Goblins	2017-10-24	3	Claustrophobia	62d8c8c8-bc24-42f2-9e2e-9efd08e47bb1			removal, tempo_removal				Enchantment — Aura	{1}{U}{U}	3	U	U	Enchant		verify analyzer roles	https://scryfall.com/card/ddt/3/claustrophobia?utm_source=api	Enchant creature When this Aura enters, tap enchanted creature. Enchanted creature doesn't untap during its controller's untap step.
ddt	Duel Decks: Merfolk vs. Goblins	2017-10-24	4	Concentrate	a3d287ec-1a39-4f91-acf1-7c1d2c00ed89	covered		card_draw, direct_draw, draw	false		Covered by ODY role audit.	Sorcery	{2}{U}{U}	4	U	U			already reviewed	https://scryfall.com/card/ddt/4/concentrate?utm_source=api	Draw three cards.
ddt	Duel Decks: Merfolk vs. Goblins	2017-10-24	5	Engulf the Shore	a3d4ed7c-c586-4581-96dc-977636d27583							Instant	{3}{U}	4	U	U			manual review	https://scryfall.com/card/ddt/5/engulf-the-shore?utm_source=api	Return to their owners' hands all creatures with toughness less than or equal to the number of Islands you control.
ddt	Duel Decks: Merfolk vs. Goblins	2017-10-24	6	Essence Scatter	46665089-aa3d-44c3-964d-6638dfbb5782			hard_stack, stack				Instant	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/ddt/6/essence-scatter?utm_source=api	Counter target creature spell.
ddt	Duel Decks: Merfolk vs. Goblins	2017-10-24	7	Harbinger of the Tides	9f5277e8-1cbe-478c-a8bc-ac028f13305e			combat_body, removal, replacement_engine, tempo_removal, tempo_support				Creature — Merfolk Wizard	{U}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/ddt/7/harbinger-of-the-tides?utm_source=api	You may cast this spell as though it had flash if you pay {2} more to cast it. (You may cast it any time you could cast an instant.) When this creature enters, you may return target tapped creature an opponent controls to its owner's hand.
ddt	Duel Decks: Merfolk vs. Goblins	2017-10-24	8	Inkfathom Divers	dbdf3c82-b0fc-479c-acce-f7e60be3a2b1			card_selection, combat_body, combat_support, landwalk_support, selection				Creature — Merfolk Soldier	{3}{U}{U}	5	U	U	Landwalk, Islandwalk		verify analyzer roles	https://scryfall.com/card/ddt/8/inkfathom-divers?utm_source=api	Islandwalk (This creature can't be blocked as long as defending player controls an Island.) When this creature enters, look at the top four cards of your library, then put them back in any order.
ddt	Duel Decks: Merfolk vs. Goblins	2017-10-24	9	Master of the Pearl Trident	9f6ea9fe-eee5-4dca-a34e-c66d3e218716			combat_body, combat_support, landwalk_support				Creature — Merfolk	{U}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/ddt/9/master-of-the-pearl-trident?utm_source=api	Other Merfolk creatures you control get +1/+1 and have islandwalk. (They can't be blocked as long as defending player controls an Island.)
ddt	Duel Decks: Merfolk vs. Goblins	2017-10-24	10	Merfolk Looter	67362406-b1ca-49e2-800d-9050bfe8742a	covered		card_draw, card_selection, combat_body, direct_draw, draw, repeatable_advantage, repeatable_draw, selection	false		Covered by 7ED role audit.	Creature — Merfolk Rogue	{1}{U}	2	U	U			already reviewed	https://scryfall.com/card/ddt/10/merfolk-looter?utm_source=api	{T}: Draw a card, then discard a card.
