setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pspl	Spotlight Series	2025-01-03	1	Terror of the Peaks	f8e17f4f-080d-4bba-bd05-ca27e94ccecc	covered		combat_body, combat_threat, direct_finisher, finisher, removal, targeted_removal	false		Covered by PRM role audit.	Creature — Dragon	{3}{R}{R}	5	R	R	Flying		already reviewed	https://scryfall.com/card/pspl/1/terror-of-the-peaks?utm_source=api	Flying Spells your opponents cast that target this creature cost an additional 3 life to cast. Whenever another creature you control enters, this creature deals damage equal to that creature's power to any target.
pspl	Spotlight Series	2025-01-03	2	Kaldra Compleat	7359e82b-db79-488d-a1d4-75a00f12a4cf	covered	artifact_support, combat_support, equipment_protection, self_protection, token_support	artifact_support, combat_support, equipment_protection, self_protection, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Artifact — Equipment	{7}	7			Indestructible, Equip, Living weapon		verify analyzer roles	https://scryfall.com/card/pspl/2/kaldra-compleat?utm_source=api	Living weapon Indestructible Equipped creature gets +5/+5 and has first strike, trample, indestructible, haste, and "Whenever this creature deals combat damage to a creature, exile that creature." Equip {7}
pspl	Spotlight Series	2025-01-03	3	Sword of Forge and Frontier	c6331ce3-21f7-4784-80fe-df1f541a4c46	covered	artifact_support, card_selection, combat_support, direct_draw, draw, equipment_protection, land_acceleration, protection, ramp, repeatable_advantage, repeatable_draw, selection, self_protection	artifact_support, card_selection, combat_support, direct_draw, draw, equipment_protection, land_acceleration, protection, ramp, repeatable_advantage, repeatable_draw, selection, self_protection	false		Analyzer roles accepted during batch clean pass.	Artifact — Equipment	{3}	3			Equip		verify analyzer roles	https://scryfall.com/card/pspl/3/sword-of-forge-and-frontier?utm_source=api	Equipped creature gets +2/+2 and has protection from red and from green. Whenever equipped creature deals combat damage to a player, exile the top two cards of your library. You may play those cards this turn. You may play an additional land this turn. Equip {2}
pspl	Spotlight Series	2025-01-03	4	Cloud, Midgar Mercenary	33d2584b-bf29-4c22-bd45-14ba2fb98c0e	covered	combat_body, copy_support, multiplier_support, replacement_engine, restricted_tutor, tutor	combat_body, copy_support, multiplier_support, replacement_engine, restricted_tutor, tutor	false		Covered by Media and Collaboration Promos role audit.	Legendary Creature — Human Soldier Mercenary	{W}{W}	2	W	W			already reviewed	https://scryfall.com/card/pspl/4/ja/cloud-midgar-mercenary?utm_source=api	When Cloud enters, search your library for an Equipment card, reveal it, put it into your hand, then shuffle. As long as Cloud is equipped, if a triggered ability of Cloud or an Equipment attached to it triggers, that ability triggers an additional time.
pspl	Spotlight Series	2025-01-03	5	Get Lost	522dd417-364b-44ab-8ca9-fb55db5f26a6	covered	card_selection, sacrifice_support, selection, targeted_removal	card_selection, sacrifice_support, selection, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{1}{W}	2	W	W	Explore		verify analyzer roles	https://scryfall.com/card/pspl/5/get-lost?utm_source=api	Destroy target creature, enchantment, or planeswalker. Its controller creates two Map tokens. (They're artifacts with "{1}, {T}, Sacrifice this token: Target creature you control explores. Activate only as a sorcery.")
pspl	Spotlight Series	2025-01-03	6	Spectacular Spider-Man	eed5e0cc-8f88-4779-bf10-6a823c72df7f	covered	broad_protection, combat_body, combat_support, protection, sacrifice_support, self_protection	broad_protection, combat_body, combat_support, protection, sacrifice_support, self_protection	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Spider Human Hero	{1}{W}	2	W	W	Flash		verify analyzer roles	https://scryfall.com/card/pspl/6/spectacular-spider-man?utm_source=api	Flash {1}: Spectacular Spider-Man gains flying until end of turn. {1}, Sacrifice Spectacular Spider-Man: Creatures you control gain hexproof and indestructible until end of turn.
pspl	Spotlight Series	2025-01-03	7	Day of Black Sun	dc857129-533c-41d1-8e8b-1c0443030d69	covered	mana_sink, scalable_spell	mana_sink, scalable_spell	false		Analyzer roles accepted during batch clean pass.	Sorcery	{X}{B}{B}	2	B	B			verify analyzer roles	https://scryfall.com/card/pspl/7/day-of-black-sun?utm_source=api	Each creature with mana value X or less loses all abilities until end of turn. Destroy those creatures.
pspl	Spotlight Series	2025-01-03	8	Vendilion Clique	244d4807-0802-41bc-9460-55ac38a28a72	covered		card_draw, combat_body, combat_threat, hand_info	false		Covered by PRM role audit.	Legendary Creature — Faerie Wizard	{1}{U}{U}	3	U	U	Flying, Flash		already reviewed	https://scryfall.com/card/pspl/8/vendilion-clique?utm_source=api	Flash Flying When Vendilion Clique enters, look at target player's hand. You may choose a nonland card from it. If you do, that player reveals the chosen card, puts it on the bottom of their library, then draws a card.
pspl	Spotlight Series	2025-01-03	9	Super Shredder	b7ee76bf-d15a-489e-8f05-414788f8f649	covered	combat_body, combat_threat, counter_support	combat_body, combat_threat, counter_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Mutant Ninja Human	{1}{B}	2	B	B	Menace		verify analyzer roles	https://scryfall.com/card/pspl/9/super-shredder?utm_source=api	Menace Whenever another permanent leaves the battlefield, put a +1/+1 counter on Super Shredder.
pspl	Spotlight Series	2025-01-03	10	Liliana Vess	a6c05941-2cfb-4dac-a7c0-ab808187eb7c	covered	direct_tutor, hand_attack, mass_recursion, recursion, removal, tutor	direct_tutor, hand_attack, mass_recursion, recursion, removal, tutor	false		Analyzer roles accepted during batch clean pass.	Legendary Planeswalker — Liliana	{3}{B}{B}	5	B	B			verify analyzer roles	https://scryfall.com/card/pspl/10/liliana-vess?utm_source=api	+1: Target player discards a card. −2: Search your library for a card, then shuffle and put that card on top. −8: Put all creature cards from all graveyards onto the battlefield under your control.
pspl	Spotlight Series	2025-01-03	11	Riddles in the Dark	78bed291-0ec7-466f-bc7a-9dae7d0b56ae	covered	card_selection, face_down_support	card_selection, face_down_support	false		Analyzer roles accepted during batch clean pass.	Instant	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/pspl/11/riddles-in-the-dark?utm_source=api	Look at the top four cards of your library and separate them into a face-down pile and a face-up pile. An opponent chooses one of the piles. Put that pile into your hand and the other into your graveyard.
pspl	Spotlight Series	2025-01-03	12	Elektra, Daughter of the Hand	b46647a1-0c91-451b-8c0b-be8fe02faee2	covered	combat_body, removal, targeted_removal	combat_body, removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Ninja Villain	{2}{B}{B}	4	B	B	Sneak		verify analyzer roles	https://scryfall.com/card/pspl/12/elektra-daughter-of-the-hand?utm_source=api	Sneak {1}{B}{B} (You may cast this spell for {1}{B}{B} if you also return an unblocked attacker you control to hand during the declare blockers step. She enters tapped and attacking.) When Elektra enters, destroy target creature an opponent controls with power 3 or less.
