setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
khm	Kaldheim	2021-02-05	1	Axgard Braggart	d0d4ab83-8b9b-49cd-86b8-720abd0550f4	covered	combat_body, counter_support	combat_body, counter_support	false		Analyzer roles accepted during batch clean pass.	Creature — Dwarf Warrior	{3}{W}	4	W	W	Boast		verify analyzer roles	https://scryfall.com/card/khm/1/axgard-braggart?utm_source=api	Boast — {1}{W}: Untap this creature. Put a +1/+1 counter on it. (Activate only if this creature attacked this turn and only once each turn.)
khm	Kaldheim	2021-02-05	2	Battershield Warrior	f8e8cdc6-5685-4986-a14b-20bb9e31d9cf	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Warrior	{2}{W}	3	W	W	Boast		verify analyzer roles	https://scryfall.com/card/khm/2/battershield-warrior?utm_source=api	Boast — {1}{W}: Creatures you control get +1/+1 until end of turn. (Activate only if this creature attacked this turn and only once each turn.)
khm	Kaldheim	2021-02-05	3	Battlefield Raptor	68a99e50-0e98-480b-ad25-aa2c226d24ca	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Creature — Bird	{W}	1	W	W	Flying, First strike		verify analyzer roles	https://scryfall.com/card/khm/3/battlefield-raptor?utm_source=api	Flying, first strike
khm	Kaldheim	2021-02-05	4	Beskir Shieldmate	a1090a50-2347-48d0-bb67-379accb8e02d	covered	combat_body, sacrifice_support, token_support	combat_body, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Warrior	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/khm/4/beskir-shieldmate?utm_source=api	When this creature dies, create a 1/1 white Human Warrior creature token.
khm	Kaldheim	2021-02-05	5	Bound in Gold	ca597a0d-b510-4b25-9a83-4d4e613546f5	covered	combat_support	combat_support	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{2}{W}	3	W	W	Enchant		verify analyzer roles	https://scryfall.com/card/khm/5/bound-in-gold?utm_source=api	Enchant permanent Enchanted permanent can't attack, block, or crew Vehicles, and its activated abilities can't be activated unless they're mana abilities.
khm	Kaldheim	2021-02-05	6	Clarion Spirit	dec20b18-afe6-405e-b47d-a757a5645c63	covered	combat_body, token_support	combat_body, token_support	false		Analyzer roles accepted during batch clean pass.	Creature — Spirit	{1}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/khm/6/clarion-spirit?utm_source=api	Whenever you cast your second spell each turn, create a 1/1 white Spirit creature token with flying.
khm	Kaldheim	2021-02-05	7	Codespell Cleric	4388af80-118f-4bf4-8fd7-e68c58398ee8	covered	combat_body, combat_threat, counter_support	combat_body, combat_threat, counter_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Cleric	{W}	1	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/khm/7/codespell-cleric?utm_source=api	Vigilance When this creature enters, if it was the second spell you cast this turn, put a +1/+1 counter on target creature.
khm	Kaldheim	2021-02-05	8	Divine Gambit	25fcf381-6f0a-49ef-9c41-f202be7d8368	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Sorcery	{W}{W}	2	W	W			verify analyzer roles	https://scryfall.com/card/khm/8/divine-gambit?utm_source=api	Exile target artifact, creature, or enchantment an opponent controls. That player may put a permanent card from their hand onto the battlefield.
khm	Kaldheim	2021-02-05	9	Doomskar	38ece0fa-2c94-4eae-b6ab-74b783862f3e	covered		card_selection, cost_reduction, face_down_support, mass_removal, removal, selection	false		Covered by PRM role audit.	Sorcery	{3}{W}{W}	5	W	W	Foretell		already reviewed	https://scryfall.com/card/khm/9/doomskar?utm_source=api	Destroy all creatures. Foretell {1}{W}{W} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)
khm	Kaldheim	2021-02-05	10	Doomskar Oracle	c1d8e97b-f34b-4e52-9795-a4433f26725a	covered	card_selection, combat_body, cost_reduction, face_down_support, lifegain, selection	card_selection, combat_body, cost_reduction, face_down_support, lifegain, selection	false		Analyzer roles accepted during batch clean pass.	Creature — Human Cleric	{2}{W}	3	W	W	Foretell		verify analyzer roles	https://scryfall.com/card/khm/10/doomskar-oracle?utm_source=api	Whenever you cast your second spell each turn, you gain 2 life. Foretell {W} (During your turn, you may pay {2} and exile this card from your hand face down. Cast it on a later turn for its foretell cost.)
