setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
purl	URL/Convention Promos	2009-02-08	1	Steward of Valeron	ca5d0a56-69c1-4bdb-95f0-af0dec3604a5	covered	combat_body, combat_threat, ramp, stable_ramp	combat_body, combat_threat, ramp, stable_ramp	false		Analyzer roles accepted during batch clean pass.	Creature — Human Druid Knight	{G}{W}	2	GW	GW	Vigilance		verify analyzer roles	https://scryfall.com/card/purl/1/steward-of-valeron?utm_source=api	Vigilance {T}: Add {G}.
purl	URL/Convention Promos	2009-02-08	2	Counterspell	cc187110-1148-4090-bbb8-e205694a39f5	covered	hard_stack, stack	hard_stack, stack	false		Covered by Ice Age role audit.	Instant	{U}{U}	2	U	U			already reviewed	https://scryfall.com/card/purl/2/counterspell?utm_source=api	Counter target spell.
purl	URL/Convention Promos	2009-02-08	3	Bloodthrone Vampire	aa76cc50-5be0-4844-b3a4-fb33fca3cdd3	covered	combat_body, combat_support, sacrifice_support	combat_body, combat_support, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Creature — Vampire	{1}{B}	2	B	B			verify analyzer roles	https://scryfall.com/card/purl/3/bloodthrone-vampire?utm_source=api	Sacrifice a creature: This creature gets +2/+2 until end of turn.
purl	URL/Convention Promos	2009-02-08	4	Merfolk Mesmerist	590d524f-278d-4cf4-ae3f-efcced4517b1	covered	combat_body, mill_support	combat_body, mill_support	false		Analyzer roles accepted during batch clean pass.	Creature — Merfolk Wizard	{1}{U}	2	U	U	Mill		verify analyzer roles	https://scryfall.com/card/purl/4/merfolk-mesmerist?utm_source=api	{U}, {T}: Target player mills two cards.
purl	URL/Convention Promos	2009-02-08	5	Chandra's Fury	eb16f188-fe12-4a13-9947-d43cd6ce270c	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Instant	{4}{R}	5	R	R			verify analyzer roles	https://scryfall.com/card/purl/5/chandras-fury?utm_source=api	Chandra's Fury deals 4 damage to target player or planeswalker and 1 damage to each creature that player or that planeswalker's controller controls.
purl	URL/Convention Promos	2009-02-08	7	Stealer of Secrets	8f9535f2-f00c-40d3-9997-d1c0ece15f9f	covered		card_draw, combat_body, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw	false		Covered by PRM role audit.	Creature — Human Rogue	{2}{U}	3	U	U			already reviewed	https://scryfall.com/card/purl/7/stealer-of-secrets?utm_source=api	Whenever this creature deals combat damage to a player, draw a card.
purl	URL/Convention Promos	2009-02-08	8	Aeronaut Tinkerer	a15bb807-ea31-4bff-b573-c249c4c78dd6	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Artificer	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/purl/8/aeronaut-tinkerer?utm_source=api	This creature has flying as long as you control an artifact. (It can't be blocked except by creatures with flying or reach.)
purl	URL/Convention Promos	2009-02-08	23	Kor Skyfisher	054a0193-861e-4644-ab0a-8aa33407abc8	covered		combat_body, combat_threat	false		Covered by PRM role audit.	Creature — Kor Soldier	{1}{W}	2	W	W	Flying		already reviewed	https://scryfall.com/card/purl/23/kor-skyfisher?utm_source=api	Flying When this creature enters, return a permanent you control to its owner's hand.
purl	URL/Convention Promos	2009-02-08	34★	Shepherd of the Lost	d8c70f2f-985c-4982-97eb-99da3810e048	covered		combat_body, combat_threat	false		Covered by PRM role audit.	Creature — Angel	{4}{W}	5	W	W	Flying, Vigilance, First strike		already reviewed	https://scryfall.com/card/purl/34%E2%98%85/ja/shepherd-of-the-lost?utm_source=api	Flying, first strike, vigilance
purl	URL/Convention Promos	2009-02-08	324	White Orchid Phantom	6edd2a36-3d65-4bf9-bd82-b6d03a7e8fea	covered	combat_body, combat_threat, land_acceleration, land_tutor, mana_fixing, ramp, tutor	combat_body, combat_threat, land_acceleration, land_tutor, mana_fixing, ramp, tutor	false		Analyzer roles accepted during batch clean pass.	Creature — Spirit Knight	{W}{W}	2	W	W	Flying, First strike		verify analyzer roles	https://scryfall.com/card/purl/324/white-orchid-phantom?utm_source=api	Flying, first strike When this creature enters, destroy up to one target nonbasic land. Its controller may search their library for a basic land card, put it onto the battlefield tapped, then shuffle.
