setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
pfin	Final Fantasy Promos	2025-06-13	1s	Summon: Bahamut	fe9f6825-597b-4d80-ab7c-f4ee4e824b6f			card_draw, combat_body, combat_threat, direct_draw, draw, removal, sacrifice_support, targeted_removal				Enchantment Creature — Saga Dragon	{9}	9			Flying		verify analyzer roles	https://scryfall.com/card/pfin/1s/summon:-bahamut?utm_source=api	(As this Saga enters and after your draw step, add a lore counter. Sacrifice after IV.) I, II — Destroy up to one target nonland permanent. III — Draw two cards. IV — Mega Flare — This creature deals damage equal to the total mana value of other permanents you control to each opponent. Flying
pfin	Final Fantasy Promos	2025-06-13	2s	Ultima, Origin of Oblivion	baa337ce-edc6-4ee5-a898-68e9dbb4ab93			combat_body, combat_support, combat_threat, counter_support, ramp, stable_ramp				Legendary Creature — God	{5}	5			Flying		verify analyzer roles	https://scryfall.com/card/pfin/2s/ultima-origin-of-oblivion?utm_source=api	Flying Whenever Ultima attacks, put a blight counter on target land. For as long as that land has a blight counter on it, it loses all land types and abilities and has "{T}: Add {C}." Whenever you tap a land for {C}, add an additional {C}.
pfin	Final Fantasy Promos	2025-06-13	4s	Aerith Gainsborough	dd9a6f6b-f9b7-4292-bc80-b7da326de032			combat_body, combat_support, combat_threat, counter_support, lifegain, sacrifice_support, scalable_spell				Legendary Creature — Human Cleric	{2}{W}	3	W	W	Lifelink		verify analyzer roles	https://scryfall.com/card/pfin/4s/aerith-gainsborough?utm_source=api	Lifelink Whenever you gain life, put a +1/+1 counter on Aerith Gainsborough. When Aerith Gainsborough dies, put X +1/+1 counters on each legendary creature you control, where X is the number of +1/+1 counters on Aerith Gainsborough.
pfin	Final Fantasy Promos	2025-06-13	10s	Cloud, Midgar Mercenary	33d2584b-bf29-4c22-bd45-14ba2fb98c0e	covered	combat_body, copy_support, multiplier_support, replacement_engine, restricted_tutor, tutor	combat_body, copy_support, multiplier_support, replacement_engine, restricted_tutor, tutor	false		Covered by Media and Collaboration Promos role audit.	Legendary Creature — Human Soldier Mercenary	{W}{W}	2	W	W			already reviewed	https://scryfall.com/card/pfin/10s/cloud-midgar-mercenary?utm_source=api	When Cloud enters, search your library for an Equipment card, reveal it, put it into your hand, then shuffle. As long as Cloud is equipped, if a triggered ability of Cloud or an Equipment attached to it triggers, that ability triggers an additional time.
pfin	Final Fantasy Promos	2025-06-13	16s	Dion, Bahamut's Dominant // Bahamut, Warden of Light	4a0cc2a2-3711-473a-b2c5-b1e52b34e4fb			combat_body, combat_support, combat_threat, counter_support, face_down_support, targeted_removal, token_support				Legendary Creature — Human Noble Knight // Legendary Enchantment Creature — Saga Dragon		4		W	Dragonfire Dive, Flying, Transform		verify analyzer roles	https://scryfall.com/card/pfin/16s/dion-bahamuts-dominant-bahamut-warden-of-light?utm_source=api	Dion, Bahamut's Dominant: Dragonfire Dive — During your turn, Dion and other Knights you control have flying. When Dion enters, create a 2/2 white Knight creature token. {4}{W}{W}, {T}: Exile Dion, then return it to the battlefield transformed under its owner's control. Activate only as a sorcery. // Bahamut, Warden of Light: (As this Saga enters and after your draw step, add a lore counter.) I, II — Wings of Light — Put a +1/+1 counter on each other creature you control. Those creatures gain flying until end of turn. III — Gigaflare — Destroy target permanent. Exile Bahamut, then return it to the battlefield (front face up). Flying
pfin	Final Fantasy Promos	2025-06-13	20s	From Father to Son	87864421-505c-4bdb-b1e3-3e44e05f2beb			direct_tutor, graveyard_support, tutor				Sorcery	{1}{W}	2	W	W	Flashback		verify analyzer roles	https://scryfall.com/card/pfin/20s/from-father-to-son?utm_source=api	Search your library for a Vehicle card, reveal it, and put it into your hand. If this spell was cast from a graveyard, put that card onto the battlefield instead. Then shuffle. Flashback {4}{W}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)
pfin	Final Fantasy Promos	2025-06-13	23s	Machinist's Arsenal	e7fff34e-9b80-4a67-a917-fd9efddb5a1f			artifact_support, combat_support, token_support				Artifact — Equipment	{4}{W}	5	W	W	Machina, Job select, Equip		verify analyzer roles	https://scryfall.com/card/pfin/23s/machinists-arsenal?utm_source=api	Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.) Equipped creature gets +2/+2 for each artifact you control and is an Artificer in addition to its other types. Machina — Equip {4} ({4}: Attach to target creature you control. Equip only as a sorcery.)
pfin	Final Fantasy Promos	2025-06-13	26s	Minwu, White Mage	31ca9e12-8ad0-472e-8b2a-b7df26370d8c			combat_body, combat_threat, counter_support, lifegain				Legendary Creature — Human Cleric	{3}{W}{W}	5	W	W	Lifelink, Vigilance		verify analyzer roles	https://scryfall.com/card/pfin/26s/minwu-white-mage?utm_source=api	Vigilance, lifelink Whenever you gain life, put a +1/+1 counter on each Cleric you control.
pfin	Final Fantasy Promos	2025-06-13	27s	Moogles' Valor	9627ed9a-5ade-412d-bf8d-f0705b1c9405			broad_protection, combat_support, lifegain, protection, self_protection, token_support				Instant	{3}{W}{W}	5	W	W			verify analyzer roles	https://scryfall.com/card/pfin/27s/moogles-valor?utm_source=api	For each creature you control, create a 1/2 white Moogle creature token with lifelink. Then creatures you control gain indestructible until end of turn.
pfin	Final Fantasy Promos	2025-06-13	34s	Stiltzkin, Moogle Merchant	958c2a27-9fb1-42b4-a0ef-296584763a98			card_draw, combat_body, combat_threat, direct_draw, donation_support, draw, lifegain, repeatable_draw				Legendary Creature — Moogle	{W}	1	W	W	Lifelink		verify analyzer roles	https://scryfall.com/card/pfin/34s/stiltzkin-moogle-merchant?utm_source=api	Lifelink {2}, {T}: Target opponent gains control of another target permanent you control. If they do, you draw a card.
