setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
tmsc	Marvel Super Heroes Commander Tokens	2026-06-26	1	Copy	88c78601-87f0-45e7-b2e0-e7ffcfb1cb70	covered	copy_support	copy_support	false		Analyzer roles accepted during batch clean pass.	Token		0					verify analyzer roles	https://scryfall.com/card/tmsc/1/copy?utm_source=api	(This token can be used to represent a token that's a copy of a permanent.)
tmsc	Marvel Super Heroes Commander Tokens	2026-06-26	2	Shapeshifter	b9ad70d0-7e71-4ec1-a39e-7d9363501322	covered	combat_body, kindred_support	combat_body, kindred_support	false		Analyzer roles accepted during batch clean pass.	Token Creature — Shapeshifter		0			Changeling		verify analyzer roles	https://scryfall.com/card/tmsc/2/shapeshifter?utm_source=api	Changeling (This token is every creature type.)
tmsc	Marvel Super Heroes Commander Tokens	2026-06-26	3	Wall	8eb69f09-652f-44c7-b357-16fd79cc31d1	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Wall		0			Reach, Defender		verify analyzer roles	https://scryfall.com/card/tmsc/3/wall?utm_source=api	Defender, reach
tmsc	Marvel Super Heroes Commander Tokens	2026-06-26	4	Angel	29ff8699-53d8-413b-8a3c-0e3ea1e13ff0	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Angel		0	W	W	Flying, Vigilance		verify analyzer roles	https://scryfall.com/card/tmsc/4/angel?utm_source=api	Flying, vigilance
tmsc	Marvel Super Heroes Commander Tokens	2026-06-26	5	Bird	b1a2b096-a440-4ef9-ab2a-059c79999297	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Bird		0	W	W	Flying		verify analyzer roles	https://scryfall.com/card/tmsc/5/bird?utm_source=api	Flying
tmsc	Marvel Super Heroes Commander Tokens	2026-06-26	6	Goat	f62b776a-d4de-455a-ae5a-ca07982974db	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Goat		0	W	W			verify analyzer roles	https://scryfall.com/card/tmsc/6/goat?utm_source=api	
tmsc	Marvel Super Heroes Commander Tokens	2026-06-26	7	Ox	d8235699-4c2c-4cf1-815a-d2a1c01b0cae	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Ox		0	W	W			verify analyzer roles	https://scryfall.com/card/tmsc/7/ox?utm_source=api	
tmsc	Marvel Super Heroes Commander Tokens	2026-06-26	8	Council of Reeds	8b6c301f-ccbc-47e3-a03c-dc9f397555c3	covered	combat_body, copy_support, token_support	combat_body, copy_support, token_support	false		Analyzer roles accepted during batch clean pass.	Token Legendary Creature — Human Scientist Hero		0					verify analyzer roles	https://scryfall.com/card/tmsc/8/council-of-reeds?utm_source=api	The "legend rule" doesn't apply to creatures you control. At the beginning of combat on your turn, if you've cast a noncreature spell this turn, create a token that's a copy of Council of Reeds. (This token's mana cost is {2}{U}.)
tmsc	Marvel Super Heroes Commander Tokens	2026-06-26	9	Rogue	9acbc363-827c-4146-a004-81be179a8c28	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Rogue		0	B	B			verify analyzer roles	https://scryfall.com/card/tmsc/9/rogue?utm_source=api	
tmsc	Marvel Super Heroes Commander Tokens	2026-06-26	10	Ape Villain	4b09946a-4d41-4768-bcb4-684898e3ce7e	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Ape Villain		0	R	R	Haste		verify analyzer roles	https://scryfall.com/card/tmsc/10/ape-villain?utm_source=api	Haste
tmsc	Marvel Super Heroes Commander Tokens	2026-06-26	11	Beast	6bb61f34-5d57-4eaa-a02c-f5d08c1ee920	covered	combat_body	combat_body	false		Analyzer roles accepted during batch clean pass.	Token Creature — Beast		0	G	G			verify analyzer roles	https://scryfall.com/card/tmsc/11/beast?utm_source=api	
tmsc	Marvel Super Heroes Commander Tokens	2026-06-26	12	Elephant	079c46cc-feb0-4998-8593-c8b739afdb82	covered		combat_body	false		Covered by MPR role audit.	Token Creature — Elephant		0	G	G			already reviewed	https://scryfall.com/card/tmsc/12/elephant?utm_source=api	
tmsc	Marvel Super Heroes Commander Tokens	2026-06-26	13	Rhino	a685171a-616f-42e1-9161-4a64fb51a977	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Creature — Rhino		0	G	G	Trample		verify analyzer roles	https://scryfall.com/card/tmsc/13/rhino?utm_source=api	Trample
tmsc	Marvel Super Heroes Commander Tokens	2026-06-26	14	Construct	f3dd381f-eafa-488e-bdb1-6de85923300d	covered	combat_body, combat_threat	combat_body, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Artifact Creature — Construct		0			Flying, Haste		verify analyzer roles	https://scryfall.com/card/tmsc/14/construct?utm_source=api	Flying, haste
tmsc	Marvel Super Heroes Commander Tokens	2026-06-26	15	Vibranium	32edf0e6-a495-4de8-b85f-42a2d4ef71b1	covered	ramp, self_protection, stable_ramp	ramp, self_protection, stable_ramp	false		Analyzer roles accepted during batch clean pass.	Token Artifact — Vibranium		0			Indestructible		verify analyzer roles	https://scryfall.com/card/tmsc/15/vibranium?utm_source=api	Indestructible {T}: Add {C}. This mana can't be spent to cast a nonartifact spell.
tmsc	Marvel Super Heroes Commander Tokens	2026-06-26	16	The Monarch	7c934091-1bc7-4458-acef-fdac62ec3df1	covered	card_draw, combat_support, direct_draw, draw	card_draw, combat_support, direct_draw, draw	false		Analyzer roles accepted during batch clean pass.	Card		0					verify analyzer roles	https://scryfall.com/card/tmsc/16/the-monarch?utm_source=api	At the beginning of your end step, draw a card. Whenever a creature deals combat damage to you, its controller becomes the monarch.
tmsc	Marvel Super Heroes Commander Tokens	2026-06-26	32	Robot Hero	499b67c2-9bcd-485d-9ae7-e3a421fe15f9	covered	combat_body, combat_support, combat_threat	combat_body, combat_support, combat_threat	false		Analyzer roles accepted during batch clean pass.	Token Artifact Creature — Robot Hero		0			Flying		verify analyzer roles	https://scryfall.com/card/tmsc/32/robot-hero?utm_source=api	Flying (This token can't be blocked except by creatures with flying or reach.)
