setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
dbl	Innistrad: Double Feature	2022-01-28	1	Adeline, Resplendent Cathar	38515f89-348b-4cf3-b7bd-1f6fe4ce2fba	covered	combat_body, combat_support, combat_threat, token_support	combat_body, combat_support, combat_threat, token_support	false		Analyzer roles accepted during batch clean pass.	Legendary Creature — Human Knight	{1}{W}{W}	3	W	W	Vigilance		verify analyzer roles	https://scryfall.com/card/dbl/1/adeline-resplendent-cathar?utm_source=api	Vigilance Adeline's power is equal to the number of creatures you control. Whenever you attack, for each opponent, create a 1/1 white Human creature token that's tapped and attacking that player or a planeswalker they control.
dbl	Innistrad: Double Feature	2022-01-28	2	Ambitious Farmhand // Seasoned Cathar	b85e7ab2-6f57-4b65-8c16-034b342996f0	covered	combat_body, combat_threat, land_acceleration, land_tutor, lifegain, mana_fixing, ramp, tutor	combat_body, combat_threat, land_acceleration, land_tutor, lifegain, mana_fixing, ramp, tutor	false		Analyzer roles accepted during batch clean pass.	Creature — Human Peasant // Creature — Human Knight		2		W	Lifelink, Transform, Coven		verify analyzer roles	https://scryfall.com/card/dbl/2/ambitious-farmhand-seasoned-cathar?utm_source=api	Ambitious Farmhand: When this creature enters, you may search your library for a basic Plains card, reveal it, put it into your hand, then shuffle. Coven — {1}{W}{W}: Transform this creature. Activate only if you control three or more creatures with different powers. // Seasoned Cathar: Lifelink
dbl	Innistrad: Double Feature	2022-01-28	3	Beloved Beggar // Generous Soul	74c9cc13-c03f-4322-82af-b7bce1f2a0d8	covered	combat_body, combat_threat, graveyard_support, replacement_engine	combat_body, combat_threat, graveyard_support, replacement_engine	false		Analyzer roles accepted during batch clean pass.	Creature — Human Peasant // Creature — Spirit		2		W	Flying, Vigilance, Transform, Disturb		verify analyzer roles	https://scryfall.com/card/dbl/3/beloved-beggar-generous-soul?utm_source=api	Beloved Beggar: Disturb {4}{W}{W} (You may cast this card from your graveyard transformed for its disturb cost.) // Generous Soul: Flying, vigilance If Generous Soul would be put into a graveyard from anywhere, exile it instead.
dbl	Innistrad: Double Feature	2022-01-28	4	Bereaved Survivor // Dauntless Avenger	bfa60dd1-fcc8-4126-ab7a-4695c74f5bce	covered	battlefield_recursion, card_selection, combat_body, combat_support, recursion, repeatable_advantage, sacrifice_support	battlefield_recursion, card_selection, combat_body, combat_support, recursion, repeatable_advantage, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Peasant // Creature — Human Soldier		3		W	Transform		verify analyzer roles	https://scryfall.com/card/dbl/4/bereaved-survivor-dauntless-avenger?utm_source=api	Bereaved Survivor: When another creature you control dies, transform this creature. // Dauntless Avenger: Whenever this creature attacks, return target creature card with mana value 2 or less from your graveyard to the battlefield tapped and attacking.
dbl	Innistrad: Double Feature	2022-01-28	5	Blessed Defiance	04e3d36f-5dec-422c-a371-15e135fdface	covered	combat_support, lifegain, sacrifice_support, token_support	combat_support, lifegain, sacrifice_support, token_support	false		Analyzer roles accepted during batch clean pass.	Instant	{W}	1	W	W			verify analyzer roles	https://scryfall.com/card/dbl/5/blessed-defiance?utm_source=api	Target creature you control gets +2/+0 and gains lifelink until end of turn. When that creature dies this turn, create a 1/1 white Spirit creature token with flying.
dbl	Innistrad: Double Feature	2022-01-28	6	Borrowed Time	f1ac4e0e-5633-46e4-9a21-d3924e481d13	covered	removal, targeted_removal	removal, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Enchantment	{2}{W}	3	W	W			verify analyzer roles	https://scryfall.com/card/dbl/6/borrowed-time?utm_source=api	When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.
dbl	Innistrad: Double Feature	2022-01-28	7	Brutal Cathar // Moonrage Brute	1ed2d8e0-462b-468e-8fd3-1f3c6d99fb8a	covered	combat_body, combat_threat, removal, self_protection, targeted_removal	combat_body, combat_threat, removal, self_protection, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier Werewolf // Creature — Werewolf		3		RW	Daybound, First strike, Ward, Nightbound		verify analyzer roles	https://scryfall.com/card/dbl/7/brutal-cathar-moonrage-brute?utm_source=api	Brutal Cathar: Whenever this creature enters or transforms into Brutal Cathar, exile target creature an opponent controls until this creature leaves the battlefield. Daybound (If a player casts no spells during their own turn, it becomes night next turn.) // Moonrage Brute: First strike Ward—Pay 3 life. Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)
dbl	Innistrad: Double Feature	2022-01-28	8	Candlegrove Witch	95f47e9b-0290-4ec4-a1ba-bc5a432ffab2	covered	combat_body, combat_support	combat_body, combat_support	false		Analyzer roles accepted during batch clean pass.	Creature — Human Warlock	{1}{W}	2	W	W	Coven		verify analyzer roles	https://scryfall.com/card/dbl/8/candlegrove-witch?utm_source=api	Coven — At the beginning of combat on your turn, if you control three or more creatures with different powers, this creature gains flying until end of turn.
dbl	Innistrad: Double Feature	2022-01-28	9	Candletrap	089788ce-d06c-4a85-915c-82e2cb5b0103	covered	combat_support, sacrifice_support	combat_support, sacrifice_support	false		Analyzer roles accepted during batch clean pass.	Enchantment — Aura	{W}	1	W	W	Enchant, Coven		verify analyzer roles	https://scryfall.com/card/dbl/9/candletrap?utm_source=api	Enchant creature Enchanted creature has defender. Prevent all combat damage that would be dealt by enchanted creature. Coven — {2}{W}, Sacrifice this Aura: Exile enchanted creature. Activate only if you control three or more creatures with different powers.
dbl	Innistrad: Double Feature	2022-01-28	10	Cathar Commando	774dce79-67e0-4820-8013-c7a7347993ce	covered	combat_body, removal, sacrifice_support, targeted_removal	combat_body, removal, sacrifice_support, targeted_removal	false		Analyzer roles accepted during batch clean pass.	Creature — Human Soldier	{1}{W}	2	W	W	Flash		verify analyzer roles	https://scryfall.com/card/dbl/10/cathar-commando?utm_source=api	Flash {1}, Sacrifice this creature: Destroy target artifact or enchantment.
