setCode	setName	releasedAt	collectorNumber	name	oracleId	auditStatus	expectedRoles	actualAnalyzerRoles	needsCodeChange	tagDecision	manualNotes	typeLine	manaCost	manaValue	colors	colorIdentity	keywords	scryfallOracleTags	attentionHint	scryfallUrl	oracleText
ddi	Duel Decks: Venser vs. Koth	2012-03-30	1	Venser, the Sojourner	a8bf8ff8-d924-4fd2-b5ed-05b38f55325a			combat_support, targeted_removal				Legendary Planeswalker — Venser	{3}{W}{U}	5	UW	UW			verify analyzer roles	https://scryfall.com/card/ddi/1/venser-the-sojourner?utm_source=api	+2: Exile target permanent you own. Return it to the battlefield under your control at the beginning of the next end step. −1: Creatures can't be blocked this turn. −8: You get an emblem with "Whenever you cast a spell, exile target permanent."
ddi	Duel Decks: Venser vs. Koth	2012-03-30	2	Whitemane Lion	e8d6084b-9b72-438e-a30a-851b888f3e4d			combat_body				Creature — Cat	{1}{W}	2	W	W	Flash		verify analyzer roles	https://scryfall.com/card/ddi/2/whitemane-lion?utm_source=api	Flash When this creature enters, return a creature you control to its owner's hand.
ddi	Duel Decks: Venser vs. Koth	2012-03-30	3	Augury Owl	44c5f8e1-d9b8-4067-a60a-1ecc8bd11145			card_selection, combat_body, combat_threat, selection				Creature — Bird	{1}{U}	2	U	U	Scry, Flying		verify analyzer roles	https://scryfall.com/card/ddi/3/augury-owl?utm_source=api	Flying When this creature enters, scry 3. (Look at the top three cards of your library, then put any number of them on the bottom and the rest on top in any order.)
ddi	Duel Decks: Venser vs. Koth	2012-03-30	4	Coral Fighters	8a397a64-542f-43fb-bf54-27ac651e1819	covered	combat_body, combat_support	combat_body, combat_support	false		Covered by Mirage role audit.	Creature — Merfolk Soldier	{1}{U}	2	U	U			already reviewed	https://scryfall.com/card/ddi/4/coral-fighters?utm_source=api	Whenever this creature attacks and isn't blocked, look at the top card of defending player's library. You may put that card on the bottom of that player's library.
ddi	Duel Decks: Venser vs. Koth	2012-03-30	5	Minamo Sightbender	c4f1d8c8-29e5-43fe-8281-7d42d0173dc5			combat_body, combat_support				Creature — Human Wizard	{1}{U}	2	U	U			verify analyzer roles	https://scryfall.com/card/ddi/5/minamo-sightbender?utm_source=api	{X}, {T}: Target creature with power X or less can't be blocked this turn.
ddi	Duel Decks: Venser vs. Koth	2012-03-30	6	Mistmeadow Witch	38e274e2-bd04-48de-a1df-44f0ee987ba8			combat_body, targeted_removal				Creature — Kithkin Wizard	{1}{W/U}	2	UW	UW			verify analyzer roles	https://scryfall.com/card/ddi/6/mistmeadow-witch?utm_source=api	{2}{W}{U}: Exile target creature. Return that card to the battlefield under its owner's control at the beginning of the next end step.
ddi	Duel Decks: Venser vs. Koth	2012-03-30	7	Scroll Thief	637c5583-4683-4ae4-8b4e-f5da42a772c7			card_draw, combat_body, combat_support, direct_draw, draw, repeatable_advantage, repeatable_draw				Creature — Merfolk Rogue	{2}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/ddi/7/scroll-thief?utm_source=api	Whenever this creature deals combat damage to a player, draw a card.
ddi	Duel Decks: Venser vs. Koth	2012-03-30	8	Neurok Invisimancer	e7425964-0028-4156-9037-b303b00e7e11			combat_body, combat_support				Creature — Human Wizard	{1}{U}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/ddi/8/neurok-invisimancer?utm_source=api	This creature can't be blocked. When this creature enters, target creature can't be blocked this turn.
ddi	Duel Decks: Venser vs. Koth	2012-03-30	9	Slith Strider	6e52e48f-b7a0-4195-8fff-8baed7b7d3fc			card_draw, combat_body, combat_support, counter_support, direct_draw, draw, repeatable_advantage, repeatable_draw				Creature — Slith	{1}{U}{U}	3	U	U			verify analyzer roles	https://scryfall.com/card/ddi/9/slith-strider?utm_source=api	Whenever this creature becomes blocked, draw a card. Whenever this creature deals combat damage to a player, put a +1/+1 counter on it.
ddi	Duel Decks: Venser vs. Koth	2012-03-30	10	Sky Spirit	fc7e288f-ade2-4997-b3fe-f873c26990b0	covered	combat_body, combat_threat	combat_body, combat_threat	false		Covered by Tempest role audit.	Creature — Spirit	{1}{W}{U}	3	UW	UW	Flying, First strike		already reviewed	https://scryfall.com/card/ddi/10/sky-spirit?utm_source=api	Flying, first strike
